token,tag,tag_STTS,lemma_gold,lemma_pred
Das,PRON,PDS,der,das
wärs,UNK,VAPPER,sein,wär
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,alle
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
praktisches,ADJ,ADJA,praktisch,Praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,der
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweitert
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattribut
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",
habend,ADJ,ADJD,habend,haben
"""",PUNCT,$(,"""",
:,PUNCT,$(,:,:
http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,http://bit.ly/1EUPPhK
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
WLAN,NOUN,NN,WLAN,WLAN
an,ADP,APPR,an,an
der,DET,ART,der,der
@bbaw_de,PROPN,NE,@bbaw_de,@bbaw_de
heute,ADV,ADV,heute,heute
leider,ADV,ADV,leider,leider
sehr,UNK,PTKIFG,sehr,sehr
instabil,ADJ,ADJD,instabil,instabil
und,CONJ,KON,und,und
nicht,PART,PTKNEG,nicht,nicht
wirklich,UNK,PTKMWL,wirklich,wirklich
brauchbar,ADJ,ADJD,brauchbar,brauchbar
.,PUNCT,$.,.,.
Tut,VERB,VVFIN,tun,tun
uns,PRON,PPER,uns,uns
leid,PART,PTKVZ,leid,leid
...,PUNCT,$.,...,...
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Der,DET,ART,der,der
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,im
@dwds_de,PROPN,NE,@dwds_de,@dwds_de
fehlt,VERB,VVFIN,fehlen,fehlen
:,PUNCT,$(,:,:
http://de.m.wikipedia.org/wiki/Troll_(Netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),http://de.m.wikipedia.org/wiki/Troll_(Netzkultur)
…,PUNCT,$.,…,…
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
"""",PUNCT,$(,"""",
In,ADP,APPR,in,in
welchen,DET,PWAT,welcher,welche
Modi,NOUN,NN,Modus,Modus
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,werden
in,ADP,APPR,in,in
einigen,DET,PIAT,einiger,einige
Jahren,NOUN,NN,Jahr,Jahr
kommunizieren,VERB,VVINF,kommunizieren,kommunizieren
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",
@berlinothar,UNK,ADR,@berlinothar,@berlinothar
#ibk,UNK,HST,#ibk,#ibk
#cmc,UNK,HST,#cmc,#cmc
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Erfurter,ADJ,ADJA,Erfurter,Erfurt
Europäische,ADJ,ADJA,europäisch,europäisch
Welt-,X,TRUNC,Welt,Welt
und,CONJ,KON,und,und
Staats-Geschichte,NOUN,NN,Staats-Geschichte,Staatsgeschichte
:,PUNCT,$(,:,:
20,NUM,CARD,20,20
Ausgaben,NOUN,NN,Ausgabe,Ausgabe
von,ADP,APPR,von,von
1744,NUM,CARD,1744,1744
aus,ADP,APPR,aus,aus
dem,DET,ART,der,dem
MKHZ,PROPN,NE,MKHZ,MKHZ
bereits,ADV,ADV,bereits,bereits
in,ADP,APPR,in,in
DTAQ,PROPN,NE,DTAQ,DTAQ
http://www.deutschestextarchiv.de/dtaq/about,UNK,URL,http://www.deutschestextarchiv.de/dtaq/about,http://www.deutschestextarchiv.de/dtaq/about
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
E,PROPN,NE,E,E
Teich,PROPN,NE,Teich,Teich
",",PUNCT,"$,",",",","
H,PROPN,NE,H,H
Kermes,PROPN,NE,Kermes,Kermes
",",PUNCT,"$,",",",","
C,PROPN,NE,C,C
Draxler,PROPN,NE,Draxler,Draxler
:,PUNCT,$(,:,:
Kontextualisierung,NOUN,NN,Kontextualisierung,kontextualisieren
von,ADP,APPR,von,von
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressource
und,CONJ,KON,und,und
-technologie,X,TRUNC,Technologie,-technologie
in,ADP,APPR,in,in
der,DET,ART,der,der
geisteswissenschaftl.,ADJ,ADJA,geisteswissenschaftl.,Geisteswissenschaft
Forschung,NOUN,NN,Forschung,Forschung
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
@xyzbaba,UNK,ADR,@xyzbaba,@xyzbaba
"""",PUNCT,$(,"""",
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
einen,DET,ART,ein,ein
Tweed,NOUN,NN,Tweet,Tweed
für,ADP,APPR,für,für
alle,PRON,PIS,alle,all
schreiben,VERB,VVINF,schreiben,schreiben
",",PUNCT,"$,",",",","
hat,AUX,VAFIN,haben,haben
wohl,UNK,PTKMA,wohl,wohl
nicht,PART,PTKNEG,nicht,nicht
geklappt,VERB,VVPP,klappen,klappen
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
einfach,ADJ,ADJD,einfach,einfach
Schlagwort,NOUN,NN,Schlagwort,Schlagwort
#semibk,PROPN,NE,#semibk,#semibk
einbauen,VERB,VVINF,einbauen,einbauen
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
klappt,VERB,VVFIN,klappen,klappen
das,PRON,PDS,der,das
:),UNK,EMOASC,:),:)
@SimMüller,UNK,ADR,@SimMüller,@SimMüller
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
Zwitscher,UNK,AKW,zwitscher,zwitschern
zwitscher,UNK,AKW,zwitscher,zwitschern
Geschafft,VERB,VVPP,schaffen,geschaffen
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
Aha,INTJ,ITJ,aha,aha
!,PUNCT,$.,!,!
Es,PRON,PPER,es,es
zwitschert,VERB,VVFIN,zwitschern,zwitscher
im,ADP,APPRART,in,im
virtuellen,ADJ,ADJA,virtuell,virtuell
Geäst,NOUN,NN,Geäst,geäst
!,PUNCT,$.,!,!
;),UNK,EMOASC,;),;)
http://tinyurl.com/6hg24tw,UNK,URL,http://tinyurl.com/6hg24tw,http://tinyurl.com/6hg24tw
@Mia1234,UNK,ADR,@Mia1234,@Mia1234
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
wie,ADV,PWAV,wie,werden
funktioniert,VERB,VVFIN,funktionieren,funktionieren
das,PRON,PDS,der,der
mit,ADP,APPR,mit,mit
pdf,NOUN,NN,PDF,pdf
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
Wenn,SCONJ,KOUS,wenn,Wenn
Sie,PRON,PPER,sie,Sie
Word,PROPN,NE,Word,Word
verwenden,VERB,VVFIN,verwenden,verwenden
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
speichern,VERB,VVFIN,speichern,speichern
Sie,PRON,PPER,sie,Sie
Ihr,DET,PPOSAT,ihr,Ihr
Dokument,NOUN,NN,Dokument,Dokument
doch,UNK,PTKMA,doch,doch
einfach,ADJ,ADJD,einfach,einfach
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",
Word,PROPN,NE,Word,Word
97,NUM,CARD,97,97
"""",PUNCT,$(,"""",
oder,CONJ,KON,oder,oder
RTF,PROPN,NE,RTF,RTF
#semibk,UNK,HST,#semibk,#semibk
wir,PRON,PPER,wir,wir
nutzen,VERB,VVFIN,nutzen,nutzen
dann,ADV,ADV,dann,dann
eine,DET,ART,ein,ein
"""",PUNCT,$(,"""",
Twitterwall,NOUN,NN,Twitterwall,Twitterwall
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
mal,UNK,PTKMA,mal,mal
sehn,VERB,VMFIN,sehen,sehn
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
/,PUNCT,$(,/,/
wie,ADV,PWAV,wie,wie
chaotisch,ADJ,ADJD,chaotisch,chaotisch
das,PRON,PDS,der,der
wird,AUX,VAFIN,werden,sei
.,PUNCT,$.,.,.
;),UNK,EMOASC,;),;)
Ich,PRON,PPER,ich,Ich
schreib,VERB,VVFIN,schreiben,schreiben
das,PRON,PDS,der,das
vielleicht,ADV,ADV,vielleicht,vielleicht
auch,ADV,ADV,auch,auch
noch,UNK,PTKMWL,noch,noch
mal,UNK,PTKMWL,mal,mal
per,ADP,APPR,per,per
Rundmail,NOUN,NN,Rundmail,Rundmail
..,PUNCT,$.,..,..
:),UNK,EMOASC,:),:)
#semibk,UNK,HST,#semibk,#semibk
Ich,PRON,PPER,ich,ich
vergaß,VERB,VVFIN,vergessen,vergessen
ganz,ADJ,ADJD,ganz,ganz
anzukündigen,VERB,VVIZU,ankündigen,ankündigen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Sie,PRON,PPER,sie,sie
alle,DET,PIAT,aller,all
in,ADP,APPR,in,in
der,DET,ART,der,der
nächsten,ADJ,ADJA,nächster,nächst
Sitzung,NOUN,NN,Sitzung,Sitzung
votragsbegleitend,ADJ,ADJD,votragsbegleitend,vortragsbegleitend
per,ADP,APPR,per,per
Twitter,PROPN,NE,Twitter,Twitter
kommentieren,VERB,VVINF,kommentieren,kommentieren
/,PUNCT,$(,/,/
rückfragen,VERB,VVINF,rückfragen,Rückfrage
dürfen,VERB,VMFIN,dürfen,dürfen
.,PUNCT,$.,.,.
;),UNK,EMOASC,;),;)
Interessante,ADJ,ADJA,interessant,Interessant
Hintergrundstory,NOUN,NN,Hintergrundstory,Hintergrundstory
zu,ADP,APPR,zu,zu
Twitter,PROPN,NE,Twitter,Twitter
heute,ADV,ADV,heute,heute
auf,ADP,APPR,auf,auf
Spiegel,PROPN,NE,Spiegel,Spiegel
Online,PROPN,NE,Online,Online
:,PUNCT,$.,:,:
http://tinyurl.com/6heegfw,UNK,URL,http://tinyurl.com/6heegfw,http://tinyurl.com/6heegfw
#semibk,UNK,HST,#semibk,#semibk
@aPfeL4321,UNK,ADR,@apfel4321,@aPfeL4321
Das,DET,ART,der,das
Tagebuch,NOUN,NN,Tagebuch,Tagebuch
über,ADP,APPR,über,über
Ihre,DET,PPOSAT,ihr,ihr
Twittererkundung,NOUN,NN,Twittererkundung,Twittererkundung
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
"""",PUNCT,$(,"""",
Experiment,NOUN,NN,Experiment,Experiment
"""",PUNCT,$(,"""",
-,PUNCT,$(,-,-
insofern,ADV,ADV,insofern,insofern
muss,VERB,VMFIN,müssen,muss
es,PRON,PPER,es,es
auch,UNK,PTKMA,auch,auch
nicht,PART,PTKNEG,nicht,nicht
den,DET,ART,der,der
Charakter,NOUN,NN,Charakter,Charakter
einer,DET,ART,ein,einer
wiss,ADJ,ADJA,wissenschaftlich,wissen
Arabeit,NOUN,NN,Arbeit,Arbeit
haben,AUX,VAINF,haben,haben
.,PUNCT,$.,.,.
@Biggi_1010,UNK,ADR,@biggi_1010,@Biggi_1010
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
Die,DET,ART,der,der
Tagebücher,NOUN,NN,Tagebuch,Tagebuch
werden,AUX,VAFIN,werden,werden
bestimmt,ADJ,ADJD,bestimmt,bestimmen
sehr,UNK,PTKIFG,sehr,sehr
spannend,ADJ,ADJD,spannend,spannend
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
klingt,VERB,VVFIN,klingen,klingen
ungemein,UNK,PTKIFG,ungemein,ungemein
vielversprechend,ADJ,ADJD,vielversprechend,vielversprechen
.,PUNCT,$.,.,.
:-),UNK,EMOASC,:-),:-)
@Montaaag,UNK,ADR,@montaaag,@Montaaag
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
Ich,PRON,PPER,ich,ich
konnte,VERB,VMFIN,können,können
erstaunlich,ADJ,ADJD,erstaunlich,erstaunlich
viel,PRON,PIS,viel,viel
schreiben,VERB,VVINF,schreiben,schreiben
"""",PUNCT,$(,"""",
<-,X,XY,<-,<-
dacht,VERB,VVFIN,denken,denken
ichs,UNK,PPERPPER,ich,ich
mir,PRON,PRF,sich,mir
doch,UNK,PTKMA,doch,doch
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
sich,PRON,PRF,sich,sich
die,DET,ART,der,der
Tagebücher,NOUN,NN,Tagebuch,Tagebuch
schnell,ADJ,ADJD,schnell,schnell
füllen,VERB,VVFIN,füllen,füllen
;),UNK,EMOASC,;),;)
@Biggi_1010,UNK,ADR,@biggi_1010,@Biggi_1010
#semibk,UNK,HST,#semibk,#semibk
Es,PRON,PPER,es,er
ist,AUX,VAFIN,sein,sein
von,ADP,APPR,von,von
meiner,DET,PPOSAT,mein,mein
Seite,NOUN,NN,Seite,Seite
her,ADP,APZR,her,hier
ja,UNK,PTKMA,ja,jawohl
auch,UNK,PTKMA,auch,auch
ein,DET,ART,ein,ein
wenig,DET,PIDAT,wenig,wenig
Vorsatz,NOUN,NN,Vorsatz,Vorsatz
dabei,ADV,PAV,dabei,dabei
",",PUNCT,"$,",",",","
Sie,PRON,PPER,sie,Sie
was,DET,PIAT,was,was
Neues,NOUN,NN,neue,Neu
/,PUNCT,$(,/,/
noch,ADV,ADV,noch,noch
nicht,PART,PTKNEG,nicht,nicht
Vertrautes,NOUN,NN,vertraut,Vertraut
ausprobieren,VERB,VVINF,ausprobieren,ausprobieren
zu,PART,PTKZU,zu,zu
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,.
@Biggi_1010,UNK,ADR,@biggi_1010,@Biggi_1010
#Klicken,VERB,VVIMP,#klicken,Klick
Sie,PRON,PPER,sie,sie
mal,UNK,PTKMA,mal,mal
oben,ADV,ADV,oben,oben
rechts,ADV,ADV,rechts,recht
auf,ADP,APPR,auf,auf
Ihren,DET,PPOSAT,ihr,Ihrer
Namen,NOUN,NN,Name,Name
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
gibts,UNK,VVPPER,geben,gibt
ein,DET,ART,ein,ein
"""",PUNCT,$(,"""",
Hilfe-Center,NOUN,NN,Hilfe-Center,Hilfe-Center
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
:),UNK,EMOASC,:),:)
@Biggi_1010,UNK,ADR,@biggi_1010,@Biggi_1010
#semibk,UNK,HST,#semibk,#semibk
Immerhin,ADV,ADV,immerhin,Immerhin
haben,AUX,VAFIN,haben,haben
Sie,PRON,PPER,sie,Sie
es,PRON,PPER,es,es
soeben,ADV,ADV,soeben,soeben
geschafft,VERB,VVPP,schaffen,schaffen
",",PUNCT,"$,",",",","
Ihren,DET,PPOSAT,ihr,Ihr
ersten,ADJ,ADJA,erster,erst
"""",PUNCT,$(,"""",
Tweet,NOUN,NN,Tweet,Tweet
"""",PUNCT,$(,"""",
abzusetzen,VERB,VVIZU,absetzen,absetzen
-,PUNCT,$(,-,-
Das,PRON,PDS,der,Das
ist,AUX,VAFIN,sein,sein
doch,UNK,PTKMA,doch,doch
schon,UNK,PTKMA,schon,schon
mal,UNK,PTKMA,mal,mal
was,PRON,PIS,was,was
!,PUNCT,$.,!,!
:-),UNK,EMOASC,:-),:-)
#semibk,UNK,HST,#semibk,#semibk
Handout,NOUN,NN,Handout,Handout
mit,ADP,APPR,mit,mit
Hinweisen,NOUN,NN,Hinweis,Hinweis
zur,ADP,APPRART,zu,zur
Einstiegsreflexion,NOUN,NN,Einstiegsreflexion,Einstiegsreflexion
ist,AUX,VAFIN,sein,sein
online,ADV,ADV,online,online
.,PUNCT,$.,.,.
http://www.ews.tu-dortmund.de/,UNK,URL,http://www.ews.tu-dortmund.de/,http://www.ews.tu-dortmund.de/
@Mia1234,UNK,ADR,@Mia1234,@Mia1234
#semibk,UNK,HST,#semibk,#semibk
"""",PUNCT,$(,"""",
groß-,X,TRUNC,Groß,groß
/,PUNCT,$(,/,/
kleinschreibung,NOUN,NN,Kleinschreibung,kleinschreibung
..,PUNCT,$(,..,..
nicht,PART,PTKNEG,nicht,nicht
so,UNK,PTKMA,so,so
wichtig,ADJ,ADJD,wichtig,wichtig
für,ADP,APPR,für,für
das,DET,ART,der,das
Verständnis,NOUN,NN,Verständnis,Verständnis
"""",PUNCT,$(,"""",
