token,tag,tag_STTS,lemma_gold,lemma_pred
Das,PRON,PDS,der,
wärs,UNK,VAPPER,sein,
",",PUNCT,"$,",",",
allen,DET,PIAT,aller,
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,
#dtaclarin14,UNK,HST,#dtaclarin14,
CLARIN,PROPN,NE,Clarin,
VLO,PROPN,NE,Vlo,
:,PUNCT,$(,:,
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,
#dtaclarin14,UNK,HST,#dtaclarin14,
Dieter,PROPN,NE,Dieter,
van,PROPN,NE,Van,
Uytvanck,PROPN,NE,Uytvanck,
(,PUNCT,$(,(,
Nijmegen,PROPN,NE,Nijmegen,
),PUNCT,$(,),
:,PUNCT,$(,:,
Auf,ADP,APPR,auf,
der,DET,ART,der,
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressourcen
:,PUNCT,$(,:,
CLARINs,PROPN,NE,CLARIN,
Virtual,PROPN,NE,Virtual,
Language,PROPN,NE,Language,
Observatory,PROPN,NE,Observatory,
#dtaclarin14,UNK,HST,#dtaclarin14,
praktisches,ADJ,ADJA,praktisch,praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,
erweiterten,ADJ,ADJA,erweitert,erweitern
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattributen
mit,ADP,APPR,mit,
"""",PUNCT,$(,"""",
habend,ADJ,ADJD,habend,habend
"""",PUNCT,$(,"""",
:,PUNCT,$(,:,
http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,
#dtaclarin14,UNK,HST,#dtaclarin14,
WLAN,NOUN,NN,WLAN,WLAN
an,ADP,APPR,an,
der,DET,ART,der,
@bbaw_de,PROPN,NE,@bbaw_de,
heute,ADV,ADV,heute,heute
leider,ADV,ADV,leider,leider
sehr,UNK,PTKIFG,sehr,
instabil,ADJ,ADJD,instabil,instabil
und,CONJ,KON,und,
nicht,PART,PTKNEG,nicht,
wirklich,UNK,PTKMWL,wirklich,
brauchbar,ADJ,ADJD,brauchbar,brauchbar
.,PUNCT,$.,.,
Tut,VERB,VVFIN,tun,tun
uns,PRON,PPER,uns,
leid,PART,PTKVZ,leid,
...,PUNCT,$.,...,
#dtaclarin14,UNK,HST,#dtaclarin14,
Der,DET,ART,der,
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",
der,PRON,PRELS,der,
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,
@dwds_de,PROPN,NE,@dwds_de,
fehlt,VERB,VVFIN,fehlen,fehlen
:,PUNCT,$(,:,
http://de.m.wikipedia.org/wiki/Troll_(Netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),
…,PUNCT,$.,…,
#dtaclarin14,UNK,HST,#dtaclarin14,
"""",PUNCT,$(,"""",
In,ADP,APPR,in,
welchen,DET,PWAT,welcher,
Modi,NOUN,NN,Modus,Modi
werden,AUX,VAFIN,werden,
wir,PRON,PPER,wir,
in,ADP,APPR,in,
einigen,DET,PIAT,einiger,
Jahren,NOUN,NN,Jahr,Jahr
kommunizieren,VERB,VVINF,kommunizieren,kommunizieren
?,PUNCT,$.,?,
"""",PUNCT,$(,"""",
@berlinothar,UNK,ADR,@berlinothar,
#ibk,UNK,HST,#ibk,
#cmc,UNK,HST,#cmc,
#dtaclarin14,UNK,HST,#dtaclarin14,
Erfurter,ADJ,ADJA,Erfurter,erfurter
Europäische,ADJ,ADJA,europäisch,europäisch
Welt-,X,TRUNC,Welt,
und,CONJ,KON,und,
Staats-Geschichte,NOUN,NN,Staats-Geschichte,Staats-Geschichte
:,PUNCT,$(,:,
20,NUM,CARD,20,20
Ausgaben,NOUN,NN,Ausgabe,Ausgabe
von,ADP,APPR,von,
1744,NUM,CARD,1744,1744
aus,ADP,APPR,aus,
dem,DET,ART,der,
MKHZ,PROPN,NE,MKHZ,
bereits,ADV,ADV,bereits,bereits
in,ADP,APPR,in,
DTAQ,PROPN,NE,DTAQ,
http://www.deutschestextarchiv.de/dtaq/about,UNK,URL,http://www.deutschestextarchiv.de/dtaq/about,
#dtaclarin14,UNK,HST,#dtaclarin14,
Mannheimer,ADJ,ADJA,Mannheimer,mannheimer
Zeitungskorpus,NOUN,NN,Zeitungskorpus,Zeitungskorpus
:,PUNCT,$(,:,
652,NUM,CARD,652,652
Ausgaben,NOUN,NN,Ausgabe,Ausgabe
",",PUNCT,"$,",",",
4678,NUM,CARD,4678,4678
Seiten,NOUN,NN,Seite,Seite
",",PUNCT,"$,",",",
"4,1",NUM,CARD,"4,1","4,1"
Mio,NOUN,NN,Mio.,Mio
Tokens,NOUN,NN,Token,Tokens
",",PUNCT,"$,",",",
18.,ADJ,ADJA,18.,18.
und,CONJ,KON,und,
19.,ADJ,ADJA,19.,19.
Jh.,NOUN,NN,Jh.,Jh.
",",PUNCT,"$,",",",
D,PROPN,NE,D,
und,CONJ,KON,und,
AT,PROPN,NE,AT,
#dtaclarin14,UNK,HST,#dtaclarin14,
E,PROPN,NE,E,
Teich,PROPN,NE,Teich,
",",PUNCT,"$,",",",
H,PROPN,NE,H,
Kermes,PROPN,NE,Kermes,
",",PUNCT,"$,",",",
C,PROPN,NE,C,
Draxler,PROPN,NE,Draxler,
:,PUNCT,$(,:,
Kontextualisierung,NOUN,NN,Kontextualisierung,Kontextualisierung
von,ADP,APPR,von,
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressourcen
und,CONJ,KON,und,
-technologie,X,TRUNC,Technologie,
in,ADP,APPR,in,
der,DET,ART,der,
geisteswissenschaftl.,ADJ,ADJA,geisteswissenschaftl.,geisteswissenschaftl.
Forschung,NOUN,NN,Forschung,Forschung
#dtaclarin14,UNK,HST,#dtaclarin14,
@xyzbaba,UNK,ADR,@xyzbaba,
"""",PUNCT,$(,"""",
ich,PRON,PPER,ich,
wollte,VERB,VMFIN,wollen,wollen
einen,DET,ART,ein,
Tweed,NOUN,NN,Tweet,Tweed
für,ADP,APPR,für,
alle,PRON,PIS,alle,
schreiben,VERB,VVINF,schreiben,schreiben
",",PUNCT,"$,",",",
hat,AUX,VAFIN,haben,
wohl,UNK,PTKMA,wohl,
nicht,PART,PTKNEG,nicht,
geklappt,VERB,VVPP,klappen,klappen
"""",PUNCT,$(,"""",
<-,X,XY,<-,
einfach,ADJ,ADJD,einfach,einfach
Schlagwort,NOUN,NN,Schlagwort,Schlagwort
#semibk,PROPN,NE,#semibk,
einbauen,VERB,VVINF,einbauen,einbauen
",",PUNCT,"$,",",",
dann,ADV,ADV,dann,dann
klappt,VERB,VVFIN,klappen,klappen
das,PRON,PDS,der,
:),UNK,EMOASC,:),
@SimMüller,UNK,ADR,@SimMüller,
#semibk,UNK,HST,#semibk,
"""",PUNCT,$(,"""",
Zwitscher,UNK,AKW,zwitscher,
zwitscher,UNK,AKW,zwitscher,
Geschafft,VERB,VVPP,schaffen,schaffen
"""",PUNCT,$(,"""",
<-,X,XY,<-,
Aha,INTJ,ITJ,aha,
!,PUNCT,$.,!,
Es,PRON,PPER,es,
zwitschert,VERB,VVFIN,zwitschern,zwitschern
im,ADP,APPRART,in,
