token,tag,tag_STTS,lemma_gold,lemma_pred
Das,PRON,PDS,der,der
wärs,UNK,VAPPER,sein,wärs
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,alle
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
CLARIN,PROPN,NE,Clarin,CLARIN
VLO,PROPN,NE,Vlo,VLO
:,PUNCT,$(,:,:
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,https://catalog.clarin.eu
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Dieter,PROPN,NE,Dieter,Dieter
van,PROPN,NE,Van,van
Uytvanck,PROPN,NE,Uytvanck,Uytvanck
(,PUNCT,$(,(,(
Nijmegen,PROPN,NE,Nijmegen,Nijmegen
),PUNCT,$(,),)
:,PUNCT,$(,:,:
Auf,ADP,APPR,auf,auf
der,DET,ART,der,der
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,nach
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressourcen
:,PUNCT,$(,:,:
CLARINs,PROPN,NE,CLARIN,CLARINs
Virtual,PROPN,NE,Virtual,Virtual
Language,PROPN,NE,Language,Language
Observatory,PROPN,NE,Observatory,Observatory
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
praktisches,ADJ,ADJA,praktisch,praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,der
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweitert
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattributen
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",""""
habend,ADJ,ADJD,habend,habend
"""",PUNCT,$(,"""",""""
:,PUNCT,$(,:,:
http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,http://bit.ly/1EUPPhK
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
WLAN,NOUN,NN,WLAN,WLAN
an,ADP,APPR,an,an
der,DET,ART,der,der
@bbaw_de,PROPN,NE,@bbaw_de,@bbaw_de
heute,ADV,ADV,heute,heute
leider,ADV,ADV,leider,leider
sehr,UNK,PTKIFG,sehr,sehr
instabil,ADJ,ADJD,instabil,instabil
und,CONJ,KON,und,und
nicht,PART,PTKNEG,nicht,nicht
wirklich,UNK,PTKMWL,wirklich,wirklich
brauchbar,ADJ,ADJD,brauchbar,brauchbar
.,PUNCT,$.,.,.
Tut,VERB,VVFIN,tun,Tut
uns,PRON,PPER,uns,wir
leid,PART,PTKVZ,leid,leid
...,PUNCT,$.,...,...
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
Der,DET,ART,der,der
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,im
@dwds_de,PROPN,NE,@dwds_de,@dwds_de
fehlt,VERB,VVFIN,fehlen,fehlen
:,PUNCT,$(,:,:
http://de.m.wikipedia.org/wiki/Troll_(Netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),http://de.m.wikipedia.org/wiki/Troll_(Netzkultur)
…,PUNCT,$.,…,...
#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
"""",PUNCT,$(,"""",""""
In,ADP,APPR,in,in
welchen,DET,PWAT,welcher,welch
Modi,NOUN,NN,Modus,Modi
werden,AUX,VAFIN,werden,werden
