token,tag,tag_STTS,lemma_gold,lemma_pred
Das,PRON,PDS,der,die
wärs,UNK,VAPPER,sein,<unknown>
",",PUNCT,"$,",",",","
allen,DET,PIAT,aller,alle
Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmer
herzlichen,ADJ,ADJA,herzlich,herzlich
Dank,NOUN,NN,Dank,Dank
!,PUNCT,$.,!,!
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
CLARIN,PROPN,NE,Clarin,<unknown>
VLO,PROPN,NE,Vlo,VLO
:,PUNCT,$(,:,:
https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,<unknown>
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
Dieter,PROPN,NE,Dieter,Dieter
van,PROPN,NE,Van,van
Uytvanck,PROPN,NE,Uytvanck,<unknown>
(,PUNCT,$(,(,(
Nijmegen,PROPN,NE,Nijmegen,<unknown>
),PUNCT,$(,),)
:,PUNCT,$(,:,:
Auf,ADP,APPR,auf,auf
der,DET,ART,der,die
Suche,NOUN,NN,Suche,Suche
nach,ADP,APPR,nach,nach
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressource
:,PUNCT,$(,:,:
CLARINs,PROPN,NE,CLARIN,<unknown>
Virtual,PROPN,NE,Virtual,virtual
Language,PROPN,NE,Language,<unknown>
Observatory,PROPN,NE,Observatory,<unknown>
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
praktisches,ADJ,ADJA,praktisch,praktisch
Beispiel,NOUN,NN,Beispiel,Beispiel
der,DET,ART,der,die
Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
:,PUNCT,$(,:,:
Abnahme,NOUN,NN,Abnahme,Abnahme
von,ADP,APPR,von,von
erweiterten,ADJ,ADJA,erweitert,erweitert
Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattribut
mit,ADP,APPR,mit,mit
"""",PUNCT,$(,"""",nan
habend,ADJ,ADJD,habend,habend
"""",PUNCT,$(,"""",nan
:,PUNCT,$(,:,:
http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,<unknown>
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
WLAN,NOUN,NN,WLAN,WLAN
an,ADP,APPR,an,an
der,DET,ART,der,die
@bbaw_de,PROPN,NE,@bbaw_de,<unknown>
heute,ADV,ADV,heute,heute
leider,ADV,ADV,leider,leider
sehr,UNK,PTKIFG,sehr,sehr
instabil,ADJ,ADJD,instabil,instabil
und,CONJ,KON,und,und
nicht,PART,PTKNEG,nicht,nicht
wirklich,UNK,PTKMWL,wirklich,wirklich
brauchbar,ADJ,ADJD,brauchbar,brauchbar
.,PUNCT,$.,.,.
Tut,VERB,VVFIN,tun,tun
uns,PRON,PPER,uns,wir
leid,PART,PTKVZ,leid,leid
...,PUNCT,$.,...,...
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
Der,DET,ART,der,die
Troll,NOUN,NN,Troll,Troll
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,die
noch,ADV,ADV,noch,noch
im,ADP,APPRART,in,in+die
@dwds_de,PROPN,NE,@dwds_de,<unknown>
fehlt,VERB,VVFIN,fehlen,fehlen
:,PUNCT,$(,:,:
http://de.m.wikipedia.org/wiki/Troll_(Netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),<unknown>
…,PUNCT,$.,…,...
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
"""",PUNCT,$(,"""",nan
In,ADP,APPR,in,in
welchen,DET,PWAT,welcher,welche
Modi,NOUN,NN,Modus,Modus
werden,AUX,VAFIN,werden,werden
wir,PRON,PPER,wir,wir
in,ADP,APPR,in,in
einigen,DET,PIAT,einiger,einige
Jahren,NOUN,NN,Jahr,Jahr
kommunizieren,VERB,VVINF,kommunizieren,kommunizieren
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",nan
@berlinothar,UNK,ADR,@berlinothar,@berlinothar
#ibk,UNK,HST,#ibk,<unknown>
#cmc,UNK,HST,#cmc,<unknown>
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
Erfurter,ADJ,ADJA,Erfurter,Erfurter
Europäische,ADJ,ADJA,europäisch,europäisch
Welt-,X,TRUNC,Welt,Welt-
und,CONJ,KON,und,und
Staats-Geschichte,NOUN,NN,Staats-Geschichte,Staats-Geschichte
:,PUNCT,$(,:,:
20,NUM,CARD,20,@card@
Ausgaben,NOUN,NN,Ausgabe,Ausgabe
von,ADP,APPR,von,von
1744,NUM,CARD,1744,@card@
aus,ADP,APPR,aus,aus
dem,DET,ART,der,die
MKHZ,PROPN,NE,MKHZ,<unknown>
bereits,ADV,ADV,bereits,bereits
in,ADP,APPR,in,in
DTAQ,PROPN,NE,DTAQ,<unknown>
http://www.deutschestextarchiv.de/dtaq/about,UNK,URL,http://www.deutschestextarchiv.de/dtaq/about,<unknown>
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
Mannheimer,ADJ,ADJA,Mannheimer,Mannheimer
Zeitungskorpus,NOUN,NN,Zeitungskorpus,Zeitungskorpus
:,PUNCT,$(,:,:
652,NUM,CARD,652,@card@
Ausgaben,NOUN,NN,Ausgabe,Ausgabe
",",PUNCT,"$,",",",","
4678,NUM,CARD,4678,@card@
Seiten,NOUN,NN,Seite,Seite
",",PUNCT,"$,",",",","
"4,1",NUM,CARD,"4,1",@card@
Mio,NOUN,NN,Mio.,Mio
Tokens,NOUN,NN,Token,<unknown>
",",PUNCT,"$,",",",","
18.,ADJ,ADJA,18.,@ord@
und,CONJ,KON,und,und
19.,ADJ,ADJA,19.,@ord@
Jh.,NOUN,NN,Jh.,Jahrhundert|Jh.
",",PUNCT,"$,",",",","
D,PROPN,NE,D,D
und,CONJ,KON,und,und
AT,PROPN,NE,AT,AT
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
E,PROPN,NE,E,E
Teich,PROPN,NE,Teich,Teich
",",PUNCT,"$,",",",","
H,PROPN,NE,H,H
Kermes,PROPN,NE,Kermes,<unknown>
",",PUNCT,"$,",",",","
C,PROPN,NE,C,C
Draxler,PROPN,NE,Draxler,Draxler
:,PUNCT,$(,:,:
Kontextualisierung,NOUN,NN,Kontextualisierung,<unknown>
von,ADP,APPR,von,von
Sprachressourcen,NOUN,NN,Sprachressource,Sprachressource
und,CONJ,KON,und,und
-technologie,X,TRUNC,Technologie,-technologie
in,ADP,APPR,in,in
der,DET,ART,der,die
geisteswissenschaftl.,ADJ,ADJA,geisteswissenschaftl.,geisteswissenschaftlich
Forschung,NOUN,NN,Forschung,Forschung
#dtaclarin14,UNK,HST,#dtaclarin14,<unknown>
@xyzbaba,UNK,ADR,@xyzbaba,<unknown>
"""",PUNCT,$(,"""",nan
ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
einen,DET,ART,ein,eine
Tweed,NOUN,NN,Tweet,Tweed
für,ADP,APPR,für,für
alle,PRON,PIS,alle,alle
schreiben,VERB,VVINF,schreiben,schreiben
",",PUNCT,"$,",",",","
hat,AUX,VAFIN,haben,haben
wohl,UNK,PTKMA,wohl,wohl
nicht,PART,PTKNEG,nicht,nicht
geklappt,VERB,VVPP,klappen,klappen
"""",PUNCT,$(,"""",nan
<-,X,XY,<-,<unknown>
einfach,ADJ,ADJD,einfach,einfach
Schlagwort,NOUN,NN,Schlagwort,Schlagwort
#semibk,PROPN,NE,#semibk,<unknown>
einbauen,VERB,VVINF,einbauen,einbauen
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
klappt,VERB,VVFIN,klappen,klappen
das,PRON,PDS,der,die
:),UNK,EMOASC,:),<unknown>
@SimMüller,UNK,ADR,@SimMüller,@SimMüller
#semibk,UNK,HST,#semibk,<unknown>
"""",PUNCT,$(,"""",nan
Zwitscher,UNK,AKW,zwitscher,<unknown>
zwitscher,UNK,AKW,zwitscher,<unknown>
Geschafft,VERB,VVPP,schaffen,schaffen
"""",PUNCT,$(,"""",nan
<-,X,XY,<-,<unknown>
Aha,INTJ,ITJ,aha,aha
!,PUNCT,$.,!,!
Es,PRON,PPER,es,es
zwitschert,VERB,VVFIN,zwitschern,zwitschern
im,ADP,APPRART,in,in+die
virtuellen,ADJ,ADJA,virtuell,virtuell
Geäst,NOUN,NN,Geäst,<unknown>
!,PUNCT,$.,!,!
;),UNK,EMOASC,;),<unknown>
http://tinyurl.com/6hg24tw,UNK,URL,http://tinyurl.com/6hg24tw,<unknown>
@Mia1234,UNK,ADR,@Mia1234,<unknown>
#semibk,UNK,HST,#semibk,<unknown>
"""",PUNCT,$(,"""",nan
wie,ADV,PWAV,wie,wie
funktioniert,VERB,VVFIN,funktionieren,funktionieren
das,PRON,PDS,der,die
mit,ADP,APPR,mit,mit
pdf,NOUN,NN,PDF,<unknown>
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",nan
<-,X,XY,<-,<unknown>
Wenn,SCONJ,KOUS,wenn,wenn
Sie,PRON,PPER,sie,Sie
Word,PROPN,NE,Word,<unknown>
verwenden,VERB,VVFIN,verwenden,verwenden
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
speichern,VERB,VVFIN,speichern,speichern
Sie,PRON,PPER,sie,Sie
Ihr,DET,PPOSAT,ihr,ihr
Dokument,NOUN,NN,Dokument,Dokument
doch,UNK,PTKMA,doch,doch
einfach,ADJ,ADJD,einfach,einfach
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",nan
Word,PROPN,NE,Word,<unknown>
97,NUM,CARD,97,@card@
"""",PUNCT,$(,"""",nan
oder,CONJ,KON,oder,oder
RTF,PROPN,NE,RTF,RTF
@Ramiona,UNK,ADR,@ramiona,<unknown>
"""",PUNCT,$(,"""",nan
Openoffice,PROPN,NE,OpenOffice,Openoffice
Dokument,NOUN,NN,Dokument,Dokument
...,PUNCT,$(,...,...
oder,CONJ,KON,oder,oder
nur,UNK,PTKIFG,nur,nur
als,CONJ,KOKOM,als,als
Word,PROPN,NE,Word,<unknown>
"""",PUNCT,$(,"""",nan
<-,X,XY,<-,<unknown>
am,PART,PTKA,am,am
liebsten,ADJ,ADJD,lieb,lieb
wär,AUX,VAFIN,sein,sein
mir,PRON,PPER,mir,ich
RTF,PROPN,NE,RTF,RTF
oder,CONJ,KON,oder,oder
PDF,PROPN,NE,PDF,PDF
-,PUNCT,$(,-,-
das,PRON,PDS,der,die
kann,VERB,VMFIN,können,können
ihr,DET,PPOSAT,ihr,ihr
offenes,ADJ,ADJA,offen,offen
Büro,NOUN,NN,Büro,Büro
doch,UNK,PTKMA,doch,doch
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
?,PUNCT,$.,?,?
:),UNK,EMOASC,:),<unknown>
#semibk,UNK,HST,#semibk,<unknown>
Hier,ADV,ADV,hier,hier
noch,UNK,PTKMWL,noch,noch
mal,UNK,PTKMWL,mal,mal
schriftlich,ADJ,ADJD,schriftlich,schriftlich
+,CONJ,KON,+,+
zum,ADP,APPRART,zu,zu+die
Nachlesen,NOUN,NN,nachlesen,Nachlesen
:,PUNCT,$.,:,:
Verlängerung,NOUN,NN,Verlängerung,Verlängerung
der,DET,ART,der,die
Frist,NOUN,NN,Frist,Frist
für,ADP,APPR,für,für
die,DET,ART,der,die
Fertigstellung,NOUN,NN,Fertigstellung,Fertigstellung
der,DET,ART,der,die
Einstiegsreflexion,NOUN,NN,Einstiegsreflexion,Einstiegsreflexion
bis,ADP,APPR,bis,bis
zum,ADP,APPRART,zu,zu+die
12.,ADJ,ADJA,12.,@ord@
5.,ADJ,ADJA,5.,@ord@
@kelly456,UNK,ADR,@kelly456,<unknown>
#semibk,UNK,HST,#semibk,<unknown>
"""",PUNCT,$(,"""",nan
Kann,VERB,VMFIN,können,können
man,PRON,PIS,man,man
die,DET,ART,der,die
Ergebnisse,NOUN,NN,Ergebnis,Ergebnis
v.,ADP,APPRART,v.,von
14.,ADJ,ADJA,14.,@ord@
4.,ADJ,ADJA,4.,@ord@
noch,ADV,ADV,noch,noch
nachlesen,VERB,VVINF,nachlesen,nachlesen
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",nan
<-,X,XY,<-,<unknown>
ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
im,ADP,APPRART,in,in+die
Profil,NOUN,NN,Profil,Profil
von,ADP,APPR,von,von
Frau,NOUN,NN,Frau,Frau
Baumann,PROPN,NE,Baumann,Baumann
/,PUNCT,$(,/,/
@abcmaria,UNK,ADR,@abcmaria,@abcmaria
(,PUNCT,$(,(,(
dort,ADV,ADV,dort,dort
unter,ADP,APPR,unter,unter
"""",PUNCT,$(,"""",nan
weitere,ADJ,ADJA,weit,weit
Tweets,NOUN,NN,Tweet,<unknown>
"""",PUNCT,$(,"""",nan
),PUNCT,$(,),)
#semibk,UNK,HST,#semibk,<unknown>
wir,PRON,PPER,wir,wir
nutzen,VERB,VVFIN,nutzen,nutzen
dann,ADV,ADV,dann,dann
eine,DET,ART,ein,eine
"""",PUNCT,$(,"""",nan
Twitterwall,NOUN,NN,Twitterwall,<unknown>
"""",PUNCT,$(,"""",nan
.,PUNCT,$.,.,.
mal,UNK,PTKMA,mal,mal
sehn,VERB,VMFIN,sehen,sehnen|sehen
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
/,PUNCT,$(,/,/
wie,ADV,PWAV,wie,wie
chaotisch,ADJ,ADJD,chaotisch,chaotisch
das,PRON,PDS,der,die
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
;),UNK,EMOASC,;),<unknown>
Ich,PRON,PPER,ich,Ich
schreib,VERB,VVFIN,schreiben,schreiben
das,PRON,PDS,der,die
vielleicht,ADV,ADV,vielleicht,vielleicht
auch,ADV,ADV,auch,auch
noch,UNK,PTKMWL,noch,noch
mal,UNK,PTKMWL,mal,mal
per,ADP,APPR,per,per
Rundmail,NOUN,NN,Rundmail,<unknown>
..,PUNCT,$.,..,..
:),UNK,EMOASC,:),<unknown>
#semibk,UNK,HST,#semibk,<unknown>
Ich,PRON,PPER,ich,Ich
vergaß,VERB,VVFIN,vergessen,vergessen
ganz,ADJ,ADJD,ganz,ganz
anzukündigen,VERB,VVIZU,ankündigen,ankündigen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Sie,PRON,PPER,sie,Sie
alle,DET,PIAT,aller,alle
in,ADP,APPR,in,in
der,DET,ART,der,die
nächsten,ADJ,ADJA,nächster,nah
Sitzung,NOUN,NN,Sitzung,Sitzung
votragsbegleitend,ADJ,ADJD,votragsbegleitend,votragsbegleitend
per,ADP,APPR,per,per
Twitter,PROPN,NE,Twitter,<unknown>
kommentieren,VERB,VVINF,kommentieren,kommentieren
/,PUNCT,$(,/,/
rückfragen,VERB,VVINF,rückfragen,rückfragen
dürfen,VERB,VMFIN,dürfen,dürfen
.,PUNCT,$.,.,.
;),UNK,EMOASC,;),<unknown>
Interessante,ADJ,ADJA,interessant,Interessante
Hintergrundstory,NOUN,NN,Hintergrundstory,Hintergrundstory
zu,ADP,APPR,zu,zu
Twitter,PROPN,NE,Twitter,<unknown>
heute,ADV,ADV,heute,heute
auf,ADP,APPR,auf,auf
Spiegel,PROPN,NE,Spiegel,Spiegel
Online,PROPN,NE,Online,online
:,PUNCT,$.,:,:
http://tinyurl.com/6heegfw,UNK,URL,http://tinyurl.com/6heegfw,<unknown>
#semibk,UNK,HST,#semibk,<unknown>
@aPfeL4321,UNK,ADR,@apfel4321,<unknown>
Das,DET,ART,der,die
TB,NOUN,NN,Tagebuch,tb
sollte,VERB,VMFIN,sollen,sollen
allerdings,ADV,ADV,allerdings,allerdings
gut,ADJ,ADJD,gut,gut
lesbar,ADJ,ADJD,lesbar,lesbar
sein,AUX,VAINF,sein,sein
.,PUNCT,$.,.,.
Vllt,ADV,ADV,vielleicht,<unknown>
lesen,VERB,VVFIN,lesen,lesen
Sie,PRON,PPER,sie,Sie
vor,ADP,APPR,vor,vor
Abgabe,NOUN,NN,Abgabe,Abgabe
einfach,ADJ,ADJD,einfach,einfach
noch,UNK,PTKMWL,noch,noch
mal,ADV,ADV,mal,mal
drüber,PART,PTKVZ,drüber,drüber
und,CONJ,KON,und,und
glätten,VERB,VVFIN,glätten,glätten
dann,ADV,ADV,dann,dann
ggf.,ADV,ADV,ggf.,ggf.
noch,ADV,ADV,noch,noch
ein,DET,ART,ein,eine
wenig,PRON,PIS,wenig,wenige
:),UNK,EMOASC,:),<unknown>
@aPfeL4321,UNK,ADR,@apfel4321,<unknown>
Das,DET,ART,der,die
Tagebuch,NOUN,NN,Tagebuch,Tagebuch
über,ADP,APPR,über,über
Ihre,DET,PPOSAT,ihr,ihr
Twittererkundung,NOUN,NN,Twittererkundung,Twittererkundung
ist,AUX,VAFIN,sein,sein
