token,tag,tag_STTS,lemma_gold,lemma_pred
mein,DET,PPOSAT,mein,mein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
zwei,NUM,CARD,zwei,zwei
große,ADJ,ADJA,groß,groß
Blöcke,NOUN,NN,Block,Block
super,UNK,PTKIFG,super,super
hartes,ADJ,ADJA,hart,hart
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
das,DET,ART,der,der
Teil,NOUN,NN,Teil,Teil
daraus,ADV,PAV,daraus,darauf
geschnitzt,VERB,VVPP,schnitzen,schnitzen
",",PUNCT,"$,",",",","
wo,SCONJ,KOUS,wo,wo
die,DET,ART,der,die
Haken,NOUN,NN,Haken,Haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,.
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,emojiQsmilingFaceWithOpenMouthAndSmilingEyes
uh,INTJ,ITJ,uh,uh
das,PRON,PDS,der,das
sieht,VERB,VVFIN,sehen,sehen
voll,UNK,PTKIFG,voll,voll
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,aus
*_*,UNK,EMOASC,*_*,*_*
und,CONJ,KON,und,und
der,DET,ART,der,der
Pilzkopferwin,PROPN,NE,Pilzkopferwin,Pilzkopf
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
Nadine,PROPN,NE,Nadine,Nadine
bestellt,VERB,VVFIN,bestellen,bestellen
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
einen,DET,ART,ein,ein
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,für
die,DET,ART,der,die
Griffe,NOUN,NN,Griff,Griffe
und,CONJ,KON,und,und
macht,VERB,VVFIN,machen,machen
einen,DET,ART,ein,ein
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,.
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,emojiQsmilingFaceWithSmilingEyes
und,CONJ,KON,und,und
den,DET,ART,der,das
perfekten,ADJ,ADJA,perfekt,perfekte
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,für
die,DET,ART,der,die
Klingen,NOUN,NN,Klinge,Klinge
habe,AUX,VAFIN,haben,habe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,finden
.,PUNCT,$.,.,.
müssen,VERB,VMFIN,müssen,müssen
uns,PRON,PRF,sich,uns
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
au,INTJ,ITJ,au,au
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),:)
unbedingt,ADJ,ADJD,unbedingt,unbeding
!,PUNCT,$.,!,!
*_*,UNK,EMOASC,*_*,*_*
dann,ADV,ADV,dann,dann
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,dir
alles,PRON,PIS,alle,alles
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,.
Mann,INTJ,ITJ,Mann,Mann
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,sein
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,so
aufgeregt,ADJ,ADJD,aufgeregt,aufregen
.,PUNCT,$.,.,.
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,emojiQflushedFace
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
hehe,INTJ,ITJ,hehe,hehe
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,xD
das,PRON,PDS,der,ja
wird,AUX,VAFIN,werden,!
so,UNK,PTKIFG,so,hehe
gut,ADJ,ADJD,gut,ich
.,PUNCT,$.,.,auch
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,xD
ja,PART,PTKANT,ja,das
auf,ADP,APPR,auf,werden
Jedenfall,NOUN,NN,Jedenfall,gut
!,PUNCT,$.,!,.
:),UNK,EMOASC,:),emojiQsmilingCatFaceWithHeartShapedEyes
und,CONJ,KON,und,und
Sushi,NOUN,NN,Sushi,Sushi
müssen,VERB,VMFIN,müssen,müssen
wir,PRON,PPER,wir,werden
auch,ADV,ADV,auch,auch
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
hehe,INTJ,ITJ,hehe,hehe
:),UNK,EMOASC,:),:)
das,PRON,PDS,der,das
klingt,VERB,VVFIN,klingen,klingen
gut,ADJ,ADJD,gut,gut
auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
voll,UNK,PTKIFG,voll,voll
pleite,ADV,ADV,pleite,pleit
bin,AUX,VAFIN,sein,sein
xD,UNK,EMOASC,xD,xD
ich,PRON,PPER,ich,ich
doch,UNK,PTKMA,doch,doch
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
der,PRON,PDS,der,der
hat,AUX,VAFIN,haben,haben
soviel,DET,PIAT,sovieler,soviel
Potenzial,NOUN,NN,Potenzial,Potenzial
.,PUNCT,$.,.,.
oh,INTJ,ITJ,oh,oh
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
ich,PRON,PPER,ich,ich
liebe,VERB,VVFIN,lieben,lieben
dich,PRON,PPER,dich,dich
dafür,ADV,PAV,dafür,dafür
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,XD
ooh,INTJ,ITJ,ooh,Ooh
Mann,NOUN,NN,Mann,Mann
!,PUNCT,$.,!,!
oha,INTJ,ITJ,oha,oh
",",PUNCT,"$,",",",","
Gryffindor,PROPN,NE,Gryffindor,Gryffindor
?,PUNCT,$.,?,?
XD,UNK,EMOASC,XD,XD
XD,UNK,EMOASC,XD,xd
du,PRON,PPER,du,du
killst,VERB,VVFIN,killen,killen
mich,PRON,PPER,mich,ich
!,PUNCT,$.,!,!
so,UNK,PTKIFG,so,so
herrlich,ADJ,ADJD,herrlich,herrlich
xDD,UNK,EMOASC,xDD,xdd
das,PRON,PDS,der,das
macht,VERB,VVFIN,machen,machen
so,ADV,ADV,so,so
Spaß,NOUN,NN,Spaß,Spaß
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
uh,INTJ,ITJ,uh,uh
xD,UNK,EMOASC,xD,xd
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
ich,PRON,PPER,ich,ich
denke,VERB,VVFIN,denken,denken
mir,PRON,PRF,sich,mir
heute,ADV,ADV,heute,heute
sicher,ADJ,ADJD,sicher,sicher
noch,UNK,PTKMA,noch,noch
mehr,PRON,PIS,mehr,mehr
machen,VERB,VVFIN,machen,machen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
ich,PRON,PPER,ich,ich
glaube,VERB,VVFIN,glauben,glauben
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
bleibe,VERB,VVFIN,bleiben,bleiben
bei,ADP,APPR,bei,bei
Janosch,PROPN,NE,Janosch,Janosch
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
ja,PART,PTKANT,ja,ich
...,PUNCT,$(,...,glauben
Benedikt,PROPN,NE,Benedikt,","
sind,AUX,VAFIN,sein,ich
irgendwie,ADV,ADV,irgendwie,bleiben
etwas,UNK,PTKIFG,etwas,bei
seltsam,ADJ,ADJD,seltsam,Janosch
aus,PART,PTKVZ,aus,.
xD,UNK,EMOASC,xD,emojiQpersonFrowning
ich,PRON,PPER,ich,ich
weiß,VERB,VVFIN,wissen,wissen
...,PUNCT,$(,...,...
dabei,ADV,PAV,dabei,dabei
habe,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
mir,PRON,PRF,sich,mir
voll,UNK,PTKIFG,voll,voll
Mühe,NOUN,NN,Mühe,Mühe
gegeben,VERB,VVPP,geben,geben
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
hm,INTJ,ITJ,hm,hm
hm,INTJ,ITJ,hm,hm
:),UNK,EMOASC,:),:)
speckige,ADJ,ADJA,speckig,speckig
Fettfinger,NOUN,NN,Fettfinger,Fettfinger
machen,VERB,VVFIN,machen,machen
sich,PRON,PRF,sich,sich
schlecht,ADJ,ADJD,schlecht,schlecht
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
