token,tag,tag_STTS,lemma_gold,lemma_pred
mein,DET,PPOSAT,mein,mein
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,haben
zwei,NUM,CARD,zwei,zwei
große,ADJ,ADJA,groß,groß
Blöcke,NOUN,NN,Block,Block
super,UNK,PTKIFG,super,super
hartes,ADJ,ADJA,hart,hart
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,und
wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
das,DET,ART,der,die
Teil,NOUN,NN,Teil,Teil
daraus,ADV,PAV,daraus,daraus
geschnitzt,VERB,VVPP,schnitzen,schnitzen
",",PUNCT,"$,",",",","
wo,SCONJ,KOUS,wo,wo
die,DET,ART,der,die
Haken,NOUN,NN,Haken,Haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,.
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,<unknown>
uh,INTJ,ITJ,uh,<unknown>
das,PRON,PDS,der,die
sieht,VERB,VVFIN,sehen,sehen
voll,UNK,PTKIFG,voll,voll
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,aus
*_*,UNK,EMOASC,*_*,<unknown>
und,CONJ,KON,und,und
der,DET,ART,der,die
Pilzkopferwin,PROPN,NE,Pilzkopferwin,<unknown>
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,<unknown>
Nadine,PROPN,NE,Nadine,Nadine
bestellt,VERB,VVFIN,bestellen,bestellen
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
einen,DET,ART,ein,eine
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,für
die,DET,ART,der,die
Griffe,NOUN,NN,Griff,Griff
und,CONJ,KON,und,und
macht,VERB,VVFIN,machen,machen
einen,DET,ART,ein,eine
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,.
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,<unknown>
und,CONJ,KON,und,und
den,DET,ART,der,die
perfekten,ADJ,ADJA,perfekt,perfekt
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,für
die,DET,ART,der,die
Klingen,NOUN,NN,Klinge,Klinge|Klingen
habe,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,finden
.,PUNCT,$.,.,.
müssen,VERB,VMFIN,müssen,müssen
uns,PRON,PRF,sich,wir
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,<unknown>
au,INTJ,ITJ,au,au
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),<unknown>
unbedingt,ADJ,ADJD,unbedingt,unbedingt
!,PUNCT,$.,!,!
*_*,UNK,EMOASC,*_*,<unknown>
dann,ADV,ADV,dann,dann
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,ich
dir,PRON,PPER,dir,du
alles,PRON,PIS,alle,alle
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,.
Mann,INTJ,ITJ,Mann,Mann
ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,sein
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,so
aufgeregt,ADJ,ADJD,aufgeregt,aufregen
.,PUNCT,$.,.,.
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,<unknown>
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
hehe,INTJ,ITJ,hehe,<unknown>
ich,PRON,PPER,ich,ich
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,<unknown>
das,PRON,PDS,der,die
wird,AUX,VAFIN,werden,werden
so,UNK,PTKIFG,so,so
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,<unknown>
ja,PART,PTKANT,ja,ja
auf,ADP,APPR,auf,auf
Jedenfall,NOUN,NN,Jedenfall,<unknown>
!,PUNCT,$.,!,!
:),UNK,EMOASC,:),<unknown>
und,CONJ,KON,und,und
Sushi,NOUN,NN,Sushi,Sushi
müssen,VERB,VMFIN,müssen,müssen
wir,PRON,PPER,wir,wir
auch,ADV,ADV,auch,auch
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
essen,VERB,VVINF,essen,essen
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
hehe,INTJ,ITJ,hehe,<unknown>
:),UNK,EMOASC,:),<unknown>
das,PRON,PDS,der,die
klingt,VERB,VVFIN,klingen,klingen
gut,ADJ,ADJD,gut,gut
auch,ADV,ADV,auch,auch
wenn,SCONJ,KOUS,wenn,wenn
ich,PRON,PPER,ich,ich
schon,UNK,PTKMA,schon,schon
voll,UNK,PTKIFG,voll,voll
pleite,ADV,ADV,pleite,pleite
bin,AUX,VAFIN,sein,sein
xD,UNK,EMOASC,xD,<unknown>
ich,PRON,PPER,ich,ich
doch,UNK,PTKMA,doch,doch
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
XD,UNK,EMOASC,XD,<unknown>
XD,UNK,EMOASC,XD,<unknown>
ahahahaha,INTJ,ITJ,ahahahaha,<unknown>
!,PUNCT,$.,!,!
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,XD
der,PRON,PDS,der,die
hat,AUX,VAFIN,haben,haben
soviel,DET,PIAT,sovieler,soviele
Potenzial,NOUN,NN,Potenzial,Potenzial
.,PUNCT,$.,.,.
oh,INTJ,ITJ,oh,oh
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
wie,UNK,PTKIFG,wie,wie
herrlich,ADJ,ADJD,herrlich,herrlich
!,PUNCT,$.,!,!
ich,PRON,PPER,ich,ich
liebe,VERB,VVFIN,lieben,lieben
dich,PRON,PPER,dich,du
dafür,ADV,PAV,dafür,dafür
!,PUNCT,$.,!,!
XD,UNK,EMOASC,XD,<unknown>
XD,UNK,EMOASC,XD,XD
ooh,INTJ,ITJ,ooh,<unknown>
Mann,NOUN,NN,Mann,Mann
!,PUNCT,$.,!,!
oha,INTJ,ITJ,oha,oha
",",PUNCT,"$,",",",","
Gryffindor,PROPN,NE,Gryffindor,<unknown>
?,PUNCT,$.,?,?
XD,UNK,EMOASC,XD,<unknown>
XD,UNK,EMOASC,XD,XD
du,PRON,PPER,du,du
killst,VERB,VVFIN,killen,<unknown>
mich,PRON,PPER,mich,ich
!,PUNCT,$.,!,!
so,UNK,PTKIFG,so,so
herrlich,ADJ,ADJD,herrlich,herrlich
xDD,UNK,EMOASC,xDD,<unknown>
das,PRON,PDS,der,die
macht,VERB,VVFIN,machen,machen
so,ADV,ADV,so,so
Spaß,NOUN,NN,Spaß,Spaß
.,PUNCT,$.,.,.
emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,<unknown>
uh,INTJ,ITJ,uh,<unknown>
xD,UNK,EMOASC,xD,<unknown>
ja,PART,PTKANT,ja,ja
!,PUNCT,$.,!,!
ich,PRON,PPER,ich,ich
denke,VERB,VVFIN,denken,denken
mir,PRON,PRF,sich,ich
heute,ADV,ADV,heute,heute
sicher,ADJ,ADJD,sicher,sicher
noch,UNK,PTKMA,noch,noch
mehr,PRON,PIS,mehr,mehr
machen,VERB,VVFIN,machen,machen
.,PUNCT,$.,.,.
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,<unknown>
ich,PRON,PPER,ich,ich
glaube,VERB,VVFIN,glauben,glauben
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
bleibe,VERB,VVFIN,bleiben,bleiben
bei,ADP,APPR,bei,bei
Janosch,PROPN,NE,Janosch,Janosch
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,<unknown>
ja,PART,PTKANT,ja,ja
...,PUNCT,$(,...,...
Benedikt,PROPN,NE,Benedikt,Benedikt
sind,AUX,VAFIN,sein,sein
irgendwie,ADV,ADV,irgendwie,irgendwie
etwas,UNK,PTKIFG,etwas,etwas
seltsam,ADJ,ADJD,seltsam,seltsam
aus,PART,PTKVZ,aus,aus
xD,UNK,EMOASC,xD,<unknown>
ich,PRON,PPER,ich,ich
weiß,VERB,VVFIN,wissen,wissen
...,PUNCT,$(,...,...
dabei,ADV,PAV,dabei,dabei
habe,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,ich
mir,PRON,PRF,sich,ich
voll,UNK,PTKIFG,voll,voll
Mühe,NOUN,NN,Mühe,Mühe
gegeben,VERB,VVPP,geben,geben
.,PUNCT,$.,.,.
emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,<unknown>
hm,INTJ,ITJ,hm,hm
hm,INTJ,ITJ,hm,hm
:),UNK,EMOASC,:),<unknown>
speckige,ADJ,ADJA,speckig,speckig
Fettfinger,NOUN,NN,Fettfinger,Fettfinger
machen,VERB,VVFIN,machen,machen
sich,PRON,PRF,sich,sich
schlecht,ADJ,ADJD,schlecht,schlecht
.,PUNCT,$.,.,.
