token,tag,tag_STTS,lemma_gold,lemma_pred
Mein,DET,PPOSAT,mein,
Papa,NOUN,NN,Papa,Papa
hat,AUX,VAFIN,haben,
zwei,NUM,CARD,zwei,Zwei
große,ADJ,ADJA,groß,groß
Blöcke,NOUN,NN,Block,Block
super,UNK,PTKIFG,super,
hartes,ADJ,ADJA,hart,hart
Styropor,NOUN,NN,Styropor,Styropor
und,CONJ,KON,und,
wir,PRON,PPER,wir,
haben,AUX,VAFIN,haben,
mal,UNK,PTKMA,mal,
das,DET,ART,der,
teil,NOUN,NN,Teil,Teil
daraus,ADV,PAV,daraus,daraus
geschnitzt,VERB,VVPP,schnitzen,schnitzen
",",PUNCT,"$,",",",
wo,SCONJ,KOUS,wo,
die,DET,ART,der,
haken,NOUN,NN,Haken,Haken
rauskommen,VERB,VVFIN,rauskommen,rauskommen
.,PUNCT,$.,.,
emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,
Uuuh,INTJ,ITJ,uh,
das,PRON,PDS,der,
sieht,VERB,VVFIN,sehen,sehen
voll,UNK,PTKIFG,voll,
gut,ADJ,ADJD,gut,gut
aus,PART,PTKVZ,aus,
*_*,UNK,EMOASC,*_*,
Und,CONJ,KON,und,
der,DET,ART,der,
pilzkopferwin,PROPN,NE,Pilzkopferwin,
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,
Nadine,PROPN,NE,Nadine,
bestellt,VERB,VVFIN,bestellen,bestellen
sich,PRON,PRF,sich,
jetzt,ADV,ADV,jetzt,jetzt
nen,DET,ART,ein,
Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
für,ADP,APPR,für,
die,DET,ART,der,
Grigfe,NOUN,NN,Griff,Grigfe
und,CONJ,KON,und,
macht,VERB,VVFIN,machen,machen
nen,DET,ART,ein,
Prototyp,NOUN,NN,Prototyp,Prototyp
.,PUNCT,$.,.,
emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,
und,CONJ,KON,und,
den,DET,ART,der,
perfekten,ADJ,ADJA,perfekt,perfekt
Lack,NOUN,NN,Lack,Lack
für,ADP,APPR,für,
die,DET,ART,der,
Klingen,NOUN,NN,Klinge,Klingen
hab,AUX,VAFIN,haben,
ich,PRON,PPER,ich,
auch,ADV,ADV,auch,auch
schon,ADV,ADV,schon,schon
gefunden,VERB,VVPP,finden,finden
.,PUNCT,$.,.,
Müssen,VERB,VMFIN,müssen,müssen
uns,PRON,PRF,sich,
bald,ADV,ADV,bald,bald
mal,UNK,PTKMA,mal,
wieder,ADV,ADV,wieder,wieder
treffen,VERB,VVINF,treffen,treffen
.,PUNCT,$.,.,
emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,
Au,INTJ,ITJ,au,
ja,PART,PTKANT,ja,
!,PUNCT,$.,!,
:),UNK,EMOASC,:),
unbedingt,ADJ,ADJD,unbedingt,unbedingt
!,PUNCT,$.,!,
*_*,UNK,EMOASC,*_*,
Dann,ADV,ADV,dann,dann
kann,VERB,VMFIN,können,können
ich,PRON,PPER,ich,
dir,PRON,PPER,dir,
alles,PRON,PIS,alle,
zeigen,VERB,VVINF,zeigen,zeigen
.,PUNCT,$.,.,
Man,INTJ,ITJ,Mann,
ich,PRON,PPER,ich,
bin,AUX,VAFIN,sein,
schon,ADV,ADV,schon,schon
so,UNK,PTKIFG,so,
aufgeregt,ADJ,ADJD,aufgeregt,aufgeregt
.,PUNCT,$.,.,
emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,
Jaaaa,PART,PTKANT,ja,
!,PUNCT,$.,!,
Hehe,INTJ,ITJ,hehe,
ich,PRON,PPER,ich,
auch,ADV,ADV,auch,auch
xD,UNK,EMOASC,xD,
Das,PRON,PDS,der,
wird,AUX,VAFIN,werden,
so,UNK,PTKIFG,so,
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,
emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,
Jaa,PART,PTKANT,ja,
auf,ADP,APPR,auf,
