token,tag,tag_STTS,lemma_gold,lemma_pred
Solange,SCONJ,KOUS,solange,Solange
keine,DET,PIAT,kein,kein
zuverlässige,ADJ,ADJA,zuverlässig,zuverlässig
Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
vorliegt,VERB,VVFIN,vorliegen,vorliegen
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Lou,PROPN,NE,Lou,Lou
Reed,PROPN,NE,Reed,Reed
als,CONJ,KOKOM,als,als
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,“
bezeichnet,VERB,VVFIN,bezeichnen,bezeichnen
(,PUNCT,$(,(,(
ein,DET,ART,ein,ein
Begriff,NOUN,NN,Begriff,Begriff
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,den
der,DET,ART,der,der
Duden,PROPN,NE,Duden,Duden
wiegesagt,INTJ,ITJ,wiegesagt,wiegesagt
nicht,PART,PTKNEG,nicht,nicht
kennt,VERB,VVFIN,kennen,kennen
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
sollten,VERB,VMFIN,sollen,sollen
wir,PRON,PPER,wir,wir
ihn,PRON,PPER,ihn,ihn
nicht,PART,PTKNEG,nicht,nicht
verwenden,VERB,VVINF,verwenden,verwenden
.,PUNCT,$.,.,.
Die,DET,ART,der,Die
Konnoation,NOUN,NN,Konnotation,Konnotation
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
eine,DET,ART,ein,ein
andere,DET,PIAT,anderer,ander
als,CONJ,KOKOM,als,als
bei,ADP,APPR,bei,bei
Songwriter,NOUN,NN,Songwriter,Songwriter
.,PUNCT,$.,.,.
Liederschreiber,NOUN,NN,Liederschreiber,Liederschreiber
ist,AUX,VAFIN,sein,sein
eine,DET,ART,ein,ein
verkrampfte,ADJ,ADJA,verkrampft,verkrampft
Eindeutschung,NOUN,NN,Eindeutschung,Eindeutschung
und,CONJ,KON,und,und
lässt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,sich
im,ADP,APPRART,in,im
Gegensatz,NOUN,NN,Gegensatz,Gegensatz
zu,ADP,APPR,zu,zu
Songwriter,NOUN,NN,Songwriter,Songwriter
deswegen,ADV,PAV,deswegen,deswegen
auch,ADV,ADV,auch,auch
nicht,PART,PTKNEG,nicht,nicht
im,ADP,APPRART,in,im
Duden,PROPN,NE,Duden,Duden
finden,VERB,VVINF,finden,finden
.,PUNCT,$.,.,.
Gemäß,ADP,APPR,gemäß,Gemäß
dem,DET,ART,der,dem
Deutschen,ADJ,ADJA,deutsch,Deutsch
Wortschatzlexikon,NOUN,NN,Wortschatzlexikon,Wortschatzlexikon
hat,AUX,VAFIN,haben,haben
Songwriter,NOUN,NN,Songwriter,Songwriter
eine,DET,ART,ein,ein
Häufigkeitsklasse,NOUN,NN,Häufigkeitsklasse,Häufigkeitsklasse
von,ADP,APPR,von,von
15,NUM,CARD,15,15
",",PUNCT,"$,",",",","
Liederschreiber,NOUN,NN,Liederschreiber,Liederschreiber
