token,tag,tag_STTS,lemma_gold,lemma_pred
Jemand,PRON,PIS,jemand,
",",PUNCT,"$,",",",
der,PRON,PRELS,der,
Lieder,NOUN,NN,Lied,Lied
schreibt,VERB,VVFIN,schreiben,schreiben
",",PUNCT,"$,",",",
ist,AUX,VAFIN,sein,
gemäß,ADP,APPR,gemäß,
meinem,DET,PPOSAT,mein,
Sprachverständnis,NOUN,NN,Sprachverständnis,Sprachverständnis
ein,DET,ART,ein,
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
.,PUNCT,$.,.,
Wieso,ADV,PWAV,wieso,wieso
das,PRON,PDS,der,
weniger,DET,PIAT,weniger,
deutsch,ADJ,ADJD,deutsch,deutsch
sein,AUX,VAINF,sein,
soll,VERB,VMFIN,sollen,sollen
als,CONJ,KOKOM,als,
"""",PUNCT,$(,"""",
Songautor,NOUN,NN,Songautor,Songautor
"""",PUNCT,$(,"""",
",",PUNCT,"$,",",",
müsstest,VERB,VMFIN,müssen,müssen
du,PRON,PPER,du,
mir,PRON,PPER,mir,
dann,ADV,ADV,dann,dann
noch,ADV,ADV,noch,noch
erläutern,VERB,VVINF,erläutern,erläutern
.,PUNCT,$.,.,
Schreibe,VERB,VVFIN,schreiben,schreiben
ich,PRON,PPER,ich,
einen,DET,ART,ein,
Ssssssong,NOUN,NN,Song,Ssssssong
",",PUNCT,"$,",",",
so,ADV,ADV,so,so
schreibe,VERB,VVFIN,schreiben,schreiben
ich,PRON,PPER,ich,
nichts,DET,PIAT,nichts,
anderes,PRON,PIS,anderer,
als,ADP,APPR,als,
ein,DET,ART,ein,
Lied,NOUN,NN,Lied,Lied
.,PUNCT,$.,.,
Ich,PRON,PPER,ich,
hab,AUX,VAFIN,haben,
mal,UNK,PTKMA,mal,
im,ADP,APPRART,in,
Duden,PROPN,NE,Duden,
nachgesehen,VERB,VVPP,nachsehen,nachsehen
(,PUNCT,$(,(,
24.,ADJ,ADJA,24.,24.
Auflage,NOUN,NN,Auflage,Auflage
",",PUNCT,"$,",",",
2006,NUM,CARD,2006,2006
),PUNCT,$(,),
:,PUNCT,$.,:,
„,PUNCT,$(,„,
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,
nicht,PART,PTKNEG,nicht,
",",PUNCT,"$,",",",
dafür,ADV,PAV,dafür,dafür
aber,ADV,ADV,aber,aber
„,PUNCT,$(,„,
Songwriter,NOUN,NN,Songwriter,Songwriter
“,PUNCT,$(,“,
.,PUNCT,$.,.,
Ich,PRON,PPER,ich,
verbessere,VERB,VVFIN,verbessern,verbessern
entsprechend,ADJ,ADJD,entsprechend,entsprechend
.,PUNCT,$.,.,
Gruß,NOUN,NN,Gruß,Gruß
",",PUNCT,"$,",",",
Solange,SCONJ,KOUS,solange,
keine,DET,PIAT,kein,
zuverlässige,ADJ,ADJA,zuverlässig,zuverlässig
Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
vorliegt,VERB,VVFIN,vorliegen,vorliegen
",",PUNCT,"$,",",",
die,PRON,PRELS,der,
Lou,PROPN,NE,Lou,
Reed,PROPN,NE,Reed,
als,CONJ,KOKOM,als,
„,PUNCT,$(,„,
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
“,PUNCT,$(,“,
bezeichnet,VERB,VVFIN,bezeichnen,bezeichnen
(,PUNCT,$(,(,
ein,DET,ART,ein,
Begriff,NOUN,NN,Begriff,Begriff
",",PUNCT,"$,",",",
den,PRON,PRELS,der,
der,DET,ART,der,
Duden,PROPN,NE,Duden,
wiegesagt,INTJ,ITJ,wiegesagt,
nicht,PART,PTKNEG,nicht,
kennt,VERB,VVFIN,kennen,kennen
),PUNCT,$(,),
",",PUNCT,"$,",",",
sollten,VERB,VMFIN,sollen,sollen
wir,PRON,PPER,wir,
ihn,PRON,PPER,ihn,
nicht,PART,PTKNEG,nicht,
verwenden,VERB,VVINF,verwenden,verwenden
.,PUNCT,$.,.,
Die,DET,ART,der,
Konnoation,NOUN,NN,Konnotation,Konnoation
ist,AUX,VAFIN,sein,
eben,UNK,PTKMA,eben,
eine,DET,ART,ein,
andere,DET,PIAT,anderer,
als,CONJ,KOKOM,als,
bei,ADP,APPR,bei,
Songwriter,NOUN,NN,Songwriter,Songwriter
.,PUNCT,$.,.,
Habe,AUX,VAFIN,haben,
den,DET,ART,der,
Artikel,NOUN,NN,Artikel,Artikel
zufällig,ADJ,ADJD,zufällig,zufällig
auf,ADP,APPR,auf,
meiner,DET,PPOSAT,mein,
Beobachtungsliste,NOUN,NN,Beobachtungsliste,Beobachtungsliste
und,CONJ,KON,und,
wundere,VERB,VVFIN,wundern,wundern
mich,PRON,PRF,sich,
über,ADP,APPR,über,
die,DET,ART,der,
Begriffsverkrampfung,NOUN,NN,Begriffsverkrampfung,Begriffsverkrampfung
.,PUNCT,$.,.,
Also,ADV,ADV,also,also
"""",PUNCT,$(,"""",
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
"""",PUNCT,$(,"""",
liest,VERB,VVFIN,lesen,lesen
sich,PRON,PRF,sich,
schon,UNK,PTKMA,schon,
arg,UNK,PTKIFG,arg,
reaktionär,ADJ,ADJD,reaktionär,reaktionär
.,PUNCT,$.,.,
Warum,ADV,PWAV,warum,warum
nicht,PART,PTKNEG,nicht,
den,DET,ART,der,
allgemein,ADJ,ADJD,allgemein,allgemein
geläufigen,ADJ,ADJA,geläufig,geläufig
Anglizismus,NOUN,NN,Anglizismus,Anglizismus
"""",PUNCT,$(,"""",
Songwriting,NOUN,NN,Songwriting,Songwriting
"""",PUNCT,$(,"""",
akzeptieren,VERB,VVINF,akzeptieren,akzeptieren
?,PUNCT,$.,?,
Songwriting,NOUN,NN,Songwriting,Songwriting
kann,VERB,VMFIN,können,können
der,DET,ART,der,
moderne,ADJ,ADJA,modern,modern
",",PUNCT,"$,",",",
an,ADP,APPR,an,
Popularmusik,NOUN,NN,Popularmusik,Popularmusik
interessierte,ADJ,ADJA,interessiert,interessiert
Mensch,NOUN,NN,Mensch,Mensch
übrigens,ADV,ADV,übrigens,übrigens
sogar,UNK,PTKIFG,sogar,
an,ADP,APPR,an,
deutschen,ADJ,ADJA,deutsch,deutsch
Universitäten,NOUN,NN,Universität,Universität
erlernen,VERB,VVINF,erlernen,erlernen
",",PUNCT,"$,",",",
z.,ADP,APPRART,z.,
B.,NOUN,NN,B.,B.
an,ADP,APPR,an,
der,DET,ART,der,
MH,NOUN,NN,MH,MH
Stuttgart,PROPN,NE,Stuttgart,
.,PUNCT,$.,.,
Und,CONJ,KON,und,
das,DET,ART,der,
Wiki-Lemma,NOUN,NN,Wiki-Lemma,Wiki-Lemma
lautet,VERB,VVFIN,lauten,lauten
ebenso,ADV,ADV,ebenso,ebenso
.,PUNCT,$.,.,
Habe,AUX,VAFIN,haben,
die,DET,ART,der,
Ehre,NOUN,NN,Ehre,Ehre
",",PUNCT,"$,",",",
Wer,PRON,PWS,wer,
daraus,ADV,PAV,daraus,daraus
nen,DET,ART,ein,
Drama,NOUN,NN,Drama,Drama
macht,VERB,VVFIN,machen,machen
",",PUNCT,"$,",",",
ist,AUX,VAFIN,sein,
wie,CONJ,KOKOM,wie,
immer,ADV,ADV,immer,immer
Phi,PROPN,NE,Phi,
-,PUNCT,$(,-,
sie,PRON,PPER,sie,
kanns,UNK,VMPPER,können,
einfach,ADJ,ADJD,einfach,einfach
nicht,PART,PTKNEG,nicht,
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,
Wenn,SCONJ,KOUS,wenn,
songwriting,NOUN,NN,Songwriting,Songwriting
auf,ADP,APPR,auf,
engl.,ADJ,ADJA,englisch,engl.
Liedschreiberei,NOUN,NN,Liedschreiberei,Liedschreiberei
verweist,VERB,VVFIN,verweisen,verweisen
",",PUNCT,"$,",",",
ist,AUX,VAFIN,sein,
diese,DET,PDAT,dieser,
Diskussion,NOUN,NN,Diskussion,Diskussion
mal,UNK,PTKMA,mal,
wieder,ADV,ADV,wieder,wieder
völlig,UNK,PTKIFG,völlig,
sinnlos,ADJ,ADJD,sinnlos,sinnlos
.,PUNCT,$.,.,
Bewegen,VERB,VVFIN,bewegen,bewegen
wir,PRON,PPER,wir,
uns,PRON,PRF,sich,
hier,ADV,ADV,hier,hier
in,ADP,APPR,in,
der,DET,ART,der,
deutschen,ADJ,ADJA,deutsch,deutsch
oder,CONJ,KON,oder,
englischen,ADJ,ADJA,englisch,englisch
WP,PROPN,NE,Wikipedia,
?,PUNCT,$.,?,
Aber,ADV,ADV,aber,aber
mir,PRON,PPER,mir,
ist,AUX,VAFIN,sein,
das,PRON,PDS,der,
egal,ADV,ADV,egal,egal
",",PUNCT,"$,",",",
wer,PRON,PWS,wer,
sich,PRON,PRF,sich,
hier,ADV,ADV,hier,hier
lächerlich,ADJ,ADJD,lächerlich,lächerlich
machen,VERB,VVINF,machen,machen
möchte,VERB,VMFIN,möchten,möchten
...,PUNCT,$.,...,
Und,CONJ,KON,und,
PS.,ADV,ADV,PS,ps.
:,PUNCT,$(,:,
Jetz,ADV,ADV,jetzt,jetz
steht,VERB,VVFIN,stehen,stehen
über,ADP,APPR,über,
diesem,DET,PDAT,dieser,
Disku-Abschnitt,NOUN,NN,Diskussionsabschnitt,Disku-Abschnitt
auch,ADV,ADV,auch,auch
noch,UNK,PTKMWL,noch,
"""",PUNCT,$(,"""",
Songautor,NOUN,NN,Songautor,Songautor
"""",PUNCT,$(,"""",
?,PUNCT,$.,?,
Liederschreiber,NOUN,NN,Liederschreiber,Liederschreiber
ist,AUX,VAFIN,sein,
eine,DET,ART,ein,
verkrampfte,ADJ,ADJA,verkrampft,verkrampft
Eindeutschung,NOUN,NN,Eindeutschung,Eindeutschung
und,CONJ,KON,und,
lässt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,
im,ADP,APPRART,in,
Gegensatz,NOUN,NN,Gegensatz,Gegensatz
zu,ADP,APPR,zu,
Songwriter,NOUN,NN,Songwriter,Songwriter
deswegen,ADV,PAV,deswegen,desweg
auch,ADV,ADV,auch,auch
nicht,PART,PTKNEG,nicht,
im,ADP,APPRART,in,
Duden,PROPN,NE,Duden,
finden,VERB,VVINF,finden,finden
.,PUNCT,$.,.,
Gemäß,ADP,APPR,gemäß,
dem,DET,ART,der,
Deutschen,ADJ,ADJA,deutsch,deutsch
Wortschatzlexikon,NOUN,NN,Wortschatzlexikon,Wortschatzlexikon
hat,AUX,VAFIN,haben,
Songwriter,NOUN,NN,Songwriter,Songwriter
eine,DET,ART,ein,
