token,tag,tag_STTS,lemma_gold,lemma_pred
Jemand,PRON,PIS,jemand,jemand
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
Lieder,NOUN,NN,Lied,Lied
schreibt,VERB,VVFIN,schreiben,schreiben
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
gemäß,ADP,APPR,gemäß,gemäß
meinem,DET,PPOSAT,mein,mein
Sprachverständnis,NOUN,NN,Sprachverständnis,Sprachverständnis
ein,DET,ART,ein,ein
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreib
.,PUNCT,$.,.,.
Wieso,ADV,PWAV,wieso,wieso
das,PRON,PDS,der,der
weniger,DET,PIAT,weniger,weniger
deutsch,ADJ,ADJD,deutsch,deutsch
sein,AUX,VAINF,sein,sein
soll,VERB,VMFIN,sollen,sollen
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",""""
Songautor,NOUN,NN,Songautor,Songautor
"""",PUNCT,$(,"""",""""
",",PUNCT,"$,",",",","
müsstest,VERB,VMFIN,müssen,müssen
du,PRON,PPER,du,du
mir,PRON,PPER,mir,mir
dann,ADV,ADV,dann,dann
noch,ADV,ADV,noch,noch
erläutern,VERB,VVINF,erläutern,erläutern
.,PUNCT,$.,.,.
Schreibe,VERB,VVFIN,schreiben,Schreibe
ich,PRON,PPER,ich,ich
einen,DET,ART,ein,ein
Ssssssong,NOUN,NN,Song,Ssssssong
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
schreibe,VERB,VVFIN,schreiben,schreiben
ich,PRON,PPER,ich,ich
nichts,DET,PIAT,nichts,nichts
anderes,PRON,PIS,anderer,anderer
als,ADP,APPR,als,als
ein,DET,ART,ein,ein
Lied,NOUN,NN,Lied,Lied
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
hab,AUX,VAFIN,haben,haben
mal,UNK,PTKMA,mal,mal
im,ADP,APPRART,in,in
Duden,PROPN,NE,Duden,Duden
nachgesehen,VERB,VVPP,nachsehen,nachsehen
(,PUNCT,$(,(,(
24.,ADJ,ADJA,24.,24.
Auflage,NOUN,NN,Auflage,Auflage
",",PUNCT,"$,",",",","
2006,NUM,CARD,2006,2006
),PUNCT,$(,),)
:,PUNCT,$.,:,:
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreib
“,PUNCT,$(,“,“
gibt,VERB,VVFIN,geben,geben
es,PRON,PPER,es,es
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
dafür,ADV,PAV,dafür,dafür
aber,ADV,ADV,aber,aber
„,PUNCT,$(,„,„
Songwriter,NOUN,NN,Songwriter,Songwriter
“,PUNCT,$(,“,“
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
verbessere,VERB,VVFIN,verbessern,verbessern
entsprechend,ADJ,ADJD,entsprechend,entsprechend
.,PUNCT,$.,.,.
Gruß,NOUN,NN,Gruß,Gruß
",",PUNCT,"$,",",",","
Solange,SCONJ,KOUS,solange,solange
keine,DET,PIAT,kein,kein
zuverlässige,ADJ,ADJA,zuverlässig,zuverlässig
Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
vorliegt,VERB,VVFIN,vorliegen,vorliegen
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Lou,PROPN,NE,Lou,Lou
Reed,PROPN,NE,Reed,Reed
als,CONJ,KOKOM,als,als
„,PUNCT,$(,„,„
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreib
“,PUNCT,$(,“,“
bezeichnet,VERB,VVFIN,bezeichnen,bezeichnen
(,PUNCT,$(,(,(
ein,DET,ART,ein,ein
Begriff,NOUN,NN,Begriff,Begriff
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,der
der,DET,ART,der,der
Duden,PROPN,NE,Duden,Duden
wiegesagt,INTJ,ITJ,wiegesagt,wiegesagen
nicht,PART,PTKNEG,nicht,nicht
kennt,VERB,VVFIN,kennen,kennen
),PUNCT,$(,),)
",",PUNCT,"$,",",",","
sollten,VERB,VMFIN,sollen,sollen
wir,PRON,PPER,wir,wir
ihn,PRON,PPER,ihn,ihn
nicht,PART,PTKNEG,nicht,nicht
verwenden,VERB,VVINF,verwenden,verwenden
.,PUNCT,$.,.,.
Die,DET,ART,der,der
Konnoation,NOUN,NN,Konnotation,Konnoation
ist,AUX,VAFIN,sein,sein
eben,UNK,PTKMA,eben,eben
eine,DET,ART,ein,ein
andere,DET,PIAT,anderer,anderer
als,CONJ,KOKOM,als,als
bei,ADP,APPR,bei,bei
Songwriter,NOUN,NN,Songwriter,Songwriter
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,Habe
den,DET,ART,der,der
Artikel,NOUN,NN,Artikel,Artikel
zufällig,ADJ,ADJD,zufällig,zufällig
auf,ADP,APPR,auf,auf
meiner,DET,PPOSAT,mein,mein
Beobachtungsliste,NOUN,NN,Beobachtungsliste,Beobachtungsliste
und,CONJ,KON,und,und
wundere,VERB,VVFIN,wundern,wundern
mich,PRON,PRF,sich,mich
über,ADP,APPR,über,über
die,DET,ART,der,der
Begriffsverkrampfung,NOUN,NN,Begriffsverkrampfung,Begriffsverkrampfung
.,PUNCT,$.,.,.
Also,ADV,ADV,also,also
"""",PUNCT,$(,"""",""""
Liedschreiber,NOUN,NN,Liedschreiber,Liedschreib
"""",PUNCT,$(,"""",""""
liest,VERB,VVFIN,lesen,lesen
sich,PRON,PRF,sich,sich
schon,UNK,PTKMA,schon,schon
arg,UNK,PTKIFG,arg,arg
reaktionär,ADJ,ADJD,reaktionär,reaktionär
.,PUNCT,$.,.,.
Warum,ADV,PWAV,warum,warum
nicht,PART,PTKNEG,nicht,nicht
den,DET,ART,der,der
allgemein,ADJ,ADJD,allgemein,allgemein
geläufigen,ADJ,ADJA,geläufig,geläufig
Anglizismus,NOUN,NN,Anglizismus,Anglizismu
"""",PUNCT,$(,"""",""""
Songwriting,NOUN,NN,Songwriting,Songwriting
"""",PUNCT,$(,"""",""""
akzeptieren,VERB,VVINF,akzeptieren,akzeptieren
?,PUNCT,$.,?,?
Songwriting,NOUN,NN,Songwriting,Songwriting
kann,VERB,VMFIN,können,können
der,DET,ART,der,der
moderne,ADJ,ADJA,modern,modern
",",PUNCT,"$,",",",","
an,ADP,APPR,an,an
Popularmusik,NOUN,NN,Popularmusik,Popularmusik
interessierte,ADJ,ADJA,interessiert,interessieren
Mensch,NOUN,NN,Mensch,Mensch
übrigens,ADV,ADV,übrigens,übrigens
sogar,UNK,PTKIFG,sogar,sogar
an,ADP,APPR,an,an
deutschen,ADJ,ADJA,deutsch,deutsch
Universitäten,NOUN,NN,Universität,Universität
erlernen,VERB,VVINF,erlernen,erlernen
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
an,ADP,APPR,an,an
der,DET,ART,der,der
MH,NOUN,NN,MH,mh
Stuttgart,PROPN,NE,Stuttgart,Stuttgart
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
das,DET,ART,der,der
Wiki-Lemma,NOUN,NN,Wiki-Lemma,Wiki-lemma
lautet,VERB,VVFIN,lauten,lauten
ebenso,ADV,ADV,ebenso,ebenso
.,PUNCT,$.,.,.
Habe,AUX,VAFIN,haben,Habe
die,DET,ART,der,der
Ehre,NOUN,NN,Ehre,Ehre
",",PUNCT,"$,",",",","
Wer,PRON,PWS,wer,wer
daraus,ADV,PAV,daraus,daraus
nen,DET,ART,ein,Nen
Drama,NOUN,NN,Drama,Drama
macht,VERB,VVFIN,machen,machen
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
wie,CONJ,KOKOM,wie,wie
immer,ADV,ADV,immer,immer
Phi,PROPN,NE,Phi,Phi
-,PUNCT,$(,-,-
sie,PRON,PPER,sie,sie
kanns,UNK,VMPPER,können,Kann
einfach,ADJ,ADJD,einfach,einfach
nicht,PART,PTKNEG,nicht,nicht
lassen,VERB,VVINF,lassen,lassen
.,PUNCT,$.,.,.
Wenn,SCONJ,KOUS,wenn,wenn
songwriting,NOUN,NN,Songwriting,Songwriting
auf,ADP,APPR,auf,auf
engl.,ADJ,ADJA,englisch,engl.
Liedschreiberei,NOUN,NN,Liedschreiberei,Liedschreiberei
verweist,VERB,VVFIN,verweisen,verweisen
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
diese,DET,PDAT,dieser,dieser
Diskussion,NOUN,NN,Diskussion,Diskussion
mal,UNK,PTKMA,mal,mal
wieder,ADV,ADV,wieder,wieder
völlig,UNK,PTKIFG,völlig,völlig
sinnlos,ADJ,ADJD,sinnlos,sinnlos
.,PUNCT,$.,.,.
Bewegen,VERB,VVFIN,bewegen,bewegen
wir,PRON,PPER,wir,wir
uns,PRON,PRF,sich,uns
hier,ADV,ADV,hier,hier
in,ADP,APPR,in,in
der,DET,ART,der,der
