token,tag,tag_STTS,lemma_gold,lemma_pred
das,DET,ART,der,der
Vokabular,NOUN,NN,Vokabular,Vokabular
des,DET,ART,der,der
Esperanto,PROPN,NE,Esperanto,Esperanto
besteht,VERB,VVFIN,bestehen,bestehen
zum,ADP,APPRART,zu,zu
großen,ADJ,ADJA,groß,groß
Teil,NOUN,NN,Teil,Teil
aus,ADP,APPR,aus,aus
Entlehnungen,NOUN,NN,Entlehnung,Entlehnung
aus,ADP,APPR,aus,aus
romanischen,ADJ,ADJA,romanisch,romanisch
Sprachen,NOUN,NN,Sprache,Sprache
",",PUNCT,"$,",",",--
ein,DET,ART,ein,ein
Teil,NOUN,NN,Teil,Teil
lässt,VERB,VVFIN,lassen,lässt
sich,PRON,PRF,sich,sich
aber,ADV,ADV,aber,aber
auch,ADV,ADV,auch,auch
auf,ADP,APPR,auf,auf
germanische,ADJ,ADJA,germanisch,germanisch
und,CONJ,KON,und,und
slawische,ADJ,ADJA,slawisch,slawisch
Ursprünge,NOUN,NN,Ursprung,Ursprung
zurückführen,VERB,VVINF,zurückführen,zurückführen
.,PUNCT,$.,.,--
zur,ADP,APPRART,zu,zu
leichten,ADJ,ADJA,leicht,leicht
Erlernbarkeit,NOUN,NN,Erlernbarkeit,Erlernbarkeit
setze,VERB,VVFIN,setzen,setzen
Zamenhof,PROPN,NE,Zamenhof,Zamenhof
auf,ADP,APPR,auf,auf
strenge,ADJ,ADJA,streng,streng
Regularitäten,NOUN,NN,Regularität,Regularität
",",PUNCT,"$,",",",--
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
eine,DET,ART,ein,ein
phonematische,ADJ,ADJA,phonematisch,phonematisch
Schriftweise,NOUN,NN,Schriftweise,Schriftweise
(,PUNCT,$(,(,--
jedem,DET,PIAT,jeder,jeder
Laut,NOUN,NN,Laut,Laut
wird,AUX,VAFIN,werden,werden
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,ein
Schriftzeichen,NOUN,NN,Schriftzeichen,Schriftzeichen
zugeordnet,VERB,VVPP,zuordnen,zuordnen
bzw.,CONJ,KON,bzw.,bzw.
linguistisch,ADJ,ADJD,linguistisch,linguistisch
korrekt,ADJ,ADJD,korrekt,korrekt
:,PUNCT,$.,:,--
jedem,DET,PIAT,jeder,jeder
Phonem,NOUN,NN,Phonem,Phonem
entspricht,VERB,VVFIN,entsprechen,entsprechen
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,ein
Graphem,NOUN,NN,Graphem,Graphem
),PUNCT,$(,),--
;,PUNCT,$.,;,--
die,DET,ART,der,der
Wortbildung,NOUN,NN,Wortbildung,Wortbildung
ist,AUX,VAFIN,sein,sein
an,ADP,APPR,an,an
agglutinierende,ADJ,ADJA,agglutinierend,agglutinierend
Sprachen,NOUN,NN,Sprache,Sprache
(,PUNCT,$(,(,--
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
