token,tag,tag_STTS,lemma_gold,lemma_pred
Im,ADP,APPRART,in,/
Urlaub,NOUN,NN,Urlaub,Anregung
/,PUNCT,$(,/,für
Anregungen,NOUN,NN,Anregung,Sammlerin
der,DET,ART,der,Rationalist
Zeit,NOUN,NN,Zeit,leg
der,DET,ART,der,sein
Renaissance,NOUN,NN,Renaissance,philosophisch
wurde,AUX,VAFIN,werden,Welterklärung
diese,DET,PDAT,dieser,vor
Geistesströmung,NOUN,NN,Geistesströmung,allem
neu,ADJ,ADJD,neu,die
entdeckt,VERB,VVPP,entdecken,vernünftig
und,CONJ,KON,und,Schlussfolgerung
wieder,ADV,ADV,wieder,zu
belebt,VERB,VVPP,beleben,Grund
.,PUNCT,$.,.,.
for,X,FM,for,-12
boarding,X,FM,boarding,-12
.,PUNCT,$.,.,13.21.44
-12,NUM,CARD,-12,-12
-12,NUM,CARD,-12,-12
13.21.44,X,XY,13.21.44,13.21.40
-12,NUM,CARD,-12,mit
-12,NUM,CARD,-12,Aussicht
13.21.40,X,XY,13.21.40,.
morgen,NOUN,NN,Morgen,…
!,PUNCT,$.,!,.
findest,VERB,VVFIN,finden,6
Du,PRON,PPER,du,Tipp
unter,ADP,APPR,unter,zum
www.crusoeisland.asia,UNK,URL,www.crusoeisland.asia,Fotografieren
kleines,ADJ,ADJA,klein,das
Zelt,NOUN,NN,Zelt,sein
",",PUNCT,"$,",",",die
wir,PRON,PPER,wir,Tipp
werden,AUX,VAFIN,werden,aus
Dich,PRON,PPER,dich,dem
vermissen,VERB,VVINF,vermissen,Video
!,PUNCT,$.,!,:
Cocoon,PROPN,NE,Cocoon,9
Grid-IT,PROPN,NE,Grid-IT,weiter
Organizer,NOUN,NN,Organizer,Tipp
schafft,VERB,VVFIN,schaffen,für
Ordnung,NOUN,NN,Ordnung,Heim
in,ADP,APPR,in,und
Taschen,NOUN,NN,Tasche,Haushalt
10,NUM,CARD,10,Bibliothekartag
Tipps,NOUN,NN,Tipp,#bibtag14
für,ADP,APPR,für,","
Heim,NOUN,NN,Heim,Zukunftswerkstatt
und,CONJ,KON,und,und
Haushalt,NOUN,NN,Haushalt,OpenBiblioJob
9,NUM,CARD,9,für
weitere,ADJ,ADJA,weit,jeder
Tipps,NOUN,NN,Tipp,–
für,ADP,APPR,für,OpenBiblioJob
Heim,NOUN,NN,Heim,von
und,CONJ,KON,und,Dörte
Haushalt,NOUN,NN,Haushalt,Böhner
:,PUNCT,$.,:,lay-by
Kreuzspinnen,NOUN,NN,Kreuzspinne,laid-by
",",PUNCT,"$,",",",Merkmal
1757,NUM,CARD,1757,.
Merkmale,NOUN,NN,Merkmal,`
einer,DET,ART,ein,Und
Gartenkreuzspinne,NOUN,NN,Gartenkreuzspinne,Synonym
Araneus,X,FM,Araneus,Araneus
alsine,X,FM,alsine,diadematus
–,PUNCT,$(,–,–
Walckenaer,PROPN,NE,Walckenaer,Clerck
",",PUNCT,"$,",",",","
1802,NUM,CARD,1802,1757
Kreuzspinne,NOUN,NN,Kreuzspinne,Kreuzspinne
Araneus,X,FM,Araneus,Araneus
angulatus,X,FM,angulatus,marmoreus
–,PUNCT,$(,–,–
Clerck,PROPN,NE,Clerck,Clerck
",",PUNCT,"$,",",",","
1757,NUM,CARD,1757,1757
circe,X,FM,circe,nordmannus
–,PUNCT,$(,–,–
Audouin,PROPN,NE,Audouin,thorell
",",PUNCT,"$,",",",","
1826,NUM,CARD,1826,1870
Araneus,PROPN,NE,Araneus,Araneus
diadematus,PROPN,NE,Diadematus,quadratus
–,PUNCT,$(,–,-
Clerck,PROPN,NE,Clerck,Clerck
",",PUNCT,"$,",",",","
1757,NUM,CARD,1757,1757
Kreuzspinne,NOUN,NN,Kreuzspinne,saevus
Araneus,X,FM,Araneus,–
marmoreus,X,FM,marmoreus,L
–,PUNCT,$(,–,.
Clerck,PROPN,NE,Clerck,Koch
",",PUNCT,"$,",",",","
1757,NUM,CARD,1757,1872
Araneus,X,FM,Araneus,Araneus
quadratus,X,FM,quadratus,sturm
–,PUNCT,$(,–,–
Clerck,PROPN,NE,Clerck,Hahn
",",PUNCT,"$,",",",","
1757,NUM,CARD,1757,1831
saevus,X,FM,saevus,Araneus
–,PUNCT,$(,–,sturm
L.,PROPN,NE,L.,–
Koch,PROPN,NE,Koch,Hahn
",",PUNCT,"$,",",",","
1872,NUM,CARD,1872,1831
Araneus,X,FM,Araneus,Araneus
sturmi,X,FM,sturmi,sturm
–,PUNCT,$(,–,–
Hahn,PROPN,NE,Hahn,Hahn
",",PUNCT,"$,",",",","
1831,NUM,CARD,1831,1831
triguttatus,X,FM,triguttatus,triguttatus
–,PUNCT,$(,–,–
Fabricius,PROPN,NE,Fabricius,Fabricius
",",PUNCT,"$,",",",","
1793,NUM,CARD,1793,1793
:,PUNCT,$.,:,:
Araneus,X,FM,Araneus,Araneus
–,PUNCT,$(,–,–
Album,NOUN,NN,Album,Album
mit,ADP,APPR,mit,geben
Bildern,NOUN,NN,Bild,Bild
",",PUNCT,"$,",",",","
Videos,NOUN,NN,Video,Video
und,CONJ,KON,und,und
Audiodateien,NOUN,NN,Audiodatei,Audiodatei
im,ADP,APPRART,in,i
World,PROPN,NE,World,world
Spider,PROPN,NE,Spider,spider
Catalog,PROPN,NE,Catalog,catalog
keine,DET,PIAT,kein,kein
inhaltlichen,ADJ,ADJA,inhaltlich,inhaltlich
Veränderungen,NOUN,NN,Veränderung,Veränderung
vornehmen,VERB,VVINF,vornehmen,vornehmen
.,PUNCT,$.,.,.
Hai,NOUN,NN,Hai,Hai
