token,tag,tag_STTS,lemma_gold,lemma_pred
Das,DET,ART,der,
Vokabular,NOUN,NN,Vokabular,Vokabular
des,DET,ART,der,
Esperanto,PROPN,NE,Esperanto,
besteht,VERB,VVFIN,bestehen,bestehen
zum,ADP,APPRART,zu,
großen,ADJ,ADJA,groß,groß
Teil,NOUN,NN,Teil,Teil
aus,ADP,APPR,aus,
Entlehnungen,NOUN,NN,Entlehnung,Entlehnungen
aus,ADP,APPR,aus,
romanischen,ADJ,ADJA,romanisch,romanisch
Sprachen,NOUN,NN,Sprache,Sprache
",",PUNCT,"$,",",",
ein,DET,ART,ein,
Teil,NOUN,NN,Teil,Teil
lässt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,
aber,ADV,ADV,aber,aber
auch,ADV,ADV,auch,auch
auf,ADP,APPR,auf,
germanische,ADJ,ADJA,germanisch,germanisch
und,CONJ,KON,und,
slawische,ADJ,ADJA,slawisch,slawisch
Ursprünge,NOUN,NN,Ursprung,Ursprung
zurückführen,VERB,VVINF,zurückführen,zurückführen
.,PUNCT,$.,.,
Zur,ADP,APPRART,zu,
leichten,ADJ,ADJA,leicht,leicht
Erlernbarkeit,NOUN,NN,Erlernbarkeit,Erlernbarkeit
setze,VERB,VVFIN,setzen,setzen
Zamenhof,PROPN,NE,Zamenhof,
auf,ADP,APPR,auf,
strenge,ADJ,ADJA,streng,streng
Regularitäten,NOUN,NN,Regularität,Regularitäten
",",PUNCT,"$,",",",
z.,ADP,APPRART,z.,
B.,NOUN,NN,B.,B.
eine,DET,ART,ein,
phonematische,ADJ,ADJA,phonematisch,phonematisch
Schriftweise,NOUN,NN,Schriftweise,Schriftweise
(,PUNCT,$(,(,
jedem,DET,PIAT,jeder,
Laut,NOUN,NN,Laut,Laut
wird,AUX,VAFIN,werden,
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,Ein
Schriftzeichen,NOUN,NN,Schriftzeichen,Schriftzeichen
zugeordnet,VERB,VVPP,zuordnen,zuordnen
bzw.,CONJ,KON,bzw.,
linguistisch,ADJ,ADJD,linguistisch,linguistisch
korrekt,ADJ,ADJD,korrekt,korrekt
:,PUNCT,$.,:,
jedem,DET,PIAT,jeder,
Phonem,NOUN,NN,Phonem,Phonem
entspricht,VERB,VVFIN,entsprechen,entsprechen
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,Ein
Graphem,NOUN,NN,Graphem,Graphem
),PUNCT,$(,),
;,PUNCT,$.,;,
die,DET,ART,der,
Wortbildung,NOUN,NN,Wortbildung,Wortbildung
ist,AUX,VAFIN,sein,
an,ADP,APPR,an,
agglutinierende,ADJ,ADJA,agglutinierend,agglutinierend
Sprachen,NOUN,NN,Sprache,Sprache
(,PUNCT,$(,(,
z.,ADP,APPRART,z.,
B.,NOUN,NN,B.,B.
Türkisch,NOUN,NN,Türkisch,Türkisch
),PUNCT,$(,),
angelehnt,ADJ,ADJD,anlehnen,angelehnt
",",PUNCT,"$,",",",
wo,ADV,PWAV,wo,wo
Sinneinheiten,NOUN,NN,Sinneinheit,Sinneinheit
(,PUNCT,$(,(,
linguistisch,ADJ,ADJD,linguistisch,linguistisch
:,PUNCT,$.,:,
sprachlichen,ADJ,ADJA,sprachlich,sprachlich
Konzepten,NOUN,NN,Konzept,Konzept
),PUNCT,$(,),
eindeutige,ADJ,ADJA,eindeutig,eindeutig
Wortbestandteile,NOUN,NN,Wortbestandteil,Wortbestandteil
(,PUNCT,$(,(,
linguistisch,ADJ,ADJD,linguistisch,linguistisch
:,PUNCT,$.,:,
Morpheme,NOUN,NN,Morphem,Morpheme
),PUNCT,$(,),
zugeordnet,VERB,VVPP,zuordnen,zuordnen
sind,AUX,VAFIN,sein,
.,PUNCT,$.,.,
So,ADV,ADV,so,so
ist,AUX,VAFIN,sein,
ein,DET,ART,ein,
Wort,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",
das,PRON,PRELS,der,
auf,ADP,APPR,auf,
-o,X,XY,-o,
endet,VERB,VVFIN,enden,enden
