token,tag,tag_STTS,lemma_gold,lemma_pred
Das,DET,ART,der,die
Vokabular,NOUN,NN,Vokabular,Vokabular
des,DET,ART,der,die
Esperanto,PROPN,NE,Esperanto,Esperanto
besteht,VERB,VVFIN,bestehen,bestehen
zum,ADP,APPRART,zu,zu+die
großen,ADJ,ADJA,groß,groß
Teil,NOUN,NN,Teil,Teil
aus,ADP,APPR,aus,aus
Entlehnungen,NOUN,NN,Entlehnung,<unknown>
aus,ADP,APPR,aus,aus
romanischen,ADJ,ADJA,romanisch,romanisch
Sprachen,NOUN,NN,Sprache,Sprache
",",PUNCT,"$,",",",","
ein,DET,ART,ein,eine
Teil,NOUN,NN,Teil,Teil
lässt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,sich
aber,ADV,ADV,aber,aber
auch,ADV,ADV,auch,auch
auf,ADP,APPR,auf,auf
germanische,ADJ,ADJA,germanisch,germanisch
und,CONJ,KON,und,und
slawische,ADJ,ADJA,slawisch,slawisch
Ursprünge,NOUN,NN,Ursprung,Ursprung
zurückführen,VERB,VVINF,zurückführen,zurückführen
.,PUNCT,$.,.,.
Zur,ADP,APPRART,zu,zu+die
leichten,ADJ,ADJA,leicht,leicht
Erlernbarkeit,NOUN,NN,Erlernbarkeit,Erlernbarkeit
setze,VERB,VVFIN,setzen,setzen
Zamenhof,PROPN,NE,Zamenhof,<unknown>
auf,ADP,APPR,auf,auf
strenge,ADJ,ADJA,streng,streng
Regularitäten,NOUN,NN,Regularität,<unknown>
",",PUNCT,"$,",",",","
z.,ADP,APPRART,z.,zu+die
B.,NOUN,NN,B.,B.
eine,DET,ART,ein,eine
phonematische,ADJ,ADJA,phonematisch,<unknown>
Schriftweise,NOUN,NN,Schriftweise,Schriftweise
(,PUNCT,$(,(,(
jedem,DET,PIAT,jeder,jede
Laut,NOUN,NN,Laut,Laut
wird,AUX,VAFIN,werden,werden
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,eine
Schriftzeichen,NOUN,NN,Schriftzeichen,Schriftzeichen
zugeordnet,VERB,VVPP,zuordnen,zugeordnet
bzw.,CONJ,KON,bzw.,bzw.
linguistisch,ADJ,ADJD,linguistisch,linguistisch
korrekt,ADJ,ADJD,korrekt,korrekt
:,PUNCT,$.,:,:
jedem,DET,PIAT,jeder,jede
Phonem,NOUN,NN,Phonem,<unknown>
entspricht,VERB,VVFIN,entsprechen,entsprechen
genau,ADJ,ADJD,genau,genau
ein,NUM,CARD,ein,eine
Graphem,NOUN,NN,Graphem,<unknown>
),PUNCT,$(,),)
;,PUNCT,$.,;,;
die,DET,ART,der,die
Wortbildung,NOUN,NN,Wortbildung,Wortbildung
ist,AUX,VAFIN,sein,sein
an,ADP,APPR,an,an
agglutinierende,ADJ,ADJA,agglutinierend,<unknown>
Sprachen,NOUN,NN,Sprache,Sprache
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,zu+die
B.,NOUN,NN,B.,B.
Türkisch,NOUN,NN,Türkisch,türkisch
),PUNCT,$(,),)
angelehnt,ADJ,ADJD,anlehnen,anlehnen
",",PUNCT,"$,",",",","
wo,ADV,PWAV,wo,wo
Sinneinheiten,NOUN,NN,Sinneinheit,Sinneinheit
(,PUNCT,$(,(,(
linguistisch,ADJ,ADJD,linguistisch,linguistisch
:,PUNCT,$.,:,:
sprachlichen,ADJ,ADJA,sprachlich,sprachlich
Konzepten,NOUN,NN,Konzept,Konzept
),PUNCT,$(,),)
eindeutige,ADJ,ADJA,eindeutig,eindeutig
Wortbestandteile,NOUN,NN,Wortbestandteil,Wortbestandteil
(,PUNCT,$(,(,(
linguistisch,ADJ,ADJD,linguistisch,linguistisch
:,PUNCT,$.,:,:
Morpheme,NOUN,NN,Morphem,<unknown>
),PUNCT,$(,),)
zugeordnet,VERB,VVPP,zuordnen,zuordnen
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
So,ADV,ADV,so,so
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,eine
Wort,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",","
das,PRON,PRELS,der,die
auf,ADP,APPR,auf,auf
-o,X,XY,-o,<unknown>
endet,VERB,VVFIN,enden,enden
",",PUNCT,"$,",",",","
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,eine
Substantiv,NOUN,NN,Substantiv,Substantiv
",",PUNCT,"$,",",",","
eins,PRON,PIS,einer,eins
auf,ADP,APPR,auf,auf
-a,X,XY,-a,-a
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,eine
Adjektiv,NOUN,NN,Adjektiv,Adjektiv
.,PUNCT,$.,.,.
Durch,ADP,APPR,durch,durch
Anhängen,NOUN,NN,anhängen,Anhängen
von,ADP,APPR,von,von
-j,X,XY,-j,<unknown>
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,man
den,DET,ART,der,die
Plural,NOUN,NN,Plural,Plural
bilden,VERB,VVINF,bilden,bilden
",",PUNCT,"$,",",",","
durch,ADP,APPR,durch,durch
Vorsetzen,NOUN,NN,vorsetzen,Vorsetzen
von,ADP,APPR,von,von
mal-,X,TRUNC,mal,mal-
verneinen,VERB,VVINF,verneinen,verneinen
:,PUNCT,$.,:,:
bela,X,FM,bela,Bela
Blogo,X,FM,blogo,<unknown>
–,PUNCT,$(,–,-
der,DET,ART,der,die
schöne,ADJ,ADJA,schön,schön
Blog,NOUN,NN,Blog,Blog
malbenaj,X,FM,malbenaj,<unknown>
Blogoj,X,FM,blogoj,<unknown>
–,PUNCT,$(,–,-
die,DET,ART,der,die
nicht,PART,PTKNEG,nicht,nicht
schönen,ADJ,ADJA,schön,schön
Blogs,NOUN,NN,Blog,Blog
bediente,VERB,VVFIN,bedienen,bedienen
sich,PRON,PRF,sich,sich
also,ADV,ADV,also,also
des,DET,ART,der,die
Vokabulars,NOUN,NN,Vokabular,Vokabular
verschiedener,ADJ,ADJA,verschieden,verschieden
natürlicher,ADJ,ADJA,natürlich,natürlich
Sprachen,NOUN,NN,Sprache,Sprache
und,CONJ,KON,und,und
versuchte,VERB,VVFIN,versuchen,versuchen
",",PUNCT,"$,",",",","
die,DET,ART,der,die
Grammatik,NOUN,NN,Grammatik,Grammatik
weitestgehend,ADJ,ADJD,weitestgehend,weitestgehend
zu,PART,PTKZU,zu,zu
systematisieren,VERB,VVINF,systematisieren,systematisieren
