token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omis,X,FM,omnis,Omis
arbor,X,FM,arbor,arbor
bona,X,FM,bona,bona
facit,X,FM,facit,facit
fructum,X,FM,fructum,fructum
suum,X,FM,suum,suum
bonum,X,FM,bonum,bonum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Diese,DET,PDAT,dies,Diese
Worte,NOUN,NN,Wort,Worte
spricht,VERB,VVFIN,sprechen,spricht
unser,DET,PPOSAT,unser,unser
lieber,ADJ,ADJA,lieb,lieber
Herr,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
zu,ADP,APPR,zu,zu
einem,DET,ART,ein,einem
jeden,DET,PIDAT,jed,jeden
Menschen,NOUN,NN,Mensch,Menschen
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
da,SCONJ,KOUS,da,da
wahrhaft,ADJ,ADJD,wahrhaft,wahrhaft
will,VERB,VMFIN,wollen,will
kommen,VERB,VVINF,kommen,kommen
und,CONJ,KON,und,und
der,DET,ART,d,der
da,SCONJ,KOUS,da,da
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
will,VERB,VMFIN,wollen,will
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
seiner,DET,PPOSAT,sein,seiner
Seele,NOUN,NN,Seele,Seele
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,Und
bedeuten,VERB,VVFIN,bedeuten,bedeuten
diese,DET,PDAT,dies,diese
Worte,NOUN,NN,Wort,Worte
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,ein
jeder,DET,PIAT,jed,jeder
guter,ADJ,ADJA,gut,guter
Baum,NOUN,NN,Baum,Baum
bringt,VERB,VVFIN,bringen,bringt
eine,DET,ART,ein,eine
gute,ADJ,ADJA,gut,gute
Frucht,NOUN,NN,Frucht,Frucht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Willst,VERB,VMFIN,wollen,Willst
du,PRON,PPER,du,du
nun,ADV,ADV,nun,nun
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,ein
guter,ADJ,ADJA,gut,guter
Mensch,NOUN,NN,Mensch,Mensch
einen,DET,ART,ein,einen
guten,ADJ,ADJA,gut,guten
Baum,NOUN,NN,Baum,Baum
sät,VERB,VVFIN,säen,sät
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,Und
willst,VERB,VMFIN,wollen,willst
du,PRON,PPER,du,du
eine,DET,ART,ein,eine
gute,ADJ,ADJA,gut,gute
Frucht,NOUN,NN,Frucht,Frucht
zu,ADP,APPR,zu,zu
deiner,DET,PPOSAT,dein,deiner
Seele,NOUN,NN,Seele,Seele
bringen,VERB,VVINF,bringen,bringen
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollst
du,PRON,PPER,du,du
dich,PRON,PRF,du,dich
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
guten,ADJ,ADJA,gut,guten
Werken,NOUN,NN,Werk,Werken
jedoch,ADV,ADV,jedoch,jedoch
über,ADP,APPR,über,über
alle,DET,PIAT,alle,alle
Dinge,NOUN,NN,Ding,Dinge
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,So
sollst,VERB,VMFIN,sollen,sollst
du,PRON,PPER,du,du
dich,PRON,PRF,du,dich
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
der,DET,ART,d,der
Marter,NOUN,NN,Marter,Marter
unseres,DET,PPOSAT,unser,unseres
Herrn,PROPN,NE,Herr,Herrn
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,Und
du,PRON,PPER,du,du
sollst,VERB,VMFIN,sollen,sollst
diese,PRON,PDS,dies,diese
merken,VERB,VVINF,merken,merken
mit,ADP,APPR,mit,mit
alle,DET,PIAT,alle,alle
deiner,DET,PPOSAT,dein,deiner
Kraft,NOUN,NN,Kraft,Kraft
deiner,DET,PPOSAT,dein,deiner
