token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omis,X,FM,omnis,omn
arbor,X,FM,arbor,arbor
bona,X,FM,bona,bonus
facit,X,FM,facit,facere
fructum,X,FM,fructum,fructus
suum,X,FM,suum,suus
bonum,X,FM,bonum,bonus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Diese,DET,PDAT,dies,Dies
Worte,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
unser,DET,PPOSAT,unser,unser
lieber,ADJ,ADJA,lieb,lieb
Herr,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
zu,ADP,APPR,zu,zu
einem,DET,ART,ein,ein
jeden,DET,PIDAT,jed,jeder
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
da,SCONJ,KOUS,da,da
wahrhaft,ADJ,ADJD,wahrhaft,wahrhaftig
will,VERB,VMFIN,wollen,wollen
kommen,VERB,VVINF,kommen,kommen
und,CONJ,KON,und,und
der,DET,ART,d,der
da,SCONJ,KOUS,da,da
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
will,VERB,VMFIN,wollen,wollen
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
seiner,DET,PPOSAT,sein,sein
Seele,NOUN,NN,Seele,Seele
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,Und
bedeuten,VERB,VVFIN,bedeuten,bedeuten
diese,DET,PDAT,dies,dies
Worte,NOUN,NN,Wort,Wort
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,ein
jeder,DET,PIAT,jed,jeder
guter,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
bringt,VERB,VVFIN,bringen,bringen
eine,DET,ART,ein,ein
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,du
nun,ADV,ADV,nun,nun
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,ein
guter,ADJ,ADJA,gut,gut
Mensch,NOUN,NN,Mensch,Mensch
einen,DET,ART,ein,ein
guten,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
sät,VERB,VVFIN,säen,säen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
zu,ADP,APPR,zu,zu
deiner,DET,PPOSAT,dein,dein
Seele,NOUN,NN,Seele,Seele
bringen,VERB,VVINF,bringen,bringen
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,du
dich,PRON,PRF,du,du
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
guten,ADJ,ADJA,gut,gut
Werken,NOUN,NN,Werk,Werk
jedoch,ADV,ADV,jedoch,jedoch
über,ADP,APPR,über,über
alle,DET,PIAT,alle,all
Dinge,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,soll
du,PRON,PPER,du,du
dich,PRON,PRF,du,du
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
der,DET,ART,d,der
Marter,NOUN,NN,Marter,Marter
unseres,DET,PPOSAT,unser,unser
Herrn,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
du,PRON,PPER,du,du
sollst,VERB,VMFIN,sollen,sollen
diese,PRON,PDS,dies,dies
