token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omis,X,FM,omnis,Omis
arbor,X,FM,arbor,Arbor
bona,X,FM,bona,Bona
facit,X,FM,facit,Facit
fructum,X,FM,fructum,Fructum
suum,X,FM,suum,Suum
bonum,X,FM,bonum,Bonum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Diese,DET,PDAT,dies,dieser
Worte,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
unser,DET,PPOSAT,unser,unser
lieber,ADJ,ADJA,lieb,lieber
Herr,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
zu,ADP,APPR,zu,zu
einem,DET,ART,ein,ein
jeden,DET,PIDAT,jed,jed
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
da,SCONJ,KOUS,da,da
wahrhaft,ADJ,ADJD,wahrhaft,wahrhaft
will,VERB,VMFIN,wollen,wollen
kommen,VERB,VVINF,kommen,kommen
und,CONJ,KON,und,und
der,DET,ART,d,der
da,SCONJ,KOUS,da,da
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
will,VERB,VMFIN,wollen,wollen
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
seiner,DET,PPOSAT,sein,sein
Seele,NOUN,NN,Seele,Seele
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
bedeuten,VERB,VVFIN,bedeuten,bedeuten
diese,DET,PDAT,dies,dieser
Worte,NOUN,NN,Wort,Wort
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,ein
jeder,DET,PIAT,jed,jed
guter,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
bringt,VERB,VVFIN,bringen,bringen
eine,DET,ART,ein,ein
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,du
nun,ADV,ADV,nun,nun
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,ein
guter,ADJ,ADJA,gut,gut
Mensch,NOUN,NN,Mensch,Mensch
einen,DET,ART,ein,ein
guten,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
sät,VERB,VVFIN,säen,säen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
zu,ADP,APPR,zu,zu
deiner,DET,PPOSAT,dein,dein
Seele,NOUN,NN,Seele,Seele
bringen,VERB,VVINF,bringen,bringen
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,du
dich,PRON,PRF,du,dich
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
guten,ADJ,ADJA,gut,gut
Werken,NOUN,NN,Werk,Werk
jedoch,ADV,ADV,jedoch,jedoch
über,ADP,APPR,über,über
alle,DET,PIAT,alle,alle
Dinge,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,du
dich,PRON,PRF,du,dich
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
der,DET,ART,d,der
Marter,NOUN,NN,Marter,Mart
unseres,DET,PPOSAT,unser,unser
Herrn,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
du,PRON,PPER,du,du
sollst,VERB,VMFIN,sollen,sollen
diese,PRON,PDS,dies,dieser
merken,VERB,VVINF,merken,merken
mit,ADP,APPR,mit,mit
alle,DET,PIAT,alle,alle
deiner,DET,PPOSAT,dein,dein
Kraft,NOUN,NN,Kraft,Kraft
deiner,DET,PPOSAT,dein,dein
