token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omis,X,FM,omnis,Omi
arbor,X,FM,arbor,arbor
bona,X,FM,bona,bona
facit,X,FM,facit,facit
fructum,X,FM,fructum,fructum
suum,X,FM,suum,suum
bonum,X,FM,bonum,bonum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Diese,DET,PDAT,dies,Diese
Worte,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
unser,DET,PPOSAT,unser,sich
lieber,ADJ,ADJA,lieb,lieb
Herr,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
zu,ADP,APPR,zu,zu
einem,DET,ART,ein,einer
jeden,DET,PIDAT,jed,jed
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
da,SCONJ,KOUS,da,da
wahrhaft,ADJ,ADJD,wahrhaft,wahrhaft
will,VERB,VMFIN,wollen,wollen
kommen,VERB,VVINF,kommen,kommen
und,CONJ,KON,und,und
der,DET,ART,d,der
da,SCONJ,KOUS,da,da
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
will,VERB,VMFIN,wollen,wollen
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
seiner,DET,PPOSAT,sein,sich
Seele,NOUN,NN,Seele,Seele
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
bedeuten,VERB,VVFIN,bedeuten,bedeuten
diese,DET,PDAT,dies,dies
Worte,NOUN,NN,Wort,Wort
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,einen
jeder,DET,PIAT,jed,jed
guter,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
bringt,VERB,VVFIN,bringen,bringen
eine,DET,ART,ein,einen
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,du
nun,ADV,ADV,nun,nun
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ein,DET,ART,ein,einen
guter,ADJ,ADJA,gut,gut
Mensch,NOUN,NN,Mensch,Mensch
einen,DET,ART,ein,ein
guten,ADJ,ADJA,gut,gut
Baum,NOUN,NN,Baum,Baum
sät,VERB,VVFIN,säen,säen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
willst,VERB,VMFIN,wollen,wollen
du,PRON,PPER,du,du
eine,DET,ART,ein,einen
gute,ADJ,ADJA,gut,gut
Frucht,NOUN,NN,Frucht,Frucht
zu,ADP,APPR,zu,zu
deiner,DET,PPOSAT,dein,sich
Seele,NOUN,NN,Seele,Seele
bringen,VERB,VVINF,bringen,bringen
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,du
dich,PRON,PRF,du,sich
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
guten,ADJ,ADJA,gut,gut
Werken,NOUN,NN,Werk,Werk
jedoch,ADV,ADV,jedoch,jedoch
über,ADP,APPR,über,über
alle,DET,PIAT,alle,all
Dinge,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,du
dich,PRON,PRF,du,sich
üben,VERB,VVINF,üben,üben
in,ADP,APPR,in,in
der,DET,ART,d,der
Marter,NOUN,NN,Marter,Marter
unseres,DET,PPOSAT,unser,mein
Herrn,PROPN,NE,Herr,Herrn
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
du,PRON,PPER,du,du
sollst,VERB,VMFIN,sollen,sollen
diese,PRON,PDS,dies,dies
merken,VERB,VVINF,merken,merken
mit,ADP,APPR,mit,mit
alle,DET,PIAT,alle,all
deiner,DET,PPOSAT,dein,sich
Kraft,NOUN,NN,Kraft,Kraft
deiner,DET,PPOSAT,dein,sich
Sinne,NOUN,NN,Sinn,Sinn
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
du,PRON,PPER,du,du
sollst,VERB,VMFIN,sollen,sollen
dich,PRON,PRF,du,sich
mit,ADP,APPR,mit,mit
deiner,DET,PPOSAT,dein,sich
Seele,NOUN,NN,Seele,Seele
hängen,VERB,VVINF,hängen,hängen
an,ADP,APPR,an,an
den,DET,ART,d,der
heiligen,ADJ,ADJA,heilig,heilig
Baum,NOUN,NN,Baum,Baum
",",PUNCT,"$,",",",","
an,ADP,APPR,an,an
dem,PRON,PRELS,d,der
unser,DET,PPOSAT,unser,sich
Heiland,PROPN,NE,Heiland,Heiland
seine,DET,PPOSAT,sein,mein
Seele,NOUN,NN,Seele,Seele
aufgab,VERB,VVFIN,aufgeben,aufgeben
durch,ADP,APPR,durch,durch
unsere,DET,PPOSAT,unser,mein
Sünde,NOUN,NN,Sünde,Sünde
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
du,PRON,PPER,du,du
sollst,VERB,VMFIN,sollen,sollen
betrachten,VERB,VVINF,betrachten,betrachten
seine,DET,PPOSAT,sein,mein
Marter,NOUN,NN,Marter,Marter
mit,ADP,APPR,mit,mit
einem,DET,ART,ein,einer
betrübten,ADJ,ADJA,betrübt,betrüben
Herzen,NOUN,NN,Herz,Herz
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
es,PRON,PPER,es,ich
der,DET,ART,d,der
heilige,ADJ,ADJA,heilig,heilig
Bischof,NOUN,NN,Bischof,Bischof
tat,VERB,VVFIN,tun,tun
.,PUNCT,$.,.,.
_,UNK,--,--,_
Sankt,ADJ,ADJA,Sankt,Sankt
Anselm,PROPN,NE,Anselm,Anselm
bat,VERB,VVFIN,bitten,bitten
Maria,PROPN,NE,Maria,Maria
manches,DET,PIAT,manch,manch
Jahr,NOUN,NN,Jahr,Jahr
mit,ADP,APPR,mit,mit
heißen,ADJ,ADJA,heiß,heiß
Tränen,NOUN,NN,Träne,Träne
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
sie,PRON,PPER,sie,ich
ihm,PRON,PPER,er,ich
offenbarte,VERB,VVFIN,offenbaren,offenbaren
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
unser,DET,PPOSAT,unser,sich
Herr,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
seine,DET,PPOSAT,sein,mein
Marter,NOUN,NN,Marter,Marter
erlitten,VERB,VVPP,erleiden,erleiden
hatte,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,_
Da,ADV,ADV,da,da
sprach,VERB,VVFIN,sprechen,sprechen
unsere,DET,PPOSAT,unser,mein
Frau,PROPN,NE,Frau,Frau
:,PUNCT,$.,:,:
Anselm,PROPN,NE,Anselm,Anselm
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
sage,VERB,VVFIN,sagen,sage
dir,PRON,PPER,du,sich
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
mein,DET,PPOSAT,mein,meinen
Herr,PROPN,NE,Herr,Herr
Jesus,PROPN,NE,Jesus,Jesus
Christus,PROPN,NE,Christus,Christus
so,ADV,ADV,so,so
große,ADJ,ADJA,groß,groß
Marter,NOUN,NN,Marter,Marter
erlitten,VERB,VVPP,erleiden,erleiden
hat,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
sie,PRON,PPER,sie,ich
kein,DET,PIAT,kein,kein
Mensch,NOUN,NN,Mensch,Mensch
auslegen,VERB,VVINF,auslegen,auslegen
mag,VERB,VMFIN,mögen,mögen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Doch,ADV,ADV,doch,doch
sollst,VERB,VMFIN,sollen,sollen
du,PRON,PPER,du,du
wissen,VERB,VVINF,wissen,wissen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ich,PRON,PPER,ich,ich
an,ADP,APPR,an,an
sotane,ADJ,ADJA,sotane,sotane
Würdigkeit,NOUN,NN,Würdigkeit,Würdigkeit
gekommen,VERB,VVPP,kommen,kommen
bin,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
ich,PRON,PPER,ich,ich
nimmermehr,ADV,ADV,nimmermehr,nimmermehr
betrübt,VERB,VVPP,betrübt,betrüben
mag,VERB,VMFIN,mögen,mögen
werden,AUX,VAINF,werden,werden
.,PUNCT,$.,.,.
_,UNK,--,--,_
Darum,ADV,PAV,darum,Darum
so,ADV,ADV,so,so
wil,VERB,VMFIN,wollen,wil
ich,PRON,PPER,ich,ich
berichten,VERB,VVINF,berichten,berichten
dir,PRON,PPER,du,sich
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
mein,DET,PPOSAT,mein,meinen
liebes,ADJ,ADJA,lieb,lieb
Kind,PROPN,NE,Kind,Kind
seine,DET,PPOSAT,sein,mein
Marter,NOUN,NN,Marter,Marter
erlitten,VERB,VVPP,erleiden,erleiden
hat,AUX,VAFIN,haben,haben
und,CONJ,KON,und,und
wie,SCONJ,KOUS,wie,wie
er,PRON,PPER,er,ich
gemartet,VERB,VVPP,martern,gemartet
wurde,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
_,UNK,--,--,_
Da,ADV,ADV,da,da
fragte,VERB,VVFIN,fragen,fragen
Sankt,ADJ,ADJA,Sankt,Sankt
Anselm,PROPN,NE,Anselm,Anselm
unsere,DET,PPOSAT,unser,mein
Frau,PROPN,NE,Frau,Frau
von,ADP,APPR,von,von
Wort,NOUN,NN,Wort,Wort
zu,ADP,APPR,zu,zu
Wort,NOUN,NN,Wort,Wort
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,und
unsere,DET,PPOSAT,unser,mein
Frau,PROPN,NE,Frau,Frau
berichtet,VERB,VVFIN,berichten,berichten
ihm,PRON,PPER,er,ich
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
er,PRON,PPER,er,ich
fragte,VERB,VVFIN,fragen,fragen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Da,ADV,ADV,da,da
