token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,omnis
arbor,X,FM,arbor,arbor
bona,X,FM,bona,bonus
facit,X,FM,facit,facere
fructum,X,FM,fructum,fructus
suum,X,FM,suum,suus
bonum,X,FM,bonum,bonus
.,PUNCT,$.,.,.
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,ù
dich,PRON,PRF,du,dich
vben,VERB,VVINF,üben,vbène
an,ADP,APPR,in,an
dy,DET,ART,d,dy
martir,NOUN,NN,Marter,martir
vnsers,DET,PPOSAT,unser,vnsers
heren,PROPN,NE,Herr,heer
ihesu,PROPN,NE,Jesus,ihesùs
xp-i,PROPN,NE,Christus,xp-i
.,PUNCT,$.,.,.
_,UNK,--,--,_
do,ADV,ADV,da,do
vrogete,VERB,VVFIN,fragen,vrogete
anshelmus,PROPN,NE,Anselm,anshelmu
.,PUNCT,$.,.,.
_,UNK,--,--,_
Do,ADV,ADV,da,do
sprach,VERB,VVFIN,sprechen,sprechen
vnse,DET,PPOSAT,unser,unse
vrouwe,PROPN,NE,Frau,Frau
.,PUNCT,$.,.,.
_,UNK,--,--,_
do,ADV,ADV,da,do
wurden,AUX,VAFIN,werden,werden
dy,DET,ART,d,die
iungere,NOUN,NN,Jünger,jüngere
entslofen,VERB,VVPP,entschlafen,entsloffen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Do,ADV,ADV,da,do
gink,VERB,VVFIN,gehen,ging
myn,DET,PPOSAT,mein,mine
libes,ADJ,ADJA,lieb,lief
kint,PROPN,NE,Kind,kind
von,ADP,APPR,von,van
yn,PRON,PPER,sie,in
alzo,ADV,ADV,also,also
verre,ADV,ADV,weit,ver
.,PUNCT,"$,",.,.
als,SCONJ,KOUS,als,als
man,PRON,PIS,man,mannen
myt,ADP,APPR,mit,macht
eyme,DET,ART,ein,eim
steyne,NOUN,NN,Stein,steen
wer,VERB,VVFIN,werfen,werden
.,PUNCT,$.,.,.
_,UNK,--,--,_
Do,ADV,ADV,da,do
sprach,VERB,VVFIN,sprechen,sprechen
iudas,PROPN,NE,Judas,Iudas
czu,ADP,APPR,zu,zu
den,DET,ART,d,der
iuden,NOUN,NN,Jude,Jude
.,PUNCT,$.,.,.
Ir,PRON,PPER,ihr,Ich
heren,NOUN,NN,Herr,heir
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
gebe,VERB,VVFIN,geben,geben
euch,PRON,PPER,euch,ihr
eyn,DET,ART,ein,ein
czeychen,NOUN,NN,Zeichen,Zeichen
.,PUNCT,$.,.,.
_,UNK,--,--,_
do,ADV,ADV,da,doo
ryfen,VERB,VVFIN,riefen,ryfe
sy,PRON,PPER,sie,sy
alle,PRON,PIS,alle,all
gemeyne,ADJ,ADJD,gemeinsam,gemeyne
.,PUNCT,$.,.,.
