token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,omnis
arbor,X,FM,arbor,arbor
bona,X,FM,bona,bonus
facit,X,FM,facit,facere
fructum,X,FM,fructum,fructus
suum,X,FM,suum,suus
bonum,X,FM,bonum,bonus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Do,ADV,ADV,da,Do
sprach,VERB,VVFIN,sprechen,sprechen
vnse,DET,PPOSAT,unser,uns
vrouwe,PROPN,NE,Frau,Frau
.,PUNCT,$.,.,.
_,UNK,--,--,_
Do,ADV,ADV,da,do
sprach,VERB,VVFIN,sprechen,sprechen
iudas,PROPN,NE,Judas,Iudas
czu,ADP,APPR,zu,zu
den,DET,ART,d,der
iuden,NOUN,NN,Jude,Jude
.,PUNCT,$.,.,.
_,UNK,--,--,_
Doch,CONJ,KON,doch,doch
durch,ADP,APPR,durch,durch
dy,DET,ART,d,dy
muterliche,ADJ,ADJA,mütterlich,muterlich
lyben,NOUN,NN,Liebe,lieben
so,ADV,ADV,so,so
wart,AUX,VAFIN,werden,warten
ich,PRON,PPER,ich,ich
so,ADV,ADV,so,so
herczelichen,ADJ,ADJD,herzlich,herczelich
sere,ADV,ADV,sehr,sehr
betrubet,VERB,VVPP,betrüben,betrüben
.,PUNCT,"$,",",",.
das,SCONJ,KOUS,dass,das
myne,DET,PPOSAT,mein,mein
zele,NOUN,NN,Seele,Zele
wart,AUX,VAFIN,werden,warten
vorwunt,VERB,VVPP,verwunden,vorwunden
myt,ADP,APPR,mit,mit
eyme,DET,ART,ein,ein
swerte,NOUN,NN,Schwert,werte
.,PUNCT,$.,.,.
_,UNK,--,--,_
Do,ADV,ADV,da,Do
sprach,VERB,VVFIN,sprechen,sprechen
vnse,DET,PPOSAT,unser,uns
vrouwe,PROPN,NE,Frau,Frau
.,PUNCT,$.,.,.
