token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,Omni
arbor,X,FM,arbor,Arbor
bona,X,FM,bona,Bona
facit,X,FM,facit,Facit
fructum,X,FM,fructum,Fructum
suum,X,FM,suum,Suum
bonum,X,FM,bonum,Bonum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Dese,DET,PDAT,dies,Des
wort,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,vnser
liber,ADJ,ADJA,lieb,liber
here,PROPN,NE,Herr,Her
ihesus,PROPN,NE,Jesus,Ihesu
cristus,PROPN,NE,Christus,Cristu
czu,ADP,APPR,zu,Czu
eyme,DET,ART,ein,eym
iczlychen,DET,PIDAT,jed,iczlych
menschen,NOUN,NN,Mensch,Mensch
_,PUNCT,"$,",--,_
der,PRON,PRELS,d,der
do,SCONJ,KOUS,da,Do
vorbas,ADJ,ADJD,wahrhaft,Vorbas
wil,VERB,VMFIN,wollen,Wil
komen,VERB,VVINF,kommen,komen
vnd,CONJ,KON,und,Vnd
_,UNK,--,--,_
_,UNK,--,--,_
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,Wil
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
syner,DET,PPOSAT,sein,syner
zele,NOUN,NN,Seele,Zel
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,Vnd
beduten,VERB,VVFIN,bedeuten,bedut
dese,DET,PDAT,dies,Des
wort,NOUN,NN,Wort,Wort
alsus,ADV,ADV,also,Alsus
_,UNK,--,--,_
_,UNK,--,--,_
ayn,DET,ART,ein,Ayn
iczlich,DET,PIAT,jed,iczlich
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
brenget,VERB,VVFIN,bringen,Brenget
eyne,DET,ART,ein,eyn
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
_,UNK,--,--,_
_,UNK,--,--,_
Wilt,VERB,VMFIN,wollen,Wilt
u,PRON,PPER,du,u
nu,ADV,ADV,nun,Nu
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
gvter,ADJ,ADJA,gut,gvter
mensche,NOUN,NN,Mensch,Mensch
eynen,DET,ART,ein,eyn
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
seen,VERB,VVFIN,säen,See
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,Vnd
wilt,VERB,VMFIN,wollen,wilt
u,PRON,PPER,du,u
_,UNK,--,--,_
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
an,ADP,APPR,zu,an
dyner,DET,PPOSAT,dein,dyner
zele,NOUN,NN,Seele,Zel
brengen,VERB,VVINF,bringen,brengen
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,dich
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
guten,ADJ,ADJA,gut,gut
werken,NOUN,NN,Werk,Werk
ydoch,ADV,ADV,jedoch,Ydoch
obir,ADP,APPR,über,Obir
alle,DET,PIAT,alle,alle
ding,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,.
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,dich
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
dy,DET,ART,d,Dy
martir,NOUN,NN,Marter,Martir
vnsers,DET,PPOSAT,unser,Vnsers
heren,PROPN,NE,Herr,Her
ihesu,PROPN,NE,Jesus,Ihesu
xp-i,PROPN,NE,Christus,xp-i
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,Vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
dy,PRON,PDS,dies,Dy
merken,VERB,VVINF,merken,merken
