token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,Omnis
arbor,X,FM,arbor,Arbor
bona,X,FM,bona,Bona
facit,X,FM,facit,Facit
fructum,X,FM,fructum,Fructum
suum,X,FM,suum,Suum
bonum,X,FM,bonum,Bonum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Dese,DET,PDAT,dies,Des
wort,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,vnser
liber,ADJ,ADJA,lieb,liber
here,PROPN,NE,Herr,Here
ihesus,PROPN,NE,Jesus,Ihesu
cristus,PROPN,NE,Christus,Cristu
czu,ADP,APPR,zu,czu
eyme,DET,ART,ein,eyme
iczlychen,DET,PIDAT,jed,iczlych
menschen,NOUN,NN,Mensch,Mensch
_,PUNCT,"$,",--,_
der,PRON,PRELS,d,der
do,SCONJ,KOUS,da,do
vorbas,ADJ,ADJD,wahrhaft,Vorbas
wil,VERB,VMFIN,wollen,Wil
komen,VERB,VVINF,kommen,komen
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
_,UNK,--,--,_
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,Wil
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
syner,DET,PPOSAT,sein,syner
zele,NOUN,NN,Seele,Zel
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
beduten,VERB,VVFIN,bedeuten,bedut
dese,DET,PDAT,dies,Des
wort,NOUN,NN,Wort,Wort
alsus,ADV,ADV,also,alsus
_,UNK,--,--,_
_,UNK,--,--,_
ayn,DET,ART,ein,ayn
iczlich,DET,PIAT,jed,iczlich
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
brenget,VERB,VVFIN,bringen,Brenget
eyne,DET,ART,ein,eyne
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
_,UNK,--,--,_
_,UNK,--,--,_
Wilt,VERB,VMFIN,wollen,Wilt
u,PRON,PPER,du,u
nu,ADV,ADV,nun,nu
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
gvter,ADJ,ADJA,gut,gvter
mensche,NOUN,NN,Mensch,Mensch
eynen,DET,ART,ein,eynen
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
seen,VERB,VVFIN,säen,See
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
wilt,VERB,VMFIN,wollen,wilt
u,PRON,PPER,du,u
_,UNK,--,--,_
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
an,ADP,APPR,zu,an
dyner,DET,PPOSAT,dein,dyner
zele,NOUN,NN,Seele,Zel
brengen,VERB,VVINF,bringen,brengen
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,sich
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
guten,ADJ,ADJA,gut,gut
werken,NOUN,NN,Werk,Werk
ydoch,ADV,ADV,jedoch,ydoch
obir,ADP,APPR,über,obir
alle,DET,PIAT,alle,all
ding,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,.
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,sich
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
dy,DET,ART,d,dy
martir,NOUN,NN,Marter,Martir
vnsers,DET,PPOSAT,unser,Vnsers
heren,PROPN,NE,Herr,Heren
ihesu,PROPN,NE,Jesus,Ihesu
xp-i,PROPN,NE,Christus,Xp-i
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
dy,PRON,PDS,dies,dy
merken,VERB,VVINF,merken,merken
myt,ADP,APPR,mit,myt
alle,DET,PIAT,alle,all
dyner,DET,PPOSAT,dein,dyner
craft,NOUN,NN,Kraft,Craft
dyner,DET,PPOSAT,dein,dyner
synne,NOUN,NN,Sinn,Synne
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
dich,PRON,PPER,du,dich
myt,ADP,APPR,mit,myt
dyner,DET,PPOSAT,dein,dyner
zele,NOUN,NN,Seele,Zel
hengen,VERB,VVINF,hängen,hengen
an,ADP,APPR,an,an
den,DET,ART,d,der
heiligen,ADJ,ADJA,heilig,heilig
bowm,NOUN,NN,Baum,Bowm
_,UNK,--,--,_
an,ADP,APPR,an,an
dem,PRON,PDS,d,der
vnser,DET,PPOSAT,unser,vnser
heylant,PROPN,NE,Heiland,Heylant
syne,DET,PPOSAT,sein,syn
sele,NOUN,NN,Seele,Sel
vfgap,VERB,VVFIN,aufgeben,Vfgap
durch,ADP,APPR,durch,durch
vnse,DET,PPOSAT,unser,Vnse
svnde,NOUN,NN,Sünde,Svnd
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnn,CONJ,KON,und,vnn
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
betrachten,VERB,VVINF,betrachten,betrachten
syne,DET,PPOSAT,sein,syn
martir,NOUN,NN,Marter,Martir
myt,ADP,APPR,mit,myt
eyme,DET,ART,ein,eyme
betrubegen,ADJ,ADJA,betrübt,betrubegen
