token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Omnis,X,FM,Omis,
arbor,X,FM,arbor,arbor
bona,X,FM,bona,bona
facit,X,FM,facit,facit
fructum,X,FM,fructum,fructum
suum,X,FM,suum,suum
bonum,X,FM,bonum,bonum
.,PUNCT,$.,.,.
_,UNK,--,--,
Dese,DET,PDAT,dies,
wort,NOUN,NN,Wort,
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,
liber,ADJ,ADJA,lieb,
here,PROPN,NE,Herr,
ihesus,PROPN,NE,Jesus,
cristus,PROPN,NE,Christus,
czu,ADP,APPR,zu,
eyme,DET,ART,ein,
iczlychen,DET,PIDAT,jed,
menschen,NOUN,NN,Mensch,
_,PUNCT,"$,",--,
der,PRON,PRELS,d,
do,SCONJ,KOUS,da,
vorbas,ADJ,ADJD,wahrhaft,
wil,VERB,VMFIN,wollen,
komen,VERB,VVINF,kommen,
vnd,CONJ,KON,und,
_,UNK,--,--,
_,UNK,--,--,
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
syner,DET,PPOSAT,sein,
zele,NOUN,NN,Seele,
.,PUNCT,$.,.,.
_,UNK,--,--,
vnd,CONJ,KON,und,
beduten,VERB,VVFIN,bedeuten,
dese,DET,PDAT,dies,
wort,NOUN,NN,Wort,
alsus,ADV,ADV,also,
_,UNK,--,--,
_,UNK,--,--,
ayn,DET,ART,ein,
iczlich,DET,PIAT,jed,
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,
brenget,VERB,VVFIN,bringen,
eyne,DET,ART,ein,
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,
_,UNK,--,--,
_,UNK,--,--,
Wilt,VERB,VMFIN,wollen,
u,PRON,PPER,du,
nu,ADV,ADV,nun,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
gvter,ADJ,ADJA,gut,
mensche,NOUN,NN,Mensch,
eynen,DET,ART,ein,
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,
seen,VERB,VVFIN,säen,
_,UNK,--,--,
_,UNK,--,--,
vnd,CONJ,KON,und,
wilt,VERB,VMFIN,wollen,
u,PRON,PPER,du,
_,UNK,--,--,
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,
an,ADP,APPR,zu,
dyner,DET,PPOSAT,dein,
zele,NOUN,NN,Seele,
brengen,VERB,VVINF,bringen,
_,UNK,--,--,
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,
u,PRON,PPER,du,
dich,PRON,PRF,du,
vben,VERB,VVINF,üben,
an,ADP,APPR,in,
guten,ADJ,ADJA,gut,gut
werken,NOUN,NN,Werk,
ydoch,ADV,ADV,jedoch,
obir,ADP,APPR,über,
alle,DET,PIAT,alle,alle
ding,NOUN,NN,Ding,
.,PUNCT,$.,.,.
_,UNK,--,--,
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,
u,PRON,PPER,du,
dich,PRON,PRF,du,
vben,VERB,VVINF,üben,
an,ADP,APPR,in,
dy,DET,ART,d,
martir,NOUN,NN,Marter,
vnsers,DET,PPOSAT,unser,
heren,PROPN,NE,Herr,
ihesu,PROPN,NE,Jesus,
xp-i,PROPN,NE,Christus,
.,PUNCT,$.,.,.
_,UNK,--,--,
vnd,CONJ,KON,und,
_,UNK,--,--,
salt,VERB,VMFIN,sollen,
dy,PRON,PDS,dies,
merken,VERB,VVINF,merken,merken
myt,ADP,APPR,mit,
alle,DET,PIAT,alle,alle
dyner,DET,PPOSAT,dein,
craft,NOUN,NN,Kraft,
dyner,DET,PPOSAT,dein,
synne,NOUN,NN,Sinn,
_,UNK,--,--,
_,UNK,--,--,
vnd,CONJ,KON,und,
_,UNK,--,--,
salt,VERB,VMFIN,sollen,
dich,PRON,PPER,du,
myt,ADP,APPR,mit,
dyner,DET,PPOSAT,dein,
zele,NOUN,NN,Seele,
hengen,VERB,VVINF,hängen,
an,ADP,APPR,an,an
den,DET,ART,d,
heiligen,ADJ,ADJA,heilig,heilig
bowm,NOUN,NN,Baum,
_,UNK,--,--,
an,ADP,APPR,an,an
dem,PRON,PDS,d,
vnser,DET,PPOSAT,unser,
heylant,PROPN,NE,Heiland,
syne,DET,PPOSAT,sein,
sele,NOUN,NN,Seele,
vfgap,VERB,VVFIN,aufgeben,
durch,ADP,APPR,durch,durch
vnse,DET,PPOSAT,unser,
svnde,NOUN,NN,Sünde,
.,PUNCT,$.,.,.
_,UNK,--,--,
vnn,CONJ,KON,und,
_,UNK,--,--,
salt,VERB,VMFIN,sollen,
betrachten,VERB,VVINF,betrachten,betrachten
syne,DET,PPOSAT,sein,
martir,NOUN,NN,Marter,
myt,ADP,APPR,mit,
eyme,DET,ART,ein,
betrubegen,ADJ,ADJA,betrübt,
herczen,NOUN,NN,Herz,
_,UNK,--,--,
Alzo,SCONJ,KOUS,also,
_,UNK,--,--,
der,DET,ART,d,
heilige,ADJ,ADJA,heilig,heilig
bischof,NOUN,NN,Bischof,
tete,VERB,VVFIN,tun,
_,UNK,--,--,
_,UNK,--,--,
sente,ADJ,ADJA,Sankt,
anshelmus,PROPN,NE,Anselm,
bat,VERB,VVFIN,bitten,bitten
marien,PROPN,NE,Maria,
manch,DET,PIAT,manch,manch
iar,NOUN,NN,Jahr,
myt,ADP,APPR,mit,
heysen,ADJ,ADJA,heiß,
trenen,NOUN,NN,Träne,
_,UNK,--,--,
das,SCONJ,KOUS,dass,
sy,PRON,PPER,sie,
ym,PRON,PPER,er,
offenbarte,VERB,VVFIN,offenbaren,offenbaren
_,UNK,--,--,
wy,SCONJ,KOUS,wie,
vnser,DET,PPOSAT,unser,
here,PROPN,NE,Herr,
ih-us,PROPN,NE,Jesus,
cristus,PROPN,NE,Christus,
syne,DET,PPOSAT,sein,
marter,NOUN,NN,Marter,
irleden,VERB,VVPP,erleiden,
hatte,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,
do,ADV,ADV,da,
sprach,VERB,VVFIN,sprechen,sprechen
vnse,DET,PPOSAT,unser,
vrouwe,PROPN,NE,Frau,
_,UNK,--,--,
Anshelme,PROPN,NE,Anselm,
_,UNK,--,--,
ich,PRON,PPER,ich,
sage,VERB,VVFIN,sagen,sagen
dir,PRON,PPER,du,
