token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,Omnis
arbor,X,FM,arbor,Arbor
bona,X,FM,bona,Bona
facit,X,FM,facit,Facit
fructum,X,FM,fructum,Fructum
suum,X,FM,suum,Suum
bonum,X,FM,bonum,Bonum
.,PUNCT,$.,.,--
_,UNK,--,--,_
Dese,DET,PDAT,dies,Dese
wort,NOUN,NN,Wort,Wort
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,Vnser
liber,ADJ,ADJA,lieb,liber
here,PROPN,NE,Herr,Here
ihesus,PROPN,NE,Jesus,Ihesus
cristus,PROPN,NE,Christus,Cristus
czu,ADP,APPR,zu,czu
eyme,DET,ART,ein,Eyme
iczlychen,DET,PIDAT,jed,iczlychen
menschen,NOUN,NN,Mensch,Mensch
_,PUNCT,"$,",--,_
der,PRON,PRELS,d,der
do,SCONJ,KOUS,da,Do
vorbas,ADJ,ADJD,wahrhaft,vorbas
wil,VERB,VMFIN,wollen,Wil
komen,VERB,VVINF,kommen,Komen
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
_,UNK,--,--,_
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,Wil
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
syner,DET,PPOSAT,sein,Syner
zele,NOUN,NN,Seele,Zele
.,PUNCT,$.,.,--
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
beduten,VERB,VVFIN,bedeuten,Beduten
dese,DET,PDAT,dies,dese
wort,NOUN,NN,Wort,Wort
alsus,ADV,ADV,also,Alsus
_,UNK,--,--,_
_,UNK,--,--,_
ayn,DET,ART,ein,Ayn
iczlich,DET,PIAT,jed,iczlich
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,Bowm
brenget,VERB,VVFIN,bringen,Brenget
eyne,DET,ART,ein,Eyne
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,frucht
_,UNK,--,--,_
_,UNK,--,--,_
Wilt,VERB,VMFIN,wollen,Wilt
u,PRON,PPER,du,u
nu,ADV,ADV,nun,nu
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
gvter,ADJ,ADJA,gut,Gvter
mensche,NOUN,NN,Mensch,Mensche
eynen,DET,ART,ein,Eynen
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,bowm
seen,VERB,VVFIN,säen,Seen
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
wilt,VERB,VMFIN,wollen,wilen
u,PRON,PPER,du,u
_,UNK,--,--,_
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,frucht
an,ADP,APPR,zu,an
dyner,DET,PPOSAT,dein,Dyner
zele,NOUN,NN,Seele,Zele
brengen,VERB,VVINF,bringen,Brengen
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,Salt
u,PRON,PPER,du,U
dich,PRON,PRF,du,dich
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
guten,ADJ,ADJA,gut,gut
werken,NOUN,NN,Werk,Werk
ydoch,ADV,ADV,jedoch,Ydoch
obir,ADP,APPR,über,obir
alle,DET,PIAT,alle,aller
ding,NOUN,NN,Ding,Ding
.,PUNCT,$.,.,--
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,salt
u,PRON,PPER,du,u
dich,PRON,PRF,du,dich
vben,VERB,VVINF,üben,vben
an,ADP,APPR,in,an
dy,DET,ART,d,dy
martir,NOUN,NN,Marter,Martir
vnsers,DET,PPOSAT,unser,Vnsers
heren,PROPN,NE,Herr,Heren
ihesu,PROPN,NE,Jesus,ihesu
xp-i,PROPN,NE,Christus,xp-i
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,Salt
dy,PRON,PDS,dies,dy
merken,VERB,VVINF,merken,merken
myt,ADP,APPR,mit,myt
alle,DET,PIAT,alle,alle
dyner,DET,PPOSAT,dein,Dyner
craft,NOUN,NN,Kraft,Craft
dyner,DET,PPOSAT,dein,Dyner
synne,NOUN,NN,Sinn,Synne
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,salt
dich,PRON,PPER,du,dich
myt,ADP,APPR,mit,myt
dyner,DET,PPOSAT,dein,Dyner
zele,NOUN,NN,Seele,Zele
hengen,VERB,VVINF,hängen,Hengen
an,ADP,APPR,an,an
den,DET,ART,d,der
heiligen,ADJ,ADJA,heilig,heilig
bowm,NOUN,NN,Baum,Bowm
_,UNK,--,--,_
an,ADP,APPR,an,an
dem,PRON,PDS,d,der
vnser,DET,PPOSAT,unser,Vnser
heylant,PROPN,NE,Heiland,Heylant
syne,DET,PPOSAT,sein,Syne
sele,NOUN,NN,Seele,sele
vfgap,VERB,VVFIN,aufgeben,vfgap
durch,ADP,APPR,durch,durch
vnse,DET,PPOSAT,unser,Vnse
svnde,NOUN,NN,Sünde,Svnde
.,PUNCT,$.,.,--
_,UNK,--,--,_
vnn,CONJ,KON,und,vnn
_,UNK,--,--,_
salt,VERB,VMFIN,sollen,Salt
betrachten,VERB,VVINF,betrachten,betrachten
syne,DET,PPOSAT,sein,Syne
martir,NOUN,NN,Marter,Martir
myt,ADP,APPR,mit,Myt
eyme,DET,ART,ein,Eyme
