token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Omnis,X,FM,Omis,<unknown>
arbor,X,FM,arbor,<unknown>
bona,X,FM,bona,Bona
facit,X,FM,facit,<unknown>
fructum,X,FM,fructum,<unknown>
suum,X,FM,suum,<unknown>
bonum,X,FM,bonum,<unknown>
.,PUNCT,$.,.,.
_,UNK,--,--,_
Dese,DET,PDAT,dies,<unknown>
wort,NOUN,NN,Wort,<unknown>
spricht,VERB,VVFIN,sprechen,sprechen
vnser,DET,PPOSAT,unser,<unknown>
liber,ADJ,ADJA,lieb,<unknown>
here,PROPN,NE,Herr,<unknown>
ihesus,PROPN,NE,Jesus,<unknown>
cristus,PROPN,NE,Christus,<unknown>
czu,ADP,APPR,zu,czu
eyme,DET,ART,ein,<unknown>
iczlychen,DET,PIDAT,jed,<unknown>
menschen,NOUN,NN,Mensch,<unknown>
_,PUNCT,"$,",--,_
der,PRON,PRELS,d,die
do,SCONJ,KOUS,da,do
vorbas,ADJ,ADJD,wahrhaft,<unknown>
wil,VERB,VMFIN,wollen,Wil
komen,VERB,VVINF,kommen,<unknown>
vnd,CONJ,KON,und,vnd
_,UNK,--,--,_
_,UNK,--,--,_
fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
wil,VERB,VMFIN,wollen,Wil
werden,AUX,VAINF,werden,werden
an,ADP,APPR,an,an
syner,DET,PPOSAT,sein,<unknown>
zele,NOUN,NN,Seele,<unknown>
.,PUNCT,$.,.,.
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
beduten,VERB,VVFIN,bedeuten,<unknown>
dese,DET,PDAT,dies,<unknown>
wort,NOUN,NN,Wort,<unknown>
alsus,ADV,ADV,also,<unknown>
_,UNK,--,--,_
_,UNK,--,--,_
ayn,DET,ART,ein,<unknown>
iczlich,DET,PIAT,jed,<unknown>
guter,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,<unknown>
brenget,VERB,VVFIN,bringen,<unknown>
eyne,DET,ART,ein,<unknown>
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
_,UNK,--,--,_
_,UNK,--,--,_
Wilt,VERB,VMFIN,wollen,Wilt
u,PRON,PPER,du,<unknown>
nu,ADV,ADV,nun,nu
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
gvter,ADJ,ADJA,gut,<unknown>
mensche,NOUN,NN,Mensch,<unknown>
eynen,DET,ART,ein,<unknown>
guten,ADJ,ADJA,gut,gut
bowm,NOUN,NN,Baum,<unknown>
seen,VERB,VVFIN,säen,<unknown>
_,UNK,--,--,_
_,UNK,--,--,_
vnd,CONJ,KON,und,vnd
wilt,VERB,VMFIN,wollen,<unknown>
u,PRON,PPER,du,<unknown>
_,UNK,--,--,_
gute,ADJ,ADJA,gut,gut
frucht,NOUN,NN,Frucht,Frucht
an,ADP,APPR,zu,an
dyner,DET,PPOSAT,dein,<unknown>
zele,NOUN,NN,Seele,<unknown>
brengen,VERB,VVINF,bringen,breng
_,UNK,--,--,_
so,ADV,ADV,so,so
salt,VERB,VMFIN,sollen,<unknown>
