token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Na,INTJ,ITJ,na,na
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
doch,ADV,ADV,doch,doch
voll,ADV,ADV,voll,voll
egal,ADJ,ADJD,egal,egal
.,PUNCT,$.,.,.
_,UNK,--,--,_
Darauf,ADV,PAV,darauf,darauf
kommt,VERB,VVFIN,kommen,kommen
es,PRON,PPER,es,es
doch,ADV,ADV,doch,doch
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,nicht
an,PART,PTKVZ,an,an
.,PUNCT,$.,.,.
_,UNK,--,--,_
Nein,PART,PTKANT,nein,nein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Er,PRON,PPER,er,er
hat,AUX,VAFIN,haben,haben
es,PRON,PPER,es,es
halt,ADV,ADV,halt,halt
falsch,ADJ,ADJD,falsch,falsch
beschrieben,VERB,VVPP,beschreiben,beschreiben
.,PUNCT,$.,.,.
_,UNK,--,--,_
Er,PRON,PPER,er,er
hat,AUX,VAFIN,haben,haben
das,PRON,PDS,d,der
mit,ADP,APPR,mit,mit
Handbreiten,NOUN,NN,Handbreite,Handbreit
und,CONJ,KON,und,und
Zentimetern,NOUN,NN,Zentimeter,Zentimeter
gemacht,VERB,VVPP,machen,machen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,hallo
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,sein
anwesend,ADJ,ADJD,anwesend,anwesend
.,PUNCT,$.,.,.
_,UNK,--,--,_
Man,PRON,PIS,man,man
redet,VERB,VVFIN,reden,reden
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
anwesenden,ADJ,ADJA,anwesend,anwesend
Personen,NOUN,NN,Person,Person
.,PUNCT,$.,.,.
_,UNK,--,--,_
Wir,PRON,PPER,wir,wir
haben,AUX,VAFIN,haben,haben
alles,PRON,PIS,alles,alle
total,ADJ,ADJD,total,total
.,PUNCT,$.,.,.
_,UNK,--,--,_
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,.
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Dank
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,hallo
",",PUNCT,"$,",",",","
Therese,PROPN,NE,Therese,Therese
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,hallo
",",PUNCT,"$,",",",","
Alex,PROPN,NE,Alex,Alex
.,PUNCT,$.,.,.
_,UNK,--,--,_
Da,ADV,ADV,da,da
bin,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,ich
schon,ADV,ADV,schon,schon
wieder,ADV,ADV,wieder,wieder
.,PUNCT,$.,.,.
_,UNK,--,--,_
Na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",","
Mensch,NOUN,NN,Mensch,Mensch
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
.,PUNCT,$.,.,.
_,UNK,--,--,_
Jetzt,ADV,ADV,jetzt,jetzt
beschreibe,VERB,VVFIN,beschreiben,beschreibe
ich,PRON,PPER,ich,ich
dir,PRON,PPER,du,du
mal,ADV,ADV,mal,mal
einen,DET,ART,ein,ein
Weg,NOUN,NN,Weg,Weg
.,PUNCT,$.,.,.
_,UNK,--,--,_
Tue,VERB,VVIMP,tun,Tue
dies,PRON,PDS,dies,dies
!,PUNCT,$.,!,!
_,UNK,--,--,_
So,ADV,ADV,so,so
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
unten,ADV,ADV,unten,unten
links,ADV,ADV,links,links
so,ADV,ADV,so,so
einen,DET,ART,ein,ein
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
?,PUNCT,$.,?,?
_,UNK,--,--,_
Nein,PART,PTKANT,nein,nein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Nein,PART,PTKANT,nein,nein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Doch,PART,PTKANT,doch,doch
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
hast,AUX,VAFIN,haben,haben
den,PRON,PDS,d,der
auf,ADP,APPR,auf,auf
jeden,DET,PIDAT,jed,jed
Fall,NOUN,NN,Fall,Fall
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,der
ist,AUX,VAFIN,sein,sein
doch,ADV,ADV,doch,doch
immer,ADV,ADV,immer,immer
gleich,ADJ,ADJD,gleich,gleich
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ja,PART,PTKANT,ja,Ja
.,PUNCT,$.,.,.
_,UNK,--,--,_
Wer,PRON,PWS,wer,wer
weiß,VERB,VVFIN,wissen,wissen
das,PRON,PDS,d,der
?,PUNCT,$.,?,?
_,UNK,--,--,_
Weißt,VERB,VVFIN,wissen,weißen|wissen
du,PRON,PPER,du,du
",",PUNCT,"$,",",",","
irgendwie,ADV,ADV,irgendwie,irgendwie
verarschen,VERB,VVFIN,verarschen,verarschen
die,PRON,PDS,d,der
einen,PRON,PIS,ein,ein
ja,ADV,ADV,ja,ja
doch,ADV,ADV,doch,doch
hier,ADV,ADV,hier,hier
so,ADV,ADV,so,so
ein,DET,ART,ein,ein
bisschen,PRON,PIS,bisschen,bißchen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Also,ADV,ADV,also,also
.,PUNCT,$.,.,.
_,UNK,--,--,_
Von,ADP,APPR,von,von
diesem,DET,PDAT,dies,dies
Startpunkt,NOUN,NN,Startpunkt,Startpunkt
gehst,VERB,VVFIN,gehen,gehen
du,PRON,PPER,du,du
rechts,ADV,ADV,rechts,rechts
.,PUNCT,$.,.,.
_,UNK,--,--,_
Aber,CONJ,KON,aber,aber
warte,VERB,VVIMP,warten,waren
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
will,VERB,VMFIN,wollen,wollen
es,PRON,PPER,es,es
dir,PRON,PPER,du,du
erst,ADV,ADV,erst,erst
zu,ADP,APPR,zu,zu
Ende,NOUN,NN,Ende,Ende
erklären,VERB,VVINF,erklären,erklären
.,PUNCT,$.,.,.
_,UNK,--,--,_
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,.
_,UNK,--,--,_
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
bin,AUX,VAFIN,sein,sein
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
bis,ADP,APPR,bis,bis
zur,ADP,APPRART,zur,zur
Hälfte,NOUN,NN,Hälfte,Hälfte
des,DET,ART,d,der
Bildes,NOUN,NN,Bild,Bild
parallel,ADJ,ADJD,parallel,parallel
nach,ADP,APPR,nach,nach
rechts,ADV,ADV,rechts,rechts
.,PUNCT,$.,.,.
_,UNK,--,--,_
Also,ADV,ADV,also,also
gehst,VERB,VVFIN,gehen,gehen
du,PRON,PPER,du,du
einfach,ADV,ADV,einfach,einfach
eine,DET,ART,ein,ein
senkrechte,ADJ,ADJA,senkrecht,senkrecht
Linie,NOUN,NN,Linie,Linie
.,PUNCT,$.,.,.
_,UNK,--,--,_
Boah,INTJ,ITJ,boah,Boah
.,PUNCT,$.,.,.
_,UNK,--,--,_
Fick,VERB,VVIMP,ficken,Fick
dich,PRON,PRF,du,du
.,PUNCT,$.,.,.
_,UNK,--,--,_
Mann,NOUN,NN,Mann,Mann
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
will,VERB,VMFIN,wollen,wollen
jetzt,ADV,ADV,jetzt,jetzt
nach,ADP,APPR,nach,nach
rechts,ADV,ADV,rechts,rechts
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ja,PART,PTKANT,ja,Ja
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
machst,VERB,VVFIN,machen,machen
es,PRON,PPER,es,es
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
.,PUNCT,$.,.,.
_,UNK,--,--,_
Okay,ADV,ADV,okay,okay
.,PUNCT,$.,.,.
_,UNK,--,--,_
Da,ADV,ADV,da,da
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
Bild,NOUN,NN,Bild,Bild
.,PUNCT,$.,.,.
_,UNK,--,--,_
Oder,CONJ,KON,oder,Oder
ist,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
ein,DET,ART,ein,ein
Bild,NOUN,NN,Bild,Bild
?,PUNCT,$.,?,?
_,UNK,--,--,_
Das,PRON,PDS,d,der
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
Käsebild,NOUN,NN,Käsebild,Käsebild
so,ADV,ADV,so,so
.,PUNCT,$.,.,.
_,UNK,--,--,_
Genau,ADV,ADV,genau,genau
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,der
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
Gouda,NOUN,NN,Gouda,Gouda
.,PUNCT,$.,.,.
_,UNK,--,--,_
Oder,CONJ,KON,oder,Oder
was,PRON,PWS,was,was
das,PRON,PDS,d,der
ist,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
unten,ADV,ADV,unten,unten
rechts,ADV,ADV,rechts,rechts
vom,ADP,APPRART,vom,vom
Käse,NOUN,NN,Käse,Käse
praktisch,ADV,ADV,praktisch,praktisch
entlang,PART,PTKVZ,entlang,entlang
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ja,PART,PTKANT,ja,Ja
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
dass,SCONJ,KOUS,dass,dass
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
gehst,VERB,VVFIN,gehen,gehen
so,ADV,ADV,so,so
einen,DET,ART,ein,ein
halben,ADJ,ADJA,halb,halb
Zentimeter,NOUN,NN,Zentimeter,Zentimeter
rechts,ADV,ADV,rechts,rechts
neben,ADP,APPR,neben,neben
dem,DET,ART,d,der
Käse,NOUN,NN,Käse,Käse
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
du,PRON,PPER,du,du
da,ADV,ADV,da,da
bist,AUX,VAFIN,sein,sein
aber,CONJ,KON,aber,aber
unten,ADV,ADV,unten,unten
bleibst,VERB,VVFIN,bleiben,bleiben
.,PUNCT,$.,.,.
_,UNK,--,--,_
