token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Um,SCONJ,KOUI,um,um
sich,PRON,PRF,sich,sich
zu,ADP,APPR,zu,zu
dieser,DET,PDAT,dies,dies
Behauptung,NOUN,NN,Behauptung,Behauptung
überhaupt,ADV,ADV,überhaupt,überhaupt
zu,PART,PTKZU,zu,zu
verhalten,VERB,VVINF,verhalten,verhalten
",",PUNCT,"$,",",",","
muss,VERB,VMFIN,müssen,muss
man,PRON,PIS,man,man
sich,PRON,PRF,sich,sich
erst,ADV,ADV,erst,erst
überlegen,VERB,VVINF,überlegen,überlegen
:,PUNCT,$.,:,:
_,UNK,--,--,_
"""",PUNCT,$(,"""",
Haben,AUX,VAFIN,haben,haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,anderes
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
"""",PUNCT,$(,"""",
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
dies,PRON,PDS,dies,dies
nicht,PART,PTKNEG,nicht,nicht
der,DET,ART,d,der
Fall,NOUN,NN,Fall,Fall
",",PUNCT,"$,",",",","
entfällt,VERB,VVFIN,entfallen,entfallen
die,DET,ART,d,die
Legitimität,NOUN,NN,Legitimität,Legitimität
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
(,PUNCT,$(,(,(
und,CONJ,KON,und,und
des,DET,ART,d,des
Begriffes,NOUN,NN,Begriff,Begriff
Feminismus,NOUN,NN,Feminismus,Feminismus
),PUNCT,$(,),)
.,PUNCT,$.,.,.
_,UNK,--,--,_
Findet,VERB,VVFIN,finden,finden
man,PRON,PIS,man,mann
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Männer,NOUN,NN,Mann,Mann
unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
lassen,VERB,VVFIN,lassen,lassen
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,mann
mit,ADP,APPR,mit,mit
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
weitergehen,VERB,VVINF,weitergehen,weitergehen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",
Welches,PRON,PWS,welch,welch
sind,AUX,VAFIN,sein,sein
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
?,PUNCT,$.,?,?
_,UNK,--,--,_
Erst,ADV,ADV,erst,Erster
kommt,VERB,VVFIN,kommen,kommen
also,ADV,ADV,also,also
:,PUNCT,$.,:,:
_,UNK,--,--,_
Haben,AUX,VAFIN,haben,haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,andere
Interessen,NOUN,NN,Interesse,Interessen
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
gehe,VERB,VVFIN,gehen,gehen
von,ADP,APPR,von,von
der,DET,ART,d,der
Vorstellung,NOUN,NN,Vorstellung,Vorstellung
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
von,ADP,APPR,von,von
Werten,NOUN,NN,Wert,Wert
abhängig,ADJ,ADJD,abhängig,abhängig
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Welche,DET,PWAT,welch,welch
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
männlichen,ADJ,ADJA,männlich,männlich
Werten,NOUN,NN,Wert,wert
unterscheidende,ADJ,ADJA,unterscheidend,unterscheiden
Werte,NOUN,NN,Wert,wert
könnten,VERB,VMFIN,können,können
Frauen,NOUN,NN,Frau,Frauen
haben,AUX,VAINF,haben,haben
?,PUNCT,$.,?,?
_,UNK,--,--,_
Daraus,ADV,PAV,daraus,daraus
folgt,VERB,VVFIN,folgen,folgen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Frauen,NOUN,NN,Frau,Frau
und,CONJ,KON,und,und
Männer,NOUN,NN,Mann,Mann
grundsätzlich,ADJ,ADJD,grundsätzlich,grundsätzlich
dieselben,DET,PDAT,derselbe,gleich
Interessen,NOUN,NN,Interesse,Interesse
haben,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,_
Wie,ADV,PWAV,wie,Wie
könnte,VERB,VMFIN,können,können
eine,DET,ART,ein,eine
Frau,NOUN,NN,Frau,Frau
dann,ADV,ADV,dann,dann
-,PUNCT,$(,-,-
in,ADP,APPR,in,in
der,DET,ART,d,der
Länge,NOUN,NN,Länge,Länge
-,PUNCT,$(,-,-
Interessen,NOUN,NN,Interesse,Interesse
verfolgen,VERB,VVINF,verfolgen,verfolgen
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
gegen,ADP,APPR,gegen,gegen
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
ihres,DET,PPOSAT,ihr,ihr
Mannes,NOUN,NN,Mann,Mann
sein,AUX,VAINF,sein,sein
könnten,VERB,VMFIN,können,können
?,PUNCT,$.,?,?
_,UNK,--,--,_
Verlangt,VERB,VVFIN,verlangen,ums
-,PUNCT,$(,-,dies
oder,CONJ,KON,oder,Frage
verfolgt,VERB,VVFIN,verfolgen,zu
-,PUNCT,$(,-,beantworten
sie,PRON,PPER,sie,","
etwas,PRON,PIS,etwas,muss
Exorbitantes,NOUN,NN,Exorbitante,zuerst
",",PUNCT,"$,",-,eine
wird,AUX,VAFIN,werden,ander
der,DET,ART,d,Frage
Mann,NOUN,NN,Mann,beantworten
das,DET,ART,d,werden
Verhältnis,NOUN,NN,Verhältnis,","
aufgeben,VERB,VVINF,aufgeben,nämlich
.,PUNCT,$.,.,:
_,UNK,--,--,_
Beharrt,VERB,VVFIN,beharren,Beharrung
