token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Um,SCONJ,KOUI,um,
sich,PRON,PRF,sich,
zu,ADP,APPR,zu,
dieser,DET,PDAT,dies,
Behauptung,NOUN,NN,Behauptung,Behauptung
überhaupt,ADV,ADV,überhaupt,überhaupt
zu,PART,PTKZU,zu,
verhalten,VERB,VVINF,verhalten,verhalten
",",PUNCT,"$,",",",
muss,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,
sich,PRON,PRF,sich,
erst,ADV,ADV,erst,erst
überlegen,VERB,VVINF,überlegen,überlegen
:,PUNCT,$.,:,
_,UNK,--,--,
_,UNK,--,--,
haben,AUX,VAFIN,haben,
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,anderer
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,
_,UNK,--,--,
_,UNK,--,--,
Ist,AUX,VAFIN,sein,
dies,PRON,PDS,dies,
nicht,PART,PTKNEG,nicht,
der,DET,ART,d,
Fall,NOUN,NN,Fall,Fall
",",PUNCT,"$,",",",
entfällt,VERB,VVFIN,entfallen,entfallen
die,DET,ART,d,
Legitimität,NOUN,NN,Legitimität,Legitimität
der,DET,ART,d,
Frage,NOUN,NN,Frage,Frage
(,PUNCT,$(,(,
und,CONJ,KON,und,
des,DET,ART,d,
Begriffes,NOUN,NN,Begriff,Begriff
Feminismus,NOUN,NN,Feminismus,Feminismus
),PUNCT,$(,),
.,PUNCT,$.,.,
_,UNK,--,--,
Findet,VERB,VVFIN,finden,finden
man,PRON,PIS,man,
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,
Frauen,NOUN,NN,Frau,Frau
sich,PRON,PRF,sich,
von,ADP,APPR,von,
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,
Männer,NOUN,NN,Mann,Mann
unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
lassen,VERB,VVFIN,lassen,lassen
",",PUNCT,"$,",",",
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,
mit,ADP,APPR,mit,
der,DET,ART,d,
Frage,NOUN,NN,Frage,Frage
weitergehen,VERB,VVINF,weitergehen,weitergehen
:,PUNCT,$.,:,
_,UNK,--,--,
welche,PRON,PWS,welch,
sind,AUX,VAFIN,sein,
die,DET,ART,d,
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,
Frauen,NOUN,NN,Frau,Frau
?,PUNCT,$.,?,
_,UNK,--,--,
_,UNK,--,--,
Dass,PRON,PDS,d,
muss,VERB,VMFIN,müssen,müssen
abgeklärt,VERB,VVPP,abklären,abklären
