token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Um,SCONJ,KOUI,um,um
sich,PRON,PRF,sich,sich
zu,ADP,APPR,zu,zu
dieser,DET,PDAT,dies,dies
Behauptung,NOUN,NN,Behauptung,Behauptung
überhaupt,ADV,ADV,überhaupt,überhaupt
zu,PART,PTKZU,zu,zu
verhalten,VERB,VVINF,verhalten,verhalten
",",PUNCT,"$,",",",","
muss,VERB,VMFIN,müssen,muss
man,PRON,PIS,man,man
sich,PRON,PRF,sich,sich
erst,ADV,ADV,erst,erst
überlegen,VERB,VVINF,überlegen,überlegen
:,PUNCT,$.,:,:
_,UNK,--,--,_
_,UNK,--,--,_
haben,AUX,VAFIN,haben,haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,andere
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
dies,PRON,PDS,dies,dies
nicht,PART,PTKNEG,nicht,nicht
der,DET,ART,d,der
Fall,NOUN,NN,Fall,Fall
",",PUNCT,"$,",",",","
entfällt,VERB,VVFIN,entfallen,entfallen
die,DET,ART,d,die
Legitimität,NOUN,NN,Legitimität,Legitimität
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
(,PUNCT,$(,(,(
und,CONJ,KON,und,und
des,DET,ART,d,des
Begriffes,NOUN,NN,Begriff,Begriff
Feminismus,NOUN,NN,Feminismus,Feminismus
),PUNCT,$(,),)
.,PUNCT,$.,.,.
_,UNK,--,--,_
Findet,VERB,VVFIN,finden,finden
man,PRON,PIS,man,mann
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Männer,NOUN,NN,Mann,Mann
unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
lassen,VERB,VVFIN,lassen,lassen
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,mann
mit,ADP,APPR,mit,mit
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
weitergehen,VERB,VVINF,weitergehen,weitergehen
:,PUNCT,$.,:,:
_,UNK,--,--,_
welche,PRON,PWS,welch,welch
sind,AUX,VAFIN,sein,sein
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
?,PUNCT,$.,?,?
_,UNK,--,--,_
haben,AUX,VAFIN,haben,haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,ander
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
gehe,VERB,VVFIN,gehen,gehen
von,ADP,APPR,von,von
der,DET,ART,d,die
Vorstellung,NOUN,NN,Vorstellung,Vorstellung
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
von,ADP,APPR,von,von
Werten,NOUN,NN,Wert,Wert
abhängig,ADJ,ADJD,abhängig,abhängig
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
sind,AUX,VAFIN,sind,sein
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
eine,DET,ART,ein,eine
Abspiegelung,NOUN,NN,Abspiegelung,Abspiegelung
der,DET,ART,d,der
Werten,NOUN,NN,Wert,Wert
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
.,PUNCT,$.,.,.
_,UNK,--,--,_
Welche,DET,PWAT,welch,Welch
sich,PRON,PRF,sich,sich
von,ADP,APPR,von,von
männlichen,ADJ,ADJA,männlich,männlich
Werten,NOUN,NN,Wert,Wert
unterschiedliche,ADJ,ADJA,unterschiedlich,unterscheiden
Werte,NOUN,NN,Wert,Wert
könnten,VERB,VMFIN,können,können
Frauen,NOUN,NN,Frau,Frau
haben,AUX,VAINF,haben,haben
?,PUNCT,$.,?,?
_,UNK,--,--,_
Daraus,ADV,PAV,daraus,daraus
folgt,VERB,VVFIN,folgen,folgen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Frauen,NOUN,NN,Frau,Frau
und,CONJ,KON,und,und
Männer,NOUN,NN,Mann,Mann
grundsätzlich,ADJ,ADJD,grundsätzlich,grundsätzlich
dieselbe,DET,PDAT,derselbe,gleich
Interessen,NOUN,NN,Interesse,Interesse
haben,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,_
Wie,ADV,PWAV,wie,Wie
könnte,VERB,VMFIN,können,können
eine,DET,ART,ein,ein
Frau,NOUN,NN,Frau,Frau
dann,ADV,ADV,dann,dann
-,PUNCT,$(,-,-
in,ADP,APPR,in,in
der,DET,ART,d,der
Länge,NOUN,NN,Länge,Längen
-,PUNCT,$(,-,-
Interessen,NOUN,NN,Interesse,Interesse
verfolgen,VERB,VVINF,verfolgen,verfolgen
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
gegen,ADP,APPR,gegen,gegen
die,DET,ART,d,die
Interessen,NOUN,NN,Interesse,Interesse
ihrer,DET,PPOSAT,ihr,sein
Mann,NOUN,NN,Mann,Mann
sein,AUX,VAINF,sein,sein
könnten,VERB,VMFIN,können,können
?,PUNCT,$.,?,?
_,UNK,--,--,_
Verlangt,VERB,VVFIN,verlangen,verlangen
-,PUNCT,$(,-,-
oder,CONJ,KON,oder,oder
verfolgt,VERB,VVFIN,verfolgen,verfolgen
-,PUNCT,$(,-,-
sie,PRON,PPER,sie,sie
etwas,PRON,PIS,etwas,etwas
Exorbitantes,NOUN,NN,Exorbitante,exorbitant
-,PUNCT,"$,",",",-
wird,AUX,VAFIN,wird,werden
