token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Um,SCONJ,KOUI,um,um
sich,PRON,PRF,sich,er|es|sie
zu,ADP,APPR,zu,zu
dieser,DET,PDAT,dies,dies
Behauptung,NOUN,NN,Behauptung,Behauptung
überhaupt,ADV,ADV,überhaupt,überhaupt
zu,PART,PTKZU,zu,zu
verhalten,VERB,VVINF,verhalten,verhalten
",",PUNCT,"$,",",",","
muss,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
sich,PRON,PRF,sich,er|es|sie
erst,ADV,ADV,erst,erst
überlegen,VERB,VVINF,überlegen,überlegen
:,PUNCT,$.,:,:
_,UNK,--,--,_
_,UNK,--,--,_
haben,AUX,VAFIN,haben,haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,ander
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
dies,PRON,PDS,dies,dies
nicht,PART,PTKNEG,nicht,nicht
der,DET,ART,d,der
Fall,NOUN,NN,Fall,Fall
",",PUNCT,"$,",",",","
entfällt,VERB,VVFIN,entfallen,entfallen
die,DET,ART,d,der
Legitimität,NOUN,NN,Legitimität,Legitimität
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
(,PUNCT,$(,(,(
und,CONJ,KON,und,und
des,DET,ART,d,der
Begriffes,NOUN,NN,Begriff,Begriff
Feminismus,NOUN,NN,Feminismus,Feminismus
),PUNCT,$(,),)
.,PUNCT,$.,.,.
_,UNK,--,--,_
Findet,VERB,VVFIN,finden,Findet
man,PRON,PIS,man,man
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
sich,PRON,PRF,sich,er|es|sie
von,ADP,APPR,von,von
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Männer,NOUN,NN,Mann,Mann
unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
lassen,VERB,VVFIN,lassen,lassen
",",PUNCT,"$,",",",","
kann,VERB,VMFIN,können,können
man,PRON,PIS,man,man
mit,ADP,APPR,mit,mit
der,DET,ART,d,der
Frage,NOUN,NN,Frage,Frage
weitergehen,VERB,VVINF,weitergehen,weitergehen
:,PUNCT,$.,:,:
_,UNK,--,--,_
welche,PRON,PWS,welch,welch
sind,AUX,VAFIN,sein,sein
die,DET,ART,d,der
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
Dass,PRON,PDS,d,daß
muss,VERB,VMFIN,müssen,müssen
abgeklärt,VERB,VVPP,abklären,abklären
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
bevor,SCONJ,KOUS,bevor,bevor
man,PRON,PIS,man,man
dazu,ADV,PAV,dazu,dazu
Stellung,NOUN,NN,Stellung,Stellung
nehmen,VERB,VVINF,nehmen,nehmen
kann,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
Interessen,NOUN,NN,Interesse,Interesse
geschadet,VERB,VVPP,schaden,schaden
oder,CONJ,KON,oder,oder
_,UNK,--,--,_
genutzt,VERB,VVPP,nutzen,nutzen
worden,AUX,VAPP,werden,werden
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Erst,ADV,ADV,erst,erst
_,UNK,--,--,_
also,ADV,ADV,also,also
:,PUNCT,$.,:,:
_,UNK,--,--,_
haben,AUX,VAFIN,haben,haben
Frauen,NOUN,NN,Frau,Frau
andere,ADJ,ADJA,ander,ander
Interessen,NOUN,NN,Interesse,Interesse
als,CONJ,KOKOM,als,als
Männer,NOUN,NN,Mann,Mann
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
gehe,VERB,VVFIN,gehen,gehen
von,ADP,APPR,von,von
der,DET,ART,d,der
Vorstellung,NOUN,NN,Vorstellung,Vorstellung
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Interessen,NOUN,NN,Interesse,Interesse
von,ADP,APPR,von,von
Werten,NOUN,NN,Wert,Wert|Werten
abhängig,ADJ,ADJD,abhängig,abhängig
sind,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,_
So,ADV,ADV,so,so
sind,AUX,VAFIN,sind,sein
die,DET,ART,d,der
Interessen,NOUN,NN,Interesse,Interesse
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
eine,DET,ART,ein,ein
Abspiegelung,NOUN,NN,Abspiegelung,Abspiegelung
der,DET,ART,d,der
Werten,NOUN,NN,Wert,Wert|Werten
der,DET,ART,d,der
Frauen,NOUN,NN,Frau,Frau
.,PUNCT,$.,.,.
_,UNK,--,--,_
Welche,DET,PWAT,welch,welch
sich,PRON,PRF,sich,er|es|sie
von,ADP,APPR,von,von
männlichen,ADJ,ADJA,männlich,männlich
Werten,NOUN,NN,Wert,Wert|Werten
unterschiedliche,ADJ,ADJA,unterschiedlich,unterschiedlich
Werte,NOUN,NN,Wert,Wert
könnten,VERB,VMFIN,können,können
Frauen,NOUN,NN,Frau,Frau
haben,AUX,VAINF,haben,haben
?,PUNCT,$.,?,?
_,UNK,--,--,_
Überzeugt,VERB,VVPP,überzeugen,Überzeugt
davon,ADV,PAV,davon,davon
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
etwas,PRON,PIS,etwas,etwas
wie,CONJ,KOKOM,wie,wie
universelle,ADJ,ADJA,universell,universell
",",PUNCT,"$,",",",","
grundliegende,ADJ,ADJA,grundlegend,grundliegend
Werte,NOUN,NN,Wert,Wert
gibt,VERB,VVFIN,geben,geben
(,PUNCT,$(,(,(
z.,ADP,APPRART,z.,z.
B.,NOUN,NN,B.,B.
geht,VERB,VVFIN,gehen,gehen
es,PRON,PPER,es,es
darum,ADV,PAV,darum,darum
