token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Verhaftung,NOUN,NN,Verhaftung,Verhaftung
–,PUNCT,$(,–,–
_,UNK,--,--,_
Gespräch,NOUN,NN,Gespräch,Gespräch
mit,ADP,APPR,mit,mit
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
–,PUNCT,$(,–,–
_,UNK,--,--,_
Dann,ADV,ADV,dann,dann
kommt,VERB,VVFIN,kommen,kommen
Fräulein,NOUN,NN,Fräulein,Fräulein
Bürstner,PROPN,NE,Bürstner,Bürstner
_,UNK,--,--,_
Jemand,PRON,PIS,jemand,jemand
musste,VERB,VMFIN,müssen,musste
Josef,PROPN,NE,Josef,Josef
K.,PROPN,NE,K.,K.
verleumdet,VERB,VVPP,verleumden,verleumden
haben,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",--
denn,CONJ,KON,denn,denn
ohne,ADP,APPR,ohne,ohne
dass,SCONJ,KOUS,dass,dass
er,PRON,PPER,er,er
etwas,PRON,PIS,etwas,etwas
Böses,NOUN,NN,Böse,böse
getan,VERB,VVPP,tun,tun
hätte,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",--
wurde,AUX,VAFIN,werden,werden
er,PRON,PPER,er,er
eines,DET,ART,ein,ein
Morgens,NOUN,NN,Morgen,Morgen
verhaftet,VERB,VVPP,verhaften,verhaften
.,PUNCT,$.,.,--
_,UNK,--,--,_
Die,DET,ART,d,der
Köchin,NOUN,NN,Köchin,Köchin
der,DET,ART,d,der
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
",",PUNCT,"$,",",",--
seine,DET,PPOSAT,sein,sein
Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieterin
",",PUNCT,"$,",",",--
die,PRON,PRELS,d,der
ihm,PRON,PPER,er,ihm
jeden,DET,PIDAT,jed,jeder
Tag,NOUN,NN,Tag,Tag
gegen,ADP,APPR,gegen,gegen
acht,NUM,CARD,acht,acht
Uhr,NOUN,NN,Uhr,Uhr
früh,ADJ,ADJD,früh,früh
das,DET,ART,d,der
Frühstück,NOUN,NN,Frühstück,Frühstück
brachte,VERB,VVFIN,bringen,bringen
",",PUNCT,"$,",",",--
kam,VERB,VVFIN,kommen,kommen
diesmal,ADV,ADV,diesmal,diesmal
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,--
_,UNK,--,--,_
Das,PRON,PDS,d,der
war,AUX,VAFIN,sein,sein
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
geschehen,VERB,VVPP,geschehen,geschehen
.,PUNCT,$.,.,--
_,UNK,--,--,_
K.,PROPN,NE,K.,K.
wartete,VERB,VVFIN,warten,warten
noch,ADV,ADV,noch,noch
ein,DET,ART,ein,ein
Weilchen,NOUN,NN,Weilchen,Weilchen
",",PUNCT,"$,",",",--
er,PRON,PPER,er,er
sah,VERB,VVFIN,sehen,sehen
von,ADP,APPR,von,von
seinem,DET,PPOSAT,sein,sein
Kopfkissen,NOUN,NN,Kopfkissen,Kopfkissen
aus,ADP,APZR,aus,aus
die,DET,ART,d,der
alte,ADJ,ADJA,alt,alt
Frau,NOUN,NN,Frau,Frau
",",PUNCT,"$,",",",--
die,PRON,PRELS,d,der
ihm,PRON,PPER,er,ihm
gegenüber,ADP,APPO,gegenüber,gegenüber
wohnte,VERB,VVFIN,wohnen,wohnen
und,CONJ,KON,und,und
die,PRON,PRELS,d,der
ihn,PRON,PPER,er,ihn
mit,ADP,APPR,mit,mit
einer,DET,ART,ein,ein
an,ADP,APPR,an,an
ihr,PRON,PPER,er,ihr
ganz,ADJ,ADJD,ganz,ganz
ungewöhnlichen,ADJ,ADJA,ungewöhnlich,ungewöhnlich
Neugierde,NOUN,NN,Neugierde,Neugierde
beobachtete,VERB,VVFIN,beobachten,beobachten
",",PUNCT,"$,",",",--
dann,ADV,ADV,dann,dann
aber,ADV,ADV,aber,aber
",",PUNCT,"$,",",",--
gleichzeitig,ADJ,ADJD,gleichzeitig,gleichzeitig
befremdet,ADJ,ADJD,befremdet,befremdet
und,CONJ,KON,und,und
hungrig,ADJ,ADJD,hungrig,hungrig
",",PUNCT,"$,",",",--
läutete,VERB,VVFIN,läuten,läuten
er,PRON,PPER,er,er
.,PUNCT,$.,.,--
_,UNK,--,--,_
Sofort,ADV,ADV,sofort,sofort
klopfte,VERB,VVFIN,klopfen,klopfen
es,PRON,PPER,es,es
und,CONJ,KON,und,und
ein,DET,ART,ein,ein
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",--
den,PRON,PRELS,d,der
er,PRON,PPER,er,er
in,ADP,APPR,in,in
