token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Die,DET,ART,d,die
Köchin,NOUN,NN,Köchin,Köchin
der,DET,ART,d,der
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
",",PUNCT,"$,",",",","
seine,DET,PPOSAT,sein,sein
Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieterin
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
ihm,PRON,PPER,er,ihm
jeden,DET,PIAT,jed,jeden
Tag,NOUN,NN,Tag,Tag
gegen,ADP,APPR,gegen,gegen
acht,NUM,CARD,acht,acht
Uhr,NOUN,NN,Uhr,Uhr
früh,ADJ,ADJD,früh,früh
das,DET,ART,d,das
Frühstück,NOUN,NN,Frühstück,Frühstück
brachte,VERB,VVFIN,bringen,bringen
",",PUNCT,"$,",",",","
kam,VERB,VVFIN,kommen,kommen
diesmal,ADV,ADV,diesmal,diesmal
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,Das
war,AUX,VAFIN,sein,sein
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
geschehen,VERB,VVPP,geschehen,geschehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Sofort,ADV,ADV,sofort,sofort
klopfte,VERB,VVFIN,klopfen,klopfen
es,PRON,PPER,es,es
und,CONJ,KON,und,und
ein,DET,ART,ein,ein
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
den,PRON,PRELS,d,den
er,PRON,PPER,er,er
in,ADP,APPR,in,in
dieser,DET,PDAT,dies,diese
Wohnung,NOUN,NN,Wohnung,Wohnung
noch,ADV,ADV,noch,noch
niemals,ADV,ADV,niemals,niemals
gesehen,VERB,VVPP,sehen,sehen
hatte,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
trat,VERB,VVFIN,treten,treten
ein,PART,PTKVZ,ein,ein
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",
Wer,PRON,PWS,wer,Wer
sind,AUX,VAFIN,sein,sein
Sie,PRON,PPER,sie,Sie
?,PUNCT,$.,?,?
_,UNK,--,--,_
Der,DET,ART,d,der
Mann,NOUN,NN,Mann,Mann
aber,ADV,ADV,aber,aber
ging,VERB,VVFIN,gehen,gehen
über,ADP,APPR,über,über
die,DET,ART,d,die
Frage,NOUN,NN,Frage,Frage
hinweg,PART,PTKVZ,hinweg,hinweg
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
müsse,VERB,VMFIN,müssen,müssen
man,PRON,PIS,man,man
seine,DET,PPOSAT,sein,sein
Erscheinung,NOUN,NN,Erscheinung,Erscheinung
hinnehmen,VERB,VVINF,hinnehmen,hinnehmen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
_,PRON,PPER,--,_
sagte,VERB,VVFIN,sagen,sagen
bloß,ADV,ADV,bloß,bloß
seinerseits,ADV,ADV,seinerseits,seinerseits
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",
Sie,PRON,PPER,sie,sie
haben,AUX,VAFIN,haben,haben
geläutet,VERB,VVPP,läuten,läuten
?,PUNCT,$.,?,?
_,UNK,--,--,_
Aber,CONJ,KON,aber,aber
dieser,PRON,PDS,dies,dies
setzte,VERB,VVFIN,setzen,setzen
sich,PRON,PRF,sich,sich
nicht,PART,PTKNEG,nicht,nicht
allzu|,ADV,ADV,allzu,allzu|
lange,ADJ,ADJD,lange,lang
seinen,DET,PPOSAT,sein,sein
Blicken,NOUN,NN,Blick,Blick
aus,PART,PTKVZ,aus,aus
",",PUNCT,"$,",",",","
sondern,CONJ,KON,sondern,sondern
er,PRON,PPER,er,er
wandte,VERB,VVFIN,wenden,wenden
sich,PRON,PRF,sich,sich
zur,ADP,APPRART,zur,zur
Tür,NOUN,NN,Tür,Tür
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,der
er,PRON,PPER,er,er
ein,DET,ART,ein,ein
wenig,PRON,PIS,wenig,wenig
öffnete,VERB,VVFIN,öffnen,öffnen
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
jemandem,PRON,PIS,jemand,jemand
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
offenbar,ADJ,ADJD,offenbar,offenbar
knapp,ADV,ADV,knapp,knapp
hinter,ADP,APPR,hinter,hinter
der,DET,ART,d,der
Tür,NOUN,NN,Tür,Tür
stand,VERB,VVFIN,stehen,stehen
",",PUNCT,"$,",",",","
zu,PART,PTKZU,zu,zu
sagen,VERB,VVINF,sagen,sagen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",
Er,PRON,PPER,er,er
will,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
Anna,PROPN,NE,Anna,Anna
ihm,PRON,PPER,er,ihm
das,DET,ART,d,der
Frühstück,NOUN,NN,Frühstück,Frühstück
bringt,VERB,VVFIN,bringen,bringen
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",
_,UNK,--,--,_
Ein,DET,ART,ein,Ein
kleines,ADJ,ADJA,klein,klein
Gelächter,NOUN,NN,Gelächter,Gelächter
im,ADP,APPRART,im,im
Nebenzimmer,NOUN,NN,Nebenzimmer,Nebenzimmer
folgte,VERB,VVFIN,folgen,folgen
",",PUNCT,"$,",",",","
es,PRON,PPER,es,es
war,AUX,VAFIN,sein,sein
nach,ADP,APPR,nach,nach
dem,DET,ART,d,dem
Klang,NOUN,NN,Klang,Klang
nicht,PART,PTKNEG,nicht,nicht
sicher,ADJ,ADJD,sicher,sicher
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
nicht,PART,PTKNEG,nicht,nicht
mehrere,DET,PIAT,mehrere,mehrere
Personen,NOUN,NN,Person,Person
daran,ADV,PAV,daran,daran
beteiligt,ADJ,ADJD,beteiligt,beteiligen
waren,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",
Es,PRON,PPER,es,sein
ist,AUX,VAFIN,sein,sein
unmöglich,ADJ,ADJD,unmöglich,unmöglich
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",
Ich,PRON,PPER,ich,Ich
will,VERB,VMFIN,wollen,wollen
doch,ADV,ADV,doch,doch
sehen,VERB,VVINF,sehen,sehen
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
für,ADP,APPR,für,für
Leute,NOUN,NN,Leute,Person
im,ADP,APPRART,im,im
Nebenzimmer,NOUN,NN,Nebenzimmer,Nebenzimmer
sind,AUX,VAFIN,sein,sein
und,CONJ,KON,und,und
wie,ADV,PWAV,wie,wie
Frau,NOUN,NN,Frau,Frau
Grubach,PROPN,NE,Grubach,Grubach
diese,DET,PDAT,dies,diese
Störung,NOUN,NN,Störung,Störung
mir,PRON,PPER,ich,mir
gegenüber,ADP,APPO,gegenüber,gegenüber
verantworten,VERB,VVINF,verantworten,verantworten
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",
_,UNK,--,--,_
Es,PRON,PPER,es,Es
fiel,VERB,VVFIN,fallen,fallen
ihm,PRON,PPER,er,ihm
zwar,ADV,ADV,zwar,zwar
gleich,ADV,ADV,gleich,gleich
ein,PART,PTKVZ,ein,ein
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
er,PRON,PPER,er,er
das,PRON,PDS,d,das
nicht,PART,PTKNEG,nicht,nicht
hätte,AUX,VAFIN,haben,haben
laut,ADP,APPR,laut,laut
sagen,VERB,VVINF,sagen,sagen
müssen,VERB,VMINF,müssen,müssen
und,CONJ,KON,und,und
daß,SCONJ,KOUS,dass,daß
er,PRON,PPER,er,er
dadurch,ADV,PAV,dadurch,dadurch
gewissermaßen,ADV,ADV,gewissermaßen,gewissermaßen
ein,DET,ART,ein,ein
Beaufsichtigungsrecht,NOUN,NN,Beaufsichtigungsrecht,Beaufsichtigungsrecht
des,DET,ART,d,des
Fremden,NOUN,NN,Fremde,Fremde
anerkannte,ADJ,ADJA,anerkennen,anerkennen
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
es,PRON,PPER,es,es
schien,VERB,VVFIN,scheinen,scheinen
ihm,PRON,PPER,er,ihm
jetzt,ADV,ADV,jetzt,jetzt
nicht,PART,PTKNEG,nicht,nicht
wichtig,ADJ,ADJD,wichtig,wichtig
.,PUNCT,$.,.,.
_,UNK,--,--,_
Immerhin,ADV,ADV,immerhin,immerhin
faßte,VERB,VVFIN,fassen,fassen
es,PRON,PPER,es,es
der,DET,ART,d,der
Fremde,NOUN,NN,Fremde,fremd
so,ADV,ADV,so,so
auf,PART,PTKVZ,auf,auf
",",PUNCT,"$,",",",","
denn,CONJ,KON,denn,denn
er,PRON,PPER,er,er
sagte,VERB,VVFIN,sagen,sagen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",
Wollen,VERB,VMFIN,wollen,wollen
