token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Veruntreute,VERB,VVFIN,veruntreuen,Veruntreuen
die,DET,ART,d,die
AWO,PROPN,NE,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,_
Die,DET,ART,d,die
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,staatsanwaltschaft
muss,VERB,VMFIN,müssen,muss
AWO-Konten,NOUN,NN,AWO-Konto,awo-konto
prüfen,VERB,VVINF,prüfen,prüfen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Flossen,VERB,VVFIN,fließen,Flosse
165.000,NUM,CARD,165.000,165000
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammeln
für,ADP,APPR,für,für
Flutopfer,NOUN,NN,Flutopfer,Flut
in,ADP,APPR,in,in
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
?,PUNCT,$.,?,?
_,UNK,--,--,_
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
meint,VERB,VVFIN,meinen,mein
:,PUNCT,$.,:,:
_,UNK,--,--,_
In,ADP,APPR,in,In
einer,DET,ART,ein,ein
anonymen,ADJ,ADJA,anonym,anonym
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,werden
der,DET,ART,d,der
Bremer,ADJ,ADJA,Bremer,Bremer
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwalt
Details,NOUN,NN,Detail,Detail
über,ADP,APPR,über,über
dubiose,ADJ,ADJA,dubios,dubios
finanzielle,ADJ,ADJA,finanziell,finanziell
Transaktionen,NOUN,NN,Transaktion,Transaktion
mitgeteilt,VERB,VVPP,mitteilen,mitteilen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,Verantwortlich
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
lautet,VERB,VVFIN,lauten,lauten
das,DET,ART,d,das
Schreiben,NOUN,NN,Schreiben,Schreiben
einer,DET,ART,ein,einer
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
",",PUNCT,"$,",",",","
sei,AUX,VAFIN,sein,sein
die,DET,ART,d,der
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
als,CONJ,KOKOM,als,als
"""",PUNCT,$(,"""",
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",
gebe,VERB,VVFIN,geben,geben
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",
wo,SCONJ,KOUS,wo,wo
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,alle
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
Taake,PROPN,NE,Taake,Taake
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhängen
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
_,UNK,--,--,_
Der,DET,ART,d,Der
Vorwurf,NOUN,NN,Vorwurf,Vorwurf
Nummer,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,1
lautet,VERB,VVFIN,lauten,lauten
:,PUNCT,$.,:,:
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Marke
aus,ADP,APPR,aus,aus
der,DET,ART,d,der
bundesweiten,ADJ,ADJA,bundesweit,bundesweit
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,für
die,DET,ART,d,die
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,sein
über,ADP,APPR,über,über
das,DET,ART,d,das
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,des
Bremer,ADJ,ADJA,Bremer,Bremer
Landesverbandes,NOUN,NN,Landesverband,Landesverband
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
an,ADP,APPR,an,an
die,DET,ART,d,die
Caritas,PROPN,NE,Caritas,Caritas
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
geflossen,VERB,VVPP,fließen,fließen
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",
damit,SCONJ,KOUS,damit,damit
dort,ADV,ADV,dort,dort
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
gebaut,VERB,VVPP,bauen,bauen
wird,AUX,VAFIN,werden,wird
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,Das
Altenheim,NOUN,NN,Altenheim,Altenheim
sei,AUX,VAFIN,sein,sein
"""",PUNCT,$(,"""",
ein,DET,ART,ein,ein
Prestigeobjekt,NOUN,NN,Prestigeobjekt,Prestigeobjekt
von,ADP,APPR,von,von
ihr,PRON,PPER,sie,ihr
und,CONJ,KON,und,und
anderen,PRON,PIS,ander,anders
"""",PUNCT,$(,"""",
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
