token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Veruntreute,VERB,VVFIN,veruntreuen,veruntreuen
die,DET,ART,d,der
AWO,NOUN,NN,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
muß,VERB,VMFIN,müssen,müssen
AWO-Konten,NOUN,NN,AWO-Konto,AWO-Konte
prüfen,VERB,VVINF,prüfen,prüfen
/,PUNCT,$(,/,/
_,UNK,--,--,_
Flossen,VERB,VVFIN,fließen,Flossen
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammelgeld
für,ADP,APPR,für,für
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
?,PUNCT,$.,?,?
_,UNK,--,--,_
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzender
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
_,UNK,--,--,_
:,PUNCT,$.,:,:
_,UNK,--,--,_
_,UNK,--,--,_
Ein,DET,ART,ein,ein
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
_,UNK,--,--,_
Im,ADP,APPRART,im,in
Januar,NOUN,NN,Januar,Januar
hat,AUX,VAFIN,haben,haben
die,DET,ART,d,der
Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,Arbeiterwohlfahrt
Bremen,PROPN,NE,Bremen,Bremen
ihren,DET,PPOSAT,ihr,ihr
langjährigen,ADJ,ADJA,langjährig,langjährig
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
Hans,PROPN,NE,Hans,Hans
Taake,PROPN,NE,Taake,Taake
fristlos,ADJ,ADJD,fristlos,fristlos
entlassen,VERB,VVPP,entlassen,entlassen
",",PUNCT,"$,",",",","
nun,ADV,ADV,nun,nun
wird,AUX,VAFIN,werden,werden
auch,ADV,ADV,auch,auch
der,DET,ART,d,der
Vorstand,NOUN,NN,Vorstand,Vorstand
der,DET,ART,d,der
Wohlfahrtsorganisation,NOUN,NN,Wohlfahrtsorganisation,Wohlfahrtsorganisation
in,ADP,APPR,in,in
den,DET,ART,d,der
Fall,NOUN,NN,Fall,Fall
hineingezogen,VERB,VVPP,hineinziehen,hineinziehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
einer,DET,ART,ein,ein
anonymen,ADJ,ADJA,anonym,anonym
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,werden
der,DET,ART,d,der
Bremer,ADJ,ADJA,Bremer,brem
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
Details,NOUN,NN,Detail,Detail
über,ADP,APPR,über,über
dubiose,ADJ,ADJA,dubios,dubios
finanzielle,ADJ,ADJA,finanziell,finanziell
Transaktionen,NOUN,NN,Transaktion,Transaktion
mitgeteilt,VERB,VVPP,mitteilen,mitteilen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,verantwortlich
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
_,UNK,--,--,_
das,DET,ART,d,der
Schreiben,NOUN,NN,Schreiben,Schreiben
einer,DET,ART,ein,ein
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,der
AWO,PROPN,NE,AWO,AWO
",",PUNCT,"$,",",",","
sei,AUX,VAFIN,sein,sein
die,DET,ART,d,der
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzender
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
als,ADP,APPR,als,als
"""",PUNCT,$(,"""",nan
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",nan
gebe,VERB,VVFIN,geben,geben
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",nan
wo,SCONJ,KOUS,wo,wo
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,alle
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
Taake,PROPN,NE,Taake,Taake
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhängen
"""",PUNCT,$(,"""",nan
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
Vorwurf,NOUN,NN,Vorwurf,Vorwurf
Nummer,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,1
_,UNK,--,--,_
:,PUNCT,$.,:,:
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
aus,ADP,APPR,aus,aus
der,DET,ART,d,der
bundesweiten,ADJ,ADJA,bundesweit,bundesweit
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,für
die,DET,ART,d,der
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,sein
über,ADP,APPR,über,über
das,DET,ART,d,der
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,der
