token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
Veruntreute,VERB,VVFIN,veruntreuen,
die,DET,ART,d,
AWO,NOUN,NN,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,
_,UNK,--,--,
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
muß,VERB,VMFIN,müssen,müssen
AWO-Konten,NOUN,NN,AWO-Konto,
prüfen,VERB,VVINF,prüfen,prüfen
/,PUNCT,$(,/,/
_,UNK,--,--,
Flossen,VERB,VVFIN,fließen,fließen
165.000,NUM,CARD,165.000,165.000
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammelgeld
für,ADP,APPR,für,für
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
ein,DET,ART,ein,ein
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
?,PUNCT,$.,?,?
_,UNK,--,--,
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
_,UNK,--,--,
:,PUNCT,$.,:,
_,UNK,--,--,
_,UNK,--,--,
Ein,DET,ART,ein,ein
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
_,UNK,--,--,
Im,ADP,APPRART,im,
Januar,NOUN,NN,Januar,Januar
hat,AUX,VAFIN,haben,haben
die,DET,ART,d,
Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,Arbeiterwohlfahrt
Bremen,PROPN,NE,Bremen,Bremen
ihren,DET,PPOSAT,ihr,
langjährigen,ADJ,ADJA,langjährig,langjährig
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
Hans,PROPN,NE,Hans,Hans
Taake,PROPN,NE,Taake,Taake
fristlos,ADJ,ADJD,fristlos,fristlos
entlassen,VERB,VVPP,entlassen,entlassen
",",PUNCT,"$,",",",","
nun,ADV,ADV,nun,nun
wird,AUX,VAFIN,werden,werden
