token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
Veruntreute,VERB,VVFIN,veruntreuen,Veruntreute
die,DET,ART,d,die
AWO,NOUN,NN,AWO,AWO
Spendengeld,NOUN,NN,Spendengeld,Spendengeld
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
muß,VERB,VMFIN,müssen,müssen
AWO-Konten,NOUN,NN,AWO-Konto,AWO-Konto
prüfen,VERB,VVINF,prüfen,prüfen
/,PUNCT,$(,/,/
_,UNK,--,--,_
Flossen,VERB,VVFIN,fließen,Flosse
165.000,NUM,CARD,165.000,@card@
Mark,NOUN,NN,Mark,Mark
Sammelgelder,NOUN,NN,Sammelgeld,Sammelgeld
für,ADP,APPR,für,für
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
ein,DET,ART,ein,eine
Altenheim,NOUN,NN,Altenheim,Altenheim
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
?,PUNCT,$.,?,?
_,UNK,--,--,_
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
_,UNK,--,--,_
:,PUNCT,$.,:,:
_,UNK,--,--,_
_,UNK,--,--,_
Ein,DET,ART,ein,eine
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
_,UNK,--,--,_
Im,ADP,APPRART,im,in+die
Januar,NOUN,NN,Januar,Januar
hat,AUX,VAFIN,haben,haben
die,DET,ART,d,die
Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,Arbeiterwohlfahrt
Bremen,PROPN,NE,Bremen,Bremen
ihren,DET,PPOSAT,ihr,ihr
langjährigen,ADJ,ADJA,langjährig,langjährig
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
Hans,PROPN,NE,Hans,Hans
Taake,PROPN,NE,Taake,<unknown>
fristlos,ADJ,ADJD,fristlos,fristlos
entlassen,VERB,VVPP,entlassen,entlassen
",",PUNCT,"$,",",",","
nun,ADV,ADV,nun,nun
wird,AUX,VAFIN,werden,werden
auch,ADV,ADV,auch,auch
der,DET,ART,d,die
Vorstand,NOUN,NN,Vorstand,Vorstand
der,DET,ART,d,die
Wohlfahrtsorganisation,NOUN,NN,Wohlfahrtsorganisation,Wohlfahrtsorganisation
in,ADP,APPR,in,in
den,DET,ART,d,die
Fall,NOUN,NN,Fall,Fall
hineingezogen,VERB,VVPP,hineinziehen,hineinziehen
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
einer,DET,ART,ein,eine
anonymen,ADJ,ADJA,anonym,anonym
Anzeige,NOUN,NN,Anzeige,Anzeige
werden,AUX,VAFIN,werden,werden
der,DET,ART,d,die
Bremer,ADJ,ADJA,Bremer,Bremer
Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
Details,NOUN,NN,Detail,Detail
über,ADP,APPR,über,über
dubiose,ADJ,ADJA,dubios,dubios
finanzielle,ADJ,ADJA,finanziell,finanziell
Transaktionen,NOUN,NN,Transaktion,Transaktion
mitgeteilt,VERB,VVPP,mitteilen,mitteilen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,verantwortlich
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
_,UNK,--,--,_
das,DET,ART,d,die
Schreiben,NOUN,NN,Schreiben,Schreiben
einer,DET,ART,ein,eine
Mitarbeiterin,NOUN,NN,Mitarbeiterin,Mitarbeiterin
der,DET,ART,d,die
AWO,PROPN,NE,AWO,AWO
",",PUNCT,"$,",",",","
sei,AUX,VAFIN,sein,sein
die,DET,ART,d,die
Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
",",PUNCT,"$,",",",","
die,PRON,PRELS,d,die
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
als,ADP,APPR,als,als
"""",PUNCT,$(,"""",nan
Sauberfrau,NOUN,NN,Sauberfrau,Sauberfrau
"""",PUNCT,$(,"""",nan
gebe,VERB,VVFIN,geben,geben
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",nan
wo,SCONJ,KOUS,wo,wo
doch,ADV,ADV,doch,doch
alle,PRON,PIS,alle,alle
wissen,VERB,VVFIN,wissen,wissen
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
eng,ADJ,ADJD,eng,eng
sie,PRON,PPER,sie,sie
mit,ADP,APPR,mit,mit
Taake,PROPN,NE,Taake,<unknown>
zusammenhing,VERB,VVFIN,zusammenhängen,zusammenhängen
"""",PUNCT,$(,"""",nan
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
Vorwurf,NOUN,NN,Vorwurf,Vorwurf
Nummer,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,@card@
_,UNK,--,--,_
:,PUNCT,$.,:,:
165.000,NUM,CARD,165.000,@card@
Mark,NOUN,NN,Mark,Mark
aus,ADP,APPR,aus,aus
der,DET,ART,d,die
bundesweiten,ADJ,ADJA,bundesweit,bundesweit
Geldsammlung,NOUN,NN,Geldsammlung,Geldsammlung
für,ADP,APPR,für,für
die,DET,ART,d,die
Flutopfer,NOUN,NN,Flutopfer,Flutopfer
in,ADP,APPR,in,in
Südpolen,NOUN,NN,Südpolen,Südpolen
seien,AUX,VAFIN,sein,sein
über,ADP,APPR,über,über
das,DET,ART,d,die
Konto,NOUN,NN,Konto,Konto
des,DET,ART,d,die
Bremer,ADJ,ADJA,Bremer,Bremer
Landesverbandes,NOUN,NN,Landesverband,Landesverband
der,DET,ART,d,die
AWO,PROPN,NE,AWO,AWO
an,ADP,APPR,an,an
die,DET,ART,d,die
Caritas,PROPN,NE,Caritas,Caritas
in,ADP,APPR,in,in
Danzig,PROPN,NE,Danzig,Danzig
geflossen,VERB,VVPP,fließen,fließen
",",PUNCT,"$,",",",","
"""",PUNCT,$(,"""",nan
damit,SCONJ,KOUS,damit,damit
dort,ADV,ADV,dort,dort
ein,DET,ART,ein,eine
Altenheim,NOUN,NN,Altenheim,Altenheim
gebaut,VERB,VVPP,bauen,bauen
wird,AUX,VAFIN,werden,werden
"""",PUNCT,$(,"""",nan
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,die
Altenheim,NOUN,NN,Altenheim,Altenheim
sei,AUX,VAFIN,sein,sein
"""",PUNCT,$(,"""",nan
ein,DET,ART,ein,eine
Prestigeobjekt,NOUN,NN,Prestigeobjekt,Prestigeobjekt
von,ADP,APPR,von,von
ihr,PRON,PPER,sie,ihr
und,CONJ,KON,und,und
anderen,PRON,PIS,ander,andere
"""",PUNCT,$(,"""",nan
.,PUNCT,$.,.,.
_,UNK,--,--,_
In,ADP,APPR,in,in
der,DET,ART,d,die
Tat,NOUN,NN,Tat,Tat
sitzt,VERB,VVFIN,sitzen,sitzen
Ute,PROPN,NE,Ute,Ute
Wedemeier,PROPN,NE,Wedemeier,Wedemeier
im,ADP,APPRART,im,in+die
Kuratorium,NOUN,NN,Kuratorium,Kuratorium
für,ADP,APPR,für,für
das,DET,ART,d,die
Altenheim,NOUN,NN,Altenheim,Altenheim
",",PUNCT,"$,",",",","
eine,DET,ART,ein,eine
derartige,ADJ,ADJA,derartig,derartig
Umleitung,NOUN,NN,Umleitung,Umleitung
von,ADP,APPR,von,von
Geldern,NOUN,NN,Geld,Geld
habe,AUX,VAFIN,haben,haben
es,PRON,PPER,es,es
aber,ADV,ADV,aber,aber
nicht,PART,PTKNEG,nicht,nicht
gegeben,VERB,VVPP,geben,geben
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
sie,PRON,PPER,sie,sie
.,PUNCT,$.,.,.
_,UNK,--,--,_
"""",PUNCT,$(,"""",nan
Wenn,SCONJ,KOUS,wenn,wenn
da,ADV,ADV,da,da
was,PRON,PIS,was,was
gebucht,VERB,VVPP,buchen,buchen
worden,AUX,VAPP,werden,werden
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
dann,ADV,ADV,dann,dann
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,die
nicht,PART,PTKNEG,nicht,nicht
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
"""",PUNCT,$(,"""",nan
-,PUNCT,$(,-,-
höchstens,ADV,ADV,höchstens,höchstens
einen,DET,ART,ein,eine
Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
kann,VERB,VMFIN,können,können
sie,PRON,PPER,sie,sie
sich,PRON,PRF,sich,sich
vorstellen,VERB,VVINF,vorstellen,vorstellen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Volker,PROPN,NE,Volker,Volker
Tegeler,PROPN,NE,Tegeler,<unknown>
",",PUNCT,"$,",",",","
stellvertretender,ADJ,ADJA,stellvertretend,stellvertretend
Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
des,DET,ART,d,die
Landesverbandes,NOUN,NN,Landesverband,Landesverband
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
:,PUNCT,$.,:,:
"""",PUNCT,$(,"""",nan
Es,PRON,PPER,es,es
gibt,VERB,VVFIN,geben,geben
so,ADV,ADV,so,so
eine,DET,ART,ein,eine
Buchung,NOUN,NN,Buchung,Buchung
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",nan
_,UNK,--,--,_
In,ADP,APPR,in,in
einer,DET,ART,ein,eine
internen,ADJ,ADJA,intern,intern
Kontrolle,NOUN,NN,Kontrolle,Kontrolle
nach,ADP,APPR,nach,nach
der,DET,ART,d,die
Kündigung,NOUN,NN,Kündigung,Kündigung
von,ADP,APPR,von,von
Taake,PROPN,NE,Taake,<unknown>
sei,AUX,VAFIN,sein,sein
dies,PRON,PDS,dies,dies
aufgefallen,VERB,VVPP,auffallen,auffallen
",",PUNCT,"$,",",",","
zur,ADP,APPRART,zur,zu+die
Aufklärung,NOUN,NN,Aufklärung,Aufklärung
solle,VERB,VMFIN,sollen,sollen
ein,DET,ART,ein,eine
externer,ADJ,ADJA,extern,extern
Wirtschaftsprüfer,NOUN,NN,Wirtschaftsprüfer,Wirtschaftsprüfer
beauftragt,VERB,VVPP,beauftragen,beauftragen
werden,AUX,VAINF,werden,werden
.,PUNCT,$.,.,.
_,UNK,--,--,_
Verantwortlich,ADJ,ADJD,verantwortlich,verantwortlich
für,ADP,APPR,für,für
die,DET,ART,d,die
Finanzen,NOUN,NN,Finanzen,Finanz
des,DET,ART,d,die
Landesverbandes,NOUN,NN,Landesverband,Landesverband
sei,AUX,VAFIN,sein,sein
aber,ADV,ADV,aber,aber
"""",PUNCT,$(,"""",nan
durchgehend,ADJ,ADJD,durchgehend,durchgehend
Herr,NOUN,NN,Herr,Herr
Taake,PROPN,NE,Taake,<unknown>
"""",PUNCT,$(,"""",nan
gewesen,AUX,VAPP,sein,sein
",",PUNCT,"$,",",",","
sagt,VERB,VVFIN,sagen,sagen
Tegeler,PROPN,NE,Tegeler,<unknown>
.,PUNCT,$.,.,.
_,UNK,--,--,_
Aufgefallen,VERB,VVPP,auffallen,Aufgefallen
bei,ADP,APPR,bei,bei
der,DET,ART,d,die
internen,ADJ,ADJA,intern,intern
Prüfung,NOUN,NN,Prüfung,Prüfung
ist,AUX,VAFIN,sein,sein
auch,ADV,ADV,auch,auch
