token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),)
developed,X,FM,developed,developed
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,Du
betrittst,VERB,VVFIN,betreten,betrittst
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Was,PRON,PWS,was,Was
passiert,VERB,VVFIN,passieren,passiert
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,Ist
das,PRON,PDS,d,das
echt,ADJ,ADJD,echt,echt
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,_
Little15,PROPN,NE,little15,Little15
betritt,VERB,VVFIN,betreten,betritt
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,Das
Küssen,NOUN,NN,Küssen,Küssen
macht,VERB,VVFIN,machen,macht
etwas,PRON,PIS,etwas,etwas
?,PUNCT,$.,?,?
_,UNK,--,--,_
Na,INTJ,ITJ,na,Na
",",PUNCT,"$,",",",","
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,.
_,UNK,--,--,_
Es,PRON,PPER,es,Es
gibt,VERB,VVFIN,geben,gibt
kein,DET,PIAT,kein,kein
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nummer,Nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,du,dich
.,PUNCT,$.,.,.
_,UNK,--,--,_
:),X,XY,:),:)
.,PUNCT,$.,.,.
_,UNK,--,--,_
Was,PRON,PIS,was,Was
ist,AUX,VAFIN,sein,ist
passiert,VERB,VVPP,passieren,passiert
?,PUNCT,$.,?,?
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommt
aus,ADP,APPR,aus,aus
dem,DET,ART,d,dem
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,ist
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Danke
",",PUNCT,"$,",",",","
Pharao,PROPN,NE,Pharao,Pharao
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
Erleichtert,ADJ,ADJD,erleichtert,Erleichtert
gucke,VERB,VVFIN,gucken,gucke
ich,PRON,PPER,ich,ich
_,UNK,--,--,_
.,PUNCT,$.,.,.
_,UNK,--,--,_
Juhu,INTJ,ITJ,juhu,Juhu
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,ist
da,ADV,ADV,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,Ist
das,PRON,PDS,d,das
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,.
_,UNK,--,--,_
Heyho,INTJ,ITJ,hey,Heyho
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Faryen-Angle,PROPN,NE,Faryen-Angle,Faryen-Angle
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
.,PUNCT,$.,.,.
_,UNK,--,--,_
Huhu,INTJ,ITJ,huhu,Huhu
",",PUNCT,"$,",--,","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,Ist
alles,PRON,PIS,alles,alles
Konfetti,NOUN,NN,Konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,ihr,euch
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
mich,PRON,PRF,ich,mich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,NOUN,NN,Hi,hi
hin,PART,PTKVZ,hin,hin
stelle,VERB,VVFIN,stellen,stelle
_,UNK,--,--,_
Little15,PROPN,NE,little15,Little15
verlässt,VERB,VVFIN,verlassen,verlässt
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betritt
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
.,PUNCT,$.,.,.
_,UNK,--,--,_
:))),X,XY,:))),:)))
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
mal,ADV,ADV,mal,mal
gucke,VERB,VVFIN,gucken,gucke
",",PUNCT,"$,",",",","
wo,ADV,PWAV,wo,wo
Quaki,PROPN,NE,Quaki,Quaki
sich,PRON,PRF,sich,sich
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellt
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
G,X,XY,g,G
_,UNK,--,--,_
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
_,UNK,--,--,_
freue,VERB,VVFIN,freuen,freue
_,UNK,--,--,_
mich,PRON,PRF,ich,mich
.,PUNCT,$.,.,.
_,UNK,--,--,_
Juhu,INTJ,ITJ,juhu,Juhu
!,PUNCT,$.,!,!
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
",",PUNCT,"$,",",",","
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,.
_,UNK,--,--,_
:o),X,XY,:o),:o)
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,.
_,UNK,--,--,_
Huhu,INTJ,ITJ,huhu,Huhu
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
.,PUNCT,$.,.,.
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,.
_,UNK,--,--,_
.))),X,XY,.))),.)))
_,UNK,--,--,_
Upps,INTJ,ITJ,ups,Upps
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,ist
das,PRON,PDS,d,das
das,DET,ART,d,das
falsche,ADJ,ADJA,falsche,falsche
Eck,NOUN,NN,Eck,Eck
?,PUNCT,$.,?,?
_,UNK,--,--,_
Quaki,PROPN,NE,Quaki,Quaki
krabbelt,VERB,VVFIN,krabbeln,krabbelt
aus,ADP,APPR,aus,aus
dem,DET,ART,d,dem
Eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
",",PUNCT,"$,",",",","
Faryen-Angle,PROPN,NE,Faryen-Angle,Faryen-Angle
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
finde,VERB,VVFIN,finden,finde
den,DET,ART,d,den
Quaki,PROPN,NE,Quaki,Quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,ist
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toller
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewährt
.,PUNCT,$.,.,.
_,UNK,--,--,_
Na,INTJ,ITJ,na,Na
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,_
:)),X,XY,:)),:))
_,UNK,--,--,_
Den,PRON,PDS,d,Den
magst,VERB,VMFIN,mögen,magst
du,PRON,PPER,du,du
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
g,X,XY,g,g
_,UNK,--,--,_
!,PUNCT,$.,!,!
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Danke
",",PUNCT,"$,",",",","
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,habe
heute,ADV,ADV,heute,heute
eine,DET,ART,ein,eine
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Erzähl,VERB,VVIMP,erzählen,Erzähl
!,PUNCT,$.,!,!
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
redet,VERB,VVFIN,reden,redet
wie,CONJ,KOKOM,wie,wie
eine,DET,ART,ein,eine
Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
.,PUNCT,$.,.,.
_,UNK,--,--,_
Zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freut
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
Auf,PART,PTKVZ,auf,Auf
plustere,VERB,VVFIN,plustern,plustere
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
mich,PRON,PPER,ich,mich
.,PUNCT,$.,.,.
_,UNK,--,--,_
Thor,PROPN,NE,Thor,Thor
betritt,VERB,VVFIN,betreten,betritt
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,habe
das,PRON,PDS,d,das
mal,ADV,ADV,mal,mal
wieder,ADV,ADV,wieder,wieder
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Was,PRON,PWS,was,Was
hast,AUX,VAFIN,haben,hast
du,PRON,PPER,du,du
denn,ADV,ADV,denn,denn
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,_
Stoeps,PROPN,NE,stoeps,Stoeps
kommt,VERB,VVFIN,kommen,kommt
aus,ADP,APPR,aus,aus
dem,DET,ART,d,dem
Raum,NOUN,NN,Raum,Raum
Number_of_the_beast,PROPN,NE,Number_of_the_beast,Number_of_the_beast
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,Das
hast,AUX,VAFIN,haben,hast
du,PRON,PPER,du,du
dir,PRON,PRF,du,dir
verdient,VERB,VVPP,verdienen,verdient
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,_
Oh,INTJ,ITJ,oh,Oh
",",PUNCT,"$,",",",","
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
für,ADP,APPR,für,für
ein,DET,ART,ein,ein
Krawall,NOUN,NN,Krawall,Krawall
ist,AUX,VAFIN,sein,ist
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
_,UNK,--,--,_
gucke,VERB,VVFIN,gucken,gucke
_,UNK,--,--,_
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,Ich
habe,AUX,VAFIN,haben,habe
nur,ADV,ADV,nur,nur
Einsen,NOUN,NN,Eins,Einsen
.,PUNCT,$.,.,.
_,UNK,--,--,_
Die,DET,ART,d,Die
_,UNK,--,--,_
Brust,NOUN,NN,Brust,Brust
schwillt,VERB,VVFIN,schwellen,schwillt
_,UNK,--,--,_
mir,PRON,PPER,ich,mir
.,PUNCT,$.,.,.
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
betritt,VERB,VVFIN,betreten,betritt
den,DET,ART,d,den
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
.,PUNCT,$.,.,.
_,UNK,--,--,_
:-))),X,XY,:-))),:-)))
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
ist,AUX,VAFIN,sein,ist
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
_,UNK,--,--,_
Und,CONJ,KON,und,Und
du,PRON,PPER,du,du
hast,AUX,VAFIN,haben,hast
eine,DET,ART,ein,eine
Eins,NOUN,NN,Eins,Eins
Minus,ADV,ADV,minus,Minus
in,ADP,APPR,in,in
Benehmen,NOUN,NN,Benehmen,Benehmen
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
ggg,INTJ,ITJ,g,ggg
_,UNK,--,--,_
!,PUNCT,$.,!,!
_,UNK,--,--,_
_,UNK,--,--,_
njamnjamnajm,INTJ,ITJ,njam,njamnjamnajm
_,UNK,--,--,_
!,PUNCT,$.,!,!
_,UNK,--,--,_
Re,INTJ,ITJ,re,Re
",",PUNCT,"$,",",",","
Stoeps,PROPN,NE,stoeps,Stoeps
.,PUNCT,$.,.,.
_,UNK,--,--,_
Oh,INTJ,ITJ,oh,Oh
.,PUNCT,$.,.,.
_,UNK,--,--,_
Die,DET,ART,d,Die
Geistigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommt
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
_,UNK,--,--,_
+s,X,XY,+s,+s
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,_
Tag,NOUN,NN,Tag,Tag
",",PUNCT,"$,",",",","
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,Das
sind,AUX,VAFIN,sein,sind
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähen
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
einem,DET,ART,ein,einem
Baum,NOUN,NN,Baum,Baum
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
Meter,NOUN,NN,Meter,Meter
weg,ADV,ADV,weg,weg
ist,AUX,VAFIN,sein,ist
.,PUNCT,$.,.,.
_,UNK,--,--,_
Quaki,PROPN,NE,Quaki,Quaki
und,CONJ,KON,und,und
Lantonie,PROPN,NE,Lantonie,Lantonie
sind,AUX,VAFIN,sein,sind
etwas,PRON,PIS,etwas,etwas
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Thor,PROPN,NE,Thor,Thor
.,PUNCT,$.,.,.
_,UNK,--,--,_
:-),X,XY,:-),:-)
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Stoeps,PROPN,NE,stoeps,Stoeps
und,CONJ,KON,und,und
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,_
:(,X,XY,:(,:(
_,UNK,--,--,_
Über,ADP,APPR,über,Über
meine,DET,PPOSAT,mein,meine
Benehmensnote,NOUN,NN,Benehmensnote,Benehmensnote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieber,lieber
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,_
Hi,INTJ,ITJ,hi,Hi
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
_,UNK,--,--,_
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähen
sind,AUX,VAFIN,sein,sind
