token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),)
developed,X,FM,developed,developed
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,.
_,UNK,--,--,
Du,PRON,PPER,du,
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Was,PRON,PWS,was,was
passiert,VERB,VVFIN,passieren,passieren
?,PUNCT,$.,?,?
_,UNK,--,--,
Ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,
echt,ADJ,ADJD,echt,echt
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,
Little15,PROPN,NE,little15,
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Das,DET,ART,d,
Küssen,NOUN,NN,Küssen,Küssen
macht,VERB,VVFIN,machen,machen
etwas,PRON,PIS,etwas,etwas
?,PUNCT,$.,?,?
_,UNK,--,--,
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",","
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,.
_,UNK,--,--,
Es,PRON,PPER,es,
gibt,VERB,VVFIN,geben,geben
kein,DET,PIAT,kein,
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nummer,
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,du,
.,PUNCT,$.,.,.
_,UNK,--,--,
:),X,XY,:),:)
.,PUNCT,$.,.,.
_,UNK,--,--,
Was,PRON,PIS,was,was
ist,AUX,VAFIN,sein,sein
passiert,VERB,VVPP,passieren,passieren
?,PUNCT,$.,?,?
_,UNK,--,--,
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,
Danke,PART,PTKANT,danke,danke
",",PUNCT,"$,",",",","
Pharao,PROPN,NE,Pharao,Pharao
.,PUNCT,$.,.,.
_,UNK,--,--,
_,UNK,--,--,
Erleichtert,ADJ,ADJD,erleichtert,erleichtert
gucke,VERB,VVFIN,gucken,gucken
ich,PRON,PPER,ich,
_,UNK,--,--,
.,PUNCT,$.,.,.
_,UNK,--,--,
Juhu,INTJ,ITJ,juhu,juhu
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,
Ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,.
_,UNK,--,--,
Heyho,INTJ,ITJ,hey,
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Faryen-Angle,PROPN,NE,Faryen-Angle,Faryen-Angle
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
.,PUNCT,$.,.,.
_,UNK,--,--,
Huhu,INTJ,ITJ,huhu,
",",PUNCT,"$,",--,
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,
Ist,AUX,VAFIN,sein,sein
alles,PRON,PIS,alles,
Konfetti,NOUN,NN,Konfetti,Konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,ihr,
?,PUNCT,$.,?,?
_,UNK,--,--,
Ich,PRON,PPER,ich,
mich,PRON,PRF,ich,
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,NOUN,NN,Hi,
hin,PART,PTKVZ,hin,hin
stelle,VERB,VVFIN,stellen,stellen
_,UNK,--,--,
Little15,PROPN,NE,little15,
verlässt,VERB,VVFIN,verlassen,verlassen
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,.
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,hallo
.,PUNCT,$.,.,.
_,UNK,--,--,
:))),X,XY,:))),:)))
_,UNK,--,--,
Ich,PRON,PPER,ich,
mal,ADV,ADV,mal,mal
gucke,VERB,VVFIN,gucken,gucken
",",PUNCT,"$,",",",","
wo,ADV,PWAV,wo,wo
Quaki,PROPN,NE,Quaki,Quaki
sich,PRON,PRF,sich,
nun,ADV,ADV,nun,nun
hinstellt,VERB,VVFIN,hinstellen,hinstellen
.,PUNCT,$.,.,.
_,UNK,--,--,
_,UNK,--,--,
G,X,XY,g,
_,UNK,--,--,
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
_,UNK,--,--,
freue,VERB,VVFIN,freuen,freuen
_,UNK,--,--,
mich,PRON,PRF,ich,
.,PUNCT,$.,.,.
_,UNK,--,--,
Juhu,INTJ,ITJ,juhu,juhu
!,PUNCT,$.,!,!
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,hallo
",",PUNCT,"$,",",",","
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,.
_,UNK,--,--,
:o),X,XY,:o),:o)
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,.
_,UNK,--,--,
Huhu,INTJ,ITJ,huhu,
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
.,PUNCT,$.,.,.
_,UNK,--,--,
Re,INTJ,ITJ,re,re
",",PUNCT,"$,",",",","
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,
Re,INTJ,ITJ,re,re
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,marc30
.,PUNCT,$.,.,.
_,UNK,--,--,
.))),X,XY,.))),.)))
_,UNK,--,--,
Upps,INTJ,ITJ,ups,
",",PUNCT,"$,",",",","
ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,
das,DET,ART,d,
falsche,ADJ,ADJA,falsche,
Eck,NOUN,NN,Eck,Eck
?,PUNCT,$.,?,?
_,UNK,--,--,
Quaki,PROPN,NE,Quaki,Quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,d,
Eck,NOUN,NN,Eck,Eck
raus,PART,PTKVZ,raus,raus
.,PUNCT,$.,.,.
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,hallo
",",PUNCT,"$,",",",","
Faryen-Angle,PROPN,NE,Faryen-Angle,Faryen-Angle
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
finde,VERB,VVFIN,finden,finden
den,DET,ART,d,
Quaki,PROPN,NE,Quaki,Quaki
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,
sich,PRON,PRF,sich,
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
_,UNK,--,--,
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,
:)),X,XY,:)),:))
_,UNK,--,--,
Den,PRON,PDS,d,
magst,VERB,VMFIN,mögen,mögen
du,PRON,PPER,du,
?,PUNCT,$.,?,?
_,UNK,--,--,
_,UNK,--,--,
g,X,XY,g,g
_,UNK,--,--,
!,PUNCT,$.,!,!
_,UNK,--,--,
Danke,PART,PTKANT,danke,danke
",",PUNCT,"$,",",",","
Lantonie,PROPN,NE,Lantonie,Lantonie
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
eine,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
_,UNK,--,--,
Erzähl,VERB,VVIMP,erzählen,erzählen
!,PUNCT,$.,!,!
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
eine,DET,ART,ein,ein
Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
.,PUNCT,$.,.,.
_,UNK,--,--,
Zora,PROPN,NE,Zora,Zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,
Zeugnis,NOUN,NN,Zeugnis,Zeugnis
.,PUNCT,$.,.,.
_,UNK,--,--,
_,UNK,--,--,
Auf,PART,PTKVZ,auf,auf
plustere,VERB,VVFIN,plustern,plustern
_,UNK,--,--,
ich,PRON,PPER,ich,
mich,PRON,PPER,ich,
.,PUNCT,$.,.,.
_,UNK,--,--,
Thor,PROPN,NE,Thor,Thor
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
das,PRON,PDS,d,
mal,ADV,ADV,mal,mal
wieder,ADV,ADV,wieder,wieder
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,
Was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
denn,ADV,ADV,denn,denn
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,
Stoeps,PROPN,NE,stoeps,
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
Number_of_the_beast,PROPN,NE,Number_of_the_beast,Number_of_the_beast
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,
Das,PRON,PDS,d,
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
dir,PRON,PRF,du,
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,
Oh,INTJ,ITJ,oh,oh
",",PUNCT,"$,",",",","
Mann,NOUN,NN,Mann,Mann
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
für,ADP,APPR,für,für
ein,DET,ART,ein,ein
Krawall,NOUN,NN,Krawall,Krawall
ist,AUX,VAFIN,sein,sein
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
_,UNK,--,--,
gucke,VERB,VVFIN,gucken,gucken
_,UNK,--,--,
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
nur,ADV,ADV,nur,nur
Einsen,NOUN,NN,Eins,Eins
.,PUNCT,$.,.,.
_,UNK,--,--,
Die,DET,ART,d,
_,UNK,--,--,
Brust,NOUN,NN,Brust,Brust
schwillt,VERB,VVFIN,schwellen,schwellen
_,UNK,--,--,
mir,PRON,PPER,ich,
.,PUNCT,$.,.,.
_,UNK,--,--,
Emon,PROPN,NE,Emon,Emon
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Re,INTJ,ITJ,re,re
.,PUNCT,$.,.,.
_,UNK,--,--,
:-))),X,XY,:-))),:-)))
_,UNK,--,--,
Emon,PROPN,NE,Emon,Emon
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,
Re,INTJ,ITJ,re,re
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
_,UNK,--,--,
Und,CONJ,KON,und,und
du,PRON,PPER,du,
hast,AUX,VAFIN,haben,haben
eine,DET,ART,ein,ein
Eins,NOUN,NN,Eins,Eins
Minus,ADV,ADV,minus,minus
in,ADP,APPR,in,in
Benehmen,NOUN,NN,Benehmen,Benehmen
.,PUNCT,$.,.,.
_,UNK,--,--,
_,UNK,--,--,
ggg,INTJ,ITJ,g,
_,UNK,--,--,
!,PUNCT,$.,!,!
_,UNK,--,--,
_,UNK,--,--,
njamnjamnajm,INTJ,ITJ,njam,
_,UNK,--,--,
!,PUNCT,$.,!,!
_,UNK,--,--,
Re,INTJ,ITJ,re,re
",",PUNCT,"$,",",",","
Stoeps,PROPN,NE,stoeps,
.,PUNCT,$.,.,.
_,UNK,--,--,
Oh,INTJ,ITJ,oh,oh
.,PUNCT,$.,.,.
_,UNK,--,--,
Die,DET,ART,d,
Geistigkeit,NOUN,NN,Geistigkeit,Geistigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
.,PUNCT,$.,.,.
_,UNK,--,--,
+s,X,XY,+s,+s
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,hallo
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,
Tag,NOUN,NN,Tag,Tag
",",PUNCT,"$,",",",","
Quaki,PROPN,NE,Quaki,Quaki
.,PUNCT,$.,.,.
_,UNK,--,--,
Das,PRON,PDS,d,
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
einem,DET,ART,ein,ein
Baum,NOUN,NN,Baum,Baum
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
Meter,NOUN,NN,Meter,Meter
weg,ADV,ADV,weg,weg
ist,AUX,VAFIN,sein,sein
.,PUNCT,$.,.,.
_,UNK,--,--,
Quaki,PROPN,NE,Quaki,Quaki
und,CONJ,KON,und,und
Lantonie,PROPN,NE,Lantonie,Lantonie
sind,AUX,VAFIN,sein,sein
etwas,PRON,PIS,etwas,etwas
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Thor,PROPN,NE,Thor,Thor
.,PUNCT,$.,.,.
_,UNK,--,--,
:-),X,XY,:-),:-)
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Stoeps,PROPN,NE,stoeps,
und,CONJ,KON,und,und
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
.,PUNCT,$.,.,.
_,UNK,--,--,
:(,X,XY,:(,:(
_,UNK,--,--,
Über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,
Benehmensnote,NOUN,NN,Benehmensnote,Benehmensnote
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,
lieber,ADJ,ADJD,lieber,lieber
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
_,UNK,--,--,
Hi,INTJ,ITJ,hi,hi
",",PUNCT,"$,",",",","
Emon,PROPN,NE,Emon,Emon
.,PUNCT,$.,.,.
_,UNK,--,--,
200,NUM,CARD,200,200
Krähen,NOUN,NN,Krähe,Krähe
sind,AUX,VAFIN,sein,sein
da,ADV,ADV,da,da
?,PUNCT,$.,?,?
_,UNK,--,--,
Ja,PART,PTKANT,ja,ja
_,UNK,--,--,
Die,DET,ART,d,
Eins,NOUN,NN,Eins,Eins
Minus,ADV,ADV,minus,minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,
eine,DET,ART,ein,ein
Zeit,NOUN,NN,Zeit,Zeit
lang,ADJ,ADJD,lang,lang
häufig,ADJ,ADJD,häufig,häufig
