token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,<unknown>
4.0r0.204,X,XY,4.0r0.204,<unknown>
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204",@card@
),PUNCT,$(,),)
developed,X,FM,developed,<unknown>
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,<unknown>
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Was,PRON,PWS,was,was
passiert,VERB,VVFIN,passieren,passieren
?,PUNCT,$.,?,?
_,UNK,--,--,_
Ist,AUX,VAFIN,sein,sein
das,PRON,PDS,d,die
echt,ADJ,ADJD,echt,echt
",",PUNCT,"$,",",",","
Zora,PROPN,NE,Zora,Zora
?,PUNCT,$.,?,?
_,UNK,--,--,_
Little15,PROPN,NE,little15,<unknown>
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,die
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,DET,ART,d,die
Küssen,NOUN,NN,Küssen,Kuss|Küssen
macht,VERB,VVFIN,machen,machen
etwas,PRON,PIS,etwas,etwas
?,PUNCT,$.,?,?
_,UNK,--,--,_
Na,INTJ,ITJ,na,na
",",PUNCT,"$,",",",","
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
marc30,PROPN,NE,marc30,<unknown>
.,PUNCT,$.,.,.
_,UNK,--,--,_
Es,PRON,PPER,es,Es
gibt,VERB,VVFIN,geben,geben
kein,DET,PIAT,kein,keine
Servicepaket,NOUN,NN,Servicepaket,Servicepaket
Nr.,NOUN,NN,Nummer,Nummer
1,NUM,CARD,1,@card@
für,ADP,APPR,für,für
dich,PRON,PPER,du,du
.,PUNCT,$.,.,.
_,UNK,--,--,_
:),X,XY,:),<unknown>
.,PUNCT,$.,.,.
_,UNK,--,--,_
Was,PRON,PIS,was,was
ist,AUX,VAFIN,sein,sein
passiert,VERB,VVPP,passieren,passieren
