token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),)
developed,X,FM,developed,develop
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,Du
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
little15,PROPN,NE,little15,little15
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
das,DET,ART,d,little15
küssen,NOUN,NN,Küssen,betreten
_,UNK,--,--,der
_,UNK,--,--,Raum
?,PUNCT,$.,?,.
_,UNK,--,--,_
na,INTJ,ITJ,na,na
_,UNK,--,--,scope
gut,ADJ,ADJD,gut,gut
_,UNK,--,--,_
marc,PROPN,NE,marc30,marc
.,PUNCT,$.,.,.
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
hi,INTJ,ITJ,hi,Hi
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantöööö,PROPN,NE,Lantonie,Lantonie
_,UNK,--,--,betreten
_,UNK,--,--,der
Hallooo,INTJ,ITJ,hallo,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,[
:o),X,XY,:o),", ':)))', "
_,UNK,--,--,", "
hi,INTJ,ITJ,hi,", 'gucken', "
_,UNK,--,--,", 'wo', 'Quak', 'sich', 'nun', 'hinstellen', "
Lantonie,PROPN,NE,Lantonie,", "
_,UNK,--,--,", '*', 'G', '*', "
_,UNK,--,--,", "
huhu,INTJ,ITJ,huhu,", "
_,UNK,--,--,", '*', 'freuen', '*', "
zoriiiiii,PROPN,NE,Zora,", "
.,PUNCT,$.,.,]
_,UNK,--,--,[
re,INTJ,ITJ,re,", 'juhuuuu', "
_,UNK,--,--,", "
Tomcat,PROPN,NE,TomcatMJ,", 'Hallo', "
.,PUNCT,$.,.,", 'quak', '.']"
_,UNK,--,--,[
re,INTJ,ITJ,re,", 'juhuuuu', "
_,UNK,--,--,", "
marc,PROPN,NE,marc30,", 'Hallo', "
.,PUNCT,$.,.,", 'quak', '.']"
_,UNK,--,--,_
Na,INTJ,ITJ,na,re
",",PUNCT,"$,",",",_
zori,PROPN,NE,Zora,march
?,PUNCT,$.,?,.
_,UNK,--,--,[
oh,INTJ,ITJ,oh,", 'Hallo', "
_,UNK,--,--,", 'Beere', "
stoeps,PROPN,NE,stoeps,", "
.,PUNCT,$.,.,", 'Lantonie', 'können', 'ihr', 'Note', 'begründen', '.']"
_,UNK,--,--,[
Ah,INTJ,ITJ,ah,", 'hallo', "
",",PUNCT,"$,",",",", 'pharao', "
_,UNK,--,--,", "
_,UNK,--,--,", "
sehr,ADV,ADV,sehr,", "
gesund,ADJ,ADJD,gesund,", "
.,PUNCT,$.,.,", 'weißpappel', 'oder', 'schwarzpappel', '?']"
_,UNK,--,--,_
B67,PROPN,NE,B67,süß
verlässt,VERB,VVFIN,verlassen,_
den,DET,ART,d,klein
Raum,NOUN,NN,Raum,zora
.,PUNCT,$.,.,.
_,UNK,--,--,[
warum,ADV,PWAV,warum,", 'dann', 'sein', 'ein', 'hmmmmm', "
wird,AUX,VAFIN,werden,", "
tom,PROPN,NE,TomcatMJ,", 'sie', 'ziehen', 'nach', 'Hannover', ',', "
nicht,PART,PTKNEG,nicht,", "
aus,ADP,APPR,aus,", 'net', 'nach', 'Wien', "
dem,DET,ART,d,", "
chat,NOUN,NN,Chat,", 'Warst', 'du', 'vom', 'Zeugnis', 'überrascht', "
enfernt,VERB,VVPP,entfernen,", "
?,PUNCT,$.,?,", 'das', 'kommen', 'auf', 'die', 'rinde', 'drauf', 'an', '?']"
_,UNK,--,--,[
heya,INTJ,ITJ,hey,", 'heya', "
_,UNK,--,--,", 'marc30', "
Lanto,PROPN,NE,Lantonie,", "
_,UNK,--,--,", ';o)', "
_,UNK,--,--,", 're', "
;O),X,XY,;O),", 'baby', "
_,UNK,--,--,", "
_,UNK,--,--,", 'hi', "
_,UNK,--,--,", 'shadok', "
geld,NOUN,NN,Geld,", 'auf', "
_,UNK,--,--,", 'bruam', 'rauf|', 'klettern', "
zorsa,PROPN,NE,Zora,", "
_,UNK,--,--,", 'um', 'nicht', 'angeleint', 'zu', 'werden', "
zora,PROPN,NE,Zora,", "
_,UNK,--,--,", 'http://www.cu-here.de/showchat.php3?id=69&amp;offset=159', "
_,UNK,--,--,", "
_,UNK,--,--,", "
teuer,ADJ,ADJD,teuer,", "
.,PUNCT,$.,.,", 'erst', '!']"
_,UNK,--,--,_
Asja,PROPN,NE,Asja,stoep
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,"[';-))', "
auserdem,ADV,ADV,außerdem,", "
bin,AUX,VAFIN,sein,", "
ich,PRON,PPER,ich,", "
größer,ADJ,ADJD,groß,", "
!,PUNCT,$.,!,", 'leiten', '.']"
_,UNK,--,--,_
_,UNK,--,--,außerdem
_,UNK,--,--,sein
eine,DET,ART,ein,ich
beule,NOUN,NN,Beule,groß
?,PUNCT,$.,?,!
_,UNK,--,--,_
Lohnt,VERB,VVFIN,lohnen,Lantonie
_,UNK,--,--,heiraten
das,PRON,PDS,d,Thor
?,PUNCT,$.,?,.
_,UNK,--,--,[
zora,PROPN,NE,Zora,", 'Thor', 'wollen', 'Mann', 'nicht', 'haben', "
is,AUX,VAFIN,sein,", "
nich,PART,PTKNEG,nicht,", 'wir', 'sein', 'neu', 'verlottern', 'Familie', "
lesbisch,ADJ,ADJD,lesbisch,", "
...,PUNCT,$.,...,", 'Lantonie', 'verlassen', 'der', 'Raum', '.']"
_,UNK,--,--,_
Thor,PROPN,NE,Thor,Zora
_,UNK,--,--,sein
bis,ADP,APPR,bis,nicht
bald,ADV,ADV,bald,Lesbisch
...,PUNCT,$.,...,...
_,UNK,--,--,[
bün,AUX,VAFIN,sein,", 'cya', "
ich,PRON,PPER,ich,", 'faryen', "
nu,ADV,ADV,nun,", "
schon,ADV,ADV,schon,", 'Thor', 'empfehlen', 'fromm', 'als', 'Lektüre', 'und', 'Günther', 'anders', "
vörheuratet,VERB,VVPP,verheiratet,", "
?,PUNCT,$.,?,", 'und', 'was', 'sollen', 'das', 'genau', 'heißen', '?']"
_,UNK,--,--,[
oder,CONJ,KON,oder,", 'drehen', 'die', 'Tachoellte', 'ab', "
fahr,VERB,VVIMP,fahren,", "
rückwärts,ADV,ADV,rückwärts,", ':-))', "
....,PUNCT,$.,....,", 'Faryen-Angle', 'verlassen', 'der', 'Raum', '.']"
_,UNK,--,--,_
Wie,ADV,PWAV,wie,bün
_,UNK,--,--,ich
_,UNK,--,--,nun
_,UNK,--,--,schon
denn,ADV,ADV,denn,vörheiraten
?,PUNCT,$.,?,?
_,UNK,--,--,_
ja,PART,PTKANT,ja,oder
",",PUNCT,"$,",",",fahren
schdöbbs,PROPN,NE,stoeps,rückwärts
?,PUNCT,$.,?,....
_,UNK,--,--,[
hsv,PROPN,NE,HSV,", 'haft', "
heisst,VERB,VVFIN,heißen,", "
dat,PRON,PDS,d,", "
_,UNK,--,--,", '*', 'stochern', '*', "
_,UNK,--,--,", "
Nususte,PROPN,NE,nudelsuppenstern,", 'hallöchen', "
_,UNK,--,--,", 'Diddlchen', "
_,UNK,--,--,", "
öhm,INTJ,ITJ,öhm,", 'Hallo', "
",",PUNCT,"$,",",",", 'Sternchen', "
sternchen,PROPN,NE,nudelsuppenstern,", "
bin,AUX,VAFIN,sein,", 'zwickizwacki|', 'marc30|', 'quaken', "
ja,ADV,ADV,ja,", "
ich,PRON,PPER,ich,", 'Hey', ',', 'Hallo', "
...,PUNCT,$.,...,", 'Sternchen', '.']"
_,UNK,--,--,_
anscha22,PROPN,NE,anscha22,Anschauung
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Bochum,PROPN,NE,Bochum,Bochum
is,AUX,VAFIN,sein,sein
dunkelgrün,ADJ,ADJD,dunkelgrün,dunkelgrün
?,PUNCT,$.,?,?
_,UNK,--,--,_
Happy,PROPN,NE,Happy,Happen
macht,VERB,VVFIN,machen,machen
sich,PRON,PRF,sich,sich
jetzt,ADV,ADV,jetzt,jetzt
auch,ADV,ADV,auch,auch
weg,PART,PTKVZ,weg,weg
...,PUNCT,$.,...,...
_,UNK,--,--,_
was,PRON,PWS,was,werden
tom,PROPN,NE,TomcatMJ,tom
so,ADV,ADV,so,so
alles,PRON,PIS,alles,alles
sieht,VERB,VVFIN,sehen,sehen
...,PUNCT,$.,...,...
_,UNK,--,--,_
Selbst,ADV,ADV,selbst,selbst
wenn,SCONJ,KOUS,wenn,werden
da,ADV,ADV,da,da
nur,ADV,ADV,nur,nur
3,NUM,CARD,3,3
stunden,NOUN,NN,Stunde,Stunde
stünden,VERB,VVFIN,stehen,stünden
...,PUNCT,"$,",...,...
wat,PRON,PWS,was,was
solls,VERB,VMFIN,sollen,soll
_,UNK,--,--,_
...,PUNCT,$.,...,...
_,UNK,--,--,[
_,UNK,--,--,", "
_,UNK,--,--,", 'winken', '@', 'Bochum', "
hell,ADJ,ADJD,hell,", "
schwarz,ADJ,ADJD,schwarz,", 'und', "
?,PUNCT,$.,?,", 'mal', 'grüßen', 'an', 'das', 'Damsch', '...']"
_,UNK,--,--,_
bochum,PROPN,NE,Bochum,jojo
:,PUNCT,$.,:,.. .
_,UNK,--,--,[
ha,INTJ,ITJ,ha,", 'heeee', "
ha,INTJ,ITJ,ha,", "
!,PUNCT,$.,!,", 'werden', 'werden', 'das', 'denn', '?']"
_,UNK,--,--,[
_,UNK,--,--,", "
_,UNK,--,--,", "
dat,DET,ART,d,", 'der', 'maaaarc', "
Lenachen,PROPN,NE,Lena29,", "
....,PUNCT,$.,....,", 'nightshade', 'gehen', 'in', 'ein', 'ander', 'raum', ':']"
_,UNK,--,--,[
imperius,NOUN,NN,Imperius,", '""', 'der', 'imperator', 'verzeih', 'nicht', 'so', 'leicht', ',', 'wie', 'ich', 'es', 'tun', "
ex,ADV,ADV,ex,", '""', "
?,PUNCT,$.,?,", 'stöpsel', 'sein', 'jetzt', 'weg', ':']"
_,UNK,--,--,[
was,PRON,PWS,was,", "
is,AUX,VAFIN,sein,", 'welch', 'Figur', "
das,PRON,PDS,d,", "
?,PUNCT,$.,?,", '?']"
