token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,_
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),)
developed,X,FM,developed,developed
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,.
_,UNK,--,--,_
Du,PRON,PPER,du,du
betrittst,VERB,VVFIN,betreten,betretten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
was,PRON,PWS,was,was
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
echt,ADJ,ADJD,echt,echt
_,UNK,--,--,_
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
little15,PROPN,NE,little15,little15
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
das,DET,ART,d,der
küssen,NOUN,NN,Küssen,küssen
_,UNK,--,--,_
_,UNK,--,--,_
?,PUNCT,$.,?,?
_,UNK,--,--,_
na,INTJ,ITJ,na,na
_,UNK,--,--,_
gut,ADJ,ADJD,gut,gut
_,UNK,--,--,_
marc,PROPN,NE,marc30,marc
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
kein,DET,PIAT,kein,kein
servicepaket,NOUN,NN,Servicepaket,servicepaket
nr.,NOUN,NN,Nr.,nr.
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,du,dich
_,UNK,--,--,_
_,UNK,--,--,_
:),X,XY,:),:)
_,UNK,--,--,_
_,UNK,--,--,_
was,PRON,PWS,was,was
_,UNK,--,--,_
_,UNK,--,--,_
?,PUNCT,$.,?,?
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
Danke,PART,PTKANT,danke,Danke
",",PUNCT,"$,",",",","
Pharao,PROPN,NE,Pharao,Pharao
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
erleichtert|,ADJ,ADJD,erleichtert,erleichtert<unk>
guck,VERB,VVINF,gucken,guck
_,UNK,--,--,_
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
juhuuu,INTJ,ITJ,juhuu,juhuuu
_,UNK,--,--,_
tom,PROPN,NE,TomcatMJ,tom
is,AUX,VAFIN,sein,is
dada,ADV,ADV,da,dada
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
_,UNK,--,--,_
_,UNK,--,--,_
Heyho,INTJ,ITJ,hey,Heyho
_,UNK,--,--,_
Tom,PROPN,NE,TomcatMJ,Tom
_,UNK,--,--,_
_,UNK,--,--,_
Tom,PROPN,NE,TomcatMJ,Tom
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
marc,PROPN,NE,marc30,marc
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
tom,PROPN,NE,TomcatMJ,tom
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
faryen,PROPN,NE,Faryen-Angle,faryen
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
zora,PROPN,NE,Zora,zora
_,UNK,--,--,_
_,UNK,--,--,_
huhu,INTJ,ITJ,huhu,huhu
_,UNK,--,--,_
tom,PROPN,NE,TomcatMJ,tom
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
alles,PRON,PIS,alles,alle
konfetti,NOUN,NN,Konfetti,konfetti
bei,ADP,APPR,bei,bei
euch,PRON,PPER,ihr,euch
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
mich,PRON,PRF,ich,mich
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,INTJ,ITJ,hi,hi
n,PART,PTKVZ,hin,n
hinstell,VERB,VVINF,stellen,hinstell
_,UNK,--,--,_
little15,PROPN,NE,little15,little15
verlässt,VERB,VVFIN,verlassen,verlassen
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
Lantöööö,PROPN,NE,Lantonie,Lantöööö
_,UNK,--,--,_
_,UNK,--,--,_
Hallooo,INTJ,ITJ,hallo,Hallooo
.,PUNCT,$.,.,.
_,UNK,--,--,_
:))),X,XY,:))),:)))
_,UNK,--,--,_
_,UNK,--,--,_
mal,ADV,ADV,mal,mal
guck,VERB,VVINF,gucken,guck
_,UNK,--,--,_
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,Quaki,quaki
sich,PRON,PRF,sich,sich
nu,ADV,ADV,nun,nu
hinstelt,VERB,VVFIN,hinstellen,hinstelt
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
G,X,XY,g,G
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
freu,VERB,VVINF,freuen,freu
*,PUNCT,$(,*,*
_,PRON,PRF,--,_
_,PUNCT,$.,--,_
_,UNK,--,--,_
juhuuuuuu,INTJ,ITJ,juhuu,juhuuuuuu
_,UNK,--,--,_
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
.,PUNCT,$.,.,.
_,UNK,--,--,_
:o),X,XY,:o),:o)
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
Lantonie,PROPN,NE,Lantonie,Lantonie
_,UNK,--,--,_
_,UNK,--,--,_
huhu,INTJ,ITJ,huhu,huhu
_,UNK,--,--,_
zoriiiiii,PROPN,NE,Zora,zoriiiii
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
Tomcat,PROPN,NE,TomcatMJ,Tomcat
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
marc,PROPN,NE,marc30,marc
.,PUNCT,$.,.,.
_,UNK,--,--,_
.))),X,XY,.))),.)))
_,UNK,--,--,_
ups,INTJ,ITJ,ups,ups
_,UNK,--,--,_
is,AUX,VAFIN,sein,is
das,PRON,PDS,d,der
das,DET,ART,d,der
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,eck
?,PUNCT,$.,?,?
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
eck,NOUN,NN,Eck,eck
raus,PART,PTKVZ,raus,raus
_,UNK,--,--,_
_,UNK,--,--,_
Hallo,INTJ,ITJ,hallo,Hallo
_,UNK,--,--,_
Faryen,PROPN,NE,Faryen-Angle,Fary
.,PUNCT,$.,.,.
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
finde,VERB,VVFIN,finden,finden
den,DET,ART,d,der
quaki,PROPN,NE,Quaki,quaki
klasse,ADJ,ADJD,klasse,klassen
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,der
sich,PRON,PRF,sich,sich
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
_,UNK,--,--,_
Na,INTJ,ITJ,na,Na
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
:)),X,XY,:)),:))
_,UNK,--,--,_
den,PRON,PDS,d,den
_,UNK,--,--,_
_,UNK,--,--,_
?,PUNCT,$.,?,?
_,UNK,--,--,_
*,PUNCT,$(,*,*
g,X,XY,g,g
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
dange,PART,PTKANT,danke,dange
_,UNK,--,--,_
lantonie,PROPN,NE,Lantonie,lantonie
_,UNK,--,--,_
_,UNK,--,--,_
Ich,PRON,PPER,ich,ich
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
_,UNK,--,--,_
erzähl,VERB,VVIMP,erzählen,erzähl
_,UNK,--,--,_
_,UNK,--,--,_
lanto,PROPN,NE,Lantonie,lanto
redet,VERB,VVFIN,reden,redet
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,ne
bewährungshelferin,NOUN,NN,Bewährungshelferin,bewährungshelferin
_,UNK,--,--,_
_,UNK,--,--,_
zora,PROPN,NE,Zora,zora
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,sich
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,ihr
zeugniss,NOUN,NN,Zeugnis,zeugniss
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
auf|,PART,PTKVZ,auf,auf<unk>
pluster,VERB,VVINF,plustern,pluster
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
Thor,PROPN,NE,Thor,Thor
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
ich,PRON,PPER,ich,ich
_,UNK,--,--,_
_,UNK,--,--,_
mal,ADV,ADV,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,nich
...,PUNCT,$.,...,...
_,UNK,--,--,_
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
_,UNK,--,--,_
denn,ADV,ADV,denn,denn
_,UNK,--,--,_
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
stoeps,PROPN,NE,stoeps,stoeps
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
Number_of_the_beast,PROPN,NE,Number_of_the_beast,Number<unk>of<unk>the<unk>beast
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,_
Das,PRON,PDS,d,der
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
dir,PRON,PRF,du,dir
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,zori
?,PUNCT,$.,?,?
_,UNK,--,--,_
oh,INTJ,ITJ,oh,oh
_,UNK,--,--,_
man,NOUN,NN,Mann,man
_,UNK,--,--,_
wat,PRON,PWS,was,wat
fürn,ADP,APPR,für,fürn
_,UNK,--,--,_
krawall,NOUN,NN,Krawall,krawall
_,UNK,--,--,_
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
guck,VERB,VVINF,gucken,guck
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
nur,ADV,ADV,nur,nur
einsen,NOUN,NN,Eins,einsen
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
brust|,NOUN,NN,Brust,brust<unk>
schwell,VERB,VVINF,schwellen,schwell
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
_,UNK,--,--,_
:-))),X,XY,:-))),:-)))
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,_
_,UNK,--,--,_
und,CONJ,KON,und,und
_,UNK,--,--,_
_,UNK,--,--,_
eine,DET,ART,ein,eine
eins,NOUN,NN,Eins,eins
minus,ADV,ADV,minus,minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,Benehmen,benehmen
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
ggg,INTJ,ITJ,g,ggg
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
*,PUNCT,$(,*,*
njamnjamnajm,INTJ,ITJ,njam,njamnjamnajm
*,PUNCT,$(,*,*
_,UNK,--,--,_
_,UNK,--,--,_
re,INTJ,ITJ,re,re
_,UNK,--,--,_
stoeps,PROPN,NE,stoeps,stoeps
_,UNK,--,--,_
_,UNK,--,--,_
ohhhh,INTJ,ITJ,oh,ohhhh
_,UNK,--,--,_
_,UNK,--,--,_
die,DET,ART,d,die
geitigkeit,NOUN,NN,Geistigkeit,geitigkeit
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
_,UNK,--,--,_
_,UNK,--,--,_
+s,X,XY,+s,<unk>s
_,UNK,--,--,_
hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,_
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
emon,PROPN,NE,Emon,emon
_,UNK,--,--,_
tag,NOUN,NN,Tag,tag
_,UNK,--,--,_
quaki,PROPN,NE,Quaki,quaki
_,UNK,--,--,_
_,UNK,--,--,_
dat,PRON,PDS,d,dat
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krehen
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,nem
baum,NOUN,NN,Baum,baum
_,UNK,--,--,_
der,PRON,PRELS,d,der
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,Meter,m
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,is
...,PUNCT,$.,...,...
_,UNK,--,--,_
quaaakiiii,PROPN,NE,Quaki,quaaakiiii
und,CONJ,KON,und,und
lanto,PROPN,NE,Lantonie,lanto
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
thor,PROPN,NE,Thor,thor
_,UNK,--,--,_
_,UNK,--,--,_
:-),X,XY,:-),:-)
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
stoeps,PROPN,NE,stoeps,stoeps
unf,CONJ,KON,und,unf
tom,PROPN,NE,TomcatMJ,tom
_,UNK,--,--,_
_,UNK,--,--,_
:(,X,XY,:(,:(
_,UNK,--,--,_
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,mein
benehmennote,NOUN,NN,Benehmensnote,benehmennot
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,wir
lieber,ADJ,ADJD,lieber,lieber
nicht,PART,PTKNEG,nicht,nicht
_,UNK,--,--,_
_,UNK,--,--,_
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,_
emon,PROPN,NE,Emon,emon
_,UNK,--,--,_
_,UNK,--,--,_
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,krehen
_,UNK,--,--,_
_,UNK,--,--,_
?,PUNCT,$.,?,?
_,UNK,--,--,_
jo..,PART,PTKANT,ja,jo..
_,UNK,--,--,_
Die,DET,ART,d,der
eins,NOUN,NN,Eins,ein
Minus,ADV,ADV,minus,Minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,du
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,du
eine,DET,ART,ein,ein
Zeit|,NOUN,NN,Zeit,Zeit<unk>
lang,ADJ,ADJD,lang,lang
häufti,ADJ,ADJD,häufig,häufti
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,_
_,UNK,--,--,_
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,Benehmen,benehmen
?,PUNCT,$.,?,?
_,UNK,--,--,_
_,UNK,--,--,_
die,DET,ART,d,die
vögel,NOUN,NN,Vogel,vögel
_,UNK,--,--,_
_,UNK,--,--,_
_,UNK,--,--,_
B67,PROPN,NE,B67,B67
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,der
Raum,NOUN,NN,Raum,Raum
