token,tag,tag_STTS,lemma_gold,lemma_pred
_,UNK,--,--,
JustChat,PROPN,NE,JustChat,JustChat
4.0r0.204,X,XY,4.0r0.204,4.0r0.204
(,PUNCT,$(,(,(
"55,204",NUM,CARD,"55,204","55,204"
),PUNCT,$(,),)
developed,X,FM,developed,developed
by,X,FM,by,by
Medium.net,PROPN,NE,Medium.net,Medium.net
.,PUNCT,$.,.,.
_,UNK,--,--,
Du,PRON,PPER,du,
betrittst,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
was,PRON,PWS,was,was
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
echt,ADJ,ADJD,echt,echt
_,UNK,--,--,
zori,PROPN,NE,Zora,
?,PUNCT,$.,?,?
_,UNK,--,--,
little15,PROPN,NE,little15,little15
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
das,DET,ART,d,
küssen,NOUN,NN,Küssen,
_,UNK,--,--,
_,UNK,--,--,
?,PUNCT,$.,?,?
_,UNK,--,--,
na,INTJ,ITJ,na,na
_,UNK,--,--,
gut,ADJ,ADJD,gut,gut
_,UNK,--,--,
marc,PROPN,NE,marc30,
.,PUNCT,$.,.,.
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
kein,DET,PIAT,kein,
servicepaket,NOUN,NN,Servicepaket,
nr.,NOUN,NN,Nr.,
1,NUM,CARD,1,1
für,ADP,APPR,für,für
dich,PRON,PPER,du,
_,UNK,--,--,
_,UNK,--,--,
:),X,XY,:),:)
_,UNK,--,--,
_,UNK,--,--,
was,PRON,PWS,was,was
_,UNK,--,--,
_,UNK,--,--,
?,PUNCT,$.,?,?
_,UNK,--,--,
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,
Danke,PART,PTKANT,danke,danke
",",PUNCT,"$,",",",","
Pharao,PROPN,NE,Pharao,Pharao
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
erleichtert|,ADJ,ADJD,erleichtert,
guck,VERB,VVINF,gucken,gucken
_,UNK,--,--,
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
juhuuu,INTJ,ITJ,juhuu,
_,UNK,--,--,
tom,PROPN,NE,TomcatMJ,
is,AUX,VAFIN,sein,
dada,ADV,ADV,da,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
echt,ADJ,ADJD,echt,echt
?,PUNCT,$.,?,?
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
quaki,PROPN,NE,Quaki,
_,UNK,--,--,
_,UNK,--,--,
Heyho,INTJ,ITJ,hey,
_,UNK,--,--,
Tom,PROPN,NE,TomcatMJ,
_,UNK,--,--,
_,UNK,--,--,
Tom,PROPN,NE,TomcatMJ,
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
marc,PROPN,NE,marc30,
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
tom,PROPN,NE,TomcatMJ,
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
faryen,PROPN,NE,Faryen-Angle,
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
zora,PROPN,NE,Zora,
_,UNK,--,--,
_,UNK,--,--,
huhu,INTJ,ITJ,huhu,huhu
_,UNK,--,--,
tom,PROPN,NE,TomcatMJ,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
alles,PRON,PIS,alles,
konfetti,NOUN,NN,Konfetti,
bei,ADP,APPR,bei,bei
euch,PRON,PPER,ihr,
?,PUNCT,$.,?,?
_,UNK,--,--,
_,UNK,--,--,
mich,PRON,PRF,ich,
nochmal,ADV,ADV,nochmal,nochmal
zu,ADP,APPR,zu,zu
hi,INTJ,ITJ,hi,hi
n,PART,PTKVZ,hin,
hinstell,VERB,VVINF,stellen,
_,UNK,--,--,
little15,PROPN,NE,little15,little15
verlässt,VERB,VVFIN,verlassen,verlassen
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Lantöööö,PROPN,NE,Lantonie,
_,UNK,--,--,
_,UNK,--,--,
Hallooo,INTJ,ITJ,hallo,
.,PUNCT,$.,.,.
_,UNK,--,--,
:))),X,XY,:))),:)))
_,UNK,--,--,
_,UNK,--,--,
mal,ADV,ADV,mal,mal
guck,VERB,VVINF,gucken,gucken
_,UNK,--,--,
wo,ADV,PWAV,wo,wo
quaki,PROPN,NE,Quaki,
sich,PRON,PRF,sich,
nu,ADV,ADV,nun,
hinstelt,VERB,VVFIN,hinstellen,
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
G,X,XY,g,
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
freu,VERB,VVINF,freuen,freuen
*,PUNCT,$(,*,*
_,PRON,PRF,--,
_,PUNCT,$.,--,
_,UNK,--,--,
juhuuuuuu,INTJ,ITJ,juhuu,
_,UNK,--,--,
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,
quaki,PROPN,NE,Quaki,
.,PUNCT,$.,.,.
_,UNK,--,--,
:o),X,XY,:o),:o)
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
_,UNK,--,--,
_,UNK,--,--,
huhu,INTJ,ITJ,huhu,huhu
_,UNK,--,--,
zoriiiiii,PROPN,NE,Zora,
.,PUNCT,$.,.,.
_,UNK,--,--,
re,INTJ,ITJ,re,re
_,UNK,--,--,
Tomcat,PROPN,NE,TomcatMJ,
.,PUNCT,$.,.,.
_,UNK,--,--,
re,INTJ,ITJ,re,re
_,UNK,--,--,
marc,PROPN,NE,marc30,
.,PUNCT,$.,.,.
_,UNK,--,--,
.))),X,XY,.))),.)))
_,UNK,--,--,
ups,INTJ,ITJ,ups,ups
_,UNK,--,--,
is,AUX,VAFIN,sein,
das,PRON,PDS,d,
das,DET,ART,d,
falsche,ADJ,ADJA,falsch,falsch
eck,NOUN,NN,Eck,
?,PUNCT,$.,?,?
_,UNK,--,--,
quaki,PROPN,NE,Quaki,
krabbelt,VERB,VVFIN,krabbeln,krabbeln
aus,ADP,APPR,aus,aus
dem,DET,ART,d,
eck,NOUN,NN,Eck,
raus,PART,PTKVZ,raus,raus
_,UNK,--,--,
_,UNK,--,--,
Hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,
Faryen,PROPN,NE,Faryen-Angle,
.,PUNCT,$.,.,.
_,UNK,--,--,
Ich,PRON,PPER,ich,
finde,VERB,VVFIN,finden,finden
den,DET,ART,d,
quaki,PROPN,NE,Quaki,
klasse,ADJ,ADJD,klasse,klasse
",",PUNCT,"$,",",",","
er,PRON,PPER,er,er
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
toller,ADJ,ADJA,toll,toll
Neuzugang,NOUN,NN,Neuzugang,Neuzugang
",",PUNCT,"$,",",",","
der,PRON,PRELS,d,
sich,PRON,PRF,sich,
echt,ADJ,ADJD,echt,echt
bewährt,VERB,VVFIN,bewähren,bewähren
.,PUNCT,$.,.,.
_,UNK,--,--,
Na,INTJ,ITJ,na,
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,
?,PUNCT,$.,?,?
_,UNK,--,--,
:)),X,XY,:)),:))
_,UNK,--,--,
den,PRON,PDS,d,
_,UNK,--,--,
_,UNK,--,--,
?,PUNCT,$.,?,?
_,UNK,--,--,
*,PUNCT,$(,*,*
g,X,XY,g,g
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
dange,PART,PTKANT,danke,
_,UNK,--,--,
lantonie,PROPN,NE,Lantonie,
_,UNK,--,--,
_,UNK,--,--,
Ich,PRON,PPER,ich,
habe,AUX,VAFIN,haben,haben
heute,ADV,ADV,heute,heute
einen,DET,ART,ein,ein
SMS,NOUN,NN,SMS,SMS
von,ADP,APPR,von,von
Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
_,UNK,--,--,
erzähl,VERB,VVIMP,erzählen,erzählen
_,UNK,--,--,
_,UNK,--,--,
lanto,PROPN,NE,Lantonie,
redet,VERB,VVFIN,reden,reden
wie,CONJ,KOKOM,wie,wie
ne,DET,ART,ein,
bewährungshelferin,NOUN,NN,Bewährungshelferin,
_,UNK,--,--,
_,UNK,--,--,
zora,PROPN,NE,Zora,
freut,VERB,VVFIN,freuen,freuen
sich,PRON,PRF,sich,
über,ADP,APPR,über,über
ihr,DET,PPOSAT,ihr,
zeugniss,NOUN,NN,Zeugnis,
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
auf|,PART,PTKVZ,auf,
pluster,VERB,VVINF,plustern,plustern
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
Thor,PROPN,NE,Thor,Thor
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
ich,PRON,PPER,ich,
_,UNK,--,--,
_,UNK,--,--,
mal,ADV,ADV,mal,mal
wieder,ADV,ADV,wieder,wieder
nich,PART,PTKNEG,nicht,
...,PUNCT,$.,...,...
_,UNK,--,--,
was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
_,UNK,--,--,
denn,ADV,ADV,denn,denn
_,UNK,--,--,
zori,PROPN,NE,Zora,
?,PUNCT,$.,?,?
_,UNK,--,--,
stoeps,PROPN,NE,stoeps,stoeps
kommt,VERB,VVFIN,kommen,kommen
aus,ADP,APPR,aus,aus
dem,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
Number_of_the_beast,PROPN,NE,Number_of_the_beast,Number_of_the_beast
herein,PART,PTKVZ,herein,herein
.,PUNCT,$.,.,.
_,UNK,--,--,
Das,PRON,PDS,d,
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
dir,PRON,PRF,du,
verdient,VERB,VVPP,verdienen,verdienen
",",PUNCT,"$,",",",","
zori,PROPN,NE,Zora,
?,PUNCT,$.,?,?
_,UNK,--,--,
oh,INTJ,ITJ,oh,oh
_,UNK,--,--,
man,NOUN,NN,Mann,
_,UNK,--,--,
wat,PRON,PWS,was,
fürn,ADP,APPR,für,
_,UNK,--,--,
krawall,NOUN,NN,Krawall,
_,UNK,--,--,
hier,ADV,ADV,hier,hier
draußen,ADV,ADV,draußen,draußen
...,PUNCT,$.,...,...
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
guck,VERB,VVINF,gucken,gucken
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
nur,ADV,ADV,nur,nur
einsen,NOUN,NN,Eins,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
brust|,NOUN,NN,Brust,
schwell,VERB,VVINF,schwellen,
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
Emon,PROPN,NE,Emon,Emon
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
re,INTJ,ITJ,re,re
_,UNK,--,--,
_,UNK,--,--,
:-))),X,XY,:-))),:-)))
_,UNK,--,--,
Emon,PROPN,NE,Emon,Emon
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,
re,INTJ,ITJ,re,re
_,UNK,--,--,
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,
_,UNK,--,--,
und,CONJ,KON,und,und
_,UNK,--,--,
_,UNK,--,--,
eine,DET,ART,ein,ein
eins,NOUN,NN,Eins,
minus,ADV,ADV,minus,minus
in,ADP,APPR,in,in
benehmen,NOUN,NN,Benehmen,
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
ggg,INTJ,ITJ,g,
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
*,PUNCT,$(,*,*
njamnjamnajm,INTJ,ITJ,njam,
*,PUNCT,$(,*,*
_,UNK,--,--,
_,UNK,--,--,
re,INTJ,ITJ,re,re
_,UNK,--,--,
stoeps,PROPN,NE,stoeps,stoeps
_,UNK,--,--,
_,UNK,--,--,
ohhhh,INTJ,ITJ,oh,
_,UNK,--,--,
_,UNK,--,--,
die,DET,ART,d,
geitigkeit,NOUN,NN,Geistigkeit,
kommt,VERB,VVFIN,kommen,kommen
auch,ADV,ADV,auch,auch
_,UNK,--,--,
_,UNK,--,--,
+s,X,XY,+s,+s
_,UNK,--,--,
hallo,INTJ,ITJ,hallo,hallo
_,UNK,--,--,
Emon,PROPN,NE,Emon,Emon
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
emon,PROPN,NE,Emon,
_,UNK,--,--,
tag,NOUN,NN,Tag,
_,UNK,--,--,
quaki,PROPN,NE,Quaki,
_,UNK,--,--,
_,UNK,--,--,
dat,PRON,PDS,d,
sind,AUX,VAFIN,sein,sein
schätzungsweise,ADV,ADV,schätzungsweise,schätzungsweise
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,
oder,CONJ,KON,oder,oder
so,ADV,ADV,so,so
in,ADP,APPR,in,in
nem,DET,ART,ein,
baum,NOUN,NN,Baum,
_,UNK,--,--,
der,PRON,PRELS,d,
etwa,ADV,ADV,etwa,etwa
100,NUM,CARD,100,100
m,NOUN,NN,Meter,
weg,ADV,ADV,weg,weg
is,AUX,VAFIN,sein,
...,PUNCT,$.,...,...
_,UNK,--,--,
quaaakiiii,PROPN,NE,Quaki,
und,CONJ,KON,und,und
lanto,PROPN,NE,Lantonie,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
thor,PROPN,NE,Thor,
_,UNK,--,--,
_,UNK,--,--,
:-),X,XY,:-),:-)
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
stoeps,PROPN,NE,stoeps,stoeps
unf,CONJ,KON,und,
tom,PROPN,NE,TomcatMJ,
_,UNK,--,--,
_,UNK,--,--,
:(,X,XY,:(,:(
_,UNK,--,--,
über,ADP,APPR,über,über
meine,DET,PPOSAT,mein,
benehmennote,NOUN,NN,Benehmensnote,
reden,VERB,VVFIN,reden,reden
wir,PRON,PPER,wir,
lieber,ADJ,ADJD,lieber,lieber
nicht,PART,PTKNEG,nicht,nicht
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
emon,PROPN,NE,Emon,
_,UNK,--,--,
_,UNK,--,--,
200,NUM,CARD,200,200
krähen,NOUN,NN,Krähe,
_,UNK,--,--,
_,UNK,--,--,
?,PUNCT,$.,?,?
_,UNK,--,--,
jo..,PART,PTKANT,ja,
_,UNK,--,--,
Die,DET,ART,d,
eins,NOUN,NN,Eins,
Minus,ADV,ADV,minus,minus
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
bekommen,VERB,VVPP,bekommen,bekommen
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
du,PRON,PPER,du,
eine,DET,ART,ein,ein
Zeit|,NOUN,NN,Zeit,
lang,ADJ,ADJD,lang,lang
häufti,ADJ,ADJD,häufig,
gesagt,VERB,VVPP,sagen,sagen
hast,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
_,UNK,--,--,
_,UNK,--,--,
was,PRON,PWS,was,was
ist,AUX,VAFIN,sein,sein
Benehmen,NOUN,NN,Benehmen,Benehmen
?,PUNCT,$.,?,?
_,UNK,--,--,
_,UNK,--,--,
die,DET,ART,d,
vögel,NOUN,NN,Vogel,
_,UNK,--,--,
_,UNK,--,--,
_,UNK,--,--,
B67,PROPN,NE,B67,B67
betritt,VERB,VVFIN,betreten,betreten
den,DET,ART,d,
Raum,NOUN,NN,Raum,Raum
.,PUNCT,$.,.,.
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
ist,AUX,VAFIN,sein,sein
jetzt,ADV,ADV,jetzt,jetzt
weg,ADV,ADV,weg,weg
:,PUNCT,$.,:,
Pissen,VERB,VVINF,pissen,pissen
_,UNK,--,--,
_,UNK,--,--,
hi,INTJ,ITJ,hi,hi
_,UNK,--,--,
quaki,PROPN,NE,Quaki,
",",PUNCT,"$,",",",","
lantonie,PROPN,NE,Lantonie,
_,UNK,--,--,
_,UNK,--,--,
Lantonie,PROPN,NE,Lantonie,Lantonie
ist,AUX,VAFIN,sein,sein
wieder,ADV,ADV,wieder,wieder
da,PART,PTKVZ,da,da
.,PUNCT,$.,.,.
_,UNK,--,--,
*,PUNCT,$(,*,*
hehe,INTJ,ITJ,hehe,hehe
*,PUNCT,$(,*,*
.,PUNCT,$.,.,.
_,UNK,--,--,
stoeps,PROPN,NE,stoeps,stoeps
gibt,VERB,VVFIN,geben,geben
thor,PROPN,NE,Thora,
eine,DET,ART,ein,ein
6,NOUN,NN,Sechs,
_,UNK,--,--,
_,UNK,--,--,
