,token,tag,tag_STTS,lemma_gold,baseline
0,…,PUNCT,$(,…,…
1,das,PRON,PDS,der,das
2,hört,VERB,VVFIN,hören,hört
3,sich,PRON,PRF,sich,sich
4,ja,UNK,PTKMA,ja,ja
5,nach,ADP,APPR,nach,nach
6,einem,DET,ART,ein,einem
7,spannend-amüsanten,ADJ,ADJA,spannend-amüsant,spannend-amüsanten
8,Ausflug,NOUN,NN,Ausflug,Ausflug
9,an,PART,PTKVZ,an,an
10,…,PUNCT,$(,…,…
11,.,PUNCT,$.,.,.
12,super,ADJ,ADJD,super,super
13,!,PUNCT,$.,!,!
14,wusstet,VERB,VVFIN,wissen,wusstet
15,ihr,PRON,PPER,ihr,ihr
16,",",PUNCT,"$,",",",","
17,dass,SCONJ,KOUS,dass,dass
18,es,PRON,PPER,es,es
19,eine,DET,ART,ein,eine
20,Seite,NOUN,NN,Seite,Seite
21,“,PUNCT,$(,“,“
22,fettehenne.info,UNK,URL,fettehenne.info,fettehenne.info
23,”,PUNCT,$(,”,”
24,im,ADP,APPRART,in,im
25,Netz,NOUN,NN,Netz,Netz
26,gibt,VERB,VVFIN,geben,gibt
27,?,PUNCT,$.,?,?
28,danke,PART,PTKANT,danke,danke
29,für,ADP,APPR,für,für
30,deinen,DET,PPOSAT,dein,deinen
31,Kommentar,NOUN,NN,Kommentar,Kommentar
32,!,PUNCT,$.,!,!
33,ja,PART,PTKANT,ja,ja
34,",",PUNCT,"$,",",",","
35,die,DET,ART,der,die
36,Seite,NOUN,NN,Seite,Seite
37,kenne,VERB,VVFIN,kennen,kenne
38,ich,PRON,PPER,ich,ich
39,…,PUNCT,$.,…,…
40,;-),UNK,EMOASC,;-),;-)
41,hallo,INTJ,ITJ,hallo,hallo
42,lieber,ADJ,ADJA,lieb,lieber
43,Yannik,PROPN,NE,Yannik,Yannik
44,",",PUNCT,"$,",",",","
45,ich,PRON,PPER,ich,ich
46,wollte,VERB,VMFIN,wollen,wollte
47,dir,PRON,PPER,dir,dir
48,mal,UNK,PTKMA,mal,mal
49,meinen,DET,PPOSAT,mein,meinen
50,Respekt,NOUN,NN,Respekt,Respekt
51,für,ADP,APPR,für,für
52,deinen,DET,PPOSAT,dein,deinen
53,Beitrag,NOUN,NN,Beitrag,Beitrag
54,über,ADP,APPR,über,über
55,die,DET,ART,der,die
56,Jugend,NOUN,NN,Jugend,Jugend
57,mitteilen,VERB,VVINF,mitteilen,mitteilen
58,.,PUNCT,$.,.,.
59,dein,DET,PPOSAT,dein,dein
60,Papa,NOUN,NN,Papa,Papa
61,hat,AUX,VAFIN,haben,hat
62,mir,PRON,PPER,mir,mir
63,den,DET,ART,der,den
64,Tipp,NOUN,NN,Tipp,Tipp
65,gegeben,VERB,VVPP,geben,gegeben
66,mal,UNK,PTKMWL,mal,mal
67,hier,ADV,ADV,hier,hier
68,deine,DET,PPOSAT,dein,deine
69,Blogs,NOUN,NN,Blog,Blogs
70,zu,PART,PTKZU,zu,zu
71,bewundern,VERB,VVINF,bewundern,bewundern
72,;),UNK,EMOASC,;),;)
73,echt,UNK,PTKIFG,echt,echt
74,stark,ADJ,ADJD,stark,stark
75,für,ADP,APPR,für,für
76,dein,DET,PPOSAT,dein,dein
77,Alter,NOUN,NN,Alter,Alter
78,!!,PUNCT,$.,!!,!!
79,ich,PRON,PPER,ich,ich
80,habe,AUX,VAFIN,haben,habe
81,auch,ADV,ADV,auch,auch
82,einen,DET,ART,ein,einen
83,Sohn,NOUN,NN,Sohn,Sohn
84,",",PUNCT,"$,",",",","
85,er,PRON,PPER,er,er
86,ist,AUX,VAFIN,sein,ist
87,14,NUM,CARD,14,14
88,Jahre,NOUN,NN,Jahr,Jahre
89,und,CONJ,KON,und,und
90,zählt,VERB,VVFIN,zählen,zählt
91,zum,ADP,APPRART,zu,zum
92,Glück,NOUN,NN,Glück,Glück
93,(,PUNCT,$(,(,(
94,so,ADV,ADV,so,so
95,wie,SCONJ,KOUS,wie,wie
96,du,PRON,PPER,du,du
97,offensichtlich,ADJ,ADJD,offensichtlich,offensichtlich
98,ja,UNK,PTKMA,ja,ja
99,auch,UNK,PTKMA,auch,auch
100,nicht,PART,PTKNEG,nicht,nicht
101,),PUNCT,$(,),)
