,token,tag,tag_STTS,lemma_gold,baseline
0,Kann,VERB,VMFIN,können,Kann
1,ich,PRON,PPER,ich,ich
2,einen,DET,ART,ein,einen
3,Laptop,NOUN,NN,Laptop,Laptop
4,mit,PART,PTKVZ,mit,mit
5,in,ADP,APPR,in,in
6,die,DET,ART,der,die
7,Bibo,NOUN,NN,Bibliothek,Bibo
8,nehmen,VERB,VVINF,nehmen,nehmen
9,",",PUNCT,"$,",",",","
10,damit,SCONJ,KOUS,damit,damit
11,ich,PRON,PPER,ich,ich
12,im,ADP,APPRART,in,im
13,Katalog,NOUN,NN,Katalog,Katalog
14,nach,ADP,APPR,nach,nach
15,Büchern,NOUN,NN,Buch,Büchern
16,suchen,VERB,VVINF,suchen,suchen
17,kann,VERB,VMFIN,können,kann
18,",",PUNCT,"$,",",",","
19,oder,CONJ,KON,oder,oder
20,ist,AUX,VAFIN,sein,ist
21,es,PRON,PPER,es,es
22,jederzeit,ADV,ADV,jederzeit,jederzeit
23,möglich,ADJ,ADJD,möglich,möglich
24,einen,DET,ART,ein,einen
25,freien,ADJ,ADJA,frei,freien
26,EDV-Platz,NOUN,NN,EDV-Platz,EDV-Platz
27,...,PUNCT,$(,...,...
28,Sie,PRON,PPER,sie,Sie
29,können,VERB,VMFIN,können,können
30,auf,ADP,APPR,auf,auf
31,jedenfall,NOUN,NN,Jedenfall,jedenfall
32,Ihr,DET,PPOSAT,ihr,Ihr
33,Laptop,NOUN,NN,Laptop,Laptop
34,mitnehmen,VERB,VVINF,mitnehmen,mitnehmen
35,.,PUNCT,$.,.,.
36,WIr,PRON,PPER,wir,WIr
37,haben,AUX,VAFIN,haben,haben
38,...,PUNCT,$(,...,...
39,einen,DET,ART,ein,einen
40,Notebook-Arbeitspool,NOUN,NN,Notebook-Arbeitspool,Notebook-Arbeitspool
41,eingerichtet,VERB,VVPP,einrichten,eingerichtet
42,",",PUNCT,"$,",",",","
43,für,ADP,APPR,für,für
44,die,DET,ART,der,die
45,Nutzung,NOUN,NN,Nutzung,Nutzung
46,mit,ADP,APPR,mit,mit
47,Kabel,NOUN,NN,Kabel,Kabel
48,und,CONJ,KON,und,und
49,Funknetz,NOUN,NN,Funknetz,Funknetz
50,.,PUNCT,$.,.,.
51,Doch,CONJ,KON,doch,Doch
52,...,PUNCT,$(,...,...
53,gibt,VERB,VVFIN,geben,gibt
54,es,PRON,PPER,es,es
55,einen,DET,ART,ein,einen
