,token,tag,tag_STTS,lemma_gold,baseline
0,was,PRON,PWS,was,was
1,echt,ADJ,ADJD,echt,echt
2,Zori,PROPN,NE,Zori,Zori
3,?,PUNCT,$.,?,?
4,das,PRON,PDS,der,das
5,Küssen,NOUN,NN,küssen,Küssen
6,??,PUNCT,$.,??,??
7,na,INTJ,ITJ,na,na
8,gut,ADJ,ADJD,gut,gut
9,Marc,PROPN,NE,Marc,Marc
10,.,PUNCT,$.,.,.
11,kein,DET,PIAT,kein,kein
12,Servicepaket,NOUN,NN,Servicepaket,Servicepaket
13,Nr.,NOUN,NN,Nr.,Nr.
14,1,NUM,CARD,1,1
15,für,ADP,APPR,für,für
16,dich,PRON,PPER,dich,dich
17,:),UNK,EMOASC,:),:)
18,was,PRON,PWS,was,was
19,?,PUNCT,$.,?,?
20,hi,INTJ,ITJ,hi,hi
21,danke,PART,PTKANT,danke,danke
22,Pharao,PROPN,NE,Pharao,Pharao
23,*,PUNCT,$(,*,*
24,erleichtertguck,UNK,AKW,erleichtertguck,erleichtertguck
25,*,PUNCT,$(,*,*
26,juhu,INTJ,ITJ,juhu,juhu
27,Tom,PROPN,NE,Tom,Tom
28,ist,AUX,VAFIN,sein,ist
29,da,ADV,ADV,da,da
30,echt,ADJ,ADJD,echt,echt
31,?,PUNCT,$.,?,?
32,hi,INTJ,ITJ,hi,hi
33,quaki,PROPN,NE,quaki,quaki
34,heyho,INTJ,ITJ,heyho,heyho
35,Tom,PROPN,NE,Tom,Tom
36,re,INTJ,ITJ,re,re
37,Tom,PROPN,NE,Tom,Tom
38,hi,INTJ,ITJ,hi,hi
39,Marc,PROPN,NE,Marc,Marc
40,hi,INTJ,ITJ,hi,hi
41,Tom,PROPN,NE,Tom,Tom
42,hi,INTJ,ITJ,hi,hi
43,Faryen,PROPN,NE,Faryen,Faryen
44,hi,INTJ,ITJ,hi,hi
45,Zora,PROPN,NE,Zora,Zora
46,huhu,INTJ,ITJ,huhu,huhu
47,Tom,PROPN,NE,Tom,Tom
48,:),UNK,EMOASC,:),:)
49,alles,PRON,PIS,alle,alles
50,konfetti,ADJ,ADJD,konfetti,konfetti
51,bei,ADP,APPR,bei,bei
52,euch,PRON,PPER,euch,euch
53,?,PUNCT,$.,?,?
54,mich,PRON,PPER,mich,mich
55,nochmal,ADV,ADV,nochmal,nochmal
56,zu,ADP,APPR,zu,zu
57,hi,X,XY,hi,hi
58,n,X,XY,n,n
59,hinstell,UNK,AKW,hinstell,hinstell
60,:),UNK,EMOASC,:),:)
61,Lantonie,PROPN,NE,Lantonie,Lantonie
62,hallo,INTJ,ITJ,hallo,hallo
63,.,PUNCT,$.,.,.
64,:),UNK,EMOASC,:),:)
65,Lantonie,PROPN,NE,Lantonie,Lantonie
66,:))),UNK,EMOASC,:))),:)))
67,*,PUNCT,$(,*,*
68,mal,UNK,PTKMA,mal,mal
69,guck,UNK,AKW,guck,guck
70,wo,ADV,PWAV,wo,wo
71,quaki,PROPN,NE,quaki,quaki
72,sich,PRON,PRF,sich,sich
73,nun,ADV,ADV,nun,nun
74,hinstellt,VERB,VVFIN,hinstellen,hinstellt
75,*,PUNCT,$(,*,*
76,g,UNK,AKW,g,g
77,*,PUNCT,$(,*,*
78,freu,UNK,AKW,freu,freu
79,juhu,INTJ,ITJ,juhu,juhu
80,hallo,INTJ,ITJ,hallo,hallo
81,quaki,PROPN,NE,quaki,quaki
82,.,PUNCT,$.,.,.
83,Lantonie,PROPN,NE,Lantonie,Lantonie
84,:o),UNK,EMOASC,:o),:o)
85,hi,INTJ,ITJ,hi,hi
86,Lanto,PROPN,NE,Lanto,Lanto
87,huhu,INTJ,ITJ,huhu,huhu
88,zora,PROPN,NE,zora,zora
89,.,PUNCT,$.,.,.
90,:))),UNK,EMOASC,:))),:)))
91,re,INTJ,ITJ,re,re
92,Tomcat,PROPN,NE,Tomcat,Tomcat
93,.,PUNCT,$.,.,.
94,re,INTJ,ITJ,re,re
95,Marc,PROPN,NE,Marc,Marc
96,.,PUNCT,$.,.,.
97,.))),UNK,EMOASC,.))),.)))
98,ups,INTJ,ITJ,ups,ups
99,ist,AUX,VAFIN,sein,ist
100,das,PRON,PDS,der,das
101,das,DET,ART,der,das
102,falsche,ADJ,ADJA,falsch,falsche
103,Eck,NOUN,NN,Eck,Eck
104,??,PUNCT,$.,??,??
105,hi,INTJ,ITJ,hi,hi
106,Lantonie,PROPN,NE,Lantonie,Lantonie
107,quaki,PROPN,NE,quaki,quaki
108,krabbelt,VERB,VVFIN,krabbeln,krabbelt
109,aus,ADP,APPR,aus,aus
110,dem,DET,ART,der,dem
111,Eck,NOUN,NN,Eck,Eck
112,raus,PART,PTKVZ,raus,raus
113,hallo,INTJ,ITJ,hallo,hallo
114,Faryen,PROPN,NE,Faryen,Faryen
115,.,PUNCT,$.,.,.
116,:),UNK,EMOASC,:),:)
117,ich,PRON,PPER,ich,ich
118,finde,VERB,VVFIN,finden,finde
119,den,DET,ART,der,den
120,quaki,PROPN,NE,quaki,quaki
121,klasse,ADJ,ADJD,klasse,klasse
122,",",PUNCT,"$,",",",","
123,ein,DET,ART,ein,ein
124,toller,ADJ,ADJA,toll,toller
125,Neuzugang,NOUN,NN,Neuzugang,Neuzugang
126,",",PUNCT,"$,",",",","
127,der,PRON,PRELS,der,der
128,sich,PRON,PRF,sich,sich
129,echt,ADJ,ADJD,echt,echt
130,bewährt,VERB,VVFIN,bewähren,bewährt
131,.,PUNCT,$.,.,.
132,:))),UNK,EMOASC,:))),:)))
133,na,INTJ,ITJ,na,na
134,",",PUNCT,"$,",",",","
135,Zori,PROPN,NE,Zori,Zori
136,?,PUNCT,$.,?,?
137,:)),UNK,EMOASC,:)),:))
138,den,PRON,PDS,der,den
139,?,PUNCT,$.,?,?
140,*,PUNCT,$(,*,*
141,g,UNK,AKW,g,g
142,*,PUNCT,$(,*,*
143,danke,PART,PTKANT,danke,danke
144,Lantonie,PROPN,NE,Lantonie,Lantonie
145,ich,PRON,PPER,ich,ich
146,habe,AUX,VAFIN,haben,habe
147,heute,ADV,ADV,heute,heute
148,einen,DET,ART,ein,einen
149,SMS,NOUN,NN,SMS,SMS
150,von,ADP,APPR,von,von
151,Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
152,bekommen,VERB,VVPP,bekommen,bekommen
153,.,PUNCT,$.,.,.
154,*,PUNCT,$(,*,*
155,erzähl,UNK,AKW,erzähl,erzähl
156,*,PUNCT,$(,*,*
157,Lanto,PROPN,NE,Lanto,Lanto
158,redet,VERB,VVFIN,reden,redet
159,wie,CONJ,KOKOM,wie,wie
160,eine,DET,ART,ein,eine
161,Bewährungshelferin,NOUN,NN,Bewährungshelferin,Bewährungshelferin
162,Zora,PROPN,NE,Zora,Zora
163,freut,VERB,VVFIN,freuen,freut
164,sich,PRON,PRF,sich,sich
165,über,ADP,APPR,über,über
166,ihr,DET,PPOSAT,ihr,ihr
167,Zeugnis,NOUN,NN,Zeugnis,Zeugnis
168,:))),UNK,EMOASC,:))),:)))
169,*,PUNCT,$(,*,*
170,aufpluster,UNK,AKW,aufpluster,aufpluster
171,*,PUNCT,$(,*,*
172,ich,PRON,PPER,ich,ich
173,mal,UNK,PTKMA,mal,mal
174,wieder,ADV,ADV,wieder,wieder
175,nicht,PART,PTKNEG,nicht,nicht
176,...,PUNCT,$.,...,...
177,was,PRON,PWS,was,was
178,hast,AUX,VAFIN,haben,hast
179,denn,UNK,PTKMA,denn,denn
180,Zori,PROPN,NE,Zori,Zori
181,??,PUNCT,$.,??,??
182,erzähl,VERB,VVIMP,erzählen,erzähl
183,das,PRON,PDS,der,das
184,hast,AUX,VAFIN,haben,hast
185,du,PRON,PPER,du,du
186,dir,PRON,PRF,sich,dir
187,verdient,VERB,VVPP,verdienen,verdient
188,",",PUNCT,"$,",",",","
189,Zori,PROPN,NE,Zori,Zori
190,?,PUNCT,$.,?,?
191,oh,INTJ,ITJ,oh,oh
192,man,INTJ,ITJ,man,man
193,was,PRON,PWS,was,was
194,fürn,ADP,APPRART,für,fürn
195,Krawall,NOUN,NN,Krawall,Krawall
196,hier,ADV,ADV,hier,hier
197,draußen,ADV,ADV,draußen,draußen
198,...,PUNCT,$.,...,...
199,*,PUNCT,$(,*,*
200,guck,UNK,AKW,guck,guck
201,*,PUNCT,$(,*,*
202,nur,UNK,PTKIFG,nur,nur
203,Einser,NOUN,NN,Eins,Einser
204,*,PUNCT,$(,*,*
205,brustschwell,UNK,AKW,brustschwell,brustschwell
206,*,PUNCT,$(,*,*
207,re,INTJ,ITJ,re,re
208,:-))),UNK,EMOASC,:-))),:-)))
209,re,INTJ,ITJ,re,re
210,r,INTJ,ITJ,r,r
211,Emon,PROPN,NE,Emon,Emon
212,und,CONJ,KON,und,und
213,eine,DET,ART,ein,eine
214,Eins,NOUN,NN,Eins,Eins
215,Minus,NOUN,NN,Minus,Minus
216,in,ADP,APPR,in,in
217,Benehmen,NOUN,NN,benehmen,Benehmen
