,token,tag,tag_STTS,lemma_gold,baseline
0,was,PRON,PWS,was,was
1,echt,ADJ,ADJD,echt,echt
2,zori,PROPN,NE,Zori,zori
3,?,PUNCT,$.,?,?
4,das,PRON,PDS,der,das
5,küssen,NOUN,NN,küssen,küssen
6,??,PUNCT,$.,??,??
7,na,INTJ,ITJ,na,na
8,gut,ADJ,ADJD,gut,gut
9,marc,PROPN,NE,Marc,marc
10,.,PUNCT,$.,.,.
11,kein,DET,PIAT,kein,kein
12,servicepaket,NOUN,NN,Servicepaket,servicepaket
13,nr.,NOUN,NN,Nr.,nr.
14,1,NUM,CARD,1,1
15,für,ADP,APPR,für,für
16,dich,PRON,PPER,dich,dich
17,:),UNK,EMOASC,:),:)
18,was,PRON,PWS,was,was
19,?,PUNCT,$.,?,?
20,hi,INTJ,ITJ,hi,hi
21,Danke,PART,PTKANT,danke,Danke
22,Pharao,PROPN,NE,Pharao,Pharao
23,*,PUNCT,$(,*,*
24,erleichtertguck,UNK,AKW,erleichtertguck,erleichtertguck
25,*,PUNCT,$(,*,*
26,juhuuu,INTJ,ITJ,juhu,juhuuu
27,tom,PROPN,NE,Tom,tom
28,is,AUX,VAFIN,sein,is
29,dada,ADV,ADV,da,dada
30,echt,ADJ,ADJD,echt,echt
31,?,PUNCT,$.,?,?
32,hi,INTJ,ITJ,hi,hi
33,quaki,PROPN,NE,quaki,quaki
34,Heyho,INTJ,ITJ,heyho,Heyho
35,Tom,PROPN,NE,Tom,Tom
36,re,INTJ,ITJ,re,re
37,Tom,PROPN,NE,Tom,Tom
38,hi,INTJ,ITJ,hi,hi
39,marc,PROPN,NE,Marc,marc
40,hi,INTJ,ITJ,hi,hi
41,tom,PROPN,NE,Tom,tom
42,hi,INTJ,ITJ,hi,hi
43,faryen,PROPN,NE,Faryen,faryen
44,hi,INTJ,ITJ,hi,hi
45,zora,PROPN,NE,Zora,zora
46,huhu,INTJ,ITJ,huhu,huhu
47,tom,PROPN,NE,Tom,tom
48,:),UNK,EMOASC,:),:)
49,alles,PRON,PIS,alle,alles
50,konfetti,ADJ,ADJD,konfetti,konfetti
51,bei,ADP,APPR,bei,bei
52,euch,PRON,PPER,euch,euch
53,?,PUNCT,$.,?,?
54,mich,PRON,PPER,mich,mich
55,nochmal,ADV,ADV,nochmal,nochmal
56,zu,ADP,APPR,zu,zu
57,hi,X,XY,hi,hi
58,n,X,XY,n,n
59,hinstell,UNK,AKW,hinstell,hinstell
60,:),UNK,EMOASC,:),:)
61,lantonieeeeee,PROPN,NE,Lantonie,lantonieeeeee
62,Hallo,INTJ,ITJ,hallo,Hallo
63,.,PUNCT,$.,.,.
64,:),UNK,EMOASC,:),:)
65,LANTOOO,PROPN,NE,Lantonie,LANTOOO
66,:))),UNK,EMOASC,:))),:)))
67,*,PUNCT,$(,*,*
68,mal,UNK,PTKMA,mal,mal
69,guck,UNK,AKW,guck,guck
70,wo,ADV,PWAV,wo,wo
71,quaki,PROPN,NE,quaki,quaki
72,sich,PRON,PRF,sich,sich
73,nu,ADV,ADV,nun,nu
74,hinstelt,VERB,VVFIN,hinstellen,hinstelt
75,*,PUNCT,$(,*,*
76,G,UNK,AKW,g,G
77,*,PUNCT,$(,*,*
78,freu,UNK,AKW,freu,freu
79,juhuuu,INTJ,ITJ,juhu,juhuuu
80,Hallo,INTJ,ITJ,hallo,Hallo
81,quaki,PROPN,NE,quaki,quaki
82,.,PUNCT,$.,.,.
83,Lantöööö,PROPN,NE,Lantonie,Lantöööö
84,:o),UNK,EMOASC,:o),:o)
85,hi,INTJ,ITJ,hi,hi
86,lanto,PROPN,NE,Lanto,lanto
87,Huhu,INTJ,ITJ,huhu,Huhu
88,zoriiiiii,PROPN,NE,zora,zoriiiiii
89,.,PUNCT,$.,.,.
90,:))),UNK,EMOASC,:))),:)))
91,re,INTJ,ITJ,re,re
92,Tomcat,PROPN,NE,Tomcat,Tomcat
93,.,PUNCT,$.,.,.
94,re,INTJ,ITJ,re,re
95,marc,PROPN,NE,Marc,marc
96,.,PUNCT,$.,.,.
97,.))),UNK,EMOASC,.))),.)))
98,ups,INTJ,ITJ,ups,ups
99,is,AUX,VAFIN,sein,is
100,das,PRON,PDS,der,das
101,das,DET,ART,der,das
102,falsche,ADJ,ADJA,falsch,falsche
103,eck,NOUN,NN,Eck,eck
104,??,PUNCT,$.,??,??
105,hi,INTJ,ITJ,hi,hi
106,Lantonie,PROPN,NE,Lantonie,Lantonie
107,quaki,PROPN,NE,quaki,quaki
108,krabbelt,VERB,VVFIN,krabbeln,krabbelt
109,aus,ADP,APPR,aus,aus
110,dem,DET,ART,der,dem
111,eck,NOUN,NN,Eck,eck
112,raus,PART,PTKVZ,raus,raus
113,Hallo,INTJ,ITJ,hallo,Hallo
114,Faryen,PROPN,NE,Faryen,Faryen
115,.,PUNCT,$.,.,.
116,:),UNK,EMOASC,:),:)
117,Ich,PRON,PPER,ich,Ich
118,finde,VERB,VVFIN,finden,finde
119,den,DET,ART,der,den
120,quaki,PROPN,NE,quaki,quaki
121,klasse,ADJ,ADJD,klasse,klasse
122,",",PUNCT,"$,",",",","
123,ein,DET,ART,ein,ein
124,toller,ADJ,ADJA,toll,toller
125,Neuzugang,NOUN,NN,Neuzugang,Neuzugang
126,",",PUNCT,"$,",",",","
127,der,PRON,PRELS,der,der
128,sich,PRON,PRF,sich,sich
129,echt,ADJ,ADJD,echt,echt
130,bewährt,VERB,VVFIN,bewähren,bewährt
131,.,PUNCT,$.,.,.
132,:))),UNK,EMOASC,:))),:)))
133,Na,INTJ,ITJ,na,Na
134,",",PUNCT,"$,",",",","
135,zori,PROPN,NE,Zori,zori
136,?,PUNCT,$.,?,?
137,:)),UNK,EMOASC,:)),:))
138,den,PRON,PDS,der,den
139,?,PUNCT,$.,?,?
140,*,PUNCT,$(,*,*
141,g,UNK,AKW,g,g
142,*,PUNCT,$(,*,*
143,dange,PART,PTKANT,danke,dange
144,lantonie,PROPN,NE,Lantonie,lantonie
145,Ich,PRON,PPER,ich,Ich
146,habe,AUX,VAFIN,haben,habe
147,heute,ADV,ADV,heute,heute
148,einen,DET,ART,ein,einen
149,SMS,NOUN,NN,SMS,SMS
150,von,ADP,APPR,von,von
151,Tigaaaaelse,PROPN,NE,Tigaaaaelse,Tigaaaaelse
152,bekommen,VERB,VVPP,bekommen,bekommen
153,.,PUNCT,$.,.,.
154,*,PUNCT,$(,*,*
155,erzähl,UNK,AKW,erzähl,erzähl
156,*,PUNCT,$(,*,*
157,lanto,PROPN,NE,Lanto,lanto
158,redet,VERB,VVFIN,reden,redet
159,wie,CONJ,KOKOM,wie,wie
160,ne,DET,ART,ein,ne
161,bewährungshelferin,NOUN,NN,Bewährungshelferin,bewährungshelferin
162,zora,PROPN,NE,Zora,zora
163,freut,VERB,VVFIN,freuen,freut
164,sich,PRON,PRF,sich,sich
165,über,ADP,APPR,über,über
166,ihr,DET,PPOSAT,ihr,ihr
167,zeugniss,NOUN,NN,Zeugnis,zeugniss
168,:))),UNK,EMOASC,:))),:)))
169,*,PUNCT,$(,*,*
170,aufpluster,UNK,AKW,aufpluster,aufpluster
171,*,PUNCT,$(,*,*
172,ich,PRON,PPER,ich,ich
173,mal,UNK,PTKMA,mal,mal
174,wieder,ADV,ADV,wieder,wieder
175,nich,PART,PTKNEG,nicht,nich
176,...,PUNCT,$.,...,...
177,was,PRON,PWS,was,was
178,hast,AUX,VAFIN,haben,hast
179,denn,UNK,PTKMA,denn,denn
180,zori,PROPN,NE,Zori,zori
181,??,PUNCT,$.,??,??
182,erzähl,VERB,VVIMP,erzählen,erzähl
183,Das,PRON,PDS,der,Das
184,hast,AUX,VAFIN,haben,hast
185,du,PRON,PPER,du,du
186,dir,PRON,PRF,sich,dir
187,verdient,VERB,VVPP,verdienen,verdient
188,",",PUNCT,"$,",",",","
189,zori,PROPN,NE,Zori,zori
190,?,PUNCT,$.,?,?
191,oh,INTJ,ITJ,oh,oh
192,man,INTJ,ITJ,man,man
193,wat,PRON,PWS,was,wat
194,fürn,ADP,APPRART,für,fürn
195,krawall,NOUN,NN,Krawall,krawall
196,hier,ADV,ADV,hier,hier
197,draußen,ADV,ADV,draußen,draußen
198,...,PUNCT,$.,...,...
199,*,PUNCT,$(,*,*
200,guck,UNK,AKW,guck,guck
201,*,PUNCT,$(,*,*
202,nur,UNK,PTKIFG,nur,nur
203,einsen,NOUN,NN,Eins,einsen
204,*,PUNCT,$(,*,*
205,brustschwell,UNK,AKW,brustschwell,brustschwell
206,*,PUNCT,$(,*,*
207,ree,INTJ,ITJ,re,ree
208,:-))),UNK,EMOASC,:-))),:-)))
209,reee,INTJ,ITJ,re,reee
210,r,INTJ,ITJ,r,r
211,emon,PROPN,NE,Emon,emon
212,und,CONJ,KON,und,und
213,eine,DET,ART,ein,eine
214,eins,NOUN,NN,Eins,eins
215,minus,NOUN,NN,Minus,minus
216,in,ADP,APPR,in,in
217,benehmen,NOUN,NN,benehmen,benehmen
