,token,tag,tag_STTS,lemma_gold,baseline
0,Das,PRON,PDS,der,Das
1,wärs,UNK,VAPPER,sein,wärs
2,",",PUNCT,"$,",",",","
3,allen,DET,PIAT,aller,allen
4,Teilnehmern,NOUN,NN,Teilnehmer,Teilnehmern
5,herzlichen,ADJ,ADJA,herzlich,herzlichen
6,Dank,NOUN,NN,Dank,Dank
7,!,PUNCT,$.,!,!
8,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
9,CLARIN,PROPN,NE,Clarin,CLARIN
10,VLO,PROPN,NE,Vlo,VLO
11,:,PUNCT,$(,:,:
12,https://catalog.clarin.eu,UNK,URL,https://catalog.clarin.eu,https://catalog.clarin.eu
13,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
14,Dieter,PROPN,NE,Dieter,Dieter
15,van,PROPN,NE,Van,van
16,Uytvanck,PROPN,NE,Uytvanck,Uytvanck
17,(,PUNCT,$(,(,(
18,Nijmegen,PROPN,NE,Nijmegen,Nijmegen
19,),PUNCT,$(,),)
20,:,PUNCT,$(,:,:
21,Auf,ADP,APPR,auf,Auf
22,der,DET,ART,der,der
23,Suche,NOUN,NN,Suche,Suche
24,nach,ADP,APPR,nach,nach
25,Sprachressourcen,NOUN,NN,Sprachressource,Sprachressourcen
26,:,PUNCT,$(,:,:
27,CLARINs,PROPN,NE,CLARIN,CLARINs
28,Virtual,PROPN,NE,Virtual,Virtual
29,Language,PROPN,NE,Language,Language
30,Observatory,PROPN,NE,Observatory,Observatory
31,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
32,praktisches,ADJ,ADJA,praktisch,praktisches
33,Beispiel,NOUN,NN,Beispiel,Beispiel
34,der,DET,ART,der,der
35,Wortverlaufskurve,NOUN,NN,Wortverlaufskurve,Wortverlaufskurve
36,:,PUNCT,$(,:,:
37,Abnahme,NOUN,NN,Abnahme,Abnahme
38,von,ADP,APPR,von,von
39,erweiterten,ADJ,ADJA,erweitert,erweiterten
40,Partizipialattributen,NOUN,NN,Partizipialattribut,Partizipialattributen
41,mit,ADP,APPR,mit,mit
42,"""",PUNCT,$(,"""",""""
43,habend,ADJ,ADJD,habend,habend
44,"""",PUNCT,$(,"""",""""
45,:,PUNCT,$(,:,:
46,http://bit.ly/1EUPPhK,UNK,URL,http://bit.ly/1eupphk,http://bit.ly/1EUPPhK
47,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
48,WLAN,NOUN,NN,WLAN,WLAN
49,an,ADP,APPR,an,an
50,der,DET,ART,der,der
51,@bbaw_de,PROPN,NE,@bbaw_de,@bbaw_de
52,heute,ADV,ADV,heute,heute
53,leider,ADV,ADV,leider,leider
54,sehr,UNK,PTKIFG,sehr,sehr
55,instabil,ADJ,ADJD,instabil,instabil
56,und,CONJ,KON,und,und
57,nicht,PART,PTKNEG,nicht,nicht
58,wirklich,UNK,PTKMWL,wirklich,wirklich
59,brauchbar,ADJ,ADJD,brauchbar,brauchbar
60,.,PUNCT,$.,.,.
61,Tut,VERB,VVFIN,tun,Tut
62,uns,PRON,PPER,uns,uns
63,leid,PART,PTKVZ,leid,leid
64,...,PUNCT,$.,...,...
65,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
66,Der,DET,ART,der,Der
67,Troll,NOUN,NN,Troll,Troll
68,",",PUNCT,"$,",",",","
69,der,PRON,PRELS,der,der
70,noch,ADV,ADV,noch,noch
71,im,ADP,APPRART,in,im
72,@dwds_de,PROPN,NE,@dwds_de,@dwds_de
73,fehlt,VERB,VVFIN,fehlen,fehlt
74,:,PUNCT,$(,:,:
75,http://de.m.wikipedia.org/wiki/Troll_(Netzkultur),UNK,URL,http://de.m.wikipedia.org/wiki/troll_(netzkultur),http://de.m.wikipedia.org/wiki/Troll_(Netzkultur)
76,…,PUNCT,$.,…,…
77,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
78,"""",PUNCT,$(,"""",""""
79,In,ADP,APPR,in,In
80,welchen,DET,PWAT,welcher,welchen
81,Modi,NOUN,NN,Modus,Modi
82,werden,AUX,VAFIN,werden,werden
83,wir,PRON,PPER,wir,wir
84,in,ADP,APPR,in,in
85,einigen,DET,PIAT,einiger,einigen
86,Jahren,NOUN,NN,Jahr,Jahren
87,kommunizieren,VERB,VVINF,kommunizieren,kommunizieren
88,?,PUNCT,$.,?,?
89,"""",PUNCT,$(,"""",""""
90,@berlinothar,UNK,ADR,@berlinothar,@berlinothar
91,#ibk,UNK,HST,#ibk,#ibk
92,#cmc,UNK,HST,#cmc,#cmc
93,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
94,Erfurter,ADJ,ADJA,Erfurter,Erfurter
95,Europäische,ADJ,ADJA,europäisch,Europäische
96,Welt-,X,TRUNC,Welt,Welt-
97,und,CONJ,KON,und,und
98,Staats-Geschichte,NOUN,NN,Staats-Geschichte,Staats-Geschichte
99,:,PUNCT,$(,:,:
100,20,NUM,CARD,20,20
101,Ausgaben,NOUN,NN,Ausgabe,Ausgaben
102,von,ADP,APPR,von,von
103,1744,NUM,CARD,1744,1744
104,aus,ADP,APPR,aus,aus
105,dem,DET,ART,der,dem
106,MKHZ,PROPN,NE,MKHZ,MKHZ
107,bereits,ADV,ADV,bereits,bereits
108,in,ADP,APPR,in,in
109,DTAQ,PROPN,NE,DTAQ,DTAQ
110,http://www.deutschestextarchiv.de/dtaq/about,UNK,URL,http://www.deutschestextarchiv.de/dtaq/about,http://www.deutschestextarchiv.de/dtaq/about
111,#dtaclarin14,UNK,HST,#dtaclarin14,#dtaclarin14
112,Mannheimer,ADJ,ADJA,Mannheimer,Mannheimer
113,Zeitungskorpus,NOUN,NN,Zeitungskorpus,Zeitungskorpus
114,:,PUNCT,$(,:,:
115,652,NUM,CARD,652,652
116,Ausgaben,NOUN,NN,Ausgabe,Ausgaben
117,",",PUNCT,"$,",",",","
118,4678,NUM,CARD,4678,4678
119,Seiten,NOUN,NN,Seite,Seiten
120,",",PUNCT,"$,",",",","
121,"4,1",NUM,CARD,"4,1","4,1"
122,Mio,NOUN,NN,Mio.,Mio
123,Tokens,NOUN,NN,Token,Tokens
124,",",PUNCT,"$,",",",","
