,token,tag,tag_STTS,lemma_gold,baseline
0,mein,DET,PPOSAT,mein,mein
1,Papa,NOUN,NN,Papa,Papa
2,hat,AUX,VAFIN,haben,hat
3,zwei,NUM,CARD,zwei,zwei
4,große,ADJ,ADJA,groß,große
5,Blöcke,NOUN,NN,Block,Blöcke
6,super,UNK,PTKIFG,super,super
7,hartes,ADJ,ADJA,hart,hartes
8,Styropor,NOUN,NN,Styropor,Styropor
9,und,CONJ,KON,und,und
10,wir,PRON,PPER,wir,wir
11,haben,AUX,VAFIN,haben,haben
12,mal,UNK,PTKMA,mal,mal
13,das,DET,ART,der,das
14,Teil,NOUN,NN,Teil,Teil
15,daraus,ADV,PAV,daraus,daraus
16,geschnitzt,VERB,VVPP,schnitzen,geschnitzt
17,",",PUNCT,"$,",",",","
18,wo,SCONJ,KOUS,wo,wo
19,die,DET,ART,der,die
20,Haken,NOUN,NN,Haken,Haken
21,rauskommen,VERB,VVFIN,rauskommen,rauskommen
22,.,PUNCT,$.,.,.
23,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithOpenMouthAndSmilingEyes,emojiQsmilingFaceWithOpenMouthAndSmilingEyes
24,uh,INTJ,ITJ,uh,uh
25,das,PRON,PDS,der,das
26,sieht,VERB,VVFIN,sehen,sieht
27,voll,UNK,PTKIFG,voll,voll
28,gut,ADJ,ADJD,gut,gut
29,aus,PART,PTKVZ,aus,aus
30,*_*,UNK,EMOASC,*_*,*_*
31,und,CONJ,KON,und,und
32,der,DET,ART,der,der
33,Pilzkopferwin,PROPN,NE,Pilzkopferwin,Pilzkopferwin
34,auch,ADV,ADV,auch,auch
35,xD,UNK,EMOASC,xD,xD
36,Nadine,PROPN,NE,Nadine,Nadine
37,bestellt,VERB,VVFIN,bestellen,bestellt
38,sich,PRON,PRF,sich,sich
39,jetzt,ADV,ADV,jetzt,jetzt
40,einen,DET,ART,ein,einen
41,Styroporschneider,NOUN,NN,Styroporschneider,Styroporschneider
42,für,ADP,APPR,für,für
43,die,DET,ART,der,die
44,Griffe,NOUN,NN,Griff,Griffe
45,und,CONJ,KON,und,und
46,macht,VERB,VVFIN,machen,macht
47,einen,DET,ART,ein,einen
48,Prototyp,NOUN,NN,Prototyp,Prototyp
49,.,PUNCT,$.,.,.
50,emojiQsmilingFaceWithSmilingEyes,UNK,EMOIMG,emojiQsmilingFaceWithSmilingEyes,emojiQsmilingFaceWithSmilingEyes
51,und,CONJ,KON,und,und
52,den,DET,ART,der,den
53,perfekten,ADJ,ADJA,perfekt,perfekten
54,Lack,NOUN,NN,Lack,Lack
55,für,ADP,APPR,für,für
56,die,DET,ART,der,die
57,Klingen,NOUN,NN,Klinge,Klingen
58,habe,AUX,VAFIN,haben,habe
59,ich,PRON,PPER,ich,ich
60,auch,ADV,ADV,auch,auch
61,schon,ADV,ADV,schon,schon
62,gefunden,VERB,VVPP,finden,gefunden
63,.,PUNCT,$.,.,.
64,müssen,VERB,VMFIN,müssen,müssen
65,uns,PRON,PRF,sich,uns
66,bald,ADV,ADV,bald,bald
67,mal,UNK,PTKMA,mal,mal
68,wieder,ADV,ADV,wieder,wieder
69,treffen,VERB,VVINF,treffen,treffen
70,.,PUNCT,$.,.,.
71,emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
72,au,INTJ,ITJ,au,au
73,ja,PART,PTKANT,ja,ja
74,!,PUNCT,$.,!,!
75,:),UNK,EMOASC,:),:)
76,unbedingt,ADJ,ADJD,unbedingt,unbedingt
77,!,PUNCT,$.,!,!
78,*_*,UNK,EMOASC,*_*,*_*
79,dann,ADV,ADV,dann,dann
80,kann,VERB,VMFIN,können,kann
81,ich,PRON,PPER,ich,ich
82,dir,PRON,PPER,dir,dir
83,alles,PRON,PIS,alle,alles
84,zeigen,VERB,VVINF,zeigen,zeigen
85,.,PUNCT,$.,.,.
86,Mann,INTJ,ITJ,Mann,Mann
87,ich,PRON,PPER,ich,ich
88,bin,AUX,VAFIN,sein,bin
89,schon,ADV,ADV,schon,schon
90,so,UNK,PTKIFG,so,so
91,aufgeregt,ADJ,ADJD,aufgeregt,aufgeregt
92,.,PUNCT,$.,.,.
93,emojiQflushedFace,UNK,EMOIMG,emojiQflushedFace,emojiQflushedFace
94,ja,PART,PTKANT,ja,ja
95,!,PUNCT,$.,!,!
96,hehe,INTJ,ITJ,hehe,hehe
97,ich,PRON,PPER,ich,ich
98,auch,ADV,ADV,auch,auch
99,xD,UNK,EMOASC,xD,xD
100,das,PRON,PDS,der,das
101,wird,AUX,VAFIN,werden,wird
102,so,UNK,PTKIFG,so,so
103,gut,ADJ,ADJD,gut,gut
104,.,PUNCT,$.,.,.
105,emojiQsmilingCatFaceWithHeartShapedEyes,UNK,EMOIMG,emojiQsmilingCatFaceWithHeartShapedEyes,emojiQsmilingCatFaceWithHeartShapedEyes
106,ja,PART,PTKANT,ja,ja
107,auf,ADP,APPR,auf,auf
108,Jedenfall,NOUN,NN,Jedenfall,Jedenfall
109,!,PUNCT,$.,!,!
110,:),UNK,EMOASC,:),:)
111,und,CONJ,KON,und,und
112,Sushi,NOUN,NN,Sushi,Sushi
113,müssen,VERB,VMFIN,müssen,müssen
114,wir,PRON,PPER,wir,wir
115,auch,ADV,ADV,auch,auch
116,mal,UNK,PTKMA,mal,mal
117,wieder,ADV,ADV,wieder,wieder
118,essen,VERB,VVINF,essen,essen
119,gehen,VERB,VVINF,gehen,gehen
120,.,PUNCT,$.,.,.
121,hehe,INTJ,ITJ,hehe,hehe
122,:),UNK,EMOASC,:),:)
123,das,PRON,PDS,der,das
124,klingt,VERB,VVFIN,klingen,klingt
125,gut,ADJ,ADJD,gut,gut
126,auch,ADV,ADV,auch,auch
127,wenn,SCONJ,KOUS,wenn,wenn
128,ich,PRON,PPER,ich,ich
129,schon,UNK,PTKMA,schon,schon
130,voll,UNK,PTKIFG,voll,voll
131,pleite,ADV,ADV,pleite,pleite
132,bin,AUX,VAFIN,sein,bin
133,xD,UNK,EMOASC,xD,xD
134,ich,PRON,PPER,ich,ich
135,doch,UNK,PTKMA,doch,doch
136,auch,ADV,ADV,auch,auch
137,.,PUNCT,$.,.,.
138,XD,UNK,EMOASC,XD,XD
139,XD,UNK,EMOASC,XD,XD
140,ahahahaha,INTJ,ITJ,ahahahaha,ahahahaha
141,!,PUNCT,$.,!,!
142,wie,UNK,PTKIFG,wie,wie
143,herrlich,ADJ,ADJD,herrlich,herrlich
144,!,PUNCT,$.,!,!
145,XD,UNK,EMOASC,XD,XD
146,der,PRON,PDS,der,der
147,hat,AUX,VAFIN,haben,hat
148,soviel,DET,PIAT,sovieler,soviel
149,Potenzial,NOUN,NN,Potenzial,Potenzial
150,.,PUNCT,$.,.,.
151,oh,INTJ,ITJ,oh,oh
152,Mann,NOUN,NN,Mann,Mann
153,",",PUNCT,"$,",",",","
154,wie,UNK,PTKIFG,wie,wie
155,herrlich,ADJ,ADJD,herrlich,herrlich
156,!,PUNCT,$.,!,!
157,ich,PRON,PPER,ich,ich
158,liebe,VERB,VVFIN,lieben,liebe
159,dich,PRON,PPER,dich,dich
160,dafür,ADV,PAV,dafür,dafür
161,!,PUNCT,$.,!,!
162,XD,UNK,EMOASC,XD,XD
163,XD,UNK,EMOASC,XD,XD
164,ooh,INTJ,ITJ,ooh,ooh
165,Mann,NOUN,NN,Mann,Mann
166,!,PUNCT,$.,!,!
167,oha,INTJ,ITJ,oha,oha
168,",",PUNCT,"$,",",",","
169,Gryffindor,PROPN,NE,Gryffindor,Gryffindor
170,?,PUNCT,$.,?,?
171,XD,UNK,EMOASC,XD,XD
172,XD,UNK,EMOASC,XD,XD
173,du,PRON,PPER,du,du
174,killst,VERB,VVFIN,killen,killst
175,mich,PRON,PPER,mich,mich
176,!,PUNCT,$.,!,!
177,so,UNK,PTKIFG,so,so
178,herrlich,ADJ,ADJD,herrlich,herrlich
179,xDD,UNK,EMOASC,xDD,xDD
180,das,PRON,PDS,der,das
181,macht,VERB,VVFIN,machen,macht
182,so,ADV,ADV,so,so
183,Spaß,NOUN,NN,Spaß,Spaß
184,.,PUNCT,$.,.,.
185,emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
186,uh,INTJ,ITJ,uh,uh
187,xD,UNK,EMOASC,xD,xD
188,ja,PART,PTKANT,ja,ja
189,!,PUNCT,$.,!,!
190,ich,PRON,PPER,ich,ich
191,denke,VERB,VVFIN,denken,denke
192,mir,PRON,PRF,sich,mir
193,heute,ADV,ADV,heute,heute
194,sicher,ADJ,ADJD,sicher,sicher
195,noch,UNK,PTKMA,noch,noch
196,mehr,PRON,PIS,mehr,mehr
197,machen,VERB,VVFIN,machen,machen
198,.,PUNCT,$.,.,.
199,emojiQkissingCatFaceWithClosedEyes,UNK,EMOIMG,emojiQkissingCatFaceWithClosedEyes,emojiQkissingCatFaceWithClosedEyes
200,ich,PRON,PPER,ich,ich
201,glaube,VERB,VVFIN,glauben,glaube
202,",",PUNCT,"$,",",",","
203,ich,PRON,PPER,ich,ich
204,bleibe,VERB,VVFIN,bleiben,bleibe
205,bei,ADP,APPR,bei,bei
206,Janosch,PROPN,NE,Janosch,Janosch
207,.,PUNCT,$.,.,.
208,emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
209,ja,PART,PTKANT,ja,ja
210,...,PUNCT,$(,...,...
211,Benedikt,PROPN,NE,Benedikt,Benedikt
212,sind,AUX,VAFIN,sein,sind
213,irgendwie,ADV,ADV,irgendwie,irgendwie
214,etwas,UNK,PTKIFG,etwas,etwas
215,seltsam,ADJ,ADJD,seltsam,seltsam
216,aus,PART,PTKVZ,aus,aus
217,xD,UNK,EMOASC,xD,xD
218,ich,PRON,PPER,ich,ich
219,weiß,VERB,VVFIN,wissen,weiß
220,...,PUNCT,$(,...,...
221,dabei,ADV,PAV,dabei,dabei
222,habe,AUX,VAFIN,haben,habe
223,ich,PRON,PPER,ich,ich
224,mir,PRON,PRF,sich,mir
225,voll,UNK,PTKIFG,voll,voll
226,Mühe,NOUN,NN,Mühe,Mühe
227,gegeben,VERB,VVPP,geben,gegeben
228,.,PUNCT,$.,.,.
229,emojiQpersonFrowning,UNK,EMOIMG,emojiQpersonFrowning,emojiQpersonFrowning
230,hm,INTJ,ITJ,hm,hm
231,hm,INTJ,ITJ,hm,hm
232,:),UNK,EMOASC,:),:)
233,speckige,ADJ,ADJA,speckig,speckige
234,Fettfinger,NOUN,NN,Fettfinger,Fettfinger
235,machen,VERB,VVFIN,machen,machen
236,sich,PRON,PRF,sich,sich
237,schlecht,ADJ,ADJD,schlecht,schlecht
238,.,PUNCT,$.,.,.
239,emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
240,XD,UNK,EMOASC,XD,XD
241,hahaha,INTJ,ITJ,hahaha,hahaha
242,es,PRON,PPER,es,es
243,ist,AUX,VAFIN,sein,ist
244,so,UNK,PTKIFG,so,so
245,herrlich,ADJ,ADJD,herrlich,herrlich
246,!,PUNCT,$.,!,!
247,:),UNK,EMOASC,:),:)
248,huhu,INTJ,ITJ,huhu,huhu
249,!,PUNCT,$.,!,!
250,:),UNK,EMOASC,:),:)
251,ich,PRON,PPER,ich,ich
252,habe,AUX,VAFIN,haben,habe
253,jetzt,ADV,ADV,jetzt,jetzt
254,erfahren,VERB,VVPP,erfahren,erfahren
255,",",PUNCT,"$,",",",","
256,wann,SCONJ,KOUS,wann,wann
257,die,DET,ART,der,die
258,Halloweenparty,NOUN,NN,Halloweenparty,Halloweenparty
259,ist,AUX,VAFIN,sein,ist
260,:,PUNCT,$(,:,:
261,am,ADP,APPRART,an,am
262,31.,ADJ,ADJA,31.,31.
263,:),UNK,EMOASC,:),:)
264,haste,UNK,VAPPER,haben,haste
265,Lust,NOUN,NN,Lust,Lust
266,?,PUNCT,$.,?,?
267,:),UNK,EMOASC,:),:)
268,ich,PRON,PPER,ich,ich
269,muss,VERB,VMFIN,müssen,muss
270,mal,UNK,PTKMA,mal,mal
271,schauen,VERB,VVINF,schauen,schauen
272,.,PUNCT,$.,.,.
273,meine,DET,PPOSAT,mein,meine
274,Schwester,NOUN,NN,Schwester,Schwester
275,kommt,VERB,VVFIN,kommen,kommt
276,ja,UNK,PTKMA,ja,ja
277,am,ADP,APPRART,an,am
278,Sonntag,NOUN,NN,Sonntag,Sonntag
279,und,CONJ,KON,und,und
280,dann,ADV,ADV,dann,dann
281,erfahre,VERB,VVFIN,erfahren,erfahre
282,ich,PRON,PPER,ich,ich
283,",",PUNCT,"$,",",",","
284,wie,ADV,PWAV,wie,wie
285,lange,ADJ,ADJD,lang,lange
286,sie,PRON,PPER,sie,sie
287,bleibt,VERB,VVFIN,bleiben,bleibt
288,.,PUNCT,$.,.,.
289,emojiQcatFaceWithWrySmile,UNK,EMOIMG,emojiQcatFaceWithWrySmile,emojiQcatFaceWithWrySmile
290,:),UNK,EMOASC,:),:)
291,alles,PRON,PIS,alle,alles
292,klar,ADJ,ADJD,klar,klar
