,token,tag,tag_STTS,lemma_gold,baseline
0,Jemand,PRON,PIS,jemand,Jemand
1,",",PUNCT,"$,",",",","
2,der,PRON,PRELS,der,der
3,Lieder,NOUN,NN,Lied,Lieder
4,schreibt,VERB,VVFIN,schreiben,schreibt
5,",",PUNCT,"$,",",",","
6,ist,AUX,VAFIN,sein,ist
7,gemäß,ADP,APPR,gemäß,gemäß
8,meinem,DET,PPOSAT,mein,meinem
9,Sprachverständnis,NOUN,NN,Sprachverständnis,Sprachverständnis
10,ein,DET,ART,ein,ein
11,Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
12,.,PUNCT,$.,.,.
13,Wieso,ADV,PWAV,wieso,Wieso
14,das,PRON,PDS,der,das
15,weniger,DET,PIAT,weniger,weniger
16,deutsch,ADJ,ADJD,deutsch,deutsch
17,sein,AUX,VAINF,sein,sein
18,soll,VERB,VMFIN,sollen,soll
19,als,CONJ,KOKOM,als,als
20,"""",PUNCT,$(,"""",""""
21,Songautor,NOUN,NN,Songautor,Songautor
22,"""",PUNCT,$(,"""",""""
23,",",PUNCT,"$,",",",","
24,müsstest,VERB,VMFIN,müssen,müsstest
25,du,PRON,PPER,du,du
26,mir,PRON,PPER,mir,mir
27,dann,ADV,ADV,dann,dann
28,noch,ADV,ADV,noch,noch
29,erläutern,VERB,VVINF,erläutern,erläutern
30,.,PUNCT,$.,.,.
31,Schreibe,VERB,VVFIN,schreiben,Schreibe
32,ich,PRON,PPER,ich,ich
33,einen,DET,ART,ein,einen
34,Ssssssong,NOUN,NN,Song,Ssssssong
35,",",PUNCT,"$,",",",","
36,so,ADV,ADV,so,so
37,schreibe,VERB,VVFIN,schreiben,schreibe
38,ich,PRON,PPER,ich,ich
39,nichts,DET,PIAT,nichts,nichts
40,anderes,PRON,PIS,anderer,anderes
41,als,ADP,APPR,als,als
42,ein,DET,ART,ein,ein
43,Lied,NOUN,NN,Lied,Lied
44,.,PUNCT,$.,.,.
45,Ich,PRON,PPER,ich,Ich
46,hab,AUX,VAFIN,haben,hab
47,mal,UNK,PTKMA,mal,mal
48,im,ADP,APPRART,in,im
49,Duden,PROPN,NE,Duden,Duden
50,nachgesehen,VERB,VVPP,nachsehen,nachgesehen
51,(,PUNCT,$(,(,(
52,24.,ADJ,ADJA,24.,24.
53,Auflage,NOUN,NN,Auflage,Auflage
54,",",PUNCT,"$,",",",","
55,2006,NUM,CARD,2006,2006
56,),PUNCT,$(,),)
57,:,PUNCT,$.,:,:
58,„,PUNCT,$(,„,„
59,Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
60,“,PUNCT,$(,“,“
61,gibt,VERB,VVFIN,geben,gibt
62,es,PRON,PPER,es,es
63,nicht,PART,PTKNEG,nicht,nicht
64,",",PUNCT,"$,",",",","
65,dafür,ADV,PAV,dafür,dafür
66,aber,ADV,ADV,aber,aber
67,„,PUNCT,$(,„,„
68,Songwriter,NOUN,NN,Songwriter,Songwriter
69,“,PUNCT,$(,“,“
70,.,PUNCT,$.,.,.
71,Ich,PRON,PPER,ich,Ich
72,verbessere,VERB,VVFIN,verbessern,verbessere
73,entsprechend,ADJ,ADJD,entsprechend,entsprechend
74,.,PUNCT,$.,.,.
75,Gruß,NOUN,NN,Gruß,Gruß
76,",",PUNCT,"$,",",",","
77,Solange,SCONJ,KOUS,solange,Solange
78,keine,DET,PIAT,kein,keine
79,zuverlässige,ADJ,ADJA,zuverlässig,zuverlässige
80,Informationsquelle,NOUN,NN,Informationsquelle,Informationsquelle
81,vorliegt,VERB,VVFIN,vorliegen,vorliegt
82,",",PUNCT,"$,",",",","
83,die,PRON,PRELS,der,die
84,Lou,PROPN,NE,Lou,Lou
85,Reed,PROPN,NE,Reed,Reed
86,als,CONJ,KOKOM,als,als
87,„,PUNCT,$(,„,„
88,Liedschreiber,NOUN,NN,Liedschreiber,Liedschreiber
89,“,PUNCT,$(,“,“
90,bezeichnet,VERB,VVFIN,bezeichnen,bezeichnet
91,(,PUNCT,$(,(,(
92,ein,DET,ART,ein,ein
