,token,tag,tag_STTS,lemma_gold,baseline
0,das,DET,ART,der,das
1,Vokabular,NOUN,NN,Vokabular,Vokabular
2,des,DET,ART,der,des
3,Esperanto,PROPN,NE,Esperanto,Esperanto
4,besteht,VERB,VVFIN,bestehen,besteht
5,zum,ADP,APPRART,zu,zum
6,großen,ADJ,ADJA,groß,großen
7,Teil,NOUN,NN,Teil,Teil
8,aus,ADP,APPR,aus,aus
9,Entlehnungen,NOUN,NN,Entlehnung,Entlehnungen
10,aus,ADP,APPR,aus,aus
11,romanischen,ADJ,ADJA,romanisch,romanischen
12,Sprachen,NOUN,NN,Sprache,Sprachen
13,",",PUNCT,"$,",",",","
14,ein,DET,ART,ein,ein
15,Teil,NOUN,NN,Teil,Teil
16,lässt,VERB,VVFIN,lassen,lässt
17,sich,PRON,PRF,sich,sich
18,aber,ADV,ADV,aber,aber
19,auch,ADV,ADV,auch,auch
20,auf,ADP,APPR,auf,auf
21,germanische,ADJ,ADJA,germanisch,germanische
22,und,CONJ,KON,und,und
23,slawische,ADJ,ADJA,slawisch,slawische
24,Ursprünge,NOUN,NN,Ursprung,Ursprünge
25,zurückführen,VERB,VVINF,zurückführen,zurückführen
26,.,PUNCT,$.,.,.
27,zur,ADP,APPRART,zu,zur
28,leichten,ADJ,ADJA,leicht,leichten
29,Erlernbarkeit,NOUN,NN,Erlernbarkeit,Erlernbarkeit
30,setze,VERB,VVFIN,setzen,setze
31,Zamenhof,PROPN,NE,Zamenhof,Zamenhof
32,auf,ADP,APPR,auf,auf
33,strenge,ADJ,ADJA,streng,strenge
34,Regularitäten,NOUN,NN,Regularität,Regularitäten
35,",",PUNCT,"$,",",",","
36,z.,ADP,APPRART,z.,z.
37,B.,NOUN,NN,B.,B.
38,eine,DET,ART,ein,eine
39,phonematische,ADJ,ADJA,phonematisch,phonematische
40,Schriftweise,NOUN,NN,Schriftweise,Schriftweise
41,(,PUNCT,$(,(,(
42,jedem,DET,PIAT,jeder,jedem
43,Laut,NOUN,NN,Laut,Laut
44,wird,AUX,VAFIN,werden,wird
45,genau,ADJ,ADJD,genau,genau
46,ein,NUM,CARD,ein,ein
47,Schriftzeichen,NOUN,NN,Schriftzeichen,Schriftzeichen
48,zugeordnet,VERB,VVPP,zuordnen,zugeordnet
49,bzw.,CONJ,KON,bzw.,bzw.
50,linguistisch,ADJ,ADJD,linguistisch,linguistisch
51,korrekt,ADJ,ADJD,korrekt,korrekt
52,:,PUNCT,$.,:,:
53,jedem,DET,PIAT,jeder,jedem
54,Phonem,NOUN,NN,Phonem,Phonem
55,entspricht,VERB,VVFIN,entsprechen,entspricht
56,genau,ADJ,ADJD,genau,genau
57,ein,NUM,CARD,ein,ein
58,Graphem,NOUN,NN,Graphem,Graphem
59,),PUNCT,$(,),)
60,;,PUNCT,$.,;,;
61,die,DET,ART,der,die
62,Wortbildung,NOUN,NN,Wortbildung,Wortbildung
63,ist,AUX,VAFIN,sein,ist
64,an,ADP,APPR,an,an
65,agglutinierende,ADJ,ADJA,agglutinierend,agglutinierende
66,Sprachen,NOUN,NN,Sprache,Sprachen
67,(,PUNCT,$(,(,(
68,z.,ADP,APPRART,z.,z.
69,B.,NOUN,NN,B.,B.
70,Türkisch,NOUN,NN,Türkisch,Türkisch
71,),PUNCT,$(,),)
72,angelehnt,ADJ,ADJD,anlehnen,angelehnt
73,",",PUNCT,"$,",",",","
74,wo,ADV,PWAV,wo,wo
75,Sinneinheiten,NOUN,NN,Sinneinheit,Sinneinheiten
76,(,PUNCT,$(,(,(
77,linguistisch,ADJ,ADJD,linguistisch,linguistisch
78,:,PUNCT,$.,:,:
79,sprachlichen,ADJ,ADJA,sprachlich,sprachlichen
80,Konzepten,NOUN,NN,Konzept,Konzepten
81,),PUNCT,$(,),)
82,eindeutige,ADJ,ADJA,eindeutig,eindeutige
83,Wortbestandteile,NOUN,NN,Wortbestandteil,Wortbestandteile
84,(,PUNCT,$(,(,(
85,linguistisch,ADJ,ADJD,linguistisch,linguistisch
86,:,PUNCT,$.,:,:
87,Morpheme,NOUN,NN,Morphem,Morpheme
88,),PUNCT,$(,),)
89,zugeordnet,VERB,VVPP,zuordnen,zugeordnet
90,sind,AUX,VAFIN,sein,sind
91,.,PUNCT,$.,.,.
92,so,ADV,ADV,so,so
93,ist,AUX,VAFIN,sein,ist
94,ein,DET,ART,ein,ein
95,Wort,NOUN,NN,Wort,Wort
96,",",PUNCT,"$,",",",","
97,das,PRON,PRELS,der,das
98,auf,ADP,APPR,auf,auf
99,-o,X,XY,-o,-o
100,endet,VERB,VVFIN,enden,endet
101,",",PUNCT,"$,",",",","
102,immer,ADV,ADV,immer,immer
103,ein,DET,ART,ein,ein
104,Substantiv,NOUN,NN,Substantiv,Substantiv
105,",",PUNCT,"$,",",",","
106,eines,PRON,PIS,einer,eines
107,auf,ADP,APPR,auf,auf
108,-a,X,XY,-a,-a
109,immer,ADV,ADV,immer,immer
110,ein,DET,ART,ein,ein
111,Adjektiv,NOUN,NN,Adjektiv,Adjektiv
112,.,PUNCT,$.,.,.
113,durch,ADP,APPR,durch,durch
114,Anhängen,NOUN,NN,anhängen,Anhängen
115,von,ADP,APPR,von,von
116,-j,X,XY,-j,-j
117,kann,VERB,VMFIN,können,kann
118,man,PRON,PIS,man,man
119,den,DET,ART,der,den
120,Plural,NOUN,NN,Plural,Plural
121,bilden,VERB,VVINF,bilden,bilden
122,",",PUNCT,"$,",",",","
123,durch,ADP,APPR,durch,durch
124,Vorsetzen,NOUN,NN,vorsetzen,Vorsetzen
125,von,ADP,APPR,von,von
126,mal-,X,TRUNC,mal,mal-
127,verneinen,VERB,VVINF,verneinen,verneinen
128,:,PUNCT,$.,:,:
129,bela,X,FM,bela,bela
130,blogo,X,FM,blogo,blogo
131,–,PUNCT,$(,–,–
132,der,DET,ART,der,der
133,schöne,ADJ,ADJA,schön,schöne
134,Blog,NOUN,NN,Blog,Blog
135,malbenaj,X,FM,malbenaj,malbenaj
136,blogoj,X,FM,blogoj,blogoj
137,–,PUNCT,$(,–,–
138,die,DET,ART,der,die
139,nicht,PART,PTKNEG,nicht,nicht
140,schönen,ADJ,ADJA,schön,schönen
141,Blogs,NOUN,NN,Blog,Blogs
