,token,tag,tag_STTS,lemma_gold,baseline
0,Von,ADP,``,von,Von
1,Anbeginn,NOUN,DT,Anbeginn,Anbeginn
2,Biß,NOUN,NN,Biß,Biß
3,Dato,PROPN,DT,Dato,Dato
4,hin,PART,JJ,hin,hin
5,/,PUNCT,NN,/,/
6,Täte,NOUN,VBC,Täte,Täte
7,man,PRON,IN,man,man
8,den,DET,DT,d,den
9,Adel,NOUN,JJ,Adel,Adel
10,achten,VERB,NN,achten,achten
11,",",PUNCT,JJ,",",","
12,In,ADP,",",in,In
13,diesem,DET,DT,dies,diesem
14,Land,NOUN,JJ,Land,Land
15,Ei,INTJ,NN,Ei,Ei
16,p',ADJ,RB,p',p'
17,fuch,NOUN,RB,fuch,fuch
18,der,DET,'',d,der
19,Schand,NOUN,",",Schand,Schand
20,Tut,PROPN,VBC,Tut,Tut
21,man,PRON,NNP,man,man
22,ihn,PRON,NN,er,ihn
23,gar,ADV,NNP,gar,gar
24,verachten,VERB,NNP,verachten,verachten
25,Täte,NOUN,,Täte,Täte
26,dies,PRON,APPR,dies,dies
27,nur,ADV,ART,nur,nur
28,Sin,NOUN,NN,Sin,Sin
29,/,PUNCT,IN,/,/
30,Es,PRON,DT,es,Es
31,ginge,VERB,NN,gehen,ginge
32,hin,PART,.,hin,hin
33,/,PUNCT,IN,/,/
34,Man,PRON,NN,man,Man
35,nimmt,VERB,",",nehmen,nimmt
36,ihm,PRON,REL,er,ihm
37,gar,ADV,NN,gar,gar
38,die,DET,-,d,die
39,Würzen,ADJ,NN,Würzen,Würzen
40,Das,DET,-,d,Das
41,G',NOUN,NN,G',G'
42,schlecht,ADJ,IN,schlecht,schlecht
43,das,DET,DT,d,das
44,Blut,NOUN,NN,Blut,Blut
45,/,PUNCT,NN,/,/
46,Mit,ADP,VBC,mit,Mit
47,Hab,NOUN,",",Hab,Hab
48,und,CONJ,VBC,und,und
49,Gut,ADJ,DT,gut,Gut
50,/,PUNCT,NN,/,/
51,Will,VERB,DT,wollen,Will
52,man,PRON,NN,man,man
53,zu,ADP,JJ,zu,zu
54,Boden,NOUN,VB,Boden,Boden
55,stürzen,VERB,.,stürzen,stürzen
56,/,PUNCT,IN,/,/
57,Kein,DET,DTP$,kein,Kein
58,edles,ADJ,JJ,edel,edles
59,Haus,NOUN,NN,Haus,Haus
60,Sich,PRON,,er|es|sie,Sich
61,schwinget,VERB,APPR,schwinget,schwinget
62,aus,PART,ART,aus,aus
63,/,PUNCT,NN,/,/
64,Es,PRON,DT,es,Es
65,geht,VERB,NN,gehen,geht
66,zu,PART,VBC,zu,zu
67,verderben,VERB,DT,verderben,verderben
68,:,PUNCT,NNA,:,:
69,Ohn,VERB,DT,Ohn,Ohn
70,alles,DET,JJ,all,alles
71,Recht,NOUN,NN,Recht,Recht
72,Der,DET,",",d,Der
73,edlen,ADJ,CC,edel,edlen
74,G',NOUN,PRP,G',G'
75,schlecht,ADJ,CC,schlecht,schlecht
76,Die,DET,NN,d,Die
77,Bawren,NOUN,``,Bauer,Bawren
78,all,DET,JJ,all,all
79,tun,NOUN,DT,tun,tun
80,erben,VERB,``,erben,erben
81,.,PUNCT,JJ,.,.
82,Was,PRON,NN,was,Was
83,ihnen,PRON,VBN,sie,ihnen
84,g',PROPN,IN,g',g'
85,Falt,NOUN,DT,Falt,Falt
86,/,PUNCT,NN,/,/
87,Ist,AUX,VB,sein,Ist
88,gleich,ADV,VBC,gleich,gleich
89,bezahlt,VERB,.,bezahlen,bezahlt
90,Es,PRON,``,es,Es
91,manglet,ADJ,PRP,manglet,manglet
92,nichts,PRON,VBC,nichts,nichts
93,erkaufen,VERB,PRP,erkaufen,erkaufen
94,.,PUNCT,RB,.,.
95,Die,DET,IN,d,Die
96,Gegenwehr,NOUN,NN,Gegenwehr,Gegenwehr
97,hilft,VERB,VB,helfen,hilft
98,jetzt,ADV,",",jetzt,jetzt
99,nicht,PART,CC,nicht,nicht
100,mehr,ADV,DT,mehr,mehr
101,/,PUNCT,NN,/,/
102,Man,PRON,DT,man,Man
103,wirft,VERB,NN,werfen,wirft
104,als,CONJ,VBC,als,als
105,Überhaufen,NOUN,IN,Überhaufen,Überhaufen
106,.,PUNCT,DTP$,.,.
107,Im,ADP,NN,im,Im
108,ganzen,ADJ,'',ganz,ganzen
109,Glend,ADJ,",",Glend,Glend
110,Sind,AUX,VBC,sein,Sind
111,nur,ADV,PRP,nur,nur
112,die,DET,IN,d,die
113,Wend,NOUN,DT,Wend,Wend
114,/,PUNCT,NN,/,/
115,Und,CONJ,",",und,Und
116,eingefalne,ADJ,REL,eingefalne,eingefalne
117,Mauren,NOUN,PRP,Maure,Mauren
118,:,PUNCT,IN,:,:
119,Als,CONJ,DT,als,Als
120,umgekehrt,ADJ,NN,umgekehrt,umgekehrt
121,/,PUNCT,IN,/,/
122,Im,ADP,DT,im,Im
123,Grund,NOUN,NN,Grund,Grund
124,verderbt,VERB,IN,verderben,verderbt
125,/,PUNCT,NN,/,/
126,Bringt,VERB,NNP,bringen,Bringt
127,große,ADJ,VBN,groß,große
128,Klag,NOUN,VBC,Klage,Klag
129,und,CONJ,.,und,und
130,Trauren,NOUN,DT,Trauren,Trauren
