,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,Omis,X,FM,omnis,Omis
2,arbor,X,FM,arbor,arbor
3,bona,X,FM,bona,bona
4,facit,X,FM,facit,facit
5,fructum,X,FM,fructum,fructum
6,suum,X,FM,suum,suum
7,bonum,X,FM,bonum,bonum
8,.,PUNCT,$.,.,.
9,_,UNK,--,--,_
10,Diese,DET,PDAT,dies,Diese
11,Worte,NOUN,NN,Wort,Worte
12,spricht,VERB,VVFIN,sprechen,spricht
13,unser,DET,PPOSAT,unser,unser
14,lieber,ADJ,ADJA,lieb,lieber
15,Herr,PROPN,NE,Herr,Herr
16,Jesus,PROPN,NE,Jesus,Jesus
17,Christus,PROPN,NE,Christus,Christus
18,zu,ADP,APPR,zu,zu
19,einem,DET,ART,ein,einem
20,jeden,DET,PIDAT,jed,jeden
21,Menschen,NOUN,NN,Mensch,Menschen
22,",",PUNCT,"$,",",",","
23,der,PRON,PRELS,d,der
24,da,SCONJ,KOUS,da,da
25,wahrhaft,ADJ,ADJD,wahrhaft,wahrhaft
26,will,VERB,VMFIN,wollen,will
27,kommen,VERB,VVINF,kommen,kommen
28,und,CONJ,KON,und,und
29,der,DET,ART,d,der
30,da,SCONJ,KOUS,da,da
31,fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
32,will,VERB,VMFIN,wollen,will
33,werden,AUX,VAINF,werden,werden
34,an,ADP,APPR,an,an
35,seiner,DET,PPOSAT,sein,seiner
36,Seele,NOUN,NN,Seele,Seele
37,.,PUNCT,$.,.,.
38,_,UNK,--,--,_
39,Und,CONJ,KON,und,Und
40,bedeuten,VERB,VVFIN,bedeuten,bedeuten
41,diese,DET,PDAT,dies,diese
42,Worte,NOUN,NN,Wort,Worte
43,also,ADV,ADV,also,also
44,",",PUNCT,"$,",",",","
45,dass,SCONJ,KOUS,dass,dass
46,ein,DET,ART,ein,ein
47,jeder,DET,PIAT,jed,jeder
48,guter,ADJ,ADJA,gut,guter
49,Baum,NOUN,NN,Baum,Baum
50,bringt,VERB,VVFIN,bringen,bringt
51,eine,DET,ART,ein,eine
52,gute,ADJ,ADJA,gut,gute
53,Frucht,NOUN,NN,Frucht,Frucht
54,.,PUNCT,$.,.,.
55,_,UNK,--,--,_
56,Willst,VERB,VMFIN,wollen,Willst
57,du,PRON,PPER,du,du
58,nun,ADV,ADV,nun,nun
59,",",PUNCT,"$,",",",","
60,dass,SCONJ,KOUS,dass,dass
61,ein,DET,ART,ein,ein
62,guter,ADJ,ADJA,gut,guter
63,Mensch,NOUN,NN,Mensch,Mensch
64,einen,DET,ART,ein,einen
65,guten,ADJ,ADJA,gut,guten
66,Baum,NOUN,NN,Baum,Baum
67,sät,VERB,VVFIN,säen,sät
68,.,PUNCT,$.,.,.
69,_,UNK,--,--,_
70,Und,CONJ,KON,und,Und
71,willst,VERB,VMFIN,wollen,willst
72,du,PRON,PPER,du,du
73,eine,DET,ART,ein,eine
74,gute,ADJ,ADJA,gut,gute
75,Frucht,NOUN,NN,Frucht,Frucht
76,zu,ADP,APPR,zu,zu
77,deiner,DET,PPOSAT,dein,deiner
78,Seele,NOUN,NN,Seele,Seele
79,bringen,VERB,VVINF,bringen,bringen
80,",",PUNCT,"$,",",",","
81,so,ADV,ADV,so,so
82,sollst,VERB,VMFIN,sollen,sollst
83,du,PRON,PPER,du,du
84,dich,PRON,PRF,du,dich
85,üben,VERB,VVINF,üben,üben
86,in,ADP,APPR,in,in
87,guten,ADJ,ADJA,gut,guten
88,Werken,NOUN,NN,Werk,Werken
89,jedoch,ADV,ADV,jedoch,jedoch
90,über,ADP,APPR,über,über
91,alle,DET,PIAT,alle,alle
92,Dinge,NOUN,NN,Ding,Dinge
93,.,PUNCT,$.,.,.
94,_,UNK,--,--,_
95,So,ADV,ADV,so,So
96,sollst,VERB,VMFIN,sollen,sollst
97,du,PRON,PPER,du,du
98,dich,PRON,PRF,du,dich
