,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,Omnis,X,FM,Omis,Omnis
2,arbor,X,FM,arbor,arbor
3,bona,X,FM,bona,bona
4,facit,X,FM,facit,facit
5,fructum,X,FM,fructum,fructum
6,suum,X,FM,suum,suum
7,bonum,X,FM,bonum,bonum
8,.,PUNCT,$.,.,.
9,_,UNK,--,--,_
10,Dese,DET,PDAT,dies,Dese
11,wort,NOUN,NN,Wort,wort
12,spricht,VERB,VVFIN,sprechen,spricht
13,vnser,DET,PPOSAT,unser,vnser
14,liber,ADJ,ADJA,lieb,liber
15,here,PROPN,NE,Herr,here
16,ihesus,PROPN,NE,Jesus,ihesus
17,cristus,PROPN,NE,Christus,cristus
18,czu,ADP,APPR,zu,czu
19,eyme,DET,ART,ein,eyme
20,iczlychen,DET,PIDAT,jed,iczlychen
21,menschen,NOUN,NN,Mensch,menschen
22,_,PUNCT,"$,",--,_
23,der,PRON,PRELS,d,der
24,do,SCONJ,KOUS,da,do
25,vorbas,ADJ,ADJD,wahrhaft,vorbas
26,wil,VERB,VMFIN,wollen,wil
27,komen,VERB,VVINF,kommen,komen
28,vnd,CONJ,KON,und,vnd
29,_,UNK,--,--,_
30,_,UNK,--,--,_
31,fruchtbar,ADJ,ADJD,fruchtbar,fruchtbar
32,wil,VERB,VMFIN,wollen,wil
33,werden,AUX,VAINF,werden,werden
34,an,ADP,APPR,an,an
35,syner,DET,PPOSAT,sein,syner
36,zele,NOUN,NN,Seele,zele
37,.,PUNCT,$.,.,.
38,_,UNK,--,--,_
39,vnd,CONJ,KON,und,vnd
40,beduten,VERB,VVFIN,bedeuten,beduten
41,dese,DET,PDAT,dies,dese
42,wort,NOUN,NN,Wort,wort
43,alsus,ADV,ADV,also,alsus
44,_,UNK,--,--,_
45,_,UNK,--,--,_
46,ayn,DET,ART,ein,ayn
47,iczlich,DET,PIAT,jed,iczlich
48,guter,ADJ,ADJA,gut,guter
49,bowm,NOUN,NN,Baum,bowm
50,brenget,VERB,VVFIN,bringen,brenget
51,eyne,DET,ART,ein,eyne
52,gute,ADJ,ADJA,gut,gute
53,frucht,NOUN,NN,Frucht,frucht
54,_,UNK,--,--,_
55,_,UNK,--,--,_
56,Wilt,VERB,VMFIN,wollen,Wilt
57,u,PRON,PPER,du,u
58,nu,ADV,ADV,nun,nu
59,_,UNK,--,--,_
60,_,UNK,--,--,_
61,_,UNK,--,--,_
62,gvter,ADJ,ADJA,gut,gvter
63,mensche,NOUN,NN,Mensch,mensche
64,eynen,DET,ART,ein,eynen
65,guten,ADJ,ADJA,gut,guten
66,bowm,NOUN,NN,Baum,bowm
67,seen,VERB,VVFIN,säen,seen
68,_,UNK,--,--,_
69,_,UNK,--,--,_
70,vnd,CONJ,KON,und,vnd
71,wilt,VERB,VMFIN,wollen,wilt
72,u,PRON,PPER,du,u
73,_,UNK,--,--,_
74,gute,ADJ,ADJA,gut,gute
75,frucht,NOUN,NN,Frucht,frucht
76,an,ADP,APPR,zu,an
77,dyner,DET,PPOSAT,dein,dyner
78,zele,NOUN,NN,Seele,zele
79,brengen,VERB,VVINF,bringen,brengen
80,_,UNK,--,--,_
81,so,ADV,ADV,so,so
82,salt,VERB,VMFIN,sollen,salt
83,u,PRON,PPER,du,u
84,dich,PRON,PRF,du,dich
85,vben,VERB,VVINF,üben,vben
86,an,ADP,APPR,in,an
87,guten,ADJ,ADJA,gut,guten
88,werken,NOUN,NN,Werk,werken
89,ydoch,ADV,ADV,jedoch,ydoch
90,obir,ADP,APPR,über,obir
91,alle,DET,PIAT,alle,alle
92,ding,NOUN,NN,Ding,ding
93,.,PUNCT,$.,.,.
94,_,UNK,--,--,_
95,so,ADV,ADV,so,so
96,salt,VERB,VMFIN,sollen,salt
97,u,PRON,PPER,du,u
98,dich,PRON,PRF,du,dich
99,vben,VERB,VVINF,üben,vben
100,an,ADP,APPR,in,an
101,dy,DET,ART,d,dy
102,martir,NOUN,NN,Marter,martir
103,vnsers,DET,PPOSAT,unser,vnsers
104,heren,PROPN,NE,Herr,heren
105,ihesu,PROPN,NE,Jesus,ihesu
106,xp-i,PROPN,NE,Christus,xp-i
107,.,PUNCT,$.,.,.
108,_,UNK,--,--,_
109,vnd,CONJ,KON,und,vnd
110,_,UNK,--,--,_
111,salt,VERB,VMFIN,sollen,salt
112,dy,PRON,PDS,dies,dy
113,merken,VERB,VVINF,merken,merken
114,myt,ADP,APPR,mit,myt
115,alle,DET,PIAT,alle,alle
116,dyner,DET,PPOSAT,dein,dyner
117,craft,NOUN,NN,Kraft,craft
118,dyner,DET,PPOSAT,dein,dyner
119,synne,NOUN,NN,Sinn,synne
120,_,UNK,--,--,_
121,_,UNK,--,--,_
122,vnd,CONJ,KON,und,vnd
123,_,UNK,--,--,_
124,salt,VERB,VMFIN,sollen,salt
125,dich,PRON,PPER,du,dich
126,myt,ADP,APPR,mit,myt
127,dyner,DET,PPOSAT,dein,dyner
128,zele,NOUN,NN,Seele,zele
129,hengen,VERB,VVINF,hängen,hengen
130,an,ADP,APPR,an,an
131,den,DET,ART,d,den
132,heiligen,ADJ,ADJA,heilig,heiligen
133,bowm,NOUN,NN,Baum,bowm
134,_,UNK,--,--,_
135,an,ADP,APPR,an,an
136,dem,PRON,PDS,d,dem
137,vnser,DET,PPOSAT,unser,vnser
138,heylant,PROPN,NE,Heiland,heylant
139,syne,DET,PPOSAT,sein,syne
140,sele,NOUN,NN,Seele,sele
141,vfgap,VERB,VVFIN,aufgeben,vfgap
142,durch,ADP,APPR,durch,durch
143,vnse,DET,PPOSAT,unser,vnse
144,svnde,NOUN,NN,Sünde,svnde
145,.,PUNCT,$.,.,.
146,_,UNK,--,--,_
147,vnn,CONJ,KON,und,vnn
148,_,UNK,--,--,_
