,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,na,INTJ,ITJ,na,na
2,_,UNK,--,--,_
3,_,UNK,--,--,_
4,ist,AUX,VAFIN,sein,ist
5,doch,ADV,ADV,doch,doch
6,voll,ADV,ADV,voll,voll
7,egal,ADJ,ADJD,egal,egal
8,_,UNK,--,--,_
9,_,UNK,--,--,_
10,darauf,ADV,PAV,darauf,darauf
11,kommt,VERB,VVFIN,kommen,kommt
12,es,PRON,PPER,es,es
13,doch,ADV,ADV,doch,doch
14,gar,ADV,ADV,gar,gar
15,nicht,PART,PTKNEG,nicht,nicht
16,an,PART,PTKVZ,an,an
17,_,UNK,--,--,_
18,_,UNK,--,--,_
19,nein,PART,PTKANT,nein,nein
20,_,UNK,--,--,_
21,_,UNK,--,--,_
22,er,PRON,PPER,er,er
23,hat,AUX,VAFIN,haben,hat
24,es,PRON,PPER,es,es
25,halt,ADV,ADV,halt,halt
26,falsch,ADJ,ADJD,falsch,falsch
27,beschrieben,VERB,VVPP,beschreiben,beschrieben
28,_,UNK,--,--,_
29,_,UNK,--,--,_
30,_,UNK,--,--,_
31,_,UNK,--,--,_
32,_,UNK,--,--,_
33,mit,ADP,APPR,mit,mit
34,Handbreiten,NOUN,NN,Handbreite,Handbreiten
35,und,CONJ,KON,und,und
36,Zentimetern,NOUN,NN,Zentimeter,Zentimetern
37,_,UNK,--,--,_
38,_,UNK,--,--,_
39,_,UNK,--,--,_
40,hallo,INTJ,ITJ,hallo,hallo
41,_,UNK,--,--,_
42,_,UNK,--,--,_
43,ich,PRON,PPER,ich,ich
44,bin,AUX,VAFIN,sein,bin
45,anwesend,ADJ,ADJD,anwesend,anwesend
46,_,UNK,--,--,_
47,_,UNK,--,--,_
48,man,PRON,PIS,man,man
49,redet,VERB,VVFIN,reden,redet
50,nicht,PART,PTKNEG,nicht,nicht
51,von,ADP,APPR,von,von
52,anwesenden,ADJ,ADJA,anwesend,anwesenden
53,Personen,NOUN,NN,Person,Personen
54,_,UNK,--,--,_
55,_,UNK,--,--,_
56,wir,PRON,PPER,wir,wir
57,haben,AUX,VAFIN,haben,haben
58,alles,PRON,PIS,alles,alles
59,total,ADJ,ADJD,total,total
60,_,UNK,--,--,_
61,_,UNK,--,--,_
62,okay,ADV,ADV,okay,okay
63,_,UNK,--,--,_
64,danke,PART,PTKANT,Danke,danke
65,_,PUNCT,$.,.,_
66,hallo,INTJ,ITJ,Hallo,hallo
67,_,PUNCT,"$,",",",_
68,Therese,PROPN,NE,Therese,Therese
69,_,PUNCT,$.,.,_
70,hallo,INTJ,ITJ,Hallo,hallo
71,_,PUNCT,"$,",",",_
72,Alex,PROPN,NE,Alex,Alex
73,_,PUNCT,$.,.,_
