,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,Um,SCONJ,KOUI,um,Um
2,sich,PRON,PRF,sich,sich
3,zu,ADP,APPR,zu,zu
4,dieser,DET,PDAT,dies,dieser
5,Behauptung,NOUN,NN,Behauptung,Behauptung
6,überhaupt,ADV,ADV,überhaupt,überhaupt
7,zu,PART,PTKZU,zu,zu
8,verhalten,VERB,VVINF,verhalten,verhalten
9,",",PUNCT,"$,",",",","
10,muss,VERB,VMFIN,müssen,muss
11,man,PRON,PIS,man,man
12,sich,PRON,PRF,sich,sich
13,erst,ADV,ADV,erst,erst
14,überlegen,VERB,VVINF,überlegen,überlegen
15,:,PUNCT,$.,:,:
16,_,UNK,--,--,_
17,_,UNK,--,--,_
18,haben,AUX,VAFIN,haben,haben
19,Frauen,NOUN,NN,Frau,Frauen
20,andere,ADJ,ADJA,ander,andere
21,Interessen,NOUN,NN,Interesse,Interessen
22,als,CONJ,KOKOM,als,als
23,Männer,NOUN,NN,Mann,Männer
24,?,PUNCT,$.,?,?
25,_,UNK,--,--,_
26,_,UNK,--,--,_
27,Ist,AUX,VAFIN,sein,Ist
28,dies,PRON,PDS,dies,dies
29,nicht,PART,PTKNEG,nicht,nicht
30,der,DET,ART,d,der
31,Fall,NOUN,NN,Fall,Fall
32,",",PUNCT,"$,",",",","
33,entfällt,VERB,VVFIN,entfallen,entfällt
34,die,DET,ART,d,die
35,Legitimität,NOUN,NN,Legitimität,Legitimität
36,der,DET,ART,d,der
37,Frage,NOUN,NN,Frage,Frage
38,(,PUNCT,$(,(,(
39,und,CONJ,KON,und,und
40,des,DET,ART,d,des
41,Begriffes,NOUN,NN,Begriff,Begriffes
42,Feminismus,NOUN,NN,Feminismus,Feminismus
43,),PUNCT,$(,),)
44,.,PUNCT,$.,.,.
45,_,UNK,--,--,_
46,Findet,VERB,VVFIN,finden,Findet
47,man,PRON,PIS,man,man
48,",",PUNCT,"$,",",",","
49,dass,SCONJ,KOUS,dass,dass
50,Interessen,NOUN,NN,Interesse,Interessen
51,der,DET,ART,d,der
52,Frauen,NOUN,NN,Frau,Frauen
53,sich,PRON,PRF,sich,sich
54,von,ADP,APPR,von,von
55,Interessen,NOUN,NN,Interesse,Interessen
56,der,DET,ART,d,der
57,Männer,NOUN,NN,Mann,Männer
58,unterscheiden,VERB,VVINF,unterscheiden,unterscheiden
59,lassen,VERB,VVFIN,lassen,lassen
60,",",PUNCT,"$,",",",","
61,kann,VERB,VMFIN,können,kann
62,man,PRON,PIS,man,man
63,mit,ADP,APPR,mit,mit
64,der,DET,ART,d,der
65,Frage,NOUN,NN,Frage,Frage
66,weitergehen,VERB,VVINF,weitergehen,weitergehen
67,:,PUNCT,$.,:,:
68,_,UNK,--,--,_
69,welche,PRON,PWS,welch,welche
70,sind,AUX,VAFIN,sein,sind
71,die,DET,ART,d,die
72,Interessen,NOUN,NN,Interesse,Interessen
73,der,DET,ART,d,der
74,Frauen,NOUN,NN,Frau,Frauen
75,?,PUNCT,$.,?,?
76,_,UNK,--,--,_
77,_,UNK,--,--,_
78,Dass,PRON,PDS,d,Dass
79,muss,VERB,VMFIN,müssen,muss
80,abgeklärt,VERB,VVPP,abklären,abgeklärt
81,werden,AUX,VAINF,werden,werden
82,",",PUNCT,"$,",",",","
83,bevor,SCONJ,KOUS,bevor,bevor
84,man,PRON,PIS,man,man
85,dazu,ADV,PAV,dazu,dazu
86,Stellung,NOUN,NN,Stellung,Stellung
87,nehmen,VERB,VVINF,nehmen,nehmen
88,kann,VERB,VMFIN,können,kann
89,",",PUNCT,"$,",",",","
90,ob,SCONJ,KOUS,ob,ob
91,Interessen,NOUN,NN,Interesse,Interessen
92,geschadet,VERB,VVPP,schaden,geschadet
93,oder,CONJ,KON,oder,oder
94,_,UNK,--,--,_
95,genutzt,VERB,VVPP,nutzen,genutzt
96,worden,AUX,VAPP,werden,worden
97,sind,AUX,VAFIN,sein,sind
