,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,Verhaftung,NOUN,NN,Verhaftung,Verhaftung
2,–,PUNCT,$(,–,–
3,_,UNK,--,--,_
4,Gespräch,NOUN,NN,Gespräch,Gespräch
5,mit,ADP,APPR,mit,mit
6,Frau,NOUN,NN,Frau,Frau
7,Grubach,PROPN,NE,Grubach,Grubach
8,–,PUNCT,$(,–,–
9,_,UNK,--,--,_
10,Dann,ADV,ADV,dann,Dann
11,kommt,VERB,VVFIN,kommen,kommt
12,Fräulein,NOUN,NN,Fräulein,Fräulein
13,Bürstner,PROPN,NE,Bürstner,Bürstner
14,_,UNK,--,--,_
15,Jemand,PRON,PIS,jemand,Jemand
16,musste,VERB,VMFIN,müssen,musste
17,Josef,PROPN,NE,Josef,Josef
18,K.,PROPN,NE,K.,K.
19,verleumdet,VERB,VVPP,verleumden,verleumdet
20,haben,AUX,VAFIN,haben,haben
21,",",PUNCT,"$,",",",","
22,denn,CONJ,KON,denn,denn
23,ohne,ADP,APPR,ohne,ohne
24,dass,SCONJ,KOUS,dass,dass
25,er,PRON,PPER,er,er
26,etwas,PRON,PIS,etwas,etwas
27,Böses,NOUN,NN,Böse,Böses
28,getan,VERB,VVPP,tun,getan
29,hätte,AUX,VAFIN,haben,hätte
30,",",PUNCT,"$,",",",","
31,wurde,AUX,VAFIN,werden,wurde
32,er,PRON,PPER,er,er
33,eines,DET,ART,ein,eines
34,Morgens,NOUN,NN,Morgen,Morgens
35,verhaftet,VERB,VVPP,verhaften,verhaftet
36,.,PUNCT,$.,.,.
37,_,UNK,--,--,_
38,Die,DET,ART,d,Die
39,Köchin,NOUN,NN,Köchin,Köchin
40,der,DET,ART,d,der
41,Frau,NOUN,NN,Frau,Frau
42,Grubach,PROPN,NE,Grubach,Grubach
43,",",PUNCT,"$,",",",","
44,seine,DET,PPOSAT,sein,seine
45,Zimmervermieterin,NOUN,NN,Zimmervermieterin,Zimmervermieterin
46,",",PUNCT,"$,",",",","
47,die,PRON,PRELS,d,die
48,ihm,PRON,PPER,er,ihm
49,jeden,DET,PIDAT,jed,jeden
50,Tag,NOUN,NN,Tag,Tag
51,gegen,ADP,APPR,gegen,gegen
52,acht,NUM,CARD,acht,acht
53,Uhr,NOUN,NN,Uhr,Uhr
54,früh,ADJ,ADJD,früh,früh
55,das,DET,ART,d,das
56,Frühstück,NOUN,NN,Frühstück,Frühstück
57,brachte,VERB,VVFIN,bringen,brachte
58,",",PUNCT,"$,",",",","
59,kam,VERB,VVFIN,kommen,kam
60,diesmal,ADV,ADV,diesmal,diesmal
61,nicht,PART,PTKNEG,nicht,nicht
62,.,PUNCT,$.,.,.
63,_,UNK,--,--,_
64,Das,PRON,PDS,d,Das
65,war,AUX,VAFIN,sein,war
66,noch,ADV,ADV,noch,noch
67,niemals,ADV,ADV,niemals,niemals
68,geschehen,VERB,VVPP,geschehen,geschehen
69,.,PUNCT,$.,.,.
70,_,UNK,--,--,_
71,K.,PROPN,NE,K.,K.
72,wartete,VERB,VVFIN,warten,wartete
73,noch,ADV,ADV,noch,noch
74,ein,DET,ART,ein,ein
75,Weilchen,NOUN,NN,Weilchen,Weilchen
76,",",PUNCT,"$,",",",","
77,er,PRON,PPER,er,er
78,sah,VERB,VVFIN,sehen,sah
79,von,ADP,APPR,von,von
80,seinem,DET,PPOSAT,sein,seinem
81,Kopfkissen,NOUN,NN,Kopfkissen,Kopfkissen
82,aus,ADP,APZR,aus,aus
83,die,DET,ART,d,die
84,alte,ADJ,ADJA,alt,alte
85,Frau,NOUN,NN,Frau,Frau
86,",",PUNCT,"$,",",",","
87,die,PRON,PRELS,d,die
88,ihm,PRON,PPER,er,ihm
89,gegenüber,ADP,APPO,gegenüber,gegenüber
90,wohnte,VERB,VVFIN,wohnen,wohnte
91,und,CONJ,KON,und,und
92,die,PRON,PRELS,d,die
93,ihn,PRON,PPER,er,ihn
94,mit,ADP,APPR,mit,mit
95,einer,DET,ART,ein,einer
96,an,ADP,APPR,an,an
97,ihr,PRON,PPER,er,ihr
98,ganz,ADJ,ADJD,ganz,ganz
99,ungewöhnlichen,ADJ,ADJA,ungewöhnlich,ungewöhnlichen
100,Neugierde,NOUN,NN,Neugierde,Neugierde
