,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,Veruntreute,VERB,VVFIN,veruntreuen,Veruntreute
2,die,DET,ART,d,die
3,AWO,NOUN,NN,AWO,AWO
4,Spendengeld,NOUN,NN,Spendengeld,Spendengeld
5,?,PUNCT,$.,?,?
6,_,UNK,--,--,_
7,_,UNK,--,--,_
8,Staatsanwaltschaft,NOUN,NN,Staatsanwaltschaft,Staatsanwaltschaft
9,muß,VERB,VMFIN,müssen,muß
10,AWO-Konten,NOUN,NN,AWO-Konto,AWO-Konten
11,prüfen,VERB,VVINF,prüfen,prüfen
12,/,PUNCT,$(,/,/
13,_,UNK,--,--,_
14,Flossen,VERB,VVFIN,fließen,Flossen
15,165.000,NUM,CARD,165.000,165.000
16,Mark,NOUN,NN,Mark,Mark
17,Sammelgelder,NOUN,NN,Sammelgeld,Sammelgelder
18,für,ADP,APPR,für,für
19,Flutopfer,NOUN,NN,Flutopfer,Flutopfer
20,in,ADP,APPR,in,in
21,ein,DET,ART,ein,ein
22,Altenheim,NOUN,NN,Altenheim,Altenheim
23,in,ADP,APPR,in,in
24,Danzig,PROPN,NE,Danzig,Danzig
25,?,PUNCT,$.,?,?
26,_,UNK,--,--,_
27,Landesvorsitzende,NOUN,NN,Landesvorsitzende,Landesvorsitzende
28,Ute,PROPN,NE,Ute,Ute
29,Wedemeier,PROPN,NE,Wedemeier,Wedemeier
30,_,UNK,--,--,_
31,:,PUNCT,$.,:,:
32,_,UNK,--,--,_
33,_,UNK,--,--,_
34,Ein,DET,ART,ein,Ein
35,Buchungsfehler,NOUN,NN,Buchungsfehler,Buchungsfehler
36,_,UNK,--,--,_
37,Im,ADP,APPRART,im,Im
38,Januar,NOUN,NN,Januar,Januar
39,hat,AUX,VAFIN,haben,hat
40,die,DET,ART,d,die
41,Arbeiterwohlfahrt,PROPN,NE,Arbeiterwohlfahrt,Arbeiterwohlfahrt
42,Bremen,PROPN,NE,Bremen,Bremen
43,ihren,DET,PPOSAT,ihr,ihren
44,langjährigen,ADJ,ADJA,langjährig,langjährigen
45,Geschäftsführer,NOUN,NN,Geschäftsführer,Geschäftsführer
46,Hans,PROPN,NE,Hans,Hans
47,Taake,PROPN,NE,Taake,Taake
48,fristlos,ADJ,ADJD,fristlos,fristlos
49,entlassen,VERB,VVPP,entlassen,entlassen
50,",",PUNCT,"$,",",",","
51,nun,ADV,ADV,nun,nun
52,wird,AUX,VAFIN,werden,wird
53,auch,ADV,ADV,auch,auch
54,der,DET,ART,d,der
55,Vorstand,NOUN,NN,Vorstand,Vorstand
