,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,JustChat,PROPN,NE,JustChat,JustChat
2,4.0r0.204,X,XY,4.0r0.204,4.0r0.204
3,(,PUNCT,$(,(,(
4,"55,204",NUM,CARD,"55,204","55,204"
5,),PUNCT,$(,),)
6,developed,X,FM,developed,developed
7,by,X,FM,by,by
8,Medium.net,PROPN,NE,Medium.net,Medium.net
9,.,PUNCT,$.,.,.
10,_,UNK,--,--,_
11,Du,PRON,PPER,du,Du
12,betrittst,VERB,VVFIN,betreten,betrittst
13,den,DET,ART,d,den
14,Raum,NOUN,NN,Raum,Raum
15,.,PUNCT,$.,.,.
16,_,UNK,--,--,_
17,Was,PRON,PWS,was,Was
18,passiert,VERB,VVFIN,passieren,passiert
19,?,PUNCT,$.,?,?
20,_,UNK,--,--,_
21,Ist,AUX,VAFIN,sein,Ist
22,das,PRON,PDS,d,das
23,echt,ADJ,ADJD,echt,echt
24,",",PUNCT,"$,",",",","
25,Zora,PROPN,NE,Zora,Zora
26,?,PUNCT,$.,?,?
27,_,UNK,--,--,_
28,Little15,PROPN,NE,little15,Little15
29,betritt,VERB,VVFIN,betreten,betritt
30,den,DET,ART,d,den
31,Raum,NOUN,NN,Raum,Raum
32,.,PUNCT,$.,.,.
33,_,UNK,--,--,_
34,Das,DET,ART,d,Das
35,Küssen,NOUN,NN,Küssen,Küssen
36,macht,VERB,VVFIN,machen,macht
37,etwas,PRON,PIS,etwas,etwas
38,?,PUNCT,$.,?,?
39,_,UNK,--,--,_
40,Na,INTJ,ITJ,na,Na
41,",",PUNCT,"$,",",",","
42,gut,ADJ,ADJD,gut,gut
43,",",PUNCT,"$,",",",","
44,marc30,PROPN,NE,marc30,marc30
45,.,PUNCT,$.,.,.
46,_,UNK,--,--,_
47,Es,PRON,PPER,es,Es
48,gibt,VERB,VVFIN,geben,gibt
49,kein,DET,PIAT,kein,kein
50,Servicepaket,NOUN,NN,Servicepaket,Servicepaket
51,Nr.,NOUN,NN,Nummer,Nr.
52,1,NUM,CARD,1,1
53,für,ADP,APPR,für,für
54,dich,PRON,PPER,du,dich
55,.,PUNCT,$.,.,.
56,_,UNK,--,--,_
57,:),X,XY,:),:)
58,.,PUNCT,$.,.,.
59,_,UNK,--,--,_
60,Was,PRON,PIS,was,Was
61,ist,AUX,VAFIN,sein,ist
62,passiert,VERB,VVPP,passieren,passiert
63,?,PUNCT,$.,?,?
64,_,UNK,--,--,_
65,TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
66,kommt,VERB,VVFIN,kommen,kommt
67,aus,ADP,APPR,aus,aus
