,token,tag,tag_STTS,lemma_gold,baseline
0,_,UNK,--,--,_
1,JustChat,PROPN,NE,JustChat,JustChat
2,4.0r0.204,X,XY,4.0r0.204,4.0r0.204
3,(,PUNCT,$(,(,(
4,"55,204",NUM,CARD,"55,204","55,204"
5,),PUNCT,$(,),)
6,developed,X,FM,developed,developed
7,by,X,FM,by,by
8,Medium.net,PROPN,NE,Medium.net,Medium.net
9,.,PUNCT,$.,.,.
10,_,UNK,--,--,_
11,Du,PRON,PPER,du,Du
12,betrittst,VERB,VVFIN,betreten,betrittst
13,den,DET,ART,d,den
14,Raum,NOUN,NN,Raum,Raum
15,.,PUNCT,$.,.,.
16,_,UNK,--,--,_
17,was,PRON,PWS,was,was
18,_,UNK,--,--,_
19,_,UNK,--,--,_
20,_,UNK,--,--,_
21,_,UNK,--,--,_
22,_,UNK,--,--,_
23,echt,ADJ,ADJD,echt,echt
24,_,UNK,--,--,_
25,zori,PROPN,NE,Zora,zori
26,?,PUNCT,$.,?,?
27,_,UNK,--,--,_
28,little15,PROPN,NE,little15,little15
29,betritt,VERB,VVFIN,betreten,betritt
30,den,DET,ART,d,den
31,Raum,NOUN,NN,Raum,Raum
32,.,PUNCT,$.,.,.
33,_,UNK,--,--,_
34,das,DET,ART,d,das
35,küssen,NOUN,NN,Küssen,küssen
36,_,UNK,--,--,_
37,_,UNK,--,--,_
38,?,PUNCT,$.,?,?
39,_,UNK,--,--,_
40,na,INTJ,ITJ,na,na
41,_,UNK,--,--,_
42,gut,ADJ,ADJD,gut,gut
43,_,UNK,--,--,_
44,marc,PROPN,NE,marc30,marc
45,.,PUNCT,$.,.,.
46,_,UNK,--,--,_
47,_,UNK,--,--,_
48,_,UNK,--,--,_
49,kein,DET,PIAT,kein,kein
50,servicepaket,NOUN,NN,Servicepaket,servicepaket
51,nr.,NOUN,NN,Nr.,nr.
52,1,NUM,CARD,1,1
53,für,ADP,APPR,für,für
54,dich,PRON,PPER,du,dich
55,_,UNK,--,--,_
56,_,UNK,--,--,_
57,:),X,XY,:),:)
58,_,UNK,--,--,_
59,_,UNK,--,--,_
60,was,PRON,PWS,was,was
61,_,UNK,--,--,_
62,_,UNK,--,--,_
63,?,PUNCT,$.,?,?
64,_,UNK,--,--,_
65,TomcatMJ,PROPN,NE,TomcatMJ,TomcatMJ
66,kommt,VERB,VVFIN,kommen,kommt
67,aus,ADP,APPR,aus,aus
68,dem,DET,ART,d,dem
69,Raum,NOUN,NN,Raum,Raum
70,Go-Rin-No-Sho,PROPN,NE,Go-Rin-No-Sho,Go-Rin-No-Sho
71,herein,PART,PTKVZ,herein,herein
