,token,tag,tag_STTS,lemma_gold,baseline
0,Heute,_,ADV,heute,Heute
1,wird,_,VAFIN,werden,wird
2,von,_,APPR,von,von
3,Monaco,_,NE,Monaco,Monaco
4,aus,_,APZR,aus,aus
5,z.B.,_,ADV,z.B.,z.B.
6,nach,_,APPR,nach,nach
7,Europa,_,NE,Europa,Europa
8,und,_,KON,und,und
9,North,_,FM,North,North
10,Afrika,_,NE,Afrika,Afrika
11,in,_,APPR,in,in
12,mehr,_,ADV,mehr,mehr
13,als,_,KOKOM,als,als
14,20,_,CARD,20,20
15,Sprachen,_,NN,Sprache,Sprachen
16,",",_,"$,",",",","
17,das,_,ART,der,das
18,Evangelium,_,NN,Evangelium,Evangelium
19,verbreitet,_,VVPP,verbreiten,verbreitet
20,.,_,$.,.,.
21,Auch,_,ADV,auch,Auch
22,für,_,APPR,für,für
23,uns,_,PPER,wir,uns
24,als,_,KOKOM,als,als
25,Gemeinde,_,NN,Gemeinde,Gemeinde
26,wird,_,VAFIN,werden,wird
27,Gott,_,NN,Gott,Gott
28,sorgen,_,VVINF,sorgen,sorgen
29,",",_,"$,",",",","
30,wenn,_,KOUS,wenn,wenn
31,wir,_,PPER,wir,wir
32,ganz,_,ADV,ganz,ganz
33,und,_,KON,und,und
34,gar,_,ADV,gar,gar
35,ihm,_,PPER,er,ihm
36,dienen,_,VVFIN,dienen,dienen
37,.,_,$.,.,.
38,Und,_,KON,und,Und
39,als,_,KOKOM,als,als
40,Zweites,_,NN,Zweite,Zweites
41,sagt,_,VVFIN,sagen,sagt
42,Jesus,_,NE,Jesus,Jesus
43,",",_,"$,",",",","
44,lohnt,_,VVFIN,lohnen,lohnt
45,es,_,PPER,es,es
46,sich,_,PRF,sich,sich
47,",",_,"$,",",",","
48,weil,_,KOUS,weil,weil
49,wir,_,PPER,wir,wir
50,in,_,APPR,in,in
51,der,_,ART,der,der
52,neuen,_,ADJA,neu,neuen
53,Welt,_,NN,Welt,Welt
54,im,_,APPRART,in,im
55,neuen,_,ADJA,neu,neuen
56,Zeitalter,_,NN,Zeitalter,Zeitalter
57,",",_,"$,",",",","
58,das,_,ART,der,das
59,ewige,_,ADJA,ewig,ewige
60,Leben,_,NN,Leben,Leben
61,bekommen,_,VVFIN,bekommen,bekommen
62,.,_,$.,.,.
63,Das,_,ART,der,Das
64,ewige,_,ADJA,ewig,ewige
65,Leben,_,NN,Leben,Leben
66,ist,_,VAFIN,sein,ist
67,das,_,ART,der,das
68,höchste,_,ADJA,hoch,höchste
69,Gut,_,NN,Gut,Gut
70,",",_,"$,",",",","
71,das,_,PRELS,der,das
72,ein,_,ART,ein,ein
73,Mensch,_,NN,Mensch,Mensch
74,bekommen,_,VVINF,bekommen,bekommen
75,kann,_,VMFIN,können,kann
76,.,_,$.,.,.
77,Es,_,PPER,es,Es
78,gibt,_,VVFIN,geben,gibt
79,nichts,_,PIAT,nichts,nichts
80,anstrebenswerteres,_,NN,Anstrebenswertere,anstrebenswerteres
81,als,_,KOKOM,als,als
82,das,_,ART,der,das
83,ewige,_,ADJA,ewig,ewige
84,Leben,_,NN,Leben,Leben
85,.,_,$.,.,.
86,Es,_,PPER,es,Es
87,war,_,VAFIN,sein,war
88,am,_,APPRART,an,am
89,Ende,_,NN,Ende,Ende
90,meines,_,PPOSAT,mein,meines
91,Theologiestudiums,_,NN,Theologiestudium,Theologiestudiums
92,.,_,$.,.,.
93,Ich,_,PPER,ich,Ich
94,war,_,VAFIN,sein,war
95,voll,_,ADJD,voll,voll
96,getankt,_,ADJD,getankt,getankt
