,token,tag,tag_STTS,lemma_gold,baseline
0,Als,CONJ,KOKOM,als,Als
1,nchstes,ADJ,ADJD,nchster,nchstes
2,also,ADV,ADV,also,also
3,",",PUNCT,"$,",",",","
4,die,DET,ART,der,die
5,wissenschaftliche,ADJ,ADJA,wissenschaftlich,wissenschaftliche
6,Methodik,NOUN,NN,Methodik,Methodik
7,ein,DET,ART,ein,ein
8,Grundsatz,NOUN,NN,Grundsatz,Grundsatz
9,der,DET,ART,der,der
10,Physik,NOUN,NN,Physik,Physik
11,",",PUNCT,"$,",",",","
12,aller,DET,PIAT,aller,aller
13,Wissenschaften,NOUN,NN,Wissenschaft,Wissenschaften
14,,PUNCT,$(,-,
15,sagt,VERB,VVFIN,sagen,sagt
16,",",PUNCT,"$,",",",","
17,da,SCONJ,KOUS,dass,da
18,man,PRON,PIS,man,man
19,eine,DET,ART,ein,eine
20,Hypothese,NOUN,NN,Hypothese,Hypothese
21,nicht,PART,PTKNEG,nicht,nicht
22,durch,ADP,APPR,durch,durch
23,Beobachtung,NOUN,NN,Beobachtung,Beobachtung
24,beweisen,VERB,VVINF,beweisen,beweisen
25,kann,VERB,VMFIN,knnen,kann
26,.,PUNCT,$.,.,.
27,Man,PRON,PIS,man,Man
28,kann,VERB,VMFIN,knnen,kann
29,sie,PRON,PPER,sie,sie
30,nur,ADV,ADV,nur,nur
31,widerlegen,VERB,VVINF,widerlegen,widerlegen
32,.,PUNCT,$.,.,.
33,Das,PRON,PDS,der,Das
34,heit,VERB,VVFIN,heien,heit
35,",",PUNCT,"$,",",",","
36,da,SCONJ,KOUS,dass,da
37,man,PRON,PIS,man,man
38,mehr,ADV,ADV,mehr,mehr
39,und,CONJ,KON,und,und
40,mehr,ADV,ADV,mehr,mehr
41,Information,NOUN,NN,Information,Information
42,um,ADP,APPR,um,um
43,eine,DET,ART,ein,eine
44,Hypothese,NOUN,NN,Hypothese,Hypothese
45,oder,CONJ,KON,oder,oder
46,einen,DET,ART,ein,einen
