,token,tag,tag_STTS,lemma_gold,baseline
0,Der,_,ART,der,Der
1,SC,_,NE,SC,SC
2,Lituania,_,NE,Lituania,Lituania
3,Tilsit,_,NE,Tilsit,Tilsit
4,war,_,VAFIN,sein,war
5,ein,_,ART,ein,ein
6,deutscher,_,ADJA,deutsch,deutscher
7,Sportverein,_,NN,Sportverein,Sportverein
8,der,_,ART,der,der
9,ostpreußischen,_,ADJA,ostpreußisch,ostpreußischen
10,Stadt,_,NN,Stadt,Stadt
11,Tilsit,_,NE,Tilsit,Tilsit
12,",",_,"$,",",",","
13,heute,_,ADV,heute,heute
14,Sowetsk,_,NE,Sowetsk,Sowetsk
15,.,_,$.,.,.
16,Der,_,ART,der,Der
17,1907,_,CARD,1907,1907
18,gegründete,_,ADJA,gegründet,gegründete
19,Verein,_,NN,Verein,Verein
20,wurde,_,VAFIN,werden,wurde
21,1911,_,CARD,1911,1911
22,Verbandsmeister,_,NN,Verbandsmeister,Verbandsmeister
23,des,_,ART,der,des
24,Baltischen,_,ADJA,baltisch,Baltischen
25,Rasensport-Verbandes,_,NN,Rasensport-Verband,Rasensport-Verbandes
26,(,_,$(,(,(
27,BRV,_,NE,BRV,BRV
28,),_,$(,),)
29,und,_,KON,und,und
30,durfte,_,VMFIN,dürfen,durfte
31,somit,_,ADV,somit,somit
32,an,_,APPR,an,an
33,der,_,ART,der,der
34,Endrunde,_,NN,Endrunde,Endrunde
35,um,_,APPR,um,um
36,die,_,ART,der,die
37,deutsche,_,ADJA,deutsch,deutsche
38,Fußballmeisterschaft,_,NN,Fußballmeisterschaft,Fußballmeisterschaft
39,teilnehmen,_,VVINF,teilnehmen,teilnehmen
40,.,_,$.,.,.
41,Wegen,_,APPR,wegen,Wegen
42,zu,_,PTKA,zu,zu
43,hoher,_,ADJA,hoch,hoher
44,Reisekosten,_,NN,Reisekosten,Reisekosten
45,verzichtete,_,VVFIN,verzichten,verzichtete
46,Lituania,_,NE,Lituania,Lituania
47,Tilsit,_,NE,Tilsit,Tilsit
48,jedoch,_,ADV,jedoch,jedoch
49,auf,_,APPR,auf,auf
50,das,_,ART,der,das
51,Startrecht,_,NN,Startrecht,Startrecht
52,",",_,"$,",",",","
53,so,_,ADV,so,so
54,dass,_,KOUS,dass,dass
55,die,_,ART,der,die
56,gegnerische,_,ADJA,gegnerisch,gegnerische
57,Mannschaft,_,NN,Mannschaft,Mannschaft
58,vom,_,APPRART,von,vom
59,Berliner,_,ADJA,Berliner,Berliner
60,TuFC,_,NE,TuFC,TuFC
61,Viktoria,_,NE,Viktoria,Viktoria
62,89,_,CARD,89,89
63,kampflos,_,ADJD,kampflos,kampflos
64,ins,_,APPRART,in,ins
65,Halbfinale,_,NN,Halbfinale,Halbfinale
66,einrückte,_,VVFIN,einrücken,einrückte
67,.,_,$.,.,.
68,1912,_,CARD,1912,1912
69,und,_,KON,und,und
70,1913,_,CARD,1913,1913
71,erreichte,_,VVFIN,erreichen,erreichte
72,der,_,ART,der,der
73,Verein,_,NN,Verein,Verein
74,noch,_,ADV,noch,noch
75,die,_,ART,der,die
76,Baltische,_,ADJA,Baltisch,Baltische
77,Endrunde,_,NN,Endrunde,Endrunde
78,",",_,"$,",",",","
79,unterlag,_,VVFIN,unterliegen,unterlag
80,aber,_,ADV,aber,aber
81,in,_,APPR,in,in
82,beiden,_,PIAT,beide,beiden
83,Jahren,_,NN,Jahr,Jahren
84,dem,_,ART,der,dem
85,jeweiligen,_,ADJA,jeweilig,jeweiligen
86,Finalgegner,_,NN,Finalgegner,Finalgegner
87,.,_,$.,.,.
88,Nachdem,_,KOUS,nachdem,Nachdem
89,Lituania,_,NE,Lituania,Lituania
90,in,_,APPR,in,in
91,den,_,ART,der,den
92,20er,_,ADJA,20er,20er
93,Jahren,_,NN,Jahr,Jahren
94,ohne,_,APPR,ohne,ohne
95,größeren,_,ADJA,groß,größeren
96,Erfolg,_,NN,Erfolg,Erfolg
97,im,_,APPRART,in,im
98,Bezirk,_,NN,Bezirk,Bezirk
99,Ostpreußen,_,NE,Ostpreußen,Ostpreußen
100,gespielt,_,VVPP,spielen,gespielt
101,hatte,_,VAFIN,haben,hatte
102,",",_,"$,",",",","
103,erfolgte,_,VVFIN,erfolgen,erfolgte
104,1929,_,CARD,1929,1929
105,die,_,ART,der,die
106,Fusion,_,NN,Fusion,Fusion
107,mit,_,APPR,mit,mit
108,dem,_,ART,der,dem
109,Verein,_,NN,Verein,Verein
110,für,_,APPR,für,für
111,Körperübungen,_,NN,Körperübung,Körperübungen
112,Tilsit,_,NE,Tilsit,Tilsit
113,zum,_,APPRART,zu,zum
114,Tilsiter,_,ADJA,Tilsit,Tilsiter
115,SC,_,NE,SC,SC
116,.,_,$.,.,.
117,Córrego,_,NE,Córrego,Córrego
118,do,_,NE,do,do
119,Ouro,_,NE,Ouro,Ouro
120,ist,_,VAFIN,sein,ist
121,eine,_,ART,ein,eine
122,brasilianische,_,ADJA,brasilianisch,brasilianische
123,politische,_,ADJA,politisch,politische
124,Gemeinde,_,NN,Gemeinde,Gemeinde
125,im,_,APPRART,in,im
126,Bundesstaat,_,NN,Bundesstaat,Bundesstaat
127,Goiás,_,NE,Goiás,Goiás
128,in,_,APPR,in,in
129,der,_,ART,der,der
130,Mesoregion,_,NN,Mesoregion,Mesoregion
131,Zentral-Goiás,_,NE,Zentral-Goiás,Zentral-Goiás
132,und,_,KON,und,und
133,in,_,APPR,in,in
134,der,_,ART,der,der
135,Mikroregion,_,NN,Mikroregion,Mikroregion
136,Iporá,_,NE,Iporá,Iporá
137,.,_,$.,.,.
138,Sie,_,PPER,sie,Sie
139,liegt,_,VVFIN,liegen,liegt
140,westsüdwestlich,_,ADJD,westsüdwestlich,westsüdwestlich
141,der,_,ART,der,der
142,brasilianischen,_,ADJA,brasilianisch,brasilianischen
143,Hauptstadt,_,NN,Hauptstadt,Hauptstadt
144,Brasília,_,NE,Brasília,Brasília
145,und,_,KON,und,und
146,der,_,ART,der,der
147,Hauptstadt,_,NN,Hauptstadt,Hauptstadt
148,Goiânia,_,NE,Goiânia,Goiânia
149,.,_,$.,.,.
150,Das,_,ART,der,Das
151,6.,_,ADJA,6.,6.
152,Kanadische,_,ADJA,kanadisch,Kanadische
153,Kabinett,_,NN,Kabinett,Kabinett
154,(,_,$(,(,(
155,engl.,_,ADJD,engl.,engl.
156,6th,_,FM,6th,6th
157,Canadian,_,FM,Canadian,Canadian
158,Ministry,_,FM,Ministry,Ministry
159,",",_,"$,",",",","
160,franz.,_,ADJD,franz.,franz.
161,6e,_,FM,6e,6e
162,conseil,_,FM,conseil,conseil
163,des,_,FM,des,des
164,ministres,_,FM,ministres,ministres
165,du,_,FM,du,du
166,Canada,_,FM,Canada,Canada
167,),_,$(,),)
168,regierte,_,VVFIN,regieren,regierte
169,Kanada,_,NE,Kanada,Kanada
170,vom,_,APPRART,von,vom
171,21.,_,ADJA,21.,21.
172,Dezember,_,NN,Dezember,Dezember
173,1894,_,CARD,1894,1894
174,bis,_,APPR,bis,bis
175,zum,_,APPRART,zu,zum
176,27.,_,ADJA,27.,27.
177,April,_,NN,April,April
178,1896,_,CARD,1896,1896
179,.,_,$.,.,.
180,Dieses,_,PDAT,dieser,Dieses
181,von,_,APPR,von,von
182,Premierminister,_,NN,Premierminister,Premierminister
183,Mackenzie,_,NE,Mackenzie,Mackenzie
184,Bowell,_,NE,Bowell,Bowell
185,angeführte,_,ADJA,angeführt,angeführte
186,Kabinett,_,NN,Kabinett,Kabinett
187,bestand,_,VVFIN,bestehen,bestand
188,aus,_,APPR,aus,aus
189,Mitgliedern,_,NN,Mitglied,Mitgliedern
190,der,_,ART,der,der
191,Konservativen,_,ADJA,konservativ,Konservativen
192,Partei,_,NN,Partei,Partei
193,.,_,$.,.,.
194,Auch,_,ADV,auch,Auch
195,der,_,ART,der,der
196,Name,_,NN,Name,Name
197,der,_,ART,der,der
198,Ausstellung,_,NN,Ausstellung,Ausstellung
199,wurde,_,VAFIN,werden,wurde
200,in,_,APPR,in,in
201,diesem,_,PDAT,dieser,diesem
202,Zusammenhang,_,NN,Zusammenhang,Zusammenhang
203,in,_,APPR,in,in
204,Nitten,_,NE,Nitten,Nitten
205,(,_,$(,(,(
206,Abk.,_,NN,Abk.,Abk.
207,für,_,APPR,für,für
208,",",_,"$,",",",","
209,Nihon,_,FM,Nihon,Nihon
210,bijutsu,_,FM,bijutsu,bijutsu
211,tenrankai,_,FM,tenrankai,tenrankai
212,),_,$(,),)
213,geändert,_,VVPP,ändern,geändert
214,.,_,$.,.,.
215,Im,_,APPRART,in,Im
216,Zuge,_,NN,Zug,Zuge
217,einer,_,ART,ein,einer
218,Neuordnung,_,NN,Neuordnung,Neuordnung
219,1958,_,CARD,1958,1958
220,wurde,_,VAFIN,werden,wurde
221,die,_,ART,der,die
222,Akademie,_,NN,Akademie,Akademie
223,in,_,APPR,in,in
224,eine,_,ART,ein,eine
225,rein,_,ADJD,rein,rein
226,wissenschaftliche,_,ADJA,wissenschaftlich,wissenschaftliche
227,und,_,KON,und,und
228,beratende,_,ADJA,beratend,beratende
229,Non-Profit-Organisation,_,NN,Non-Profit-Organisation,Non-Profit-Organisation
230,überführt,_,VVPP,überführen,überführt
231,und,_,KON,und,und
232,die,_,ART,der,die
233,Organisation,_,NN,Organisation,Organisation
234,der,_,ART,der,der
235,Kunstausstellung,_,NN,Kunstausstellung,Kunstausstellung
236,wurde,_,VAFIN,werden,wurde
237,in,_,APPR,in,in
238,eine,_,ART,ein,eine
239,eigene,_,ADJA,eigen,eigene
240,Personengesellschaft,_,NN,Personengesellschaft,Personengesellschaft
241,",",_,"$,",",",","
242,die,_,ART,der,die
243,Nitten,_,NE,Nitten,Nitten
244,Kapitalgesellschaft,_,NN,Kapitalgesellschaft,Kapitalgesellschaft
245,",",_,"$,",",",","
246,ausgegliedert,_,VVPP,ausgliedern,ausgegliedert
247,.,_,$.,.,.
248,Die,_,ART,der,Die
249,Akademie,_,NN,Akademie,Akademie
250,der,_,ART,der,der
251,Künste,_,NN,Kunst,Künste
252,gehört,_,VVFIN,gehören,gehört
253,formell,_,ADJD,formell,formell
254,zum,_,APPRART,zu,zum
255,MEXT,_,NE,MEXT,MEXT
256,.,_,$.,.,.
257,Sie,_,PPER,sie,Sie
258,besitzt,_,VVFIN,besitzen,besitzt
259,maximal,_,ADJD,maximal,maximal
260,120,_,CARD,120,120
261,Mitglieder,_,NN,Mitglied,Mitglieder
262,",",_,"$,",",",","
263,die,_,PRELS,der,die
264,auf,_,APPR,auf,auf
265,Lebenszeit,_,NN,Lebenszeit,Lebenszeit
266,ernannt,_,VVPP,ernennen,ernannt
267,werden,_,VAFIN,werden,werden
268,.,_,$.,.,.
269,Die,_,ART,der,Die
270,Akademie,_,NN,Akademie,Akademie
271,besitzt,_,VVFIN,besitzen,besitzt
272,drei,_,CARD,drei,drei
273,Hauptabteilungen,_,NN,Hauptabteilung,Hauptabteilungen
274,mit,_,APPR,mit,mit
275,insgesamt,_,ADV,insgesamt,insgesamt
276,16,_,CARD,16,16
277,Unterabteilungen,_,NN,Unterabteilung,Unterabteilungen
278,",",_,"$,",",",","
279,die,_,PRELS,der,die
280,einzelnen,_,ADJA,einzeln,einzelnen
