,token,tag,tag_STTS,lemma_gold,baseline
0,Die,DET,ART,der,Die
1,Zigeuner,NOUN,NN,Zigeuner,Zigeuner
2,waren,AUX,VAFIN,sein,waren
3,damals,ADV,ADV,damals,damals
4,in,ADP,APPR,in,in
5,der,DET,ART,der,der
6,Verfolgung,NOUN,NN,Verfolgung,Verfolgung
7,",",PUNCT,"$,",--,","
8,welche,PRON,PRELS,welche,welche
9,die,DET,ART,der,die
10,vertriebenen,ADJ,ADJA,vertrieben,vertriebenen
11,Juden,NOUN,NN,Jude,Juden
12,ihnen,PRON,PPER,ihnen,ihnen
13,zuzogen,VERB,VVFIN,zuziehen,zuzogen
14,",",PUNCT,"$,",--,","
15,die,PRON,PRELS,der,die
16,sich,PRON,PRF,sich,sich
17,für,ADP,APPR,für,für
18,Zigeuner,NOUN,NN,Zigeuner,Zigeuner
19,ausgaben,VERB,VVFIN,ausgeben,ausgaben
20,",",PUNCT,"$,",--,","
21,um,SCONJ,KOUI,um,um
22,geduldet,VERB,VVPP,dulden,geduldet
23,zu,PART,PTKZU,zu,zu
24,werden,AUX,VAFIN,werden,werden
25,",",PUNCT,"$,",--,","
26,schon,ADV,ADV,schon,schon
27,sündlich,ADV,ADV,sündlich,sündlich
28,verwildert,ADJ,ADJD,verwildert,verwildert
29,;,PUNCT,$.,--,;
30,oft,ADV,ADV,oft,oft
31,hatte,AUX,VAFIN,haben,hatte
32,Herzog,NOUN,NN,Herzog,Herzog
33,Michael,PROPN,NE,Michael,Michael
34,darüber,ADV,PAV,darüber,darüber
35,geklagt,VERB,VVPP,klagen,geklagt
36,und,CONJ,KON,und,und
37,alle,DET,PIAT,alle,alle
38,seine,DET,PPOSAT,sein,seine
39,Klugheit,NOUN,NN,Klugheit,Klugheit
40,angewendet,VERB,VVPP,anwenden,angewendet
41,",",PUNCT,"$,",--,","
42,sie,PRON,PPER,sie,sie
43,aus,ADP,APPR,aus,aus
44,dieser,DET,PDAT,dieser,dieser
45,Zerstreuung,NOUN,NN,Zerstreuung,Zerstreuung
46,nach,ADP,APPR,nach,nach
47,ihrem,DET,PPOSAT,ihr,ihrem
48,Vaterlande,NOUN,NN,Vaterland,Vaterlande
49,zurückzuführen,VERB,VVIZU,zurückführen,zurückzuführen
50,.,PUNCT,$.,--,.
51,Ihr,DET,PPOSAT,ihr,Ihr
52,Gelübde,NOUN,NN,Gelübde,Gelübde
53,",",PUNCT,"$,",--,","
54,so,ADV,ADV,so,so
55,weit,ADJ,ADJA,weit,weit
56,zu,PART,PTKZU,zu,zu
57,ziehen,VERB,VVINF,ziehen,ziehen
58,",",PUNCT,"$,",--,","
59,als,SCONJ,KOUS,als,als
60,sie,PRON,PPER,sie,sie
61,noch,ADV,ADV,noch,noch
62,Christen,NOUN,NN,Christ,Christen
63,fänden,VERB,VVFIN,finden,fänden
64,",",PUNCT,"$,",--,","
65,war,AUX,VAFIN,sein,war
