,token,tag,tag_STTS,lemma_gold,baseline
0,Der,DET,ART,der,Der
1,Hauptgang,NOUN,NN,Hauptgang,Hauptgang
2,war,AUX,VAFIN,sein,war
3,in,ADP,APPR,in,in
4,Ordnung,NOUN,NN,Ordnung,Ordnung
5,",",PUNCT,"$,",",",","
6,aber,CCONJ,KON,aber,aber
7,alles,ADV,PIAT,alle,alles
8,andere,PRON,PIS,ander,andere
9,als,ADP,KOKOM,als,als
10,umwerfend,ADJ,ADJD,umwerfend,umwerfend
11,.,PUNCT,$.,.,.
12,Ich,PRON,PPER,ich,Ich
13,habe,AUX,VAFIN,haben,habe
14,dort,ADV,ADV,dort,dort
15,2007,NUM,CARD,2007,2007
16,meinen,DET,PPOSAT,mein,meinen
17,OWD,PROPN,NN,OWD,OWD
18,gemacht,VERB,VVPP,machen,gemacht
19,und,CCONJ,KON,und,und
20,weil,SCONJ,KOUS,weil,weil
21,mir,PRON,PPER,ich,mir
22,das,DET,ART,der,das
23,Tauchen,NOUN,NN,Tauchen,Tauchen
24,so,ADV,ADV,so,so
25,gefiel,VERB,VVFIN,gefallen,gefiel
26,hab,AUX,VAFIN,haben,hab
27,ich,PRON,PPER,ich,ich
28,dort,ADV,ADV,dort,dort
29,noch,ADV,ADV,noch,noch
30,im,_,,_,im
31,in,ADP,APPR,in,in
32,dem,DET,ART,der,dem
33,selben,DET,PDAT,selb,selben
34,Jahr,NOUN,NN,Jahr,Jahr
35,den,DET,ART,der,den
36,AOWD,PROPN,NN,AOWD,AOWD
37,und,CCONJ,KON,und,und
38,den,DET,ART,der,den
39,Deep,PROPN,NN,Deep,Deep
40,drangehngt,VERB,VVFIN,dranhngen,drangehngt
41,.,PUNCT,$.,.,.
42,Ist,AUX,VAFIN,sein,Ist
43,ja,PART,ADV,ja,ja
44,wohl,ADV,ADV,wohl,wohl
45,ein,DET,ART,ein,ein
46,Witz,NOUN,NN,Witz,Witz
47,.,PUNCT,$.,.,.
48,(,PUNCT,$(,(,(
49,Bei,ADP,APPR,bei,Bei
50,den,DET,ART,der,den
51,Damen,NOUN,NN,Dame,Damen
52,und,CCONJ,KON,und,und
53,Herren,NOUN,NN,Herr,Herren
54,des,DET,ART,der,des
55,besagten,ADJ,ADJA,besagt,besagten
56,Mobilfunkanbieters,NOUN,NN,Mobilfunkanbieters,Mobilfunkanbieters
57,bin,AUX,VAFIN,sein,bin
58,ich,PRON,PPER,ich,ich
59,im,_,,_,im
60,in,ADP,APPR,in,in
61,dem,DET,ART,der,dem
62,Gegensatz,NOUN,NN,Gegensatz,Gegensatz
63,dazu,ADV,PAV,dazu,dazu
64,bisher,ADV,ADV,bisher,bisher
65,ausschlielich,ADV,ADV,ausschlielich,ausschlielich
66,auf,ADP,APPR,auf,auf
67,arrogante,ADJ,ADJA,arrogant,arrogante
68,Unkenntnis,NOUN,NN,Unkenntnis,Unkenntnis
69,gestossen,VERB,VVPP,stoen,gestossen
70,),PUNCT,$(,),)
71,.,PUNCT,$.,.,.
72,10,NUM,CARD,10,10
73,Euro,NOUN,NN,Euro,Euro
74,gnstiger,ADV,ADJD,gnstig,gnstiger
75,selbst,ADV,ADV,selbst,selbst
76,htte,AUX,VAFIN,haben,htte
77,kaufen,VERB,VVINF,kaufen,kaufen
78,knnen,AUX,VMINF,knnen,knnen
79,.,PUNCT,$.,.,.
80,Absolut,ADV,ADJD,absolut,Absolut
81,empfehlenswert,ADJ,ADJD,empfehlenswert,empfehlenswert
82,ist,AUX,VAFIN,sein,ist
83,auch,ADV,ADV,auch,auch
84,der,DET,ART,der,der
85,Service,NOUN,NN,Service,Service
86,.,PUNCT,$.,.,.
87,Alle,PRON,PIAT,alle,Alle
88,am,_,,_,am
89,an,ADP,APPR,an,an
90,dem,DET,ART,der,dem
91,Wort,NOUN,NN,Wort,Wort
92,Gottes,NOUN,NE,Gott,Gottes
93,interessierte,ADJ,ADJA,interessiert,interessierte
94,Personen,NOUN,NN,Person,Personen
95,sind,AUX,VAFIN,sein,sind
96,herzlich,ADV,ADJD,herzlich,herzlich
97,eingelanden,VERB,VVPP,eingelanden,eingelanden
98,",",PUNCT,"$,",",",","
99,Gottesdienst,NOUN,NN,Gottesdienst,Gottesdienst
100,mit,ADP,APPR,mit,mit
101,Liedern,NOUN,NN,Lied,Liedern
102,",",PUNCT,"$,",",",","
103,Gebeten,NOUN,NN,Gebet,Gebeten
104,und,CCONJ,KON,und,und
105,Predigten,NOUN,NN,Predigt,Predigten
106,mit,ADP,APPR,mit,mit
107,den,DET,ART,der,den
108,Mitgliedern,NOUN,NN,Mitglied,Mitgliedern
109,zu,PART,PTKZU,zu,zu
110,feiern,VERB,VVINF,feiern,feiern
111,.,PUNCT,$.,.,.
112,Alles,PRON,PIS,alle,Alles
113,in,ADP,APPR,in,in
114,Allem,NOUN,NE,Allem,Allem
115,ein,DET,ART,ein,ein
116,super,ADJ,ADJA,super,super
117,Erlebnis,NOUN,NN,Erlebnis,Erlebnis
118,.,PUNCT,$.,.,.
119,Als,SCONJ,KOUS,als,Als
120,ich,PRON,PPER,ich,ich
121,mit,ADP,APPR,mit,mit
122,meiner,DET,PPOSAT,mein,meiner
123,Frau,NOUN,NN,Frau,Frau
124,und,CCONJ,KON,und,und
125,meiner,DET,PPOSAT,mein,meiner
126,Tante,NOUN,NN,Tante,Tante
127,im,_,,_,im
128,in,ADP,APPR,in,in
129,dem,DET,ART,der,dem
130,Oktober,PROPN,NN,Oktober,Oktober
131,2007,NUM,CARD,2007,2007
132,in,ADP,APPR,in,in
133,Norden,NOUN,NN,Norden,Norden
134,nach,ADP,APPR,nach,nach
135,einer,DET,ART,ein,einer
136,Gaststtte,NOUN,NN,Gaststtte,Gaststtte
137,suchten,VERB,VVFIN,suchen,suchten
138,",",PUNCT,"$,",",",","
139,in,ADP,APPR,in,in
140,der,DET,PRELS,der,der
141,man,PRON,PIS,man,man
142,das,DET,ART,der,das
143,originelle,ADJ,ADJA,originell,originelle
144,Gericht,NOUN,NN,Gericht,Gericht
145,"""",PUNCT,$(,"""",""""
146,Labskaus,NOUN,NN,Labskaus,Labskaus
147,"""",PUNCT,$(,"""",""""
148,essen,VERB,VVINF,essen,essen
149,knnte,AUX,VMFIN,knnen,knnte
150,",",PUNCT,"$,",",",","
151,verlief,VERB,VVFIN,verlaufen,verlief
152,unsere,DET,PPOSAT,unser,unsere
153,Suche,NOUN,NN,Suche,Suche
154,zunchst,ADV,ADV,zunchst,zunchst
155,erfolglos,ADV,ADJD,erfolglos,erfolglos
156,.,PUNCT,$.,.,.
157,Als,SCONJ,KOUS,als,Als
158,wir,PRON,PPER,wir,wir
159,dann,ADV,ADV,dann,dann
160,Schritt,NOUN,NN,Schritt,Schritt
161,fr,ADP,APPR,fr,fr
162,Schritt,NOUN,NN,Schritt,Schritt
163,durch,ADP,APPR,durch,durch
164,den,DET,ART,der,den
165,Versicherungsbogen,NOUN,NN,Versicherungsbogen,Versicherungsbogen
166,gingen,VERB,VVFIN,gehen,gingen
167,",",PUNCT,"$,",",",","
168,wurden,AUX,VAFIN,werden,wurden
169,die,DET,ART,der,die
170,Hlfte,NOUN,NN,Hlfte,Hlfte
171,der,DET,ART,der,der
172,von,ADP,APPR,von,von
173,mir,PRON,PPER,ich,mir
174,gemachten,ADJ,ADJA,gemacht,gemachten
175,Angaben,NOUN,NN,Angabe,Angaben
176,nur,ADV,ADV,nur,nur
177,fehlerhaft,ADV,ADJD,fehlerhaft,fehlerhaft
178,oder,CCONJ,KON,oder,oder
179,gar,ADV,ADV,gar,gar
180,nicht,PART,PTKNEG,nicht,nicht
181,bernommen,VERB,VVPP,bernehmen,bernommen
182,.,PUNCT,$.,.,.
183,Also,ADV,ADV,also,Also
184,fr,ADP,APPR,fr,fr
185,eine,DET,ART,ein,eine
186,Nacht,NOUN,NN,Nacht,Nacht
187,reicht,VERB,VVFIN,reichen,reicht
188,es,PRON,PPER,es,es
189,",",PUNCT,"$,",",",","
190,aber,CCONJ,KON,aber,aber
191,nicht,PART,PTKNEG,nicht,nicht
192,noch,ADV,ADV,noch,noch
